"","ttdA","ttdB","ttdR","ttdT","pval","z","inv_cof_var"
"T0010",0.033395932,0.031754221,0.036401259,0.032378762,0.45396953030648,0.115638485331067,16.2530018785534
"T2675",0.060628627,0.057209847,0.064211386,0.055054577,0.485682732033122,0.0358957758696784,14.7764470555756
"T2817",0.055532599,0.050818003,0.058818167,0.055401881,0.442896679237829,0.143629102472053,16.771289769908
"T0172",0.048868467,0.046410082,0.050730819,0.045678341,0.3613391933684,0.354881475601147,20.6829415374004
"T0487",0.05157505,0.051884787,0.052732568,0.054931435,0.131445201714185,1.11958557970569,34.842574947063
"T0491",0.051176384,0.051876906,0.052647677,0.05394692,0.0522772411414569,1.62316338709347,44.1670667440599
"T0492",0.052770167,0.051959714,0.055623046,0.054028638,0.146902073476185,1.0498128916196,33.5506298927564
"T0498",0.037708951,0.036411448,0.03988572,0.040611099,0.376396839467887,0.31495782126161,19.9436957208975
"T1917",0.031045027,0.031159387,0.032081962,0.033800445,0.27562395744205,0.595891196280874,25.1455948364647
"T1998",0.032796049,0.033108878,0.033905367,0.037463395,0.459887665877441,0.100716728150916,15.9767033594728
"T2329",0.060575495,0.055846309,0.063599343,0.058247236,0.416885808934184,0.209866821853308,17.9977796230375
"T2330",0.050773868,0.045377456,0.053086743,0.048916118,0.476322735816012,0.059384985696108,15.2113846980437
"T4072",0.080264456,0.075621431,0.0797074,0.075666153,0.182119520913016,0.907317274312514,30.9121116832661
"T4074",0.080264456,0.075621431,0.0797074,0.075666153,0.182119520913016,0.907317274312514,30.9121116832661
"T5530",0.059426278,0.054885625,0.058415777,0.057498505,0.202011083362991,0.834459382253653,29.5630394904834
"T5716",0.182329228,0.157952604,0.184191481,0.17318624,0.490432259243705,0.0239850690081828,14.5559026098174
"T5744",0.148548825,0.138293993,0.148741125,0.136448256,0.338527586766496,0.41648495600152,21.8236215658541
"T2818",0.04046783,0.042306492,0.042454595,0.044202144,0.230564262393151,0.736989845173641,27.7582460988243
"T2414",0.048143069,0.052304304,0.047886147,0.046952897,0.364329991466644,0.346908603480346,20.5353119564335
"T5668",0.071586313,0.076734331,0.071251159,0.077769098,0.33734024692994,0.419733028795717,21.8837644627039
"T5670",0.060346094,0.065080425,0.060180195,0.06724332,0.417603120424118,0.208029106405081,17.9637515892941
"T2670",0.049308231,0.047993032,0.053022888,0.049879769,0.306721617531581,0.505164595226093,23.4656569303582
"T2671",0.042626101,0.042378624,0.04698537,0.047394224,0.448086238212912,0.130497949382856,16.5281469477482
"T2679",0.066408896,0.065522981,0.068121614,0.06504984,0.0298710599948795,1.88269200180713,48.9726248990879
"T2682",0.070725888,0.069266848,0.069870455,0.075475239,0.273654598862768,0.601797112049953,25.2549516475366
"T2684",0.067766021,0.067861255,0.068277376,0.068312974,3.86081047802779e-35,12.3128815461045,242.103091373421
"T2685",0.061941921,0.062083348,0.063251853,0.066434946,0.190023274873977,0.877810528743265,30.3657504199615
"T2686",0.07468158,0.080080738,0.075921477,0.072907263,0.280455280617237,0.581489546955277,24.8789268875804
"T2687",0.075437734,0.075951155,0.075528097,0.078073894,0.00516645011918202,2.56448514489941,61.5970385979171
"T2436",0.041415715,0.041840257,0.042092214,0.044454399,0.179359414051651,0.917809079277511,31.1063830508612
"T5527",0.056786602,0.058129206,0.056680243,0.055730875,0.00941889853904104,2.34872533348651,57.601924909176
"T5533",0.056104347,0.05366667,0.055187523,0.052592161,0.132012826837678,1.11692673208793,34.7933424303843
"T5529",0.05406797,0.059259562,0.054041522,0.05461898,0.335026699460753,0.426074722005806,22.0011903409873
"T5531",0.07411188,0.066128157,0.071555257,0.067896778,0.386275024887853,0.289040938175799,19.463806098694
"T0071",0.073060285,0.070184577,0.073803176,0.078731725,0.358648471503339,0.362073718098372,20.8161166002875
"T0602",0.069943347,0.068979295,0.074472582,0.065171774,0.412287801709216,0.22166381163364,18.2162184279693
"T0587",0.065170322,0.072245088,0.068801482,0.061475248,0.493328238084228,0.0167244066791699,14.4214606520218
