"","cra","phoB","pitB","sbcC","sbcD","pval","z","inv_cof_var"
"T5721",0.115984852,0.110860849,0.111493201,0.123073085,0.111030927,0.396191362929219,0.263217782013219,20.6624138747383
"T5722",0.079239623,0.082362634,0.081778976,0.099920911,0.089021891,0.491344695457535,0.0216973333958775,9.44240502256615
"T5662",0.096195194,0.117085472,0.105591904,0.087154025,0.104936516,0.474970004118053,0.0627821146183634,11.3510285434515
"T5664",0.053984412,0.049572419,0.049733501,0.050378078,0.060526639,0.479315359920567,0.0518719562654924,10.8441891681581
"T5670",0.071756255,0.064917024,0.061478241,0.067684423,0.06296178,0.451442697392146,0.122017202068998,14.1028377975339
"T5731",0.094675649,0.123066328,0.108958055,0.110335149,0.103085199,0.446891012263114,0.133520156352075,14.6372159407558
"T5733",0.087065474,0.088024163,0.086903259,0.103905618,0.091754311,0.473119659173657,0.0674300862205022,11.5669534592059
"T0602",0.070416179,0.022250928,0.075927226,0.064211672,0.074636795,0.456511785069962,0.10922558206758,13.5085937470977
"T4087",0.094032134,0.176867249,0.083860615,0.099023763,0.092756792,0.446884811010186,0.133535839782265,14.6379445259608
"T4095",0.066715349,0.180248342,0.072403219,0.070688724,0.066400752,0.374665492874154,0.319521638195866,23.2780506392329
"T4102",0.119386522,0.144502895,0.099669249,0.105377677,0.106044446,0.461810614599299,0.0958732637262721,12.888302045736
"T4838",0.090237938,0.081386205,0.083874947,0.095814329,0.088857747,0.416169420437279,0.211702880305542,18.2692514883324
"T4840",0.076967815,0.078970927,0.080928799,0.080627028,0.084072513,0.338831760691128,0.415653569300347,27.7439297154911
"T4842",0.084062949,0.08282527,0.09458603,0.078682105,0.079124145,0.474773148649419,0.0632765392316671,11.3739974000008
"T4104",0.077513721,0.125333282,0.09910068,0.083508844,0.084223136,0.491926448395722,0.0202387743036837,9.37464659457583
"T4835",0.07833653,0.116622945,0.080520008,0.073198488,0.08786253,0.459645280319465,0.101327406844288,13.1416782481051
"T4839",0.088969132,0.089115568,0.094761509,0.0790285,0.079556914,0.476218515235503,0.0596466910383814,11.2053701508637
"T4850",0.07394568,0.086793978,0.073704816,0.073395007,0.090636292,0.493524828426147,0.0162315608594304,9.18848856706942
"T4852",0.112714741,0.119758159,0.094949687,0.094982383,0.095645038,0.47491327576516,0.0629245926669536,11.3576474652678
"T2259",0.066973648,0.059414422,0.066120345,0.053877219,0.062465625,0.482933002662008,0.042793675837126,10.4224510198899
"T2771",0.053345225,0.057668393,0.052241954,0.061403119,0.052492216,0.464908497383035,0.0880750899475161,12.5260321868925
"T2769",0.073870168,0.072976272,0.070108892,0.069532981,0.068791681,0.311978698586123,0.490249443583619,31.2093355417278
"T6000",0.082288781,0.101259214,0.102718431,0.081559136,0.082440548,0.499814796174126,0.00046423716318166,8.45600602797284
"T6002",0.078972383,0.090472637,0.094773935,0.082504165,0.074651199,0.490308767015395,0.0242947083261709,9.56306797213062
"T6008",0.077391914,0.090962613,0.097098593,0.078616135,0.078779415,0.496939244998633,0.0076722502966351,8.79085954297296
"T6016",0.078796933,0.096872547,0.098959747,0.081318321,0.086490441,0.489724773679115,0.0257590211757427,9.63109369512261
"T6018",0.081593241,0.084697346,0.096300084,0.081660274,0.077584335,0.484531442734302,0.0387836436887431,10.2361620474243
"T4801",0.092420722,0.090904545,0.089550032,0.084537759,0.109282483,0.497239181558038,0.00692040080592596,8.75593182571526
"T4803",0.098039458,0.104486926,0.099934001,0.08949346,0.115066252,0.491209992406116,0.0220350646050197,9.45809457257289
"T5743",0.120994865,0.132159161,0.151093564,0.14710648,0.12708007,0.493036180030379,0.0174565945939514,9.2453984039972
"T5759",0.100455359,0.09099809,0.09161687,0.11115005,0.091604331,0.481140691106087,0.0472908981248097,10.6313727661307
"T8318",0.038977374,0.040783264,0.047820871,0.047747587,0.039763008,0.495565626787654,0.0111155541681483,8.95082073938621
"T2149",0.069813547,0.055089132,0.062789594,0.058781311,0.056538887,0.481091795021507,0.0474135999190893,10.637072967608
"T7301",0.082586007,0.085013418,0.081724545,0.084185582,0.0759088,0.381244936859438,0.302212765206052,22.4739543017234
"T7302",0.074546911,0.088052229,0.079470507,0.086493293,0.075256254,0.44894047427499,0.128338689381964,14.396507108006
"T7303",0.078067983,0.086030612,0.080746022,0.09176828,0.070408727,0.494490530952753,0.0138106299044319,9.0760224512557
"T7305",0.081213766,0.086515421,0.067060825,0.081539848,0.065550872,0.499745160277121,0.00063878849831158,8.4641149377423
