"","dgcN","gfcA","ybhL","yfiB","yfiR","yjjQ","pval","z","inv_cof_var"
"T1706",0.067738782,0.070473395,0.06955181,0.018435679,0.086013788,0.066671053,0.482864532568918,0.042965462764728,2.43274765234541
"T1916",0.031134074,0.036365524,0.065354974,0.036643896,0.033843868,0.046833274,0.432599420293497,0.169760057266759,2.90931738164428
"T1917",0.035307816,0.031349818,0.043765764,0.047221988,0.031057813,0.047554318,0.224509844257438,0.757050365863371,5.11670472719276
"T2326",0.05754371,0.056908311,0.054222545,0.053865432,0.055474213,0.06356244,5.39624912915136e-18,8.5651609513537,34.4642424726061
"T2327",0.059273858,0.058500347,0.052431849,0.053863413,0.05131999,0.067066679,0.000266912105600812,3.46318349694013,15.2879674595586
"T2328",0.057664746,0.057143249,0.054962838,0.054914726,0.056150317,0.06289778,2.49858341237176e-30,11.3844690722463,45.0608843346719
"T2937",0.057431669,0.023379785,0.042285471,0.059363289,0.033674795,0.052255957,0.443263926142057,0.14269906867015,2.80760604244488
"T2938",0.025693662,0.023224516,0.051705979,0.056990525,0.034396986,0.051420031,0.473834974160686,0.0656330844355727,2.51794609764152
"T4072",0.073966509,0.163846441,0.162706079,0.074048658,0.123033431,0.175118897,0.457221578878111,0.107435922029725,2.67506610007073
"T4074",0.073966509,0.163846441,0.162706079,0.074048658,0.123033431,0.175118897,0.457221578878111,0.107435922029725,2.67506610007073
"T4075",0.063202921,0.149916277,0.107015156,0.06269369,0.093727023,0.155555328,0.460989234588353,0.0979418487992893,2.63938170889347
"T4077",0.066997458,0.151888481,0.132070002,0.090698357,0.115351695,0.156722454,0.389308230625468,0.281122477854689,3.32788379484264
"T4083",0.06160606,0.144910102,0.135098347,0.12275554,0.105477561,0.150089212,0.374075079281565,0.321079482275387,3.47806605501826
"T4085",0.0608674,0.14398816,0.131278569,0.121143312,0.10370877,0.149458842,0.374039343774888,0.3211737976742,3.47842054855371
"T5142",0.070071486,0.171009665,0.204387797,0.13795869,0.084988758,0.179501356,0.490517764145032,0.0237706788956302,2.36060220333497
"T5150",0.070071486,0.163005617,0.210804382,0.136273506,0.084988758,0.171529478,0.495554976570074,0.0111422519579086,2.31313704103198
"T5152",0.070071486,0.171009665,0.204387797,0.13795869,0.084988758,0.179501356,0.490517764145032,0.0237706788956302,2.36060220333497
"T5528",0.059337796,0.078782078,0.108036518,0.103723042,0.111738774,0.211127985,0.313002144920475,0.487358510970364,4.10304184365075
