"","fis","hns","lrp","rrfH","rrsG","rrsH","pval","z","inv_cof_var"
"T6895",0.062663677,0.287404347,0.292417589,0.06026935,0.059920018,0.060196076,0.44670788883034,0.133983302994426,326.404672630304
"T6897",0.093389524,0.246538737,0.079758352,0.084411907,0.084499787,0.084436764,0.0358254256763347,1.80133019484385,1864.21772382934
"T6899",0.08360244,0.301492676,0.299297231,0.065644085,0.0653347,0.065517273,0.406446095948317,0.236696575422805,421.138295035969
"T6901",0.095630138,0.241008222,0.104153594,0.095667752,0.095686883,0.095676439,1.34315301976546e-26,10.609692877873,9988.27106862068
"T2112",0.117339906,1.093858969,0.279868142,0.111714341,0.110929945,0.111588762,0.473374970534193,0.0667886728026273,264.430298980425
"T6058",0.070654628,0.19824534,0.370691946,0.088311189,0.087614498,0.088042712,0.479429551642448,0.0515853368464388,250.408088863574
"T6069",0.075517624,0.155160058,0.383356993,0.094056653,0.093402027,0.09384506,0.466362042026312,0.0844180155781698,280.690042850652
"T6030",0.080427955,0.183139564,0.328581421,0.102201205,0.101385258,0.101942429,0.482091638171033,0.044904692754997,244.246454638293
"T6041",0.082576373,0.182639173,0.277369828,0.106596715,0.105714694,0.10642742,0.489554243401897,0.0261866213961018,226.98256398081
"T6054",0.072267673,0.167434313,0.392446856,0.092041364,0.091230973,0.091872149,0.494933513662424,0.0127001393069421,214.543827762897
"T6036",0.095482665,0.198204794,0.277511661,0.124518312,0.123483031,0.124281262,0.488773520705793,0.028144325516385,228.788176814752
"T6047",0.082085682,0.174600415,0.092606782,0.104582224,0.104006687,0.104442641,0.437653192073131,0.15692192008772,347.561220745733
"T6060",0.084103788,0.172171507,0.346189582,0.106569414,0.105716096,0.106247446,0.481161944620081,0.0472375639271149,246.398088322193
"T6038",0.079434491,0.210114691,0.335983518,0.103568552,0.102917099,0.103369164,0.453994262126047,0.115576076192802,309.427477452569
"T6049",0.080245149,0.180199932,0.092208352,0.105177437,0.104294108,0.104995817,0.49053828688771,0.0237192215041789,224.706852924595
"T6062",0.070337376,0.197561857,0.381299517,0.087555181,0.086946988,0.087396515,0.46807179284266,0.0801177751259469,276.723882045693
"T6073",0.07554691,0.158163441,0.377181116,0.092516624,0.091844458,0.092332266,0.472888580338992,0.0680106446785776,265.557337575825
"T6032",0.081668166,0.205510275,0.340624912,0.105444959,0.104725276,0.105258777,0.466025515848391,0.0852646030480916,281.470860127843
"T6043",0.079892897,0.183316292,0.252691064,0.10447972,0.103553037,0.104209211,0.493259675399546,0.0168962921280431,218.413987358755
"T6056",0.069591427,0.187617836,0.373100086,0.088057701,0.087428087,0.087893488,0.471482912317199,0.0715427217146243,268.815012502635
