"","araC","araE","araF","araG","crp","ygeA","pval","z","inv_cof_var"
"T0586",0.051476192,0.053379688,0.052579793,0.061182753,0.907545661,0.068203363,0.268011303980375,0.61883872547423,8.00251573221574
"T0587",0.089306237,0.093540206,0.078211986,0.072293747,0.511349235,0.113063878,0.475174454795202,0.0622686300309749,4.9025534107414
"T0588",0.08718516,0.089410675,0.081452192,0.078610873,0.547941824,0.100431234,0.214965034068836,0.789311326694514,8.95200735052795
"T1096",0.099233513,0.107541842,0.096102649,0.104578617,0.265010492,0.115694883,0.0625077943088507,1.5340571707965,13.1000635876352
"T1094",0.106237164,0.118832662,0.08072676,0.074247467,0.21575702,0.093056317,0.492666727065945,0.0183828245755343,4.65811997015011
"T4090",0.127575441,0.210495504,0.129607655,0.153690857,0.110643497,0.153687537,0.488751606348374,0.0281992784667083,4.71279527060601
"T4099",0.083460999,0.173755387,0.170222331,0.11031383,0.078523888,0.140916834,0.466041428693324,0.0852245702730946,5.03041250771267
"T6967",0.109137607,0.077034327,0.098861222,0.077935133,0.291018049,0.068688425,0.378718475420009,0.308848267229801,6.27594301758043
"T6971",0.080195705,0.071102851,0.09657405,0.077988266,0.250660416,0.091531471,0.320649109775815,0.465884439786665,7.15059694171397
"T6968",0.095155557,0.067357255,0.087256449,0.064094996,0.288427689,0.058497566,0.430092000388181,0.176139943899769,5.53678939535518
"T7008",0.06815311,0.11107826,0.078408326,0.087244424,0.413100288,0.073459656,0.450744198239733,0.123781352907708,5.2451645656891
"T7012",0.073792751,0.108308552,0.082305975,0.090436393,0.363575829,0.072647962,0.408224425922994,0.232114797661923,5.84855594377982
"T2259",0.070995101,0.075481843,0.078840009,0.054365839,0.136701086,0.05381826,0.475302092883059,0.0619480711159729,4.90076797425019
"T0412",0.038167564,0.042283356,0.039546703,0.057792926,0.471919585,0.054727307,0.440574685999913,0.149512341137629,5.38848001626775
"T0410",0.06600944,0.073102147,0.058732838,0.061878131,0.352844951,0.088731265,0.453531059269109,0.116745013487051,5.2059738379376
"T1770",0.086846004,0.09260298,0.079358504,0.094130744,0.33692606,0.111572313,0.321264260177525,0.464166416344471,7.14102796202603
