"","bacA","cpxR","dsbA","dsbC","ftnB","kbp","ldtC","ldtD","lysS","mzrA","ppiD","prfB","recJ","sbmA","slt","srkA","xerD","yaiW","yccA","yebE","yidQ","yqaE","yqjA","pval","z","inv_cof_var"
"T4104",0.068009311,0.219370396,0.082279296,0.083409369,0.142719617,0.125537883,0.085017286,0.092983813,0.237108536,0.06828664,0.080129477,0.106994607,0.101267256,0.151189104,0.118824475,0.273258323,0.074326087,0.076292919,0.086776391,0.081522436,0.207247245,0.094560753,0.083064342,0.0692604485162894,1.48132159342087,2.01396389569127
"T4106",0.065583949,0.250477235,0.083045062,0.07711977,0.142016083,0.129513286,0.141879391,0.088986161,0.133928401,0.067584266,0.083436197,0.103193633,0.132998348,0.177687652,0.13504163,0.312584821,0.128736417,0.040196035,0.210152058,0.05450506,0.27613461,0.118082269,0.045564817,0.167739764602292,0.963135498626217,1.78850511259041
"T4108",0.04349875,0.263192589,0.074331082,0.244584025,0.049997028,0.044193037,0.144062691,0.066271925,0.085599409,0.068761986,0.049238193,0.154247193,0.159682545,0.184215342,0.13766245,0.322479542,0.054361868,0.071698273,0.049361475,0.048106032,0.264251538,0.080305068,0.188410238,0.41877267339538,0.205034274333244,1.45866110246872
"T4110",0.068485021,0.259099445,0.090476136,0.126010983,0.062507137,0.109815898,0.142226985,0.087972506,0.067538479,0.075075547,0.091746557,0.118326898,0.135817186,0.173147993,0.144469129,0.298194483,0.119010302,0.059824998,0.202204366,0.059476076,0.270223731,0.119109294,0.118943543,0.108522616050143,1.23442324378795,1.90654032331635
"T4112",0.038169607,0.247014788,0.108646489,0.218471756,0.169304196,0.087365313,0.141823138,0.102493741,0.043940653,0.081503697,0.098041128,0.341025556,0.135193922,0.175957101,0.140081315,0.266210235,0.148687329,0.101392655,0.204739712,0.063924487,0.251132286,0.119950773,0.138351807,0.0921672734353955,1.32752659971242,1.94704887717412
"T4114",0.074544541,0.277459679,0.055786235,0.063991889,0.158911621,0.038013299,0.12355958,0.081073222,0.041782189,0.05710907,0.08158687,0.307089599,0.110344639,0.165169737,0.060398086,0.320859654,0.163529324,0.082460309,0.231854787,0.048750792,0.252361922,0.12205103,0.077370267,0.414366937803905,0.216325702562498,1.46357391601893
"T4116",0.107579034,0.261386273,0.085430167,0.210635071,0.168336177,0.051531294,0.154031812,0.071656846,0.106413079,0.061123624,0.05555574,0.060148937,0.0521109,0.162244916,0.140224646,0.314317469,0.064523454,0.083070824,0.231609553,0.052244205,0.249839276,0.114454582,0.166192181,0.231861090914551,0.732731542339199,1.68825812385814
"T4118",0.064365471,0.230091006,0.091325079,0.207770935,0.144430192,0.085721785,0.162744346,0.097611464,0.060519282,0.057212033,0.078824512,0.233307254,0.120330568,0.163345638,0.128913811,0.284046308,0.108617086,0.099103386,0.204988407,0.072258648,0.249746852,0.112418861,0.125169737,0.0526697796234827,1.61950077792665,2.07408459576695
"T4833",0.071895894,0.236014293,0.08684032,0.218146672,0.119278776,0.137202628,0.123042792,0.069769101,0.122553967,0.069920374,0.119801508,0.4230357,0.141408655,0.122115552,0.137539846,0.124569699,0.080887941,0.114674302,0.199081025,0.083203992,0.237802202,0.109465689,0.190552085,0.1435359377085,1.06456709827093,1.83263722121623
"T4835",0.075520423,0.231076295,0.073118077,0.209855553,0.075468648,0.146935847,0.136960981,0.094314485,0.086326911,0.092312602,0.121312465,0.376890596,0.136002573,0.097564826,0.142399574,0.080374392,0.096282581,0.14556727,0.20953889,0.07547196,0.240852174,0.120058763,0.199318203,0.102562680167982,1.26708370806647,1.92075064004564
"T4837",0.093605175,0.236687329,0.106555483,0.225088655,0.104780818,0.131374865,0.080627566,0.098384514,0.174033195,0.093052787,0.138716909,0.369700408,0.161192631,0.102288311,0.151033237,0.101896571,0.084714775,0.085538872,0.224925912,0.068647192,0.239986943,0.133293599,0.21386352,0.0646068574276587,1.51720983157499,2.02957859200045
