"","bacA","cpxR","dsbA","dsbC","ftnB","kbp","ldtC","ldtD","lysS","mzrA","ppiD","prfB","recJ","sbmA","slt","srkA","xerD","yaiW","yccA","yebE","yidQ","yqaE","yqjA"
"recJ",-0.0439958069365911,0.105088089650412,-0.0210302117726589,0.00226712658784661,0.14816323125953,-0.0775749565444689,0.204925155302035,-0.0308219389197349,0.0297359172366632,0.010677762456568,0.168902743657624,-0.0918095051911707,1,-0.164773412607218,0.177872692464672,0.0730984089518328,0.120361660524229,0.00164433266757355,0.159066570904277,0.095489540465691,-0.0681638768049434,-0.131223191528446,0.111763278329575
"sbmA",0.17773954534591,-0.0971915661135339,-0.401559383438323,-0.232633610529377,0.16044953541777,-0.302224016649754,0.171089132852108,-0.265268891115725,-0.323330519199018,0.0150324766692623,-0.405497925894632,0.20691839275109,-0.164773412607218,1,0.235559066222007,0.00729137534839888,-0.33496810901749,0.354023528274771,-0.146588621333674,-0.0945349405947666,-0.206706871798169,0.0365225405300367,-0.0370608228730258
"slt",0.0805437701950094,-0.124476050232754,-0.0520095222164167,-0.0282458785773303,0.126708595067882,0.0330985478123642,0.23792723557782,0.0244671591627449,-0.231187724969787,0.0245247988045228,-0.120427749868649,0.111954323683497,0.177872692464672,0.235559066222007,1,-0.07641790568807,-0.120540118346661,0.257391002328382,-0.0130808830626043,0.0924651912165776,-0.164090355044253,0.0337984877397135,-0.0688584012114121
"srkA",-0.00856266485680866,0.117979569517436,0.157324032030316,0.0564512823987641,-0.0179692760961729,0.0120784090729696,-0.0246319701443609,0.0170169863345327,-0.166124966122727,0.0423131218707303,0.284993381733954,-0.118152723333744,0.0730984089518328,0.00729137534839888,-0.07641790568807,1,0.412048688894606,-0.208782995613865,0.25250195048788,0.0442811955139784,-0.090539630349256,-0.0102031190880523,0.114050919158234
"xerD",-0.0945764023798595,0.104469795340397,0.385708365313334,0.0965384358156499,-0.128918119434609,0.223347527364405,-0.114553221351768,0.169325421822534,0.0603628000974364,0.00200364426044588,0.52936437083803,-0.281377940335222,0.120361660524229,-0.33496810901749,-0.120540118346661,0.412048688894606,1,-0.317473165520529,0.239419429970414,0.208268561334598,0.034953893530217,-0.0452594305395357,0.0113911649615326
"yaiW",0.199506643071943,-0.0915857980582918,-0.177852534154916,-0.0337012267318069,0.209619219436985,-0.062725223571401,0.283258426347914,-0.12878833463519,-0.124479587000069,0.00439417618576039,-0.284186627319415,0.294613634562025,0.00164433266757355,0.354023528274771,0.257391002328382,-0.208782995613865,-0.317473165520529,1,-0.128443193358028,0.227337701025968,-0.135713098801301,0.255534311195815,0.0734707650041056
"yccA",-0.170254403994714,0.0201264320633298,0.15602904433773,0.00715458782641562,-0.0868909793087467,0.147334827612805,0.0222449135450235,0.125510637852818,-0.0274808990751279,-0.06700192373423,0.363403754768643,-0.186226852176161,0.159066570904277,-0.146588621333674,-0.0130808830626043,0.25250195048788,0.239419429970414,-0.128443193358028,1,0.0387383197207843,-0.0410277600227935,-0.115598540037057,-0.0030803145881299
"yebE",0.0822794752379814,-0.0402787998807923,0.256778100188166,-0.0451191031826505,0.176909487670183,0.083295124251169,0.105399580217431,0.0301424461526529,0.128603890030015,0.363527297759899,0.0884934723206661,-0.0729287950940312,0.095489540465691,-0.0945349405947666,0.0924651912165776,0.0442811955139784,0.208268561334598,0.227337701025968,0.0387383197207843,1,-0.0692755031231204,0.139905000790628,0.0816192162391098
"yidQ",-0.272520081802957,0.291500593568136,0.0762353735121946,-0.012765997397862,-0.0431588175906104,0.106905164084843,-0.124129561329163,-0.055963415453535,0.222260619526765,-0.151922883659371,0.0204334967215296,-0.253041342273226,-0.0681638768049434,-0.206706871798169,-0.164090355044253,-0.090539630349256,0.034953893530217,-0.135713098801301,-0.0410277600227935,-0.0692755031231204,1,-0.110157269209556,0.00604323912404263
"yqaE",0.0122139235803446,-0.0539889033753925,0.019667861233702,0.132136893964796,0.134525465484072,0.20688492245708,0.031831855019489,0.143968106122184,-0.0257194080025406,0.0452755404994951,-0.154893850524041,0.24680049401119,-0.131223191528446,0.0365225405300367,0.0337984877397135,-0.0102031190880523,-0.0452594305395357,0.255534311195815,-0.115598540037057,0.139905000790628,-0.110157269209556,1,0.116383177257574
"yqjA",0.0203894614029044,0.152273338479099,-0.0647529253462902,0.0624708387019902,0.196468739655457,0.0444434923985707,-0.0631363604308811,-0.0248529538225579,0.127884028760847,0.144337822853842,-0.0315437861073857,-0.0970007320759298,0.111763278329575,-0.0370608228730258,-0.0688584012114121,0.114050919158234,0.0113911649615326,0.0734707650041056,-0.0030803145881299,0.0816192162391098,0.00604323912404263,0.116383177257574,1
