"","crp","fucA","fucO","fucR","zraR","pval","z","inv_cof_var"
"T1590",1.215377595,0.028886971,0.032461507,0.028241494,0.034644742,0.283298003605977,0.573071907725491,10.2619602414801
"T0150",0.375749885,0.070993185,0.068224282,0.09338487,0.066323382,0.441830314538711,0.146330323155671,5.93927971917086
"T0151",0.326429184,0.070300546,0.06072975,0.06804314,0.05597597,0.303993983659816,0.512947611672485,9.65293095335048
"T0876",0.596239409,0.06625162,0.06239151,0.075070147,0.060634018,0.28287791073694,0.574313284043748,10.2745347676707
"T0877",0.985488373,0.050307998,0.052584419,0.064171917,0.059517027,0.330499373140797,0.438534665970698,8.89916473364393
"T1081",0.255109214,0.071048965,0.063881833,0.087471582,0.059501115,0.449818674111102,0.126119479446592,5.73455390008121
"T1082",0.379690481,0.078991709,0.074925016,0.098590041,0.069946016,0.422891952272215,0.194500627361376,6.42722100090373
"T2298",0.254689344,0.078316995,0.081419444,0.08388563,0.059587667,0.40617952579503,0.23738380611071,6.86160632499001
"T2861",0.328755412,0.05923932,0.049116542,0.061850864,0.068056437,0.379955859395034,0.305596719147915,7.552569289973
"T0836",0.484616034,0.04433825,0.045274074,0.065716386,0.042017093,0.498980652752115,0.00255512741347898,4.48290832088663
"T5131",0.284920468,0.090908151,0.0837867,0.118174753,0.078230484,0.469253739702308,0.0771458993084789,5.23847583170131
"T5137",0.095598835,0.14004462,0.127768945,0.113937437,0.087289633,0.471651259789918,0.0711196622516683,5.17743304025516
"T0042",0.35789122,0.031187403,0.031989525,0.032161478,0.044279575,0.456182629266061,0.110055627385685,5.57183504884261
"T0058",0.363178824,0.03888759,0.035481378,0.029762813,0.03128074,0.356499685922583,0.367830839825347,8.18297005475099
"T0056",0.261006272,0.083117179,0.078046484,0.079063545,0.072002929,0.107862472794642,1.23797603879006,16.9971091945711
"T0054",0.277164249,0.072779631,0.069663316,0.09681873,0.066698527,0.456974697293004,0.108058365044599,5.55160377227636
"T0055",0.280522693,0.073115179,0.069985229,0.101731002,0.066638425,0.485381424834022,0.0366515380764387,4.82828804384475
"T0060",0.323985033,0.042846076,0.039764262,0.045714054,0.038453853,0.204389858393452,0.826042970161789,12.8244315914509
"T0061",0.271195017,0.042911298,0.040783153,0.039736156,0.03966329,0.0132702656341323,2.21820979395353,26.9263907878486
"T2404",0.456682572,0.036354878,0.03429651,0.031912074,0.03905898,0.238657033160856,0.71062916315441,11.6553469894445
"T0009",0.293811166,0.069699102,0.065479584,0.064318025,0.091663027,0.451561998166766,0.12171593049745,5.68994813406316
"T1863",0.341059989,0.098369012,0.084967473,0.113048044,0.082336367,0.412078596727234,0.222201285489768,6.70781492396247
"T0046",0.264197859,0.085078449,0.078601713,0.06910689,0.070778528,0.283133272445342,0.573558583694828,10.2668900275835
"T0050",0.309581212,0.046854298,0.044750338,0.036245466,0.038089329,0.359145365796224,0.360744130474867,8.11118520512714
"T0051",0.324752963,0.044678891,0.04150738,0.05101839,0.032462805,0.459345952185573,0.102081601779359,5.49106212579221
"T1865",0.3420118,0.114051419,0.114099332,0.075858149,0.101294708,0.454130146817671,0.115233188035156,5.62428116935628
"T2817",0.052005117,0.057933982,0.055377115,0.085839835,0.072244156,0.486089246013796,0.0348761582217833,4.81030432677824
"T2825",0.329499873,0.046877449,0.044658425,0.061196083,0.050191771,0.404192201572599,0.242510782253159,6.91354004954523
