"","bcsA","bcsB","bcsC","bcsZ","cheB","cheR","cheY","cheZ","fnr","iraD","pdeF","pepT","pitA","ravA","tap","tar","upp","uraA","viaA","xdhA","xdhB","xdhC","ydeJ","pval","z","inv_cof_var"
"T2649",0.058452245,0.068496521,0.096870064,0.074353926,0.090198099,0.086516904,0.113305288,0.09085395,0.283116592,0.059246476,0.099055926,0.072617536,0.123467723,0.06350122,0.099049797,0.119045969,0.17516932,0.075209227,0.176673498,0.088081056,0.073299176,0.086559941,0.07519202,0.0158192664995408,2.14894786417774,2.93027801374547
"T2650",0.059393838,0.059781922,0.058256349,0.069392179,0.111229887,0.106537057,0.13731775,0.111622762,0.271185928,0.059911705,0.082323975,0.087577969,0.152553348,0.06334616,0.120142651,0.138530437,0.114642841,0.093323746,0.075760186,0.060924554,0.068709343,0.064120508,0.072928255,0.0119138666985736,2.25989556249648,3.0026475500245
"T2651",0.075128014,0.071073991,0.20380547,0.097311613,0.069749322,0.067793768,0.088766465,0.071883418,0.318904965,0.064488116,0.100360454,0.058055841,0.208247865,0.056658035,0.076317501,0.09052496,0.117468894,0.062193255,0.217451804,0.076463635,0.081168972,0.100689366,0.085826251,0.226515724631772,0.750370738592149,2.01800692058305
"T2653",0.07008145,0.073799412,0.146907552,0.094932396,0.090489229,0.084442404,0.121800207,0.09132202,0.28290648,0.063209656,0.081324927,0.070439073,0.204673118,0.072692174,0.098066762,0.121810336,0.249700295,0.075500399,0.204679507,0.069776241,0.073940788,0.069223964,0.071874504,0.225616795489528,0.753360036090352,2.0199567949565
"T2654",0.047740304,0.047986016,0.109527,0.064309306,0.098169787,0.090134654,0.131427175,0.098844711,0.258409948,0.051570559,0.071272036,0.07321315,0.130487701,0.0546786,0.107783394,0.132105546,0.250297634,0.081502637,0.262264459,0.051908975,0.061029215,0.052819758,0.062812586,0.425545898770666,0.187725553562967,1.65100182045728
"T2436",0.046412884,0.041659404,0.026797145,0.041540694,0.083606484,0.076946015,0.121020741,0.08348246,0.145284407,0.041431143,0.042552791,0.047185769,0.141873915,0.121884438,0.093216853,0.063259512,0.183640641,0.071494075,0.044304489,0.042099234,0.20585874,0.025740301,0.042043056,0.493102962999526,0.0172891692510259,1.5398286975837
"T5731",0.118385247,0.129157736,0.203795003,0.206952847,0.203250689,0.150224369,0.205805866,0.0958418,0.251014952,0.142382852,0.126674592,0.11360386,0.115016123,0.098093517,0.142329003,0.099055332,0.123977992,0.151104034,0.127317424,0.121533366,0.157248252,0.012085386,0.092568629,0.0153112139152292,2.16194484441109,2.93875575097453
"T5733",0.095753815,0.109526333,0.093493916,0.304067278,0.091340144,0.120664409,0.216631156,0.286489994,0.123595253,0.120810941,0.128921845,0.091027017,0.142895763,0.088575852,0.277922601,0.175252601,0.145181481,0.131030774,0.109894741,0.086865435,0.213551028,0.280243868,0.193315576,0.156777126751214,1.007792153607,2.18591908744384
"T5735",0.101762668,0.119533846,0.104117935,0.341805323,0.086855743,0.086918336,0.215888413,0.227226026,0.180904762,0.13271111,0.15922883,0.097983507,0.092797359,0.089015331,0.151983349,0.089394857,0.119017574,0.090839024,0.123713621,0.086889938,0.231232351,0.330501856,0.242082931,0.278361779801878,0.587715068500663,1.91190904206863
"T5762",0.082681707,0.117652069,0.060091364,0.068653757,0.054362751,0.182122891,0.226414178,0.247800047,0.085125492,0.052846049,0.187476135,0.144521349,0.131985731,0.069112832,0.14824799,0.054877868,0.136517228,0.117051269,0.110481991,0.103786453,0.097469885,0.167547024,0.052741984,0.200443295549248,0.840038873300244,2.07649611347453
"T5764",0.09509303,0.119910912,0.119880848,0.116463821,0.084874866,0.190367421,0.073676333,0.23767021,0.07899209,0.093891884,0.188619435,0.069378038,0.116551909,0.081602335,0.119784809,0.063720985,0.14451823,0.125301563,0.122215813,0.072710118,0.120718027,0.170382547,0.065034047,0.0531876020804929,1.61470218496578,2.5817974895928
"T5766",0.093677488,0.122200764,0.072889735,0.129805542,0.074868928,0.183507304,0.071142726,0.233336159,0.14139391,0.072641685,0.180983738,0.127875898,0.112711799,0.080253629,0.119818742,0.058897933,0.129265869,0.124347552,0.118304501,0.056309714,0.07301828,0.167342528,0.057923101,0.0980426798101829,1.29278520266673,2.37181582181274
"T5768",0.092274834,0.131957313,0.066708891,0.073263903,0.103469851,0.183954401,0.31839589,0.246334623,0.041994388,0.065319697,0.06550595,0.063728114,0.093252128,0.088095181,0.080439698,0.076193298,0.162022441,0.132357166,0.125894915,0.12169861,0.066635894,0.172449361,0.064324009,0.340860300630735,0.410116347581874,1.79606403337167
"T5770",0.092186726,0.12004948,0.06415721,0.091401324,0.056162428,0.189428757,0.174777354,0.235159936,0.052652959,0.058182948,0.07630083,0.104920757,0.084183697,0.081817063,0.092276679,0.062550825,0.14315319,0.121316103,0.118600198,0.083807662,0.214563155,0.161719017,0.055894631,0.172532975765913,0.944202943145077,2.1444407896223
"T5772",0.089572077,0.126501736,0.049839777,0.107569298,0.051228424,0.214629141,0.139913484,0.238564393,0.125168527,0.048099599,0.190124022,0.101361513,0.107531728,0.091636778,0.107479315,0.048555151,0.151312972,0.13134059,0.138696691,0.070902327,0.049727079,0.171556485,0.049470373,0.231878540700253,0.732674334399246,2.00646381888149
"T2432",0.064712922,0.057817264,0.254545445,0.046194862,0.315386265,0.274655323,0.273697722,0.303645698,0.095549511,0.053511245,0.047831153,0.04971845,0.210103097,0.211279206,0.250985771,0.310731495,0.248042413,0.089029153,0.059346321,0.136598507,0.317113753,0.155767524,0.054155878,0.452109253114517,0.120334082632265,1.60704336458733
"T2433",0.053683867,0.045719862,0.246522445,0.044935767,0.220459936,0.194713133,0.211712629,0.227273658,0.071032742,0.045883543,0.053574917,0.05338293,0.180821668,0.221612308,0.197323776,0.290314634,0.099366443,0.082033037,0.05067128,0.159028968,0.2807368,0.136833999,0.04974676,0.427196715795974,0.183515661187357,1.6482557701685
