"","aaeR","amiB","ampD","ampE","arfB","comR","cyaA","hflC","hflK","hflX","hfq","miaA","mutL","narQ","nlpE","rof","sohB","speC","spf","trxA","tsaE","yaeP","yaeQ","yjeF","crp"
"hfq",0.0550187105580593,0.0807127603934598,0.316660938242532,0.0321697766978919,-0.16441936502905,-0.0844670174481074,-0.107253227966312,0.09843571736762,0.286602359385183,0.292627805948835,1,0.100856367022809,0.0495903059102717,-0.06060243848795,0.0667892340754033,0.179243984054793,-0.342055088588189,0.163949451681428,-0.104619819513326,0.266663440294941,-0.0281420242384359,-0.135645187475091,0.181764464636345,-0.305035612753587,-0.209814297618544
"miaA",-0.126677860024392,0.139222484791484,-0.240772140266288,-0.044819224763711,0.0299253531169443,-0.00778408071876597,0.1264634036415,0.227669330897763,0.170018498672213,0.285068932847296,0.100856367022809,1,-0.044627847890579,-0.167248236749521,-0.106022479775221,0.11563844693231,-0.0608616702995343,-0.218805651753314,0.213989102520199,0.167207918198226,0.0617603818937872,0.1558028126582,-0.0753430085855838,0.254582768181097,0.120798690487717
"mutL",0.414095264390953,-0.0516886652691735,0.205877621751111,0.153608932636705,-0.0956748425801524,-0.0681283965397856,-0.278590159308182,-0.00156774037980053,0.105040536596646,-0.130440917831625,0.0495903059102717,-0.044627847890579,1,0.0939894198676622,0.150858322975316,-0.0737386881821305,-0.159223470830169,0.23142841420472,-0.161498605347897,-0.0900458244463039,-0.00320981479709856,-0.143597513069726,0.326049620164497,-0.177014062622338,0.0367274932492977
"narQ",0.244186090164293,0.042597747534666,-0.0660280258352393,-0.0168763240789346,0.0711409516994044,0.0452967220179001,-0.00184806338280787,0.0894287407105774,-0.067053177078752,-0.214548980473803,-0.06060243848795,-0.167248236749521,0.0939894198676622,1,0.052998765833856,0.132684555613583,0.139369322507836,0.222980259014508,0.0591576368161029,0.0902836379096639,0.0265893536210855,0.0876521386648899,-0.151859890455021,-0.09304698614886,-0.271400458219299
"nlpE",0.366462985228095,-0.208666164331437,0.378331204621221,0.330073062205596,-0.0746068223095495,-0.131729185027035,-0.243460684147678,0.177177547075398,0.00322000225320184,0.131590136464429,0.0667892340754033,-0.106022479775221,0.150858322975316,0.052998765833856,1,0.0531616436447461,-0.155268183728423,0.326049194860244,-0.0863377588318523,0.0522804336022309,-0.0970509327489054,-0.127716568229749,0.398454298564588,-0.35834337492389,-0.218764794507658
"rof",-0.00387854690072797,0.225406345332086,-0.05336178993851,-0.0579735176848544,0.13975457361646,0.0168077491631987,0.104480678996776,0.110207648252932,0.186739688500751,0.102891894734523,0.179243984054793,0.11563844693231,-0.0737386881821305,0.132684555613583,0.0531616436447461,1,-0.208373215991791,-0.0552538375283597,-0.0674823956246297,0.096509785035964,0.095589295041923,0.0467144598874761,-0.25260643953102,-0.0660873320238472,-0.177137286345156
"sohB",-0.180837745447394,-0.111951802994557,-0.120229986336868,-0.100830019555831,0.119606022278838,0.230349617995603,0.280047192434936,-0.0196171745130001,-0.218617978737411,-0.0602684514345346,-0.342055088588189,-0.0608616702995343,-0.159223470830169,0.139369322507836,-0.155268183728423,-0.208373215991791,1,-0.18842069052509,0.163254650817653,-0.164543929764791,0.0636059767725392,0.263438118756106,-0.186492515216673,0.348707617105202,0.0682417500375105
"speC",0.410964820616914,-0.217832549495577,0.530910270101845,0.084620036074819,-0.264064515315031,-0.297151768683529,-0.328784647347595,-0.0957332354955917,-0.0397973932833559,0.0913131978774798,0.163949451681428,-0.218805651753314,0.23142841420472,0.222980259014508,0.326049194860244,-0.0552538375283597,-0.18842069052509,1,-0.256453899633786,0.158237469889201,-0.19717324012163,-0.267491805453201,0.358410435562274,-0.467121019323162,-0.247520137753334
"spf",-0.104366760907925,0.00049130448823177,-0.304625591701638,0.0539119297329633,0.0773814570934353,0.126658330580077,0.171903488283065,0.204783828197701,-0.0494221891279014,-0.168973686633473,-0.104619819513326,0.213989102520199,-0.161498605347897,0.0591576368161029,-0.0863377588318523,-0.0674823956246297,0.163254650817653,-0.256453899633786,1,0.0895797837434679,0.0916732840848492,0.353008419210117,-0.18808741066371,0.179039441269698,0.0943494131810491
"trxA",0.170395738731847,0.0886509969715477,0.0746449775460024,0.0479564627231545,-0.0222776736740751,-0.0500817001486268,-0.0633824085854127,0.23967464013702,0.168031797119035,0.0694031203564599,0.266663440294941,0.167207918198226,-0.0900458244463039,0.0902836379096639,0.0522804336022309,0.096509785035964,-0.164543929764791,0.158237469889201,0.0895797837434679,1,-0.0275041046551213,0.00543964357823616,0.042794482003574,-0.142680870332241,-0.119249457508816
