"","nimR","nimT","pval","z","inv_cof_var"
"T5660",0.045245021,0.045293305,0.439300995680436,0.152741678917988,1325.91053499884
"T2650",0.061203922,0.061166262,0.376406954407936,0.31493117771159,2297.63109191294
"T2654",0.051234486,0.051290458,0.441321642531821,0.147619221085611,1295.22052353281
"T2436",0.041583534,0.041714715,0.497455761083999,0.00637750443557468,449.003717984046
"T0070",0.059684587,0.059691852,0.0306896013587552,1.87075388100699,11618.9799767116
"T0064",0.086132157,0.086325157,0.485284295540976,0.0368951697826962,631.843192718231
"T0588",0.078849918,0.07872547,0.467770899122806,0.0808744513716485,895.334801707557
"T0597",0.032513466,0.032444164,0.483225902849265,0.0420588228643696,662.780015913055
"T4097",0.318328072,0.31836552,0.0263074270261911,1.93806859730745,12022.2804005895
"T2769",0.068330707,0.068194767,0.480074863328032,0.049965693654239,710.152188245601
"T0410",0.060111953,0.060073636,0.381468345172025,0.301626649397003,2217.92011333854
"T1821",0.065456197,0.06556511,0.47073797269907,0.0734149197392241,850.64275761041
"T1085",0.056189123,0.056123177,0.44731865165882,0.132438703496741,1204.26999273134
"T1086",0.049341453,0.049379445,0.405896750705339,0.23811293647611,1837.39251475638
"T4796",0.117254884,0.117271746,0.0578632613587079,1.57296672737935,9834.85769433651
"T5745",0.163620846,0.163060572,0.499900021560053,0.000250608787048734,412.295851593037
"T6895",0.300513833,0.300267557,0.413189835838518,0.219347103773445,1724.96140460174
"T0871",0.052441706,0.052585774,0.493028942736859,0.017474738565715,515.49020822759
"T1655",0.057980888,0.058158091,0.496494628144057,0.00878677727334409,463.438314311731
"T8318",0.038978945,0.038997866,0.338036464240055,0.417827930201546,2914.1129873372
"T2146",0.171504049,0.171146449,0.482243589344795,0.0445234266930203,677.54611496856
"T6137",0.156849417,0.156569056,0.474734539076579,0.0633735133197679,790.482012860025
"T1709",0.060568223,0.06066878,0.470612878600553,0.0737293339340457,852.526496932415
"T0152",0.033277736,0.033324946,0.460990669299682,0.0979382352216269,997.568483105534
"T1088",0.04118441,0.041139756,0.440768272793229,0.149021654938646,1303.62287889393
