"","crp","exuR","lgoR","uxuR","pval","z","inv_cof_var"
"T4101",0.05372306,0.359255634,0.057390767,0.059349715,0.496876697446499,0.00782903846874024,42.1389370525334
"T5042",0.287704135,0.320846171,0.087120427,0.086113851,0.408784268984515,0.23067340258487,121.69486726065
"T6958",0.283431667,0.330403207,0.071864017,0.073219006,0.459429458274535,0.101871191848704,75.7121935295001
"T6967",0.291018049,0.336917926,0.067004973,0.066667978,0.24969409998127,0.675452689074962,280.482054966154
"T6971",0.250660416,0.342435753,0.078272234,0.076284746,0.482523540030866,0.0438210094346225,54.9881501864232
"T4100",0.115954894,0.336252991,0.116818355,0.113506286,0.489017724633636,0.0275319598023495,49.172923488447
"T4844",0.293858076,0.338824039,0.065574732,0.065244518,0.250006481387883,0.674469354283169,280.131002273494
"T4851",0.253218823,0.328638475,0.084472473,0.082355446,0.4817042112191,0.0458768290861091,55.7220823428986
"T6960",0.304842559,0.337685458,0.075693235,0.073898841,0.478102888636018,0.0549155075645006,58.9489105243185
"T6961",0.307693495,0.354923872,0.101572253,0.101558714,6.12515171785862e-193,29.6067033793137,10609.0024547314
"T4103",0.316094089,0.343098147,0.084845912,0.084729202,0.00282315918280232,2.76764349001603,1027.39879213341
"T6977",0.316013485,0.347024033,0.095524957,0.094815411,0.336832390942779,0.421123664850031,189.686031555875
"T4841",0.310862073,0.343504882,0.063593343,0.063959807,0.281227857053022,0.579197801489552,246.118847490356
"T4848",0.279589831,0.402758881,0.146915101,0.141760073,0.499717110724027,0.000709098317167621,39.5971026918974
"T4852",0.27059825,0.344222469,0.088944185,0.091492561,0.488019682517146,0.0300347175716142,50.0664135401661
"T2768",0.106236301,0.114082693,0.040136637,0.039776071,0.371163267357705,0.328773975989238,156.716988650568
"T1773",0.296485154,0.087821503,0.074965264,0.077425854,0.495028335005935,0.0124624386337607,43.7930711457006
"T1779",0.31609421,0.074847646,0.072662755,0.072808228,0.0307110185949582,1.87044507732028,707.096977069064
"T1794",0.206625139,0.099979007,0.058389493,0.060287229,0.494551745894866,0.0136571723276479,44.2195937133462
"T1796",0.244707996,0.079344375,0.077018009,0.074525393,0.495925779108052,0.0102127348133638,42.9899219126728
"T1800",0.276086362,0.116097344,0.072825686,0.073821843,0.428036320650856,0.181375763479232,104.095501211306
"T1804",0.179458122,0.210911975,0.071918685,0.071720633,0.0923698367665305,1.32630203359357,512.836708555409
"T1810",0.292009821,0.066709299,0.0642742,0.064422086,0.0533223821335709,1.61345927464144,615.352477882446
"T1813",0.208854023,0.067727969,0.072446871,0.072236653,0.105101917330879,1.25300514396985,486.669557061562
"T1816",0.278547052,0.086549478,0.068448156,0.070289513,0.484433847590221,0.0390284636565423,53.2772007578729
"T1826",0.185571901,0.279267163,0.091114314,0.08835509,0.492570650184076,0.0186236948346675,45.9926532184077
"T1069",0.412707036,0.309251053,0.043497256,0.042696384,0.458995933354506,0.102963591995203,76.1021827946937
"T4806",0.299493354,0.116878048,0.101200075,0.102269352,0.394853604070667,0.266690838763237,134.553171531644
"T0862",0.21875591,0.296403296,0.054978316,0.056042979,0.46162707514701,0.0963354584163313,73.7359244668145
"T0866",0.127057597,0.289704555,0.070007072,0.067775279,0.495183660676505,0.0120730656148991,43.6540641179198
"T0868",0.424366701,0.297611509,0.063050733,0.061751219,0.468113536962441,0.0800128022117679,67.9087001483003
"T1659",0.258156627,0.081420382,0.052851898,0.051570117,0.479602115285055,0.051152212860966,57.6054060027908
"T1660",0.25699215,0.268699392,0.071376614,0.07361004,0.492670772288031,0.0183726829950029,45.9030414372125
"T1653",0.182291266,0.182547025,0.055272664,0.056652559,0.479882219571838,0.0504491889556349,57.3544249157484
"T2458",0.676996759,0.313604004,0.045143428,0.0458856,0.447204182971034,0.132728166946703,86.7282017963763
"T2459",0.735841458,0.308465581,0.034031354,0.034764099,0.469807349533715,0.0757541439467927,66.3883497411793
"T8307",0.20276129,0.231376672,0.050702588,0.050689936,2.80190274028825e-56,15.7628605531593,5666.71998751257
"T2144",1.041819218,0.108623229,0.071725801,0.070024026,0.478158960232947,0.0547747453677484,58.8986581091624
"T2148",0.934919031,0.075470267,0.078132476,0.080510879,0.491260652724958,0.0219080473622833,47.1651743252449
"T2151",0.91510587,0.07540157,0.063988754,0.064555601,0.367322297429012,0.338953719592116,160.351179601814
"T2154",0.973776447,0.224656557,0.056780116,0.056147749,0.403808091571193,0.24350245548906,126.27486748426
"T2118",0.983229039,0.116180977,0.072982373,0.075175235,0.490579735568252,0.0236152959672333,47.7746658481829
"T2120",0.917067505,0.078384509,0.058272686,0.056288733,0.498338052702554,0.00416589613633198,40.8311871487145
"T6058",0.376248813,0.254923223,0.05262637,0.053458221,0.443387453581327,0.142386269594004,90.1761657742808
"T6069",0.356206919,0.182869629,0.054427878,0.053362617,0.464059228227724,0.0902123676286245,71.5499675309195
