"","dsdC","norR","nsrR","pval","z","inv_cof_var"
"T7400",0.077627312,0.072584151,0.07261444,0.407078121437128,0.235067629283419,21.0613034363273
"T7416",0.084512418,0.081394147,0.084120805,0.262465614425489,0.63576250611882,37.6213796539385
"T7426",0.080092628,0.082286188,0.073504567,0.160600834188084,0.991991507107348,52.343752582397
"T7434",0.082557894,0.078362415,0.078224277,0.351340570923384,0.381703718167245,27.1215376657909
"T7223",0.080383138,0.075306523,0.059903441,0.40122705273399,0.250172300263186,21.6855552476866
"T7225",0.075404699,0.068605879,0.079009358,0.464991314399342,0.0878666936538239,14.9777249973369
"T7226",0.076835897,0.069567282,0.066387948,0.47206699266108,0.0700749743234661,14.2424217898689
"T7228",0.067197869,0.074031572,0.08135212,0.468494969853515,0.0790536629633538,14.6134965822023
"T7436",0.074953721,0.068473863,0.082929812,0.458518663718433,0.104166362647183,15.6513641588447
"T7440",0.085493846,0.080977156,0.079385778,0.360897722871999,0.35606024883309,26.0617342312887
"T7238",0.066759099,0.070420538,0.087220346,0.357002307965932,0.366483106822168,26.4924942251964
"T7240",0.064515546,0.065923397,0.053192396,0.0949846497164738,1.31066993773326,65.5142206995665
"T7442",0.076519606,0.086529856,0.08919292,0.498347443104583,0.00414235768599915,11.5175325540339
"T7242",0.076120939,0.077245933,0.074447233,0.0197980201945376,2.05793846868638,96.3976298545315
"T7243",0.07021103,0.062772565,0.097203012,0.48749952649732,0.0313391694996042,12.6415331403812
"T7244",0.070304462,0.076480897,0.07678221,0.447463614849988,0.132072142791238,16.8046652685249
"T7246",0.06047157,0.064744663,0.063197671,0.41027993766646,0.226824932862295,20.7206460212626
"T7253",0.070615192,0.062763196,0.0658313,0.49358128464561,0.0160900276223254,12.0113105786771
"T7254",0.066501573,0.068430406,0.065752719,0.178171474845897,0.9223559289733,49.4658258904843
"T7255",0.072677903,0.067721415,0.0733581,0.41679162463861,0.210108169729834,20.0297690283455
"T7450",0.073699768,0.076490398,0.076651244,0.259048660164187,0.646281108184332,38.0560965968735
"T7452",0.068531921,0.069808782,0.068831097,0.0571481387623288,1.5791734520434,76.6110400469697
"T7260",0.075308054,0.070879232,0.063586693,0.385827349240228,0.290211160673975,23.3402970934161
"T7261",0.074394865,0.071955034,0.087979896,0.226101662413066,0.751746825896008,42.4148254567083
"T7266",0.062934419,0.069972472,0.047012109,0.480636979484636,0.0485549667028431,13.3530344105851
"T7268",0.068286844,0.070930957,0.065262457,0.265556975045648,0.626306459801952,37.2305764348873
"T7270",0.07240727,0.073583938,0.072808225,0.0322823862074816,1.84825977098151,87.731945774352
"T7454",0.080058995,0.079402671,0.083338403,5.17140148900455e-05,3.88240593637758,171.799942357592
"T7456",0.071546547,0.076601934,0.07399017,0.410268937600319,0.226853224543262,20.721815271034
"T7464",0.065992729,0.065728712,0.094871087,7.18726539739794e-17,8.26158950093103,352.784571291856
"T7271",0.073206774,0.071485525,0.075709761,0.122268417007287,1.16372164678516,59.4410836598139
"T7272",0.067719922,0.067910922,0.061957778,7.97719287175632e-33,11.8750472672475,502.12298183485
"T7273",0.064003391,0.064277067,0.057977757,4.77163789772887e-15,7.74519834456524,331.442953512623
"T7468",0.080678232,0.075784842,0.076319694,0.392609752341532,0.27252352569924,22.6092955253296
"T7470",0.070897819,0.065780356,0.073510752,0.427625796942041,0.18242195932313,18.8855423835408
"T7279",0.075821224,0.070245761,0.10069518,0.431052205230059,0.173695962869925,18.5249109537582
