"","accB","fadR","iclR","pval","z","inv_cof_var"
"T0772",0.193957117,0.082164828,0.174823878,0.498992679819309,0.00252497992953589,13.6290328227867
"T0801",0.154344392,0.093813491,0.146618605,0.476366874623889,0.0592741512152203,27.5457990318562
"T0806",0.199973718,0.083256688,0.180345882,0.498875141746749,0.00281960523860549,13.7012846540065
"T0808",0.160253353,0.094307271,0.148398251,0.491216145463554,0.0220196374350607,18.4097650288041
"T0799",0.190800896,0.084037214,0.172513657,0.498310841172801,0.00423410592782873,14.0481668189528
"T0800",0.202980086,0.108819698,0.185142305,0.496135265006552,0.00968760553621351,15.3855445700582
"T0692",0.165124221,0.419525192,0.178109049,0.490758357386804,0.0231674349544886,18.6912427908813
"T0693",0.152085376,0.43984037,0.164714481,0.492309213508854,0.0192791371010284,17.7377040703699
"T0012",0.159986819,0.370039683,0.15077144,0.482379441767162,0.0441825600587473,23.844843738779
"T0711",0.194890553,0.195487827,0.211454342,0.492944974646821,0.0176852478818483,17.3468299285288
"T1706",0.101202906,0.110349819,0.109968599,0.49345269773931,0.0164123897641981,17.0346831880684
"T2000",0.11175403,0.203076371,0.101849204,0.49635712102866,0.00913147033174046,15.249161897925
"T2332",0.384256931,0.37555682,0.377438248,0.393947034872505,0.26904627892222,78.9888349800097
"T2333",0.350434436,0.306549769,0.358418256,0.419584756491358,0.202955885294794,62.7812933377181
"T2334",0.346574118,0.331900674,0.352719596,0.391638114601801,0.275052076720842,80.4616544409602
"T5144",0.141103482,0.156013558,0.147464286,0.469009708225934,0.0777594330279166,32.0789990675183
"T5146",0.15085432,0.167233847,0.163686299,0.492967835507862,0.0176279352681139,17.3327749876706
"T5148",0.154860995,0.164699093,0.16095198,0.461580925763599,0.0964516764461121,36.6629529065
"T5721",0.160000633,0.14954954,0.147511632,0.492840859019404,0.0179462684789472,17.4108407773796
"T2652",0.046504447,0.07216159,0.049499767,0.484299129015506,0.039366412565917,22.6637657218208
"T2662",0.095482352,0.06217258,0.105128203,0.49724050005626,0.00691709574189833,14.7061243034023
"T0066",0.394937726,0.055442879,0.398027189,0.246032995816249,0.687026559683868,181.491368771696
"T0067",0.414454227,0.040748313,0.392785938,0.478320622367437,0.0543689146382887,26.3428734367373
"T0064",0.325725881,0.313889782,0.362466862,0.499617797263166,0.000958040333344501,13.2447676162667
"T0248",0.07306397,0.113980286,0.080733535,0.498097051578741,0.00477000240641299,14.1795862888015
"T0115",0.264503348,0.105763958,0.2698745,0.407562175097641,0.233820479103849,70.3503084695192
"T0121",0.119962308,0.059399387,0.126144929,0.475390146709201,0.0617269305019621,28.1473013114964
"T4033",0.268900613,0.268691821,0.259857224,0.45400891106952,0.115539110748928,41.3438205686199
"T6981",0.327099103,0.260132566,0.297741877,0.49668093448685,0.00831975943968572,15.0501036481188
"T5998",0.101097748,0.282820985,0.108387752,0.488110598150592,0.0298067238409169,20.3194151347865
"T6000",0.09423987,0.283665381,0.089511921,0.476470946912245,0.0590128240183247,27.4817129946353
"T6004",0.095748006,0.282598208,0.088700563,0.491058509957495,0.0224148685864685,18.506688726685
"T6010",0.098051946,0.286050936,0.100381505,0.423651841037016,0.192559861937703,60.2318459486747
"T6016",0.094505209,0.280088126,0.094524216,1.7294347743961e-180,28.6231776677833,7032.35588264226
"T6018",0.10466266,0.284970985,0.102311982,0.420415709036294,0.200830110142627,62.2599832439226
"T6020",0.074739058,0.29147045,0.070627047,0.480506595288167,0.0488821795070966,24.9973452406075
"T6024",0.093795246,0.284152836,0.084269391,0.499661690737972,0.000848015663409126,13.2177859428073
"T6026",0.093289329,0.287304147,0.087382752,0.485981002802184,0.0351476500682854,21.6291861845169
"T5999",0.126195133,0.302731299,0.121129111,0.465050516829119,0.0877177221773476,34.521099609168
"T6001",0.085659983,0.303941037,0.085001909,0.243615683739716,0.694719081465648,183.377828516743
"T6011",0.086758278,0.291092552,0.078708496,0.49751905976839,0.00621883501643357,14.5348877716766
"T6027",0.117358653,0.291643036,0.118398954,0.274119872573298,0.600399913949306,160.247661615255
"T1787",0.214139375,0.308543819,0.223492831,0.467379469762386,0.0818588726227481,33.0843166983656
"T1810",0.186264471,0.144497091,0.191084236,0.431444901707141,0.172696743791342,55.3607550558327
"T1823",0.231695612,0.128870922,0.221370536,0.470714628793602,0.0734735922610337,31.0279697289268
"T1715",0.480168276,0.298430312,0.469650295,0.417874815982116,0.207333219988353,63.8547600010891
"T1716",0.493613817,0.307454427,0.449918986,0.496324772960384,0.00921255832505847,15.2690473450567
"T1068",0.355409067,0.095311613,0.365831468,0.441769712871915,0.146483865816695,48.9324938816991
"T4808",0.11248302,0.110005437,0.101317299,0.499138129978599,0.00216038944522323,13.5396232258308
"T8318",0.177125394,0.090679537,0.176368185,0.0979999130924582,1.29303247872157,330.103982938408
"T2087",0.155695609,0.160379725,0.158598375,0.397760833891073,0.259147200289288,76.5612548074961
"T1711",0.053528462,0.066235671,0.048541833,0.497618719660905,0.00596902007284352,14.4736249181985
