"","aroH","trpA","trpB","trpC","trpD","trpE","trpL","trpR","pval","z","inv_cof_var"
"T6084",0.050030864,0.077400252,0.080661645,0.086331599,0.076296784,0.094340609,0.123967828,0.060455146,0.214023174650879,0.792539191362336,3.6470596357353
"T6086",0.050011731,0.079506413,0.080451448,0.086300853,0.079422415,0.094109399,0.123912613,0.059308823,0.210865191983559,0.803422829790492,3.66409918238866
"T6080",0.048865951,0.078117847,0.078957469,0.085409422,0.076016373,0.093025066,0.124402082,0.059662563,0.229336639063695,0.741033253271881,3.56642136014296
"T6088",0.047867616,0.078532526,0.077546892,0.087418288,0.076230348,0.095110536,0.125528566,0.061740029,0.238683457697383,0.710543903774657,3.51868689187504
"T6135",0.069022169,0.058212768,0.092659266,0.154349988,0.063705829,0.11751266,0.118321946,0.058141443,0.457425606809833,0.106921553964333,2.57364895640012
"T6137",0.050520254,0.068482939,0.13838332,0.154349988,0.100695294,0.11751266,0.118321946,0.045075638,0.490325280252407,0.0242533035827609,2.44422261442575
"T6139",0.055437536,0.104703972,0.09745038,0.154349988,0.056495789,0.11751266,0.118321946,0.046098865,0.483963199426703,0.0402091299714012,2.46920323556056
"T6148",0.071139193,0.073680423,0.105907223,0.154349988,0.077588341,0.11751266,0.118321946,0.057520178,0.355796710205275,0.369716924010264,2.985084341519
"T6152",0.071014975,0.067972607,0.06198494,0.154349988,0.065344615,0.11751266,0.118321946,0.056589065,0.481419154886258,0.0465921234728822,2.47919652193023
"T6154",0.073696669,0.07763354,0.086510355,0.154349988,0.076067658,0.11751266,0.118321946,0.048587428,0.400843484344343,0.251164449785346,2.79947725536295
"T6172",0.069002706,0.099828622,0.066349284,0.154349988,0.066950916,0.047905153,0.111224181,0.060620902,0.499177219964689,0.00206240516238948,2.40948029443691
"T6207",0.053346686,0.167615218,0.149861845,0.154349988,0.083951056,0.11751266,0.118321946,0.053436656,0.474358934353816,0.0643169356095576,2.50694668703526
"T6220",0.052948755,0.158364334,0.185744594,0.154349988,0.131036881,0.11751266,0.118321946,0.052117125,0.470579735646227,0.0738126373676031,2.52181326443772
"T7301",0.07440362,0.151551438,0.053090826,0.08488586,0.083387243,0.079254978,0.085057226,0.084813896,0.331492593628403,0.435795392250186,3.08853753410609
"T7302",0.067700067,0.141827024,0.062094565,0.086661868,0.078914673,0.074738131,0.088114946,0.094797662,0.23960612906712,0.707570113031907,3.51403109166329
"T7303",0.072148048,0.159048277,0.0487383,0.08579273,0.080584009,0.075413024,0.086670534,0.088258571,0.414798007640649,0.215219721980833,2.74320178549962
"T7304",0.074085492,0.137007434,0.066173512,0.081460657,0.077511656,0.076103352,0.085230991,0.087105751,0.165970363733478,0.970212206682406,3.92522650553468
"T7305",0.062926346,0.164512545,0.098572693,0.086504556,0.073191287,0.06877912,0.086113804,0.089139754,0.385335522677063,0.291497251875959,2.86262274364981
"T7306",0.071111569,0.155196213,0.055423797,0.08668723,0.074744186,0.076889969,0.086632803,0.090066611,0.367684915303721,0.337991185042787,2.93541416799964
"T7307",0.0766833,0.123577896,0.073493165,0.084832885,0.082876386,0.080480732,0.084918763,0.085471069,0.0219900571843649,2.01428028766182,5.55983122826254
"T7308",0.071358157,0.140764388,0.059967871,0.088605535,0.073235626,0.074425873,0.090236471,0.094312007,0.241756448108655,0.700663729887318,3.50321838058556
"T7309",0.072983896,0.113466929,0.081915929,0.082569532,0.080092783,0.075649741,0.082521985,0.085011738,0.00263947598149279,2.78949985780514,6.77352370061418
"T7310",0.072462073,0.143981628,0.059169376,0.085665734,0.073070945,0.074924996,0.086939715,0.088718718,0.272531000500855,0.605176089833289,3.35372185805224
