"","fldB","ompN","pgi","ribA","soxS","ydbK","pval","z","inv_cof_var"
"T0344",0.102286448,0.162967962,0.343543567,0.320497938,0.059140381,0.313607245,0.379745342622822,0.306149677717549,2.28958235681532
"T0345",0.111559349,0.177188066,0.32264601,0.317324975,0.052380494,0.313202011,0.322891121633554,0.459629413075049,2.53972898492023
"T0346",0.103166653,0.168129094,0.338796625,0.324454785,0.054507629,0.327655115,0.374545975183777,0.319836930562499,2.31189031909587
"T1081",0.227858693,0.099422083,0.297158166,0.221983065,0.173276485,0.094954677,0.416781704929979,0.210133589760556,2.13309198634184
"T2296",0.145469741,0.091929429,0.056238056,0.072938894,0.164095157,0.079719673,0.303706522510636,0.513769656407167,2.62796864263637
"T2297",0.143856808,0.095866637,0.057936349,0.047966858,0.161648862,0.079530533,0.389169804842899,0.281483463623128,2.24938050039785
"T2298",0.1125631,0.120231527,0.080567583,0.071481518,0.128213826,0.068536472,0.112221172838886,1.21480009221875,3.77053250820936
"T2389",0.164572291,0.082144838,0.304734995,0.212937505,0.148806646,0.116692313,0.443659484730314,0.141697475018779,2.02155241857167
"T2390",0.184501121,0.083920248,0.316864061,0.166711618,0.173399449,0.107637789,0.475481629187404,0.0614971822811844,1.89083918301255
"T2391",0.180603068,0.071373298,0.290926315,0.294745259,0.16406144,0.120737433,0.469742150353596,0.0759180446842075,1.91434280774892
"T0332",0.11064404,0.061927044,0.190883668,0.129545735,0.20500995,0.229174408,0.404855846156262,0.240797983842545,2.18306988579953
"T0333",0.13130993,0.074944233,0.140148632,0.13014255,0.222306726,0.220498472,0.294191157280681,0.541181751008113,2.67264583091629
"T0334",0.131074506,0.091066745,0.131985406,0.131378467,0.22898903,0.233102114,0.285363879074685,0.566980017177489,2.71469274530659
"T0347",0.126280737,0.051460138,0.181353515,0.138868657,0.216031491,0.151594311,0.291594935231493,0.548731288766597,2.68495033098359
"T0348",0.128089489,0.050791128,0.173020039,0.127318573,0.219056442,0.153800136,0.28355380413699,0.57231644848866,2.7233902472634
"T0349",0.126641139,0.052160024,0.166589347,0.111484154,0.217083526,0.157918079,0.288018853298793,0.559181721222318,2.70198281045033
"T0321",0.134332035,0.054744701,0.290361834,0.141932399,0.139854898,0.157344987,0.490380515909115,0.0241148078287935,1.82991208473446
"T2492",0.083070478,0.043716211,0.041520658,0.119322746,0.202408288,0.107168348,0.397413228755481,0.260048376885283,2.21444484809093
"T0042",0.138472132,0.127084533,0.038711547,0.069022006,0.137722325,0.076815736,0.411146215357683,0.224597473267828,2.15666572837507
"T0020",0.148810995,0.215605532,0.30808547,0.115039822,0.168328664,0.069061725,0.48868694191634,0.028361432991475,1.8368333826035
"T0056",0.105559029,0.113031733,0.246689633,0.211738423,0.056726383,0.273477784,0.338579661143362,0.416342602733269,2.46917863100418
"T0054",0.224125167,0.092669982,0.272161471,0.156404932,0.168757193,0.278088584,0.314294075609256,0.483714993029543,2.57898450355619
"T0055",0.157504422,0.091551934,0.284444209,0.187983263,0.137825967,0.284340131,0.352737090880953,0.377941325850695,2.40659088999249
"T1864",0.232141416,0.142952152,0.224547479,0.220500687,0.3010622,0.292060508,0.0703974708089545,1.47283719009983,4.1910903741099
"T1868",0.192758324,0.158778531,0.188017231,0.182449722,0.327438483,0.290316667,0.0891796525580403,1.34582393287749,3.98407973557327
"T1866",0.181606345,0.139840493,0.286414814,0.152668412,0.206035832,0.223666888,0.176156766867947,0.930111158853479,3.30653655086536
"T1870",0.136726887,0.131662478,0.293480167,0.107360552,0.196865827,0.208574302,0.374718558194121,0.319381659978691,2.31114830321247
"T0693",0.169747535,0.06223218,0.195186475,0.219852681,0.157303019,0.061813764,0.475141829774283,0.0623505677376094,1.89223006040689
"T0028",0.116114319,0.140709788,0.261481521,0.154856082,0.117796631,0.051189608,0.47387572702877,0.0655307122299831,1.8974131708664
"T0029",0.214497187,0.165364461,0.319561212,0.165933652,0.180260095,0.064023542,0.447528759933278,0.131907419668784,2.0055962447546
"T0032",0.153550777,0.263175062,0.10392033,0.199713215,0.167093009,0.072580136,0.427239120013475,0.183407565649904,2.08953297968629
"T0003",0.096151416,0.11990143,0.047307578,0.142427464,0.138274956,0.039005778,0.454456088408711,0.114410770019075,1.97707959463911
"T0049",0.255023071,0.09151897,0.283341516,0.22768634,0.051841112,0.149231472,0.322136887416564,0.461731645052257,2.54315527595056
"T2826",0.184810601,0.078016247,0.219044989,0.154620036,0.163403866,0.086321868,0.364858267442164,0.345502628049157,2.35372116842131
"T0008",0.138530559,0.12953166,0.041446996,0.192180487,0.157833452,0.063903258,0.481945440046792,0.0452715297979657,1.86439404842833
"T0010",0.099171853,0.089475806,0.054284491,0.067800216,0.149593149,0.054603441,0.136972504754195,1.09402272969503,3.57368534844367
"T2674",0.273550807,0.075990211,0.495605519,0.232177537,0.050569545,0.291063865,0.49258330174186,0.0185919765914356,1.82091078167384
"T1863",0.274877986,0.139940315,0.275517428,0.369577749,0.09379843,0.322960334,0.189910388189549,0.878226568715906,3.22197323543295
"T1867",0.217423516,0.144880704,0.203761272,0.258726898,0.117932147,0.228998838,0.023973221007023,1.97784281271166,5.01416615917117
"T0014",0.158289715,0.129614043,0.262733313,0.129833711,0.155076117,0.058898348,0.448998281334798,0.128192591695757,1.99954168850144
"T0006",0.106111184,0.169409925,0.203976011,0.147014421,0.182918679,0.072364862,0.288693193317271,0.557206445202285,2.69876343666892
"T0007",0.125871929,0.140376714,0.284824277,0.18034643,0.158430482,0.058189473,0.475371487536857,0.0617737913685822,1.891290010155
"T0046",0.290150544,0.121778983,0.262928207,0.224752321,0.066537075,0.272560886,0.150002411936771,1.0364230449385,3.4798073723826
"T1865",0.164709671,0.148285834,0.316428106,0.075522421,0.294051656,0.190388245,0.439604778827033,0.15197131816001,2.03829708661186
"T0172",0.04818867,0.072549321,0.05767735,0.133139109,0.15671646,0.072495897,0.37330360976945,0.323116229580106,2.31723503506043
"T0707",0.253746456,0.121461595,0.270856118,0.183520129,0.055379401,0.340224145,0.271049601827918,0.60964166722571,2.78422419116227
"T0709",0.294536703,0.118076848,0.30805676,0.194442899,0.083481299,0.235353523,0.235457732913469,0.720990327543857,2.96570412307448
"T0711",0.253158293,0.119822849,0.20885426,0.151249993,0.09251832,0.243573905,0.167420067139033,0.964410551442404,3.36243889772686
"T1075",0.216080149,0.115944736,0.233134817,0.046330932,0.106894539,0.1019116,0.49854612415436,0.00364433436930854,1.79654859280718
"T1077",0.173311091,0.129060872,0.176785283,0.074967653,0.122589789,0.104522964,0.229610696349305,0.740129545443723,2.99689788823876
"T1079",0.243546176,0.110185118,0.254847802,0.089977554,0.158636135,0.101327044,0.459997756403344,0.100439372811296,1.95430852396128
"T1703",0.119822352,0.06681483,0.055907765,0.087055533,0.061205737,0.05911191,0.240716069278382,0.704001019743889,2.93801435640855
"T1704",0.10765658,0.056965514,0.048503941,0.073887703,0.059864471,0.06431996,0.216435043503168,0.78428979345736,3.06887180134955
"T1705",0.188135376,0.062559229,0.257037538,0.184536657,0.072701148,0.10811211,0.42203972453045,0.19667809994185,2.11116175952845
"T1917",0.069235071,0.036368248,0.120811376,0.083839452,0.167790411,0.032175921,0.478821115866723,0.0531125504771913,1.87717361753066
"T2000",0.133420055,0.073727794,0.077491017,0.162515606,0.14427237,0.064541004,0.360875578506704,0.356119389665447,2.37102473695772
