"","fldB","ompN","pgi","ribA","soxS","ydbK","pval","z","inv_cof_var"
"T6123",0.058863766,0.052074202,0.206749038,0.173164285,0.060089244,0.149615694,0.486364991586461,0.0341845543664841,1.84632410900859
"T6152",0.114050153,0.055437382,0.243894976,0.137062294,0.057736875,0.097885843,0.487937025636918,0.0302420017639476,1.83989839920818
"T7356",0.091534964,0.089568044,0.082136375,0.082133859,0.088428522,0.081652747,1.60787023288394e-23,9.92578138012991,17.9679937664033
"T7464",0.083715333,0.088830154,0.114355662,0.07914226,0.165547619,0.077999403,0.00528434137383073,2.55664561254746,5.95751915870143
"T7300",0.086801828,0.087553021,0.131405774,0.087434011,0.076219006,0.086994098,0.0299648421149864,1.88131056835805,4.85683453899208
"T5557",0.095115064,0.132376153,0.2556126,0.110052094,0.240111416,0.170183556,0.358578058989684,0.362262179334937,2.38103646990345
"T5563",0.206351708,0.080496842,0.290596507,0.209622866,0.25550486,0.118192678,0.40491605368306,0.240642629429658,2.18281668375657
"T5567",0.086932768,0.167257276,0.276653395,0.109452118,0.24090278,0.155438053,0.408650539470797,0.231017664439677,2.16712957996881
"T5571",0.163140108,0.154239519,0.282074856,0.147036299,0.226486909,0.140295502,0.229332748826247,0.741046085741213,2.99839169759675
"T5577",0.266229072,0.101664353,0.170224679,0.132114962,0.207287188,0.070201975,0.459548403417818,0.10157149407115,1.95615369469407
"T5573",0.098126212,0.152027577,0.244802698,0.091957076,0.226208506,0.127862124,0.374534166397847,0.319868084329571,2.3119410945925
"T5774",0.109067921,0.103536584,0.083085355,0.095968791,0.079818304,0.097885843,2.01890736639012e-07,5.06716631366537,10.0492533978141
"T5776",0.046913378,0.063069989,0.109460286,0.112291562,0.047261842,0.097885843,0.241959528529101,0.700013206280504,2.93151487887783
"T5778",0.085240362,0.074714469,0.093829966,0.094016321,0.085814337,0.097885843,8.52996983480988e-07,4.78545619037873,9.59011240907683
"T5779",0.089344125,0.088673717,0.105955136,0.098875757,0.091144104,0.097885843,7.95052964315201e-13,7.06639481917015,13.3076657758284
"T5780",0.138889047,0.098334114,0.141727249,0.083637344,0.081876942,0.097885843,0.0665197635980921,1.50222299837068,4.23898438979848
"T5781",0.10327872,0.13366579,0.124252146,0.07954886,0.084976854,0.097885843,0.0244561387149907,1.96935554026689,5.00033330639148
"T5782",0.136777671,0.115779858,0.156092865,0.074533072,0.075781209,0.097885843,0.128781567021763,1.13216960986737,3.63585846482028
"T5783",0.08573386,0.117256917,0.123964324,0.096421198,0.096774438,0.097885843,0.00163122149777163,2.94186292905204,6.58535978265606
"T5784",0.060286274,0.048692896,0.097482537,0.089443874,0.095403341,0.097885843,0.153247727946012,1.02260328477678,3.45728344505355
"T5786",0.059058679,0.056380665,0.090369436,0.107317895,0.054814226,0.097885843,0.140311174576576,1.07892233964989,3.5490742058452
"T5788",0.106345394,0.090861381,0.10469709,0.093171075,0.084785748,0.097885843,4.67581777412763e-15,7.74777540135254,14.4182036243077
"T5790",0.06018778,0.070969972,0.113559752,0.095163474,0.060936766,0.097885843,0.0823778026733636,1.38925374021768,4.05486315098696
"T5792",0.140328041,0.115307321,0.063786992,0.093093376,0.077574426,0.097885843,0.132457349035816,1.11485001850393,3.6076303904779
"T5794",0.092436374,0.113741973,0.101043364,0.090805828,0.088105394,0.097885843,1.25229548115145e-08,5.57295165234973,10.8735999913373
"T5796",0.124856911,0.120137118,0.107909527,0.083368753,0.074980579,0.097885843,0.00259556647698488,2.79492766136493,6.34587955631863
"T5798",0.133483825,0.070684551,0.102231823,0.108055106,0.128004056,0.097885843,0.0449447904051619,1.6959804589448,4.55477705988545
"T5800",0.131042241,0.087605917,0.133919732,0.132889604,0.086650122,0.097885843,0.0165348772341906,2.13123539436763,5.26417074113225
"T5802",0.098108439,0.104498281,0.095208434,0.092829633,0.087166853,0.097885843,7.85837755684516e-37,12.6232648811404,22.3644465005358
"T5804",0.097208563,0.115963157,0.081614314,0.082629426,0.116040398,0.097885843,0.00108770082240376,3.06517844018161,6.78634370558403
"T5806",0.124016532,0.141214226,0.135374613,0.080558302,0.06930458,0.097885843,0.0487515868026839,1.65708063550429,4.49137677029768
"T5808",0.113775375,0.096174784,0.128172962,0.089680259,0.10236594,0.097885843,0.00122774109990828,3.02877409472057,6.72701063308273
"T5814",0.101180342,0.081479683,0.113150882,0.09605955,0.065598095,0.097885843,1.38883575111717e-05,4.1909677449891,8.6211943970985
"T5816",0.070476209,0.078947644,0.090924225,0.080045638,0.095808674,0.097885843,0.000123250789510877,3.66586745765433,7.76536762630199
"T5818",0.088427097,0.088608546,0.088908779,0.101430415,0.09837392,0.097885843,1.57812668726837e-16,8.16720155197956,15.1017989997753
"T5820",0.101187053,0.094580463,0.100650699,0.105212212,0.07932649,0.097885843,3.88015732872484e-47,14.3719603328213,25.2145313654951
"T5822",0.110555403,0.062717412,0.111275054,0.060602335,0.098458335,0.097885843,0.144479122863954,1.06040971199591,3.51890167932748
"T5791",0.100574571,0.106181541,0.095158328,0.080130626,0.098917948,0.097885843,3.94273967596549e-07,4.93818061495464,9.8390280053146
"T5793",0.092401454,0.133096637,0.084595106,0.130270313,0.103726745,0.097885843,0.0327708651702409,1.84154501450638,4.79202325177198
"T5795",0.090245752,0.146585649,0.103522599,0.071428982,0.080593149,0.097885843,0.123987711539852,1.15528088003359,3.67352601936639
"T5803",0.087184913,0.12335835,0.122474664,0.085296909,0.103862754,0.097885843,0.0105038961525888,2.30784440210106,5.55201426441283
"T5805",0.100149762,0.101603088,0.110361087,0.07738613,0.082161034,0.097885843,6.96661335169295e-05,3.80935060094065,7.9992214598349
"T5807",0.081654976,0.079057388,0.091280226,0.079152782,0.108688228,0.097885843,1.22663587582319e-07,5.16123409091153,10.202568343508
"T0153",0.186217736,0.064559299,0.178458865,0.224156638,0.081543376,0.056141378,0.484185885065501,0.0396504946818181,1.85523268925939
"T1089",0.190112572,0.072892614,0.203692127,0.121848433,0.13121946,0.06008662,0.454983478135966,0.113080220350485,1.97491101836193
