"","baeR","cpxR","spy","pval","z","inv_cof_var"
"T0829",0.059752674,0.432263992,0.061483053,0.47624086769886,0.0595905620584219,49.5420972421538
"T0808",0.045742938,0.442177232,0.045091197,0.415240076968085,0.214085793735325,98.5505481805112
"T0819",0.069478467,0.399296333,0.06851995,0.411247179911045,0.22433793584344,101.802697765098
"T0804",0.040451089,0.47571546,0.04215531,0.495427786361309,0.0114610908944491,34.2746304043323
"T0805",0.054172065,0.466703436,0.055957483,0.483683822726885,0.0409099997765722,43.6163129305346
"T0041",0.025487066,0.075312446,0.025384376,0.156803488133285,1.00768235960936,350.29254656674
"T0056",0.054312953,0.274702403,0.054216699,0.00782888657284922,2.41679638492557,797.286896014904
"T0022",0.027800881,0.303276993,0.027220636,0.454307207645132,0.114786417329495,67.0511383671913
"T0030",0.027043166,0.369290137,0.026393739,0.465403219486682,0.0868302543122014,58.1829795975857
"T0031",0.030224433,0.325297134,0.030786701,0.442240876183914,0.145290199398737,76.7274441712511
"T0032",0.060381659,0.294963384,0.057790471,0.497976607099785,0.00507191559955206,32.2478779888833
"T2415",0.04049221,0.325929561,0.041450947,0.462580865976394,0.0939338151846538,60.436346971624
"T2676",0.040097085,0.226494485,0.041913707,0.498386313585685,0.004044923022585,31.9220989031727
"T1863",0.073993644,0.136153175,0.071573645,0.485044251811012,0.037497286580582,42.533743679581
"T1867",0.083203248,0.149174875,0.084291033,0.402592001508228,0.246643672062583,108.878447400051
"T0011",0.029805731,0.350997623,0.030353887,0.441149885903749,0.148054481684662,77.6043203784912
"T0012",0.027371077,0.26282888,0.026694337,0.467523025988661,0.0814978282040478,56.4914455582025
"T1865",0.083547228,0.209433026,0.081723996,0.457999474993641,0.105474945105161,64.0973848777338
"T2817",0.052779492,0.352901693,0.053709242,0.436943825050599,0.158722322769103,80.988336575822
"T0485",0.031522031,0.313789262,0.03123618,0.347230454332091,0.392808523730489,155.244363578354
"T0486",0.055286157,0.235161923,0.055867955,0.370968886823307,0.329288317285737,135.094700139859
"T0487",0.058705916,0.247805174,0.058595473,0.0115754478502315,2.27093528736665,751.017335679989
"T0491",0.055104461,0.144188166,0.055820042,0.40169871182056,0.248952630087054,109.610887196624
"T0492",0.054953505,0.166679283,0.055627234,0.39385705357907,0.269280148769208,116.05911340542
"T0493",0.059945565,0.212507577,0.062630043,0.497927264902382,0.00519559977663991,32.2871126620759
"T0497",0.064759698,0.123713018,0.064154533,0.352617706714864,0.378262751319193,150.630203219863
"T0707",0.055892069,0.328895567,0.055369212,0.352806828736469,0.377753584320931,150.468686999699
"T2000",0.065601899,0.189247054,0.064542803,0.429624254563442,0.177330863821331,86.8912745583985
"T2335",0.062153062,0.320021406,0.063169921,0.429307052624498,0.178138629473529,87.147511226066
"T2336",0.056386531,0.31343621,0.058496582,0.490116122231864,0.0247777425700142,38.4988932713571
"T5530",0.06990411,0.258471639,0.067509252,0.487509029111037,0.0313153382883087,40.5727271077625
"T5532",0.059707485,0.276844749,0.060171043,0.3156601293872,0.479869403185236,182.861519092456
"T5714",0.081970252,0.370112554,0.082031109,1.70505339048447e-09,5.91052906241683,1905.55687081028
"T5718",0.101201706,0.346258448,0.102524849,0.40259691306751,0.24663098040388,108.874421395325
"T5748",0.096036718,0.092420748,0.095599912,0.189059221117299,0.881368424371688,310.223670454934
"T5750",0.096608659,0.23136239,0.093417501,0.485581088642367,0.0361507234333883,42.106591506544
"T5769",0.069226649,0.130379175,0.067768,0.455107495806506,0.112767365768415,66.4106617110562
"T8378",0.121063177,0.274698412,0.125941214,0.493503234930876,0.0162856948797335,35.8050748403412
"T2411",0.284819137,0.240949641,0.28258588,0.319262776927363,0.469761317697918,179.655066658235
"T2413",0.288246412,0.285948255,0.293177841,0.433988904429582,0.166227639493368,83.3691475721589
"T2688",0.05119567,0.393515331,0.051912173,0.411304834055739,0.224189738052536,101.755686966862
"T2690",0.040362801,0.370626766,0.040715967,0.339011483427068,0.415162475199217,162.335407890484
"T5666",0.065700265,0.107956375,0.063854217,0.476137662096277,0.0598497218750049,49.6243070360636
"T5668",0.077801988,0.13774347,0.077351954,0.250817991165656,0.671917871538522,243.782479803801
"T5670",0.065052842,0.140758874,0.065924915,0.405861404856171,0.238204083990927,106.201270030495
"T2668",0.047008017,0.12700258,0.047255195,0.225575826103466,0.753496435946848,269.660554020281
"T2679",0.068097098,0.274127221,0.071181749,0.498379593453482,0.00406176803435144,31.9274424204046
"T2684",0.068762905,0.080994511,0.067812645,0.411460827136535,0.223788788431142,101.62849909423
"T2649",0.05534455,0.248316572,0.057592459,0.49385455089864,0.0154049657557808,35.525692948792
"T2652",0.044679059,0.314044532,0.044907124,0.217982601164689,0.77902463643293,277.758522789201
"T2653",0.052032352,0.21072246,0.053525238,0.475669245822636,0.0610260137994688,49.9974463520383
