"","amn","mipA","phnC","phnD","phnE_1","phnF","phnG","phnH","phnI","phnJ","phnK","phnL","phnM","phnN","phnO","phnP","phoA","phoB","phoE","phoH","psiF","ydfH","yegH","yhjC","ytfK","pval","z","inv_cof_var"
"T5568",0.095055266,0.110130752,0.1104474,0.111352435,0.109464603,0.11438317,0.13041468,0.130498427,0.263961516,0.153948,0.113114721,0.171012781,0.114667995,0.136583364,0.125160535,0.175817612,0.135861422,0.141697893,0.096494495,0.157669166,0.098244888,0.256048111,0.139678355,0.133077867,0.127135069,0.0016568969487748,2.93702312721698,3.24939885029717
"T5570",0.114057647,0.110285794,0.10156307,0.084310375,0.119129243,0.158143971,0.098688319,0.131690042,0.094280309,0.095178578,0.143815174,0.169992215,0.164268563,0.177633706,0.112457394,0.175337397,0.098525701,0.140107081,0.109335146,0.116421507,0.098976998,0.24936402,0.153415613,0.090807056,0.105521401,0.00092605382695269,3.1129764987792,3.36279452707971
"T5572",0.137447233,0.144234361,0.094578373,0.132989205,0.127659415,0.173814694,0.126786085,0.142402082,0.255213127,0.100307812,0.09960592,0.17988075,0.13940288,0.16688811,0.117257802,0.186475368,0.087340564,0.139591374,0.101596526,0.088445416,0.086467218,0.184190441,0.147849473,0.080675852,0.090246768,0.00216024361948739,2.85376209710188,3.19574008391101
"T5574",0.114268461,0.121922122,0.096187254,0.098452888,0.101923452,0.154087572,0.090534141,0.116673822,0.294266569,0.089561021,0.131110629,0.163427153,0.114871783,0.12021126,0.097749207,0.16721641,0.138094728,0.131354194,0.090081981,0.165049277,0.08929021,0.28294198,0.123668797,0.110260598,0.090982111,0.0409047117370017,1.74028251079162,2.4781421762827
"T5576",0.076912186,0.086935769,0.084966365,0.138790702,0.128428912,0.209723347,0.1062331,0.144491843,0.246885763,0.137995449,0.150841768,0.191299533,0.12242385,0.193935964,0.075140148,0.183134516,0.099968824,0.152491402,0.105095453,0.203152715,0.08538171,0.260927952,0.151340636,0.075124658,0.084713621,0.0305113957737499,1.87333027614683,2.56388671907211
"T5578",0.102390829,0.228489873,0.101049907,0.112080145,0.109231601,0.191139587,0.109726842,0.120760295,0.273478414,0.115412806,0.102950427,0.154504561,0.119245973,0.21650707,0.100498027,0.154381974,0.115360308,0.105042784,0.100284588,0.19905846,0.100660224,0.253429919,0.126108076,0.100068347,0.117045257,0.0222797142786007,2.00878981771848,2.65118556567442
"T8213",0.09204038,0.407358339,0.160641656,0.076936514,0.170173452,0.154367245,0.092753558,0.09863083,0.05356755,0.115528485,0.082242041,0.136173464,0.171326005,0.117223028,0.036693128,0.086685053,0.088660968,0.052689605,0.197323086,0.084343115,0.063576031,0.032340595,0.146009997,0.094921956,0.054293682,0.401735919706155,0.248856429449677,1.51697122307308
"T8214",0.094929624,0.442020826,0.130113973,0.07261302,0.138205413,0.125671858,0.079817281,0.083611544,0.06199524,0.105775188,0.074231937,0.110652438,0.139524876,0.095852239,0.05910912,0.076739214,0.077502723,0.061694377,0.163220665,0.075154578,0.079363875,0.05581524,0.074016227,0.081041692,0.073199088,0.478887661835285,0.0529455097699252,1.39071361783976
"T8139",0.104688066,0.116850587,0.069049493,0.061644622,0.081662026,0.05332426,0.05643781,0.05251737,0.053449641,0.05482438,0.05262874,0.061518623,0.084183999,0.05535218,0.066081224,0.054317369,0.052771465,0.055111317,0.080860931,0.05407672,0.072460048,0.064003033,0.116211592,0.052575058,0.091622375,0.000704883030704695,3.19264405563904,3.41413742802855
"T5535",0.063807772,0.34057854,0.065965295,0.094185952,0.121840426,0.065543441,0.097223748,0.166056877,0.341900762,0.060934014,0.143729325,0.230699814,0.134164575,0.074223901,0.128772092,0.244223194,0.219790353,0.116504768,0.146086031,0.090927936,0.073466875,0.307620846,0.075721556,0.081644066,0.071255468,0.345123262916568,0.398520533112162,1.6134244036753
"T5543",0.094049226,0.352835381,0.071336009,0.077971504,0.108754387,0.078283091,0.089360757,0.141585037,0.329117692,0.079697564,0.116589885,0.223865915,0.110790611,0.087105829,0.101916694,0.226487785,0.210731265,0.069528876,0.120769149,0.070034623,0.377739692,0.073014723,0.107392901,0.079578689,0.068773219,0.420021046852766,0.201839636560795,1.48667057579112
"T5537",0.091094948,0.331613871,0.144135956,0.082718211,0.087513504,0.120121768,0.094751519,0.107814246,0.362763656,0.082604556,0.108888052,0.175563417,0.085385721,0.081688638,0.091165574,0.185715408,0.169308207,0.102624305,0.096828353,0.095162789,0.084062437,0.133996237,0.147846883,0.08461464,0.08196318,0.259388330944215,0.645232293144246,1.7724213399128
"T5539",0.082373518,0.340503553,0.07861093,0.082239352,0.09983986,0.087891441,0.132483633,0.131832639,0.313618031,0.081298607,0.13396215,0.202706764,0.103491945,0.07963879,0.110732953,0.210262062,0.197933663,0.125791728,0.1163275,0.085685238,0.08903782,0.086361489,0.085286116,0.078148472,0.077995922,0.248982569960321,0.677694932826171,1.79334235418036
