"","crp","rhaR","rhaS","pval","z","inv_cof_var"
"T6977",0.316013485,0.064555735,0.064870562,0.481299237392592,0.0468930406070223,290.693658017143
"T6892",0.310720219,0.062521955,0.062302926,0.463885723001134,0.0906490626769479,402.980974281501
"T8308",0.233465084,0.042413333,0.042521948,0.440742255020485,0.149087600333307,552.946767546704
"T6037",0.097617143,0.06619288,0.066246005,0.267451223976704,0.62053981741385,1762.79404567122
"T6050",0.179436275,0.066582872,0.06656919,0.00445884136295138,2.61519384938175,6881.50314056168
"T6061",0.217938833,0.06106201,0.060842647,0.465438361650748,0.0867418336120148,392.954188367774
"T6105",0.498538553,0.039056706,0.039247696,0.481421205664951,0.0465869773510042,289.908234205754
"T6107",0.51676899,0.037999176,0.037797673,0.485137257078904,0.0372639940115067,265.983463871363
"T6122",0.277633852,0.04267127,0.043016603,0.499207291672155,0.00198702641566428,175.45521587497
"T6140",0.071877022,0.059627476,0.059536983,0.383438225174144,0.296463090295175,931.143812618977
"T6167",0.061402219,0.055836311,0.055387589,0.499236199861492,0.00191456419300883,175.269262304979
"T6158",0.06825393,0.058598124,0.058811758,0.466110484107273,0.085050845543601,388.614751118799
"T6165",0.063595492,0.056384725,0.056238897,0.441794824279015,0.146420242192914,546.101755753311
"T6153",0.073681226,0.056883084,0.057063617,0.457183909301919,0.107530892655944,446.303362659112
"T6160",0.065911464,0.056682231,0.0564093,0.480941662100754,0.0477903539562747,292.996356093187
"T6149",0.064969394,0.054742342,0.054743179,9.63958015422088e-284,35.9768176589245,92494.5691045588
"T6162",0.066289304,0.058286922,0.058243014,0.253057340480023,0.664899647902957,1876.63086355205
"T6169",0.064682113,0.057146495,0.056781736,0.492149725849618,0.0196789892313181,220.856578476988
"T6155",0.069480629,0.057342533,0.057620741,0.481065918358279,0.0474785361436039,292.196164857971
"T6151",0.06384673,0.05486733,0.055186598,0.488592600737294,0.0285980071814397,243.744687175085
"T6164",0.072265259,0.05918292,0.059367997,0.456158789422205,0.11011574820875,452.936655157497
"T6171",0.063882372,0.057886302,0.057535895,0.490275244158287,0.0243787625556639,232.917202562017
"T6135",0.058081202,0.057813655,0.058177094,0.49140135092589,0.0215552859831573,225.671557463032
"T6154",0.047881649,0.047746045,0.047756283,0.00614062874331477,2.5039581073055,6596.04842234127
"T6172",0.060941659,0.060098233,0.060296021,0.459639943815805,0.101340852331538,430.418394540097
