"","arcA","betI","betT","cra","pval","z","inv_cof_var"
"T6013",0.245033235,0.113192941,0.111618067,0.055897242,0.491486822100064,0.0213409922365749,100.938480311557
"T6895",0.086883445,0.113138324,0.111901615,0.062810979,0.481078236852804,0.0474476234573436,128.669935210876
"T6058",0.511069075,0.052567495,0.053080956,0.130706738,0.474769958205043,0.063284552518011,145.492522555666
"T6060",0.516637803,0.060373948,0.06137667,0.143659288,0.49715032281423,0.00714314215281003,85.8569848885858
"T6071",0.525458456,0.053057339,0.053276922,0.132338182,0.40180645603553,0.248674064755556,342.420301323699
"T6073",0.525294599,0.053199914,0.053723497,0.133319297,0.475178834116027,0.0622576314030417,144.401687957203
"T6042",0.320831768,0.041048578,0.040880393,0.115207245,0.401064938084022,0.250591600786153,344.457180900411
"T6044",0.227455445,0.04859902,0.047869187,0.115207245,0.494293434953878,0.0143047251317707,93.4642902398325
"T6050",0.090628517,0.069623137,0.06952185,0.115207245,0.200229268997352,0.84080258634558,971.40169889333
"T6072",0.086098966,0.054749859,0.054805456,0.115207245,0.107848923059435,1.23804912524941,1393.37205517424
"T6077",0.625612189,0.03700412,0.03704031,0.115207245,0.0988234013082688,1.28828491396478,1446.73441730022
"T6103",0.618034493,0.04114691,0.041009483,0.115207245,0.372866711788553,0.324270272868354,422.72146381807
"T6105",0.604807946,0.038938129,0.038547635,0.115207245,0.476712268596887,0.0584068768470131,140.311270262334
"T6107",0.600043845,0.037148738,0.036998951,0.115207245,0.399037056860515,0.255840352547748,350.032604306193
"T6119",0.513525521,0.058346772,0.058173688,0.133684002,0.354034326094404,0.37445120618072,476.025556452227
"T6097",0.642197909,0.055560244,0.05474383,0.129622974,0.493515536431357,0.0162548555091474,95.5357927692355
"T6130",0.22813281,0.055458814,0.055941617,0.13002381,0.46815334412014,0.079912700949905,163.155573157591
"T6140",0.23349005,0.059606789,0.060390103,0.134458391,0.488714441272426,0.0282924746668696,108.322608882913
"T6126",0.229899305,0.056390991,0.056432032,0.130667539,0.039520095258289,1.75628246105643,1943.85918075263
"T6158",0.216243277,0.058610039,0.059176584,0.132046101,0.474201248759761,0.0647130182075586,147.009893047091
"T6165",0.215535845,0.056717663,0.056987336,0.132248891,0.418007806455589,0.206992631736752,298.144700610407
"T6132",0.245370785,0.057320564,0.05817811,0.132049112,0.49362783196286,0.0159733358059347,95.2367518517424
"T6147",0.255772088,0.054313861,0.054336267,0.137281651,0.000804463035059764,3.15428368010592,3428.86915493964
"T6153",0.228429066,0.056973003,0.057143483,0.133267502,0.35498015154636,0.371909404134831,473.325557811939
"T6134",0.236286543,0.055560432,0.056133636,0.13053102,0.477659031226286,0.0560298063055236,137.786255680545
"T6149",0.242725675,0.055295289,0.055954391,0.134597404,0.484574349426057,0.0386760118683903,119.352396340526
"T6162",0.232298955,0.058294779,0.058810169,0.13033646,0.469085414538528,0.0775690922658894,160.666103031291
"T6169",0.218330608,0.057506956,0.056749363,0.130679677,0.489345293186109,0.0267105651456108,106.642244527488
"T6128",0.230625285,0.054840735,0.055352034,0.130838245,0.472184340816883,0.0697801060653096,152.392346156794
"T6138",0.207345011,0.059644059,0.059419866,0.134594885,0.389799129731696,0.279842609574989,375.528713038264
"T6155",0.217012136,0.057747643,0.058168915,0.129623851,0.45640964604938,0.109483142029902,194.566418403321
"T6164",0.253383178,0.059171559,0.059558973,0.132174429,0.448154221746083,0.130326084655572,216.706583425188
"T6171",0.217441267,0.058416905,0.057660633,0.131125109,0.48863607984536,0.0284889768135901,108.531340923953
"T6170",0.042611396,0.040581069,0.040716465,0.115207245,0.372205685694551,0.326017160838075,424.577074545353
"T6172",0.06044076,0.060390002,0.060080527,0.07962009,0.426439195336792,0.185447071827367,275.258188832803
"T6180",0.16594601,0.05677341,0.057746538,0.115207245,0.498142941114772,0.0046549731205726,83.2139572717372
"T6184",0.278182305,0.047871378,0.047625263,0.115207245,0.426767484102908,0.184609966465089,274.368983733774
"T6192",0.152797865,0.048950636,0.048751183,0.115207245,0.400366932554362,0.252397457576931,346.375430548349
"T6201",0.063618179,0.058950454,0.058523745,0.115207245,0.456371535244417,0.109579246411742,194.668504126603
"T6203",0.050449274,0.062563145,0.06183943,0.115207245,0.483750508652463,0.0407427035839933,121.547714748994
"T6205",0.054122592,0.064722808,0.065129335,0.115207245,0.444746475107171,0.138945836164593,225.86281075281
"T6212",0.046749177,0.051319985,0.050802367,0.115207245,0.47701376531598,0.0576498631576138,139.507141579157
"T6218",0.059583175,0.06502917,0.064663666,0.115207245,0.435447985693415,0.162520518823263,250.904733756441
"T6220",0.081688479,0.052144379,0.051925411,0.115207245,0.404120719025614,0.242695313715361,336.069444967575
"T6177",0.3847544,0.061537332,0.060476546,0.123960433,0.49884938661099,0.00288416405266229,81.3329366457212
"T6189",0.082121072,0.058324518,0.058947491,0.137904679,0.479412800046074,0.0516273828230636,133.109834306254
