"","apaG","apaH","fis","flxA","lptD","pdxA","queA","rsmA","surA","tpr","trmA","tufB","pval","z","inv_cof_var"
"T6149",0.058727846,0.055076777,0.065038919,0.133513685,0.165418075,0.2512248,0.074796423,0.130392003,0.183250644,0.121630992,0.062722653,0.23084945,0.37730133988242,0.312576177047763,1.94245418670863
"T6162",0.059186774,0.05833892,0.061579633,0.129067284,0.166374088,0.257352759,0.067381,0.125591842,0.193131113,0.115603576,0.05978878,0.200016676,0.38666047542483,0.288033688966924,1.92638703208691
"T6169",0.058217874,0.056731302,0.063619809,0.129496012,0.160050176,0.229068199,0.073927277,0.126255386,0.177642607,0.116977733,0.0582337,0.212845283,0.320360498331808,0.466690962422236,2.04334803569202
"T6128",0.060008193,0.057136131,0.064888122,0.129681707,0.163506644,0.250346732,0.065003951,0.126398911,0.178468682,0.11693784,0.064364213,0.208061646,0.361809883972542,0.353625224440807,1.96932763936616
"T6138",0.062344494,0.060126053,0.065689189,0.133404153,0.16564259,0.260639813,0.06588414,0.129902629,0.184445512,0.119977616,0.063131146,0.192697717,0.352829315061037,0.377693051645242,1.98508404922276
"T6143",0.057262812,0.053587186,0.063371237,0.135813978,0.160033743,0.257832244,0.07058005,0.132569045,0.168933378,0.123081941,0.063137896,0.225019189,0.390181883972852,0.278845013789982,1.9203715105819
"T6155",0.061480158,0.057803043,0.06736975,0.128616566,0.158783501,0.220201902,0.076314424,0.125838415,0.181738061,0.117734514,0.059827649,0.219846369,0.295834012960309,0.536420414049337,2.08899759971708
"T6136",0.064277621,0.059931971,0.069840863,0.128402535,0.158482738,0.243064966,0.062455916,0.125442886,0.183398751,0.117275323,0.068621402,0.218578722,0.341604290953671,0.408088664393028,2.00498305083303
"T6151",0.058134376,0.055619341,0.064771749,0.135600854,0.16970223,0.229335265,0.070876883,0.132442327,0.186280036,0.123549587,0.060570248,0.233333477,0.351498768884729,0.381277243400413,1.98743050093273
"T6171",0.059003145,0.057554434,0.063720362,0.13002897,0.159602867,0.231751251,0.073557225,0.12675409,0.174603802,0.117153325,0.058694066,0.212637108,0.31802890148034,0.473217795545245,2.04762093730787
"T6131",0.055802285,0.06467495,0.055241446,0.138179731,0.219267684,0.141452885,0.101903727,0.235389954,0.276243065,0.071523686,0.05655471,0.217894664,0.480280376520039,0.0494499116500873,1.77019412989389
"T7305",0.087084007,0.065151818,0.07298522,0.066625732,0.220502623,0.173252784,0.099277551,0.099408991,0.099715897,0.064646077,0.073536129,0.087533444,0.293454965318138,0.5433193690123,2.09351411718479
"T7307",0.084534887,0.07889427,0.083669313,0.072722973,0.207088167,0.165357846,0.074653376,0.075136841,0.07428857,0.072311544,0.081811699,0.083045725,0.262602214074973,0.635343470167436,2.15375925033161
"T7308",0.091786698,0.078943066,0.079724504,0.05218949,0.198810073,0.149812192,0.056046588,0.059261534,0.069210901,0.052258037,0.064379943,0.092288603,0.407752485294455,0.233330250106309,1.89057450127836
"T7309",0.082753136,0.07059952,0.079211764,0.077741404,0.203246242,0.169605946,0.06913628,0.093367253,0.079472332,0.076147573,0.076202298,0.084007355,0.238577059391574,0.710887231857153,2.20321525070848
"T7310",0.087967043,0.07291188,0.078555826,0.056673492,0.20521,0.16521154,0.062380304,0.070141245,0.079171537,0.056310053,0.064453094,0.087995777,0.404374777676655,0.242039501375871,1.89627615981952
"T7311",0.075099498,0.075872417,0.07149936,0.064795566,0.164660738,0.177870772,0.083622022,0.091885617,0.094347793,0.062803068,0.078564725,0.087319842,0.125261421335651,1.14908036818273,2.49008579343135
