"","argO","argP","lrp","lysP","pval","z","inv_cof_var"
"T1776",0.0518463,0.307953819,0.211226448,0.050359599,0.456668694974045,0.108829922625569,48.6113107209636
"T1780",0.067264288,0.311659833,0.213958633,0.065648842,0.443996896363191,0.140843227602364,58.178221699598
"T1782",0.058656956,0.206978309,0.185878119,0.057743541,0.40218553280628,0.247694140781561,90.1097318986269
"T1786",0.057269237,0.202843735,0.168214623,0.061970774,0.497536748729163,0.00617449451590895,17.933586477541
"T1788",0.049867973,0.37564033,0.197170536,0.049873993,0,39.1496978266108,11715.6512504204
"T1794",0.055650288,0.325053461,0.141982115,0.058946594,0.488661894160453,0.0284242437170426,24.5827396986307
"T1796",0.072830888,0.314315638,0.168576038,0.07831384,0.495455979847582,0.0113904156914848,19.4923213096515
"T1808",0.060600504,0.242271374,0.144177745,0.057905965,0.479970198076947,0.0502283799596278,31.0987251787312
"T1815",0.079005501,0.310895503,0.172700699,0.075376599,0.481325889581381,0.0468261600884412,30.0819999558598
"T1822",0.058950805,0.201524643,0.187779228,0.059338279,0.251903669537021,0.66851119369117,215.867421908942
"T1823",0.054007184,0.189111787,0.174841094,0.054169106,0.0633880928748981,1.52693897902638,472.401453925975
"T4797",0.099756832,0.08515777,0.117860586,0.105946061,0.490105282135285,0.0248049230140036,23.5011356907284
"T4807",0.07269503,0.092690633,0.112536478,0.0685817,0.489057421201914,0.0274324176783283,24.2863407037269
"T4808",0.063352888,0.079593028,0.110197254,0.060129363,0.485320790130448,0.0368036292834893,27.086849656286
"T4803",0.094069864,0.104889663,0.436260851,0.091108897,0.462497535585492,0.094143619128642,44.2224305893387
"T0866",0.069586942,0.076257668,0.563609929,0.070452956,0.371158417598977,0.328786807651915,114.343603582012
"T2218",0.051860498,0.06315086,0.366582607,0.055471909,0.493422844088529,0.0164872318946793,21.015462607489
"T2211",0.053146908,0.076087205,0.328697874,0.050278082,0.487448425207367,0.0314673246133568,25.4921392141423
"T2214",0.075563035,0.09094495,0.332626432,0.07727557,0.437489752862479,0.157336690220715,63.1071563632814
"T2121",0.071248833,0.063393158,0.317259196,0.068276819,0.477174211341517,0.0572470204032179,33.1961877294907
"T6065",0.051295152,0.104737756,0.373369513,0.054859829,0.493366837938961,0.016627637737574,21.0574217304482
"T6060",0.056642276,0.117502595,0.346189582,0.060056027,0.489209624993363,0.0270507577594382,24.1722847988217
"T6071",0.051901462,0.101818203,0.387601617,0.055860811,0.495785530234173,0.0105643055784094,19.2454451462541
"T6073",0.051240606,0.102122397,0.377181116,0.053589614,0.479360057085572,0.0517597665807648,31.5563673837116
"T6067",0.05121326,0.102075626,0.389258813,0.054627724,0.492217148643498,0.0195099529025545,21.9187777390117
"T6075",0.051738189,0.10257389,0.358690357,0.055105021,0.491522334418535,0.0212519558664882,22.4393608931893
"T6039",0.072669059,0.119698296,0.071889688,0.071266904,0.425023547479473,0.18905833680825,72.5869076485245
"T6052",0.071963703,0.119698296,0.070123857,0.07128262,0.328587137088026,0.443817860731597,148.719680822071
"T6063",0.060598421,0.119698296,0.061135081,0.060462476,0.0200236503019275,2.05326069588154,629.688338704823
"T6087",0.038320434,0.119698296,0.267263692,0.037881465,0.360578682517441,0.356912428526674,122.748712374206
"T6100",0.039475185,0.119698296,0.221771566,0.039035256,0.356275346730953,0.368432599517201,126.191420036064
"T6153",0.057555619,0.096814909,0.076996971,0.06151952,0.493121258569651,0.0172433022211496,21.2414079609028
"T6169",0.056741472,0.092908593,0.070494664,0.060336225,0.490734319189906,0.0232277059930762,23.0297974504518
