"","alsR","rpiB","pval","z","inv_cof_var"
"T7319",0.068923063,0.067176255,0.49495458167349,0.0126473253932989,55.0929184390409
"T7320",0.060418104,0.061168654,0.422565753094115,0.195333968516357,114.549092111501
"T7321",0.064774096,0.063708654,0.458040117185899,0.105372502534063,85.2707362676672
"T7322",0.055506953,0.055931364,0.339491835389833,0.413850399747309,185.666228336957
"T7323",0.080944149,0.080118589,0.394639984920494,0.267245728451876,137.953091521236
"T7324",0.06244939,0.062988228,0.363488137939603,0.349150566376354,164.609382233044
"T7326",0.072944881,0.07454691,0.482692917105644,0.0433960401760239,65.1002232702714
"T7328",0.070634184,0.07096775,0.221930787721847,0.765688661130118,300.173542149176
"T7330",0.059740202,0.060587653,0.439648235781234,0.151861123472006,100.40066297182
"T7332",0.073430317,0.071975249,0.475885192936188,0.0604837147206364,70.6614823093277
"T7334",0.07736409,0.078731748,0.463610117423825,0.0913427695217052,80.7046977861396
"T7336",0.057873876,0.058826911,0.456436588504061,0.109415201594088,86.5864505054971
"T7340",0.070590524,0.071031685,0.294307881341342,0.540843056535432,226.996548540146
"T7342",0.062052035,0.061741892,0.23866819331756,0.710593154019962,282.242466382968
"T7344",0.076998439,0.076624192,0.231103635948995,0.735217123793894,290.256445940292
"T7346",0.066810414,0.066228765,0.366808472086559,0.3403181581285,161.734836016894
"T7348",0.074333169,0.075413525,0.442545345701791,0.144518952771423,98.0111211375397
"T7352",0.079888892,0.079968381,1.26139407773117e-05,4.21275127668829,1422.03527230543
"T7354",0.072282536,0.073772986,0.477560562626944,0.0562770199320596,69.2923949384016
"T7356",0.051667447,0.052785515,0.481517797125513,0.0463445969474097,66.0598440749765
"T7358",0.060435991,0.059918504,0.363665858732832,0.348677127545523,164.455299477633
"T7362",0.066625849,0.066552534,7.52987507199748e-05,3.7900820986509,1284.4757242959
"T7364",0.086289297,0.085789055,0.27734517637997,0.590746401039387,243.237812088162
"T7366",0.055389705,0.055121343,0.230235462365613,0.738071626237974,291.185456349385
"T7370",0.050063527,0.050547267,0.383900763448308,0.295251809347867,147.067794058714
"T7372",0.06109328,0.06059861,0.352767684431309,0.377858963204842,173.952656588042
"T7376",0.052085622,0.051069809,0.474484432222961,0.0640017109699693,71.806429703421
"T7378",0.053935089,0.054462771,0.38602893236003,0.289684174048161,145.255782596544
"T7380",0.060007112,0.059141589,0.443358395515656,0.142459849854503,97.3409770123594
"T7382",0.06326063,0.063926174,0.397983518644858,0.258569994103362,135.129535516576
"T7384",0.059206112,0.058698316,0.363981026487183,0.347837729327654,164.182113625789
"T7404",0.057073513,0.057403749,0.275410100900822,0.596531522624892,245.120605421183
"T7406",0.062095209,0.061195372,0.4439132306195,0.141055040109494,96.8837754854816
"T7408",0.068161791,0.070037053,0.498609974552722,0.00348428413859588,52.1107662526845
"T7386",0.052125771,0.053440086,0.492868588528053,0.0178767497578332,56.7948576608116
"T7390",0.046366628,0.047403719,0.484120915557293,0.0398134776824914,63.9342625072591
"T7394",0.059509464,0.060389561,0.44458310682717,0.139359323670761,96.3318970922013
"T7396",0.050412785,0.051609352,0.488585909282948,0.0286147870343928,60.2895992483858
"T7398",0.077923191,0.07636734,0.476544924247719,0.0588270681856872,70.1223193885362
"T7400",0.070466748,0.071070515,0.362158994403957,0.352693825508303,165.762551543696
"T7402",0.067775828,0.069243873,0.48159392011867,0.0461535807195528,65.997677001218
"T7416",0.078281764,0.079416935,0.442277736760383,0.145196823901934,98.2317372864504
"T7418",0.084172851,0.083086915,0.429357322380171,0.178010608073691,108.911128057523
"T7420",0.081412314,0.079282614,0.497085776249301,0.00730494061948204,53.3542157539015
"T7422",0.062359985,0.061020348,0.482663296130471,0.0434703590160032,65.1244106644968
"T7424",0.072869355,0.072654072,0.0947573086231247,1.31201635222258,477.978298580042
"T7426",0.073403855,0.074927548,0.478118176923939,0.0548771277224161,68.8367938450955
"T7428",0.088922472,0.087717183,0.435739110924363,0.161781119211866,103.629169333622
"T7430",0.075610064,0.07393141,0.485275078731733,0.0369182886371578,62.9920104643552
"T7434",0.069617702,0.07124128,0.48728981004335,0.0318651132620658,61.3474322534759
"T7223",0.08192416,0.080897204,0.425501153561988,0.187839708207748,112.110052043558
"T7224",0.077063537,0.075733363,0.46297471946071,0.0929422517942251,81.2252563456228
"T7225",0.067105952,0.067236014,0.0184197106910579,2.08753920067657,730.375629749907
"T7227",0.079475291,0.079192657,0.143871493654417,1.0630859237603,396.962792826599
"T7229",0.080339237,0.080367858,1.0562752870319e-33,12.0429532096026,3970.40902341865
"T7230",0.053992303,0.05520974,0.484743121578208,0.0382526497493615,63.4262841730002
"T7232",0.061804982,0.062631322,0.432290914868941,0.170544641466779,106.481296299575
"T7233",0.06780781,0.066232113,0.488755122868721,0.028190460353094,60.1515002586301
"T7234",0.052350642,0.05265598,0.277408746624902,0.590556686850377,243.176068768688
"T7436",0.070850442,0.071005829,0.0338610632728149,1.82685132447418,645.533610777814
"T7438",0.077227533,0.078127028,0.413474276522241,0.218616815141367,122.126597225509
"T7440",0.082461545,0.082863939,0.23085886093322,0.736021322070792,290.51817581611
"T7235",0.076277446,0.074329144,0.495484741106602,0.0113183172590222,54.6603868806695
"T7236",0.056370213,0.056767835,0.322193709298715,0.461573197836566,201.197823437861
"T7237",0.077906318,0.075958933,0.494002904848181,0.0150330544808365,55.869364491906
"T7238",0.059920605,0.059910796,9.97075621998216e-154,26.3858011854868,8638.35215069718
"T7239",0.047461676,0.048286096,0.46187906744577,0.0957008889131507,82.1230669618683
"T7240",0.052271787,0.053708361,0.49854315507873,0.00365177678775333,52.1652774740137
"T7442",0.082006831,0.080978548,0.425539563429798,0.18774171623053,112.078160122417
"T7444",0.081788245,0.080344069,0.465222253920162,0.0872855899696368,79.3842708083137
"T7446",0.076162071,0.074739364,0.470578703540859,0.073815231529626,75.0002832482594
"T7241",0.059831083,0.058322228,0.494613578004149,0.013502167922759,55.3711307102027
"T7242",0.068798822,0.069532367,0.400099987672913,0.253088305857417,133.345495902089
"T7243",0.07423804,0.072302555,0.49686185988397,0.00786623186777165,53.5368904660131
"T7244",0.063849524,0.064398634,0.362865601571889,0.350809588639682,165.149318345113
"T7245",0.055474371,0.055182565,0.252297808105986,0.667276371620688,268.14482851938
"T7246",0.060294278,0.060253555,1.74929451629819e-10,6.27490007800988,2093.17069399712
"T7247",0.070763242,0.069787104,0.43793670885392,0.156202485413561,101.813578361579
"T7248",0.058169173,0.058387272,0.157571657620184,1.0044882847671,377.891932794268
"T7249",0.067106994,0.066445878,0.388867394994634,0.282272213553673,142.843527366058
"T7250",0.053261626,0.053130404,0.0542549678868476,1.60492670486501,573.307264614184
"T7251",0.070604362,0.069860841,0.399814654154395,0.253826877173623,133.585867194128
"T7252",0.052589293,0.053176218,0.407147265625872,0.234889458952373,127.422600917938
"T7253",0.067310013,0.067600986,0.197457319859094,0.850738485111326,327.853382442878
"T7255",0.076466792,0.075996572,0.291903615462463,0.547832047976696,229.271146626922
"T7256",0.05581019,0.056502225,0.422313976411007,0.195977275238259,114.758459121197
"T7258",0.053853282,0.054217929,0.313027202170942,0.487287782818335,209.566748524307
"T7448",0.085890523,0.083965132,0.486024672161447,0.0350381197944802,62.3801012227557
"T7450",0.076432917,0.075701253,0.3839474495051,0.29512957343907,147.028011843122
"T7452",0.061363167,0.061716241,0.274003753239047,0.600748505757295,246.49304117898
"T7259",0.075558066,0.075682381,0.0064480893210691,2.48662353618406,860.259386746353
"T7260",0.064544606,0.065801693,0.472634018114236,0.068650228943121,73.3193103782555
"T7261",0.061890172,0.063574756,0.497931703207797,0.00518447444495895,52.6641006859154
"T7263",0.062953317,0.06425806,0.477989001868509,0.0552014123795519,68.9423337168911
"T7264",0.04853815,0.049347763,0.457769863791356,0.106053723141929,85.4924425187545
"T7265",0.057560519,0.059080891,0.495989578097648,0.0100528062520155,54.2485207423973
"T7267",0.075058413,0.075181089,0.00613623981240575,2.50421107050005,865.983327352441
"T7269",0.075777112,0.075867007,0.000225355090155059,3.50845930629003,1192.82034453476
"T7454",0.076446341,0.076838993,0.244611064199226,0.691546565151593,276.043670038219
"T7456",0.066085673,0.067113851,0.450326909101665,0.124835454620975,91.6050398580984
"T7458",0.057314672,0.058606772,0.484728202653182,0.0382900733457462,63.4384638474858
"T7460",0.056531674,0.057305037,0.435188896711545,0.163178627516224,104.08399457444
