"","amn","mipA","phnC","phnD","phnE_1","phnF","phnG","phnH","phnI","phnJ","phnK","phnL","phnM","phnN","phnO","phnP","phoA","phoB","phoE","phoH","psiF","ydfH","yegH","yhjC","ytfK"
"phnK",0.0828119405843029,0.160839780556712,0.279662466318766,0.515616432299224,0.327560104483753,0.472777438545266,0.488350675998873,0.469508633986289,0.363872222961034,0.39380613311939,1,0.501267934426036,0.116420251877115,0.528305468966785,0.329343254470116,0.583648923447231,0.300128219416798,0.132594631243111,0.185017711943389,0.299681585524866,0.0514699848168848,0.340418042353497,0.376403651001584,0.398272092711623,0.220638788121304
"phnL",0.116628815540487,0.256494565242221,0.275651612010766,0.383733385012871,0.412137508504343,0.489914971837544,0.380840091488797,0.628602141418474,0.573542408993909,0.302558793101411,0.501267934426036,1,0.284948573562078,0.53124090764656,0.535076736183273,0.565597195833512,0.507463086017549,0.202951466876333,0.288701329702769,0.309674454676522,0.0242527074502137,0.241182623324442,0.237654435097757,0.340637017219287,0.145214324592582
"phnM",0.143159044880038,0.175227328854526,0.301021995784491,0.0918738635791748,0.306153663948353,0.206995006144685,0.282318730170984,0.222890857901064,0.343617481820273,0.218680735783577,0.116420251877115,0.284948573562078,1,0.228780061455152,0.274583201730833,0.120455239589864,0.163417778140744,0.270349386154644,0.237431672651132,0.243474841652911,0.0844688217388,0.183245323687378,0.0987347282742504,0.30765542266979,0.0362985837163478
"phnN",0.157930715645066,-0.0335673652741889,0.430404772811276,0.54576300373087,0.29901842823758,0.559945798187868,0.321720808274425,0.366923423270313,0.328466968517306,0.249950949223707,0.528305468966785,0.53124090764656,0.228780061455152,1,0.343890264161288,0.489624585903261,0.305296752044991,0.202750618022008,0.165080796428283,0.363821711999189,-0.0169182655256658,0.29346633588397,0.238502013016615,0.445041844602692,0.228257826814739
"phnO",0.0268502624741668,0.15076111519042,0.111397294795261,0.293141586197639,0.415504608543055,0.161153459196016,0.356416135705784,0.507445397198711,0.577729066535186,0.204701534859633,0.329343254470116,0.535076736183273,0.274583201730833,0.343890264161288,1,0.454982231909572,0.494209272259647,0.101125009443936,0.325695500962063,0.433413857054314,-0.00508706053433097,0.376015850683874,0.403268911331941,0.296494398231734,0.13657678165511
"phnP",0.052669256976076,0.138505301827601,0.159450657032284,0.420002274928147,0.414527874753115,0.423351006643273,0.390502543518521,0.597433144537233,0.547870929237705,0.233950996895263,0.583648923447231,0.565597195833512,0.120455239589864,0.489624585903261,0.454982231909572,1,0.555589242051449,0.166181616308189,0.319348308004047,0.313757547194924,0.0872383385319569,0.324001275807848,0.253323606108065,0.285667391882617,0.153171476276826
"phoA",-0.0620188300219701,0.0898908603795654,0.164537226878725,0.273896853964869,0.491012950694575,0.204754093565332,0.308031360125248,0.498724624418044,0.554117246919738,0.122944318419149,0.300128219416798,0.507463086017549,0.163417778140744,0.305296752044991,0.494209272259647,0.555589242051449,1,0.253948707304095,0.404387345850081,0.251447858917469,0.0578932793819178,0.258820943169835,0.111110966071355,0.330089898258153,0.016882798629981
"phoB",-0.137614562184575,0.0329690988236968,0.141141983407528,0.190699435720155,0.0298630721733479,0.156432908849822,0.158412667733769,0.162693137800375,0.176055180510464,0.261133057935104,0.132594631243111,0.202951466876333,0.270349386154644,0.202750618022008,0.101125009443936,0.166181616308189,0.253948707304095,1,0.00921532943864722,0.118675561756818,0.102561237413708,0.235089292760063,-0.0392260804595695,0.253178550637634,-0.0293616182182841
"phoE",0.365672752165285,0.109963374032709,0.366060974954528,0.104082046746292,0.615631035206306,0.235058748582678,0.302424398328985,0.337111811596759,0.218785990043247,0.021326367614098,0.185017711943389,0.288701329702769,0.237431672651132,0.165080796428283,0.325695500962063,0.319348308004047,0.404387345850081,0.00921532943864722,1,0.305465331192589,-0.0862977200168367,0.117395650107445,0.244819110269892,0.30258805251285,0.149690384753138
"phoH",0.144216670444066,-0.0711284890816195,0.298022475116067,0.266941759536473,0.344836827487969,0.332215287428426,0.390968093179804,0.274040541025661,0.25414888605493,0.142840547172606,0.299681585524866,0.309674454676522,0.243474841652911,0.363821711999189,0.433413857054314,0.313757547194924,0.251447858917469,0.118675561756818,0.305465331192589,1,-0.0702567778216745,0.376107220206378,0.461444512715655,0.485689577375183,0.21135834370487
"psiF",0.0149766477103408,0.0388063924007936,-0.00890046524275659,0.135032900320199,0.0467171724424886,0.0812155633887595,0.0516204148672521,0.113045279226239,0.0330038684720316,0.217499152543916,0.0514699848168848,0.0242527074502137,0.0844688217388,-0.0169182655256658,-0.00508706053433097,0.0872383385319569,0.0578932793819178,0.102561237413708,-0.0862977200168367,-0.0702567778216745,1,0.0147852103824681,0.140583273242309,0.119789405845638,0.177971493620331
"ydfH",-0.164536264198285,-0.0258574206116974,0.00865794294582599,0.224959538133814,0.122860655544526,0.116700183169504,0.274983402562129,0.291574486401508,0.381113912012809,0.26674186504315,0.340418042353497,0.241182623324442,0.183245323687378,0.29346633588397,0.376015850683874,0.324001275807848,0.258820943169835,0.235089292760063,0.117395650107445,0.376107220206378,0.0147852103824681,1,0.365530038614048,0.215404927833729,0.0351767498334269
"yegH",0.134199048160015,0.0570605570370038,0.075103949760703,0.342414157335969,0.312840071911362,0.189543898661275,0.353298492388855,0.260209287278126,0.267633106886464,0.349820941342923,0.376403651001584,0.237654435097757,0.0987347282742504,0.238502013016615,0.403268911331941,0.253323606108065,0.111110966071355,-0.0392260804595695,0.244819110269892,0.461444512715655,0.140583273242309,0.365530038614048,1,0.304408282787187,0.276841963740836
"yhjC",0.248040283929204,0.0494585816731288,0.545307040967886,0.398996391820798,0.456057705467126,0.511881273957023,0.376316027991436,0.33287203549463,0.179584158627802,0.294321415153618,0.398272092711623,0.340637017219287,0.30765542266979,0.445041844602692,0.296494398231734,0.285667391882617,0.330089898258153,0.253178550637634,0.30258805251285,0.485689577375183,0.119789405845638,0.215404927833729,0.304408282787187,1,0.24510363514582
"ytfK",0.260671596920659,-0.0309642088843281,0.22439344694983,0.330484140156984,0.244797474351242,0.290713831162448,0.217000853453896,0.189111265972703,0.0689831280911555,0.176056590554839,0.220638788121304,0.145214324592582,0.0362985837163478,0.228257826814739,0.13657678165511,0.153171476276826,0.016882798629981,-0.0293616182182841,0.149690384753138,0.21135834370487,0.177971493620331,0.0351767498334269,0.276841963740836,0.24510363514582,1
