"","crp","fis","hupA","trg","pval","z","inv_cof_var"
"T6959",0.281257843,0.073173297,0.170929553,0.14270662,0.496533258876482,0.0086899406900425,7.85794533664156
"T6963",0.286169212,0.067561211,0.122503228,0.147541335,0.497441765590457,0.00641258665277183,7.62638891669638
"T6985",0.290540961,0.056038273,0.112761479,0.122005001,0.456984257378763,0.108034261178813,17.959060410447
"T6988",0.291755753,0.058271922,0.145228584,0.128197302,0.482828773898357,0.043055179403939,11.3521282862054
"T6989",0.271555303,0.068794914,0.136497994,0.127896455,0.442287802978187,0.145171324301403,21.7350764550368
"T6992",0.302988518,0.070256133,0.087803981,0.098352692,0.478414382417372,0.0541335469336316,12.4785526725897
"T4096",0.071908715,0.079096623,0.137337525,0.128363978,0.445387962090011,0.137322452301778,20.9370201708152
"T4100",0.115954894,0.063715335,0.13986459,0.150222533,0.449797335958101,0.126173393527553,19.8034080519845
"T4102",0.11454778,0.119041319,0.104066498,0.087436948,0.495415123572598,0.0114928338892045,8.14293743890796
"T4844",0.293858076,0.06474995,0.12862355,0.135335586,0.418826310853636,0.204896971127733,27.8078507060662
"T6961",0.307693495,0.060957093,0.098262757,0.101017896,0.331991199865214,0.434421483645313,51.1454054026254
"T6972",0.284998083,0.055167698,0.120134408,0.120774153,0.00538278538975282,2.55021758179646,266.274964445199
"T4107",0.329792114,0.040843719,0.131968737,0.143038332,0.458513980992234,0.104178164362951,17.5669808483632
"T5056",0.269310656,0.095025649,0.093244739,0.098850519,0.432616923775473,0.169715545934015,24.2306796851784
"T6973",0.264389519,0.059041063,0.135607156,0.116707975,0.490325691388303,0.0242522727147665,9.44028950916297
"T6979",0.31021189,0.055109941,0.118412811,0.110956687,0.442220475087965,0.145341880156988,21.7524182045731
"T4833",0.300018322,0.113687929,0.12057773,0.120704227,4.60830891125263e-40,13.1962878429098,1348.74430202026
"T4841",0.310862073,0.054816193,0.132812303,0.137925011,0.382215102593064,0.299668268142118,37.443990669843
"T1782",0.199750001,0.267250025,0.116934914,0.107203244,0.463516122964921,0.0915793662046309,16.2859623727954
"T1785",0.213252247,0.320414319,0.108342453,0.107203244,0.106158111041651,1.24722168967514,133.789167750852
"T1786",0.149567023,0.27698913,0.11614257,0.107203244,0.458124446911479,0.105159944842026,17.6668061584318
"T1787",0.210251079,0.249083449,0.109258263,0.107203244,0.253366264941828,0.6639340377231,74.4817441909588
"T1799",0.201900943,0.282138702,0.09889299,0.107203244,0.458633270306364,0.103877528075432,17.5364128025942
