"","ykgM","znuA","znuB","znuC","zur","pval","z","inv_cof_var"
"T8254",0.044086189,0.044593754,0.045806044,0.044718074,0.10985501,0.117366204905863,1.1882563990551,61.9119936849501
"T8255",0.053738011,0.058487899,0.056162355,0.059117785,0.163199838,0.384538677716881,0.29358196918379,23.2325969741722
"T8256",0.062726766,0.064312845,0.061397628,0.064321823,0.104326062,0.21406457730536,0.792397126117679,44.7978375759071
"T8304",0.051086473,0.052525838,0.050993858,0.052722159,0.096454216,0.144303048727979,1.06118442207841,56.418299840351
"T0509",0.05048716,0.054140512,0.060712258,0.054779542,0.163510254,0.477339133521339,0.0568329487453675,12.9972432223688
"T0510",0.051570119,0.054633335,0.060013721,0.054813605,0.163510254,0.451802186220253,0.121109414418218,15.7761031427138
"T0511",0.053644046,0.057862161,0.065367837,0.058554127,0.163510254,0.485345708606198,0.0367411256829602,12.1286148488214
"T1634",0.059668086,0.067472105,0.059688984,0.057636905,0.114353171,0.46750119762171,0.0815527259383937,14.0659516113955
"T1637",0.053456018,0.059908044,0.051322448,0.058629546,0.082515595,0.471623167829908,0.0711902568381127,13.617951713499
"T8190",0.044169641,0.046412384,0.0410631,0.047209459,0.078411316,0.447539851344213,0.131879374749452,16.2417200803423
"T8192",0.034770741,0.035752348,0.033897623,0.036823969,0.073140486,0.343213704779973,0.403708063209117,27.9936706528138
"T8193",0.040726599,0.041863087,0.037664747,0.044007977,0.075950259,0.454049555374058,0.115436548905261,15.5308485469229
"T1588",0.04685723,0.047359078,0.049190722,0.052886881,0.108397479,0.431899598422448,0.171539979954557,17.956364236137
"T1590",0.031083038,0.03083432,0.031256677,0.03553631,0.075813003,0.465095500327288,0.0876045311967982,14.3275888825533
"T1591",0.049770254,0.049243814,0.050868584,0.055935387,0.098835239,0.442447669760841,0.144766364671518,16.7988624093961
"T1593",0.03644684,0.036697741,0.03819023,0.040236561,0.094807182,0.397651518251026,0.259430581600053,21.7561324363795
"T8188",0.048484215,0.049146916,0.047172075,0.051025731,0.072292914,0.32208357467023,0.461880317620899,30.5086276369732
"T8189",0.050401408,0.0532237,0.049159839,0.05331973,0.076715395,0.370870034463893,0.329549919329333,24.787596833454
"T8191",0.046872962,0.049360131,0.04641657,0.04948712,0.077114311,0.328615718609599,0.443738803776155,29.7243168446821
"T2299",0.046520839,0.047941597,0.043696875,0.042890561,0.163510254,0.421478771422738,0.198111863779858,19.1051446209518
"T0878",0.084778372,0.085231569,0.082361031,0.085929948,0.016177089,0.154317283307096,1.01809130599459,54.5552581831199
"T0880",0.074255866,0.074262565,0.074811163,0.074254536,0.163510254,1.16058418275301e-09,5.97357019979217,268.79512871642
"T0327",0.585039292,0.606511498,0.705903661,0.655858934,0.076940297,0.488044959716795,0.0299713285038498,11.8359366834468
"T0875",0.069692237,0.072355597,0.079757617,0.071233265,0.170843357,0.446104625510794,0.135509250317911,16.3986502355311
"T0876",0.068474115,0.068743308,0.071126016,0.067726057,0.163510254,0.199873502802008,0.842073156677748,46.945477911762
"T0877",0.069924991,0.070971879,0.073151357,0.07388402,0.016641379,0.255411808326708,0.657555780651081,38.9682511697461
"T2296",0.055381152,0.05940147,0.054195166,0.054139535,0.163510254,0.391242832648576,0.276081245126721,22.4759894017096
"T2297",0.061245696,0.064965639,0.061264278,0.060484456,0.163510254,0.320185988425481,0.467178776398455,30.7376955327018
"T2298",0.052391809,0.05440475,0.052635349,0.052011061,0.163510254,0.181756161588317,0.908692767084762,49.8256388436231
"T2380",0.060277685,0.058026795,0.054638912,0.058388986,0.108683953,0.372150385535488,0.326163347124932,24.6411853954938
"T2381",0.062900217,0.061708877,0.060957694,0.059325142,0.120633898,0.241250124927981,0.702286918164535,40.9021092922546
"T2382",0.06800455,0.06180854,0.058059604,0.062199988,0.106768248,0.456853248169314,0.108364580463777,15.2251066326116
"T2389",0.093615348,0.084131324,0.084465993,0.085632048,0.139368434,0.418811495577383,0.204934895449094,19.4001242692944
"T2390",0.075324653,0.073285738,0.082249491,0.06667042,0.154778736,0.49026632350273,0.0244011299749711,11.5951206821587
"T2861",0.053049205,0.052865571,0.05314658,0.058388971,0.091407568,0.411298182798099,0.224206834606568,20.2333066596362
"T0735",0.06200526,0.065054159,0.069151605,0.05529599,0.136575168,0.497923436026681,0.00520519747451332,10.7652242822746
