"","folE","metA","metC","metF","metJ","yeiB","pval","z","inv_cof_var"
"T8252",0.150418971,0.088952415,0.073934811,0.075503292,0.404795666,0.065725168,0.253431448391132,0.663730371860224,2.65063254252552
"T8253",0.074112106,0.060181034,0.076390647,0.06185234,0.452157378,0.050499711,7.59674856874786e-05,3.78788527658302,6.05503836682934
"T8254",0.062806865,0.045606793,0.052123074,0.104043618,0.41319916,0.065044849,0.185997808695841,0.892741506229488,2.90018701836107
"T8255",0.148512352,0.058594505,0.093741576,0.088280022,0.392504923,0.050063318,0.377205248968517,0.312829110082892,2.268253839874
"T8256",0.102067342,0.073181312,0.176113304,0.128185676,0.430520077,0.063055598,0.338777109036131,0.415802925345388,2.38046487521686
"T0509",0.228089739,0.052645757,0.198432624,0.157812193,0.102999148,0.092092431,0.473193577524178,0.067244379845226,2.00063904115921
"T1634",0.141468921,0.073726119,0.07350478,0.065016047,0.459406779,0.054198895,0.342116062306807,0.406694848416232,2.37053976231706
"T1635",0.043964247,0.074945885,0.08502982,0.047708268,0.23663678,0.044398435,0.149479851890328,1.0386668495124,3.0592025293509
"T1636",0.098160035,0.04742423,0.047567367,0.087422269,0.369849569,0.065048672,0.163502101304421,0.980165963449167,2.9954538474467
"T1637",0.071546211,0.068342384,0.068813589,0.054382826,0.332490452,0.050304094,1.28061195069067e-05,4.20933589347129,6.51429502296437
"T1638",0.057268179,0.05898331,0.041259858,0.108841513,0.614095363,0.036693722,0.431834054638588,0.171706711364824,2.11447211944482
"T0344",0.149832193,0.259657587,0.354565898,0.317006661,0.352001785,0.092092431,0.432238158939167,0.170678819683796,2.1133520211999
"T0345",0.106177848,0.297004752,0.31078542,0.309462878,0.323685728,0.092092431,0.485373723840561,0.0366708545811409,1.96732293147425
"T0346",0.140204398,0.267292176,0.345749851,0.329762146,0.356997099,0.092092431,0.448910557252229,0.128414300734457,2.06729618246571
