"","cysB","cysC","cysD","cysK","cysN","tcyP","yciW","ygeH","yoaC","pval","z","inv_cof_var"
"T0491",0.124435649,0.086087615,0.223191971,0.300985572,0.238973512,0.209205127,0.07514397,0.051154876,0.11679982,0.498982145952549,0.00255138450285103,1.77441187507952
"T0492",0.121742338,0.086185275,0.212204471,0.274236314,0.226993659,0.198816155,0.075275282,0.053016105,0.107687507,0.457915800709831,0.10568585770597,1.85720343768176
"T0493",0.123518402,0.092982371,0.202557601,0.214927182,0.215169186,0.185576941,0.083086694,0.048583676,0.08123149,0.387831494066844,0.28497540084457,2.0011287516304
"T0497",0.120281075,0.10322753,0.206041666,0.290237759,0.219206081,0.188361708,0.092421197,0.049207876,0.115106821,0.407220718145886,0.234700195106532,1.96077015266802
"T0499",0.111155104,0.098414649,0.215155394,0.247298187,0.230904077,0.195392669,0.08906778,0.047502238,0.096952444,0.402351993329938,0.247263910905762,1.97085571989693
"T0711",0.132650394,0.110964474,0.218614849,0.266563601,0.240291866,0.234229942,0.100829106,0.10089168,0.127688844,0.195371607121038,0.85827032004809,2.46134327271791
"T1075",0.141780358,0.103669979,0.276666178,0.111691793,0.30578592,0.25347824,0.091562936,0.086660558,0.133984894,0.45809868907744,0.10522486836905,1.85683337686348
"T2000",0.071180942,0.071490754,0.192471798,0.247560854,0.198726256,0.140929948,0.071570555,0.068299925,0.097737138,0.410422275941573,0.226458861513305,1.95415439302027
"T2323",0.021557709,0.060540334,0.20035591,0.185216602,0.21381842,0.191502347,0.044922882,0.078098805,0.087694689,0.451668769061002,0.121446310140515,1.86985519653454
"T2324",0.027550122,0.065972035,0.203032877,0.12136587,0.219930151,0.192850836,0.049923054,0.061688326,0.09304208,0.48066336865858,0.0484887409391621,1.81128825019502
"T2325",0.020722209,0.067364093,0.207443521,0.133804174,0.22379479,0.197462824,0.049782572,0.054571777,0.093875587,0.498710842306723,0.00323144474833575,1.77495779584334
"T2329",0.088397674,0.090174753,0.184304957,0.117760015,0.198826251,0.17155142,0.084697822,0.06060185,0.088405043,0.232418352516032,0.730905780426138,2.359100938725
"T2330",0.095029022,0.103723508,0.199624635,0.163529063,0.211599469,0.188271943,0.090027121,0.050834183,0.118020156,0.212556143255252,0.797583401387717,2.41262663443624
"T2331",0.074753072,0.082611382,0.18083848,0.09361908,0.197580938,0.165664572,0.07666864,0.068150062,0.076815463,0.302741012077131,0.516533247363823,2.18701263071303
"T2336",0.081002042,0.06436782,0.152074577,0.239075502,0.164035998,0.144525819,0.058285493,0.10731999,0.081306725,0.353469463148176,0.375970366913211,2.07417528200753
"T2525",0.100163234,0.07889673,0.201824095,0.24351713,0.213181359,0.187994562,0.068009691,0.049426359,0.108671147,0.436826118545761,0.159021116337262,1.90001850491135
"T2526",0.091292781,0.073310183,0.168773896,0.163075072,0.178741398,0.156884597,0.064156804,0.059328788,0.091162215,0.255007402025013,0.658814641529808,2.3012295223728
"T2647",0.107771115,0.091252706,0.159324102,0.06691494,0.171285445,0.157974209,0.083498398,0.05040331,0.057668858,0.342780521868555,0.40488636175499,2.09738769898895
"T2648",0.124207612,0.103550129,0.176085131,0.062621645,0.18418054,0.172130502,0.093049221,0.058408693,0.081841346,0.292225145311673,0.546895844739545,2.21138631298751
"T2665",0.107944066,0.079512033,0.172950884,0.124018961,0.182551104,0.166653788,0.06973719,0.045588858,0.096096276,0.279488526406415,0.584361605055421,2.24146208439833
"T2666",0.126228985,0.095243048,0.231238674,0.234047231,0.24226516,0.218361153,0.082797224,0.041932399,0.12290102,0.411219519628797,0.224409037298,1.9525088893921
"T2936",0.080434562,0.072609087,0.019389675,0.065550164,0.049177877,0.11634243,0.070538698,0.047033697,0.046163075,0.318016294717405,0.473253140223907,2.15226937185477
"T2937",0.088087746,0.079253416,0.013843659,0.078643966,0.083762267,0.124652319,0.073697891,0.048483273,0.052184819,0.319332320536972,0.469566671274304,2.14931004588603
"T2938",0.081691076,0.073195244,0.029806757,0.064279165,0.051190498,0.117719183,0.071139455,0.048832635,0.044878612,0.232562270574439,0.730434656053387,2.35872274197091
"T4072",0.086391282,0.119190189,0.170969315,0.091688476,0.158020713,0.09434339,0.106186892,0.071783264,0.129228589,0.0173526288123259,2.11178076776491,3.46760321162623
"T4074",0.086391282,0.119190189,0.170969315,0.091688476,0.158020713,0.09434339,0.106186892,0.071783264,0.129228589,0.0173526288123259,2.11178076776491,3.46760321162623
"T4075",0.153666063,0.104395434,0.158465188,0.122993837,0.139424993,0.082938199,0.098026222,0.067179245,0.078354963,0.0239312979282515,1.97858636673855,3.36068093580169
"T4077",0.193203811,0.11013346,0.159338954,0.136701137,0.142262238,0.087137814,0.102004815,0.063853627,0.087192397,0.0204975172713641,2.04358022453456,3.41285498468525
"T4083",0.127999411,0.101614683,0.153285929,0.129197914,0.134525274,0.08357996,0.097765356,0.06039977,0.079863741,0.0256085808336077,1.94965576765117,3.33745679521055
"T4085",0.164934933,0.099786265,0.152794083,0.125216426,0.133233493,0.081158142,0.098985857,0.062302728,0.07837648,0.0229600796988083,1.99612646156395,3.37476130886887
"T5142",0.139384943,0.149941165,0.194554029,0.229509044,0.166473144,0.144946525,0.153144112,0.132801825,0.153448144,7.52506940998315e-06,4.32795327261895,5.24664351672028
"T5144",0.14231851,0.14296915,0.160850272,0.272555248,0.153028932,0.140579564,0.144728413,0.139416422,0.144957668,0.011309229166863,2.27981844918966,3.60249605384606
"T5146",0.126826904,0.139410502,0.172379147,0.247692937,0.157928486,0.133912372,0.14300478,0.124938252,0.143225933,0.00242194027115191,2.81723674937551,4.03391049231222
"T5148",0.131845607,0.13971693,0.168934155,0.272732031,0.155759664,0.135655602,0.142852006,0.130485343,0.143136676,0.0181552490767815,2.09343323557475,3.45287466536288
"T5150",0.143479311,0.142818357,0.166548641,0.233601862,0.157630497,0.138913347,0.145581484,0.135165804,0.145674608,4.17729955723789e-05,3.93399365025916,4.93039103852981
"T5152",0.139384943,0.149941165,0.194554029,0.229509044,0.166473144,0.144946525,0.153144112,0.132801825,0.153448144,7.52506940998315e-06,4.32795327261895,5.24664351672028
"T5528",0.056236881,0.144780541,0.283242564,0.158816948,0.116057154,0.078735326,0.162558364,0.052550783,0.158578036,0.348257383734177,0.390029453548799,2.08546126345651
"T5530",0.055123682,0.140428084,0.271917318,0.234621866,0.068444941,0.08724097,0.172950416,0.057309158,0.13199898,0.446674514475713,0.134067714839104,1.87998707373115
"T5716",0.194971911,0.104549389,0.14230967,0.132641686,0.1262787,0.191616242,0.111041515,0.151354096,0.173557799,0.000106563695683491,3.70292561030385,4.74490035339622
"T5719",0.113981571,0.107885071,0.220019129,0.174585028,0.144719422,0.111473435,0.140104735,0.116333969,0.055978626,0.115475156831653,1.19791447576358,2.73399381823458
"T5720",0.128860596,0.101146972,0.206877868,0.1582895,0.133940282,0.102767595,0.129799516,0.117357783,0.027841617,0.223254056279131,0.761249407705743,2.38345939268782
"T5721",0.118506975,0.12249047,0.135470631,0.155221028,0.136244896,0.1180935,0.128653606,0.119141496,0.083785508,3.91448778809747e-08,5.37102637648515,6.08397413465418
"T5722",0.112449681,0.099015754,0.172437947,0.121032904,0.141776293,0.085142997,0.118204692,0.115707123,0.236254389,0.0957638439150371,1.30607313514133,2.82081856403235
"T5723",0.097637578,0.114330954,0.133451286,0.151545621,0.15108789,0.122168266,0.131529619,0.095503932,0.360085285,0.448727728126015,0.128876393348699,1.87581972207062
"T5728",0.067962102,0.086467297,0.162433509,0.085744265,0.139358878,0.071032829,0.105258465,0.068610546,0.045935873,0.191064566117693,0.873980024438307,2.47395429339888
"T5732",0.123983547,0.101397506,0.144808866,0.245616015,0.118788822,0.102161676,0.110416124,0.12888824,0.094598236,0.134480131109627,1.10546012782722,2.65977576390906
"T5734",0.081449785,0.074514575,0.181268304,0.244539262,0.140948825,0.076420523,0.107022201,0.085037008,0.239715765,0.3719043722109,0.326813769290613,2.03471464966039
"T5736",0.146951865,0.105302209,0.112130391,0.116643553,0.156970067,0.103193816,0.122621171,0.103884165,0.172399814,0.00011232651449603,3.68954778600994,4.73416125769803
"T5738",0.116449649,0.078795503,0.100335974,0.094844419,0.105700291,0.09753366,0.089517383,0.117223685,0.283136373,0.477631502981973,0.0560989179120171,1.81739734663673
"T5744",0.1209602,0.112333194,0.1373781,0.14961101,0.148435328,0.106649598,0.125737718,0.131002122,0.216554426,0.00171018072690042,2.9271933723493,4.12217855973655
"T5746",0.140388962,0.087881633,0.161138679,0.087926042,0.123739842,0.089014931,0.097996756,0.139842722,0.216767125,0.114670380735407,1.20205876368042,2.73732065999614
"T5748",0.128565606,0.122215981,0.155899851,0.129231746,0.141477327,0.11229833,0.132129892,0.09238653,0.196522774,0.000689887028512443,3.19884902258099,4.34025109236214
"T5754",0.084565904,0.074486637,0.117985818,0.071870483,0.098452292,0.071672801,0.082813143,0.095234409,0.237405731,0.427586191544773,0.182522901922399,1.91888464629071
"T5756",0.132380913,0.11502787,0.116743733,0.118270609,0.142030642,0.115082044,0.129056752,0.13879102,0.053997659,0.00100110954941211,3.08990294614078,4.25279424473657
"T5758",0.133616924,0.07003003,0.167736209,0.070403373,0.120583785,0.070371551,0.109661629,0.192090582,0.059579094,0.316187401733666,0.47838697347657,2.15639057462943
"T5760",0.114019795,0.086087554,0.124392592,0.099339433,0.109645127,0.089292863,0.095390598,0.113063611,0.124091506,2.35850884712276e-11,6.57960434847983,7.05416436998921
"T5767",0.05613194,0.122585245,0.137271588,0.201300161,0.058007315,0.037844754,0.156685606,0.073093078,0.141920707,0.342037212284831,0.406909545933424,2.09901181723343
"T5769",0.065747682,0.115873008,0.120732998,0.212671812,0.097163492,0.041288159,0.065068374,0.084223128,0.142610791,0.344920217543956,0.399071617065568,2.09271989215367
"T8378",0.275368768,0.121978179,0.168802007,0.289450536,0.244347196,0.301058237,0.282825092,0.26073168,0.102586668,0.0988225273260137,1.28828993725717,2.80654303912619
"T8379",0.235099721,0.155434142,0.170773379,0.246733805,0.232342515,0.236488454,0.25200628,0.252599911,0.142050247,0.00030827992787874,3.42422308246781,4.5211709148864
"T2822",0.111430512,0.103035892,0.187548393,0.257680551,0.193832425,0.162018732,0.081434478,0.040849769,0.109946012,0.384030468405453,0.294912219844231,2.00910556817609
"T2411",0.083624672,0.293095253,0.341548359,0.253391051,0.374046084,0.063169038,0.379954212,0.091160718,0.311766361,0.31837923708792,0.472235820932057,2.15145271520039
"T2412",0.088651482,0.398397311,0.335188161,0.275373484,0.401674425,0.067101522,0.4013797,0.058035224,0.397764606,0.403724787437825,0.243717556905394,1.96800887169854
"T2819",0.141805152,0.132333519,0.199360081,0.150547084,0.205826273,0.109586258,0.119656456,0.039284834,0.142376695,0.149690629833519,1.03776116785586,2.60543018470068
"T2413",0.06433966,0.125950259,0.263219351,0.149958042,0.329456822,0.209217815,0.046986217,0.13837856,0.314399688,0.395410786879878,0.265243905904591,1.98528922438192
"T2414",0.088080127,0.154364367,0.306060686,0.13910252,0.327510166,0.144411548,0.189375674,0.055382549,0.163215156,0.364628847255595,0.346113132320475,2.05020728149188
"T2690",0.086036096,0.084472192,0.166127415,0.071638076,0.172540534,0.154194399,0.073983429,0.024046237,0.178862636,0.405571510794507,0.238951718185935,1.96418307783505
"T0320",0.143068423,0.075363658,0.204394366,0.157130317,0.215005749,0.197229999,0.10091996,0.0391036,0.117763361,0.330584657703171,0.438299324688874,2.12421007298817
"T4080",0.098059424,0.094391362,0.170721227,0.057977272,0.151775496,0.076908106,0.095004519,0.060618973,0.108391069,0.181698891200299,0.908909720376619,2.50199423017403
"T4082",0.105308205,0.096807887,0.168874876,0.055815505,0.153591067,0.078514255,0.08393581,0.050477245,0.111023556,0.243946259396064,0.693664683441377,2.32920551659667
"T5662",0.09294978,0.099960097,0.189705995,0.089239761,0.132106201,0.09705266,0.106437929,0.101335558,0.102150518,0.0155339939945505,2.15620081440696,3.50326156094573
"T5670",0.1094827,0.088278179,0.149555072,0.060005541,0.075198179,0.058034322,0.081059397,0.063655523,0.063996028,0.134920744666268,1.10342766234867,2.65814419506813
"T2671",0.120956164,0.098636266,0.235046698,0.281233394,0.247223702,0.213574906,0.084557864,0.042702823,0.118873435,0.458653311267485,0.103827021202938,1.85571125011413
"T2678",0.09927045,0.085204854,0.208400341,0.235043543,0.223286808,0.189136138,0.078044912,0.061775197,0.100850148,0.374303117020241,0.32047769793989,2.02962834600659
"T2679",0.109914893,0.098315553,0.189692513,0.231811713,0.198334753,0.158481791,0.085095904,0.067358095,0.071400487,0.330168534645911,0.439447839152191,2.12513204702979
"T2680",0.151196273,0.129890363,0.236573986,0.276417371,0.244459401,0.214489353,0.106697053,0.038158689,0.087291754,0.429140736231054,0.178562206312295,1.91570518390177
"T2681",0.097243062,0.080496217,0.188751025,0.228962559,0.197390311,0.154640738,0.066637344,0.070635188,0.090069063,0.358012835399606,0.36377548442572,2.06438579702222
"T2682",0.127657119,0.121246137,0.190872623,0.216690998,0.199186082,0.146743797,0.096578915,0.069741989,0.288335553,0.245021696541139,0.690239808461648,2.32645618611111
"T2683",0.085438497,0.081236124,0.182709808,0.207781117,0.193243473,0.134840418,0.060914985,0.06871924,0.05884809,0.418965499284886,0.204540689298216,1.93655950286653
"T2684",0.112211551,0.110896697,0.193627446,0.233996568,0.202688738,0.158416805,0.086188168,0.069005135,0.070963731,0.311589934197388,0.49134866114951,2.16679561518548
"T2685",0.113573405,0.111514237,0.182543615,0.18972299,0.192097688,0.14886056,0.088386799,0.062745374,0.339177442,0.428183298206099,0.181001248025956,1.91766313325134
"T2686",0.102771299,0.09557949,0.180608609,0.2114486,0.192328019,0.145693389,0.077661297,0.075357611,0.072563809,0.268892860543256,0.616164855542726,2.26699225604607
"T2687",0.109058779,0.114594129,0.185664388,0.211910758,0.195086199,0.160760517,0.090153257,0.075447834,0.078743096,0.184458732210224,0.898502966454467,2.49364017170965
"T2649",0.093626114,0.07639396,0.139742856,0.086211915,0.147439634,0.138400042,0.071888233,0.065396979,0.069077542,0.106725709151842,1.24413082365017,2.77109415472211
"T2650",0.114129462,0.093603366,0.160459546,0.058366863,0.16464089,0.155933408,0.086600008,0.06330555,0.063152361,0.272580013123186,0.605028551090183,2.25805254831688
"T2651",0.069483617,0.059688395,0.116814091,0.059341135,0.122405743,0.114610452,0.059154575,0.069371729,0.057805606,0.106496748704092,1.24537620046046,2.77209388535485
"T2652",0.081024035,0.065644818,0.118735995,0.060014958,0.130233412,0.12007554,0.06212135,0.048802233,0.064278441,0.172389409247456,0.944765089387663,2.5307772542775
"T2653",0.088809142,0.072061115,0.149150792,0.161474696,0.157705958,0.142232081,0.068799233,0.064294077,0.081255834,0.165764932487143,0.971036977866008,2.55186710553752
"T2654",0.097300481,0.077666977,0.158599598,0.176562395,0.167198931,0.151696573,0.07154023,0.055171546,0.093066258,0.211764134528442,0.800315078428113,2.41481949782784
"T2661",0.098292116,0.080020781,0.134228662,0.113317892,0.13905137,0.12254615,0.065823162,0.068860992,0.07026487,0.0392188447673311,1.75982378150223,3.18506849790277
"T2662",0.084367305,0.071696448,0.120244852,0.091259444,0.126360732,0.111120958,0.061297801,0.069314629,0.062138125,0.0267168475033374,1.9313992729471,3.32280132961067
"T2663",0.121847526,0.086231573,0.20736072,0.205044058,0.217375231,0.197108299,0.073779071,0.032996438,0.113091689,0.419066429493298,0.204282353613419,1.9363521229832
"T2664",0.123725297,0.094524189,0.232613561,0.274117395,0.244584748,0.217400037,0.083011564,0.043283621,0.120686607,0.45433001667841,0.114728865849852,1.86446274440631
"T2428",0.110622203,0.086923865,0.188424701,0.263094715,0.202940891,0.17422259,0.068115628,0.143895014,0.139588395,0.179707338907564,0.916480982006409,2.50807208718665
"T5731",0.097318138,0.103290101,0.189327945,0.203405231,0.14282056,0.116368434,0.149223145,0.096724323,0.066829057,0.0893964890764164,1.34448074701661,2.85165041010881
"T5733",0.103929897,0.103666228,0.117038564,0.241425494,0.130354753,0.093361814,0.118232212,0.10519469,0.304582484,0.408984065907728,0.23015911334207,1.95712478324393
"T5735",0.135890356,0.117136273,0.091008559,0.110090167,0.161957678,0.090002814,0.143115641,0.094574384,0.220570348,0.0912200141834585,1.33327971380267,2.84265874113779
"T5762",0.050452607,0.111354066,0.148815283,0.215174042,0.110228371,0.057424335,0.146318626,0.128118091,0.142452182,0.0689232950077662,1.48385802332955,2.96353601090561
"T5764",0.065173647,0.097302347,0.105197165,0.225272007,0.120414119,0.050859275,0.151271351,0.111657567,0.146774455,0.188293708663429,0.884201558266775,2.48215966577892
"T5766",0.060998191,0.120067901,0.145754729,0.218459036,0.119040496,0.06245493,0.147311255,0.106631809,0.146290914,0.0642868180550349,1.51975073097524,2.99234900872992
"T5768",0.065244109,0.125157986,0.108985017,0.184985897,0.072914033,0.065961687,0.076893049,0.124183239,0.148903661,0.11048346964249,1.22396100231647,2.75490275941304
"T5770",0.058881827,0.117625981,0.089976974,0.222210915,0.071698275,0.09574023,0.121422028,0.106019181,0.143591905,0.147555446749004,1.0469754665029,2.61282699548158
"T5772",0.060592917,0.11885642,0.107606887,0.224187497,0.077792489,0.129726473,0.146877368,0.107404098,0.155402225,0.0582967180989889,1.56923395008909,3.03207183763268
"T2429",0.119202163,0.097327788,0.179267315,0.342645167,0.188446128,0.165358095,0.085836563,0.065181053,0.130956136,0.491120482202058,0.0222594884472569,1.7902326251237
"T2430",0.11026641,0.092050866,0.171281922,0.336345799,0.18309538,0.158697606,0.080171764,0.087917687,0.258835447,0.436872510086151,0.158903351450344,1.89992396873246
"T5527",0.074181622,0.15104027,0.28135105,0.233463316,0.201988375,0.120529275,0.158505624,0.063842563,0.150361565,0.177578770845787,0.924631654228913,2.51461506809887
"T5529",0.05537454,0.148569031,0.281970435,0.253057551,0.129659589,0.103554083,0.16174698,0.066989038,0.127934038,0.307411910239359,0.503199778572733,2.17630914155138
"T5531",0.105677206,0.107004325,0.276096617,0.220928964,0.110298947,0.105117866,0.119271901,0.069277748,0.153038208,0.344701044302398,0.399666609603621,2.09319752451492
"T0586",0.0659175,0.052880873,0.181511398,0.18056195,0.054210155,0.124897637,0.052594586,0.119758775,0.066561255,0.451363760648854,0.122216547990438,1.8704735076888
"T0587",0.111484447,0.090347674,0.153565501,0.145032784,0.066376829,0.157248028,0.091435289,0.062233838,0.065651207,0.176904694964692,0.927225646002519,2.5166974041563
"T0588",0.099296011,0.088059636,0.153110256,0.130468848,0.085363438,0.139224041,0.089002915,0.076645589,0.076709793,0.0215226881478808,2.02326943541049,3.3965504269846
"T0592",0.08728873,0.0608009,0.196191073,0.194382247,0.154573647,0.154845955,0.06125204,0.095584344,0.095813165,0.261804399948847,0.637792442376405,2.28435387775862
"T0593",0.089336722,0.057299478,0.191074792,0.179363307,0.153248225,0.157831725,0.056905496,0.111527342,0.131364002,0.17308291541965,0.942052364994614,2.5285996051905
"T0594",0.085319134,0.055123504,0.203910074,0.193178457,0.167326272,0.158762276,0.056483993,0.095948487,0.200157176,0.277681726472715,0.58974226805119,2.24578143062099
"T0589",0.122276378,0.239626317,0.331595283,0.276056721,0.334907205,0.141370704,0.04825869,0.045364052,0.242232914,0.49402015182066,0.0149898178607004,1.78439687138616
"T0591",0.11337679,0.251384325,0.328520985,0.293103125,0.333059139,0.133080223,0.065364687,0.04216185,0.260046898,0.471836285920494,0.0706547037769178,1.82908205514622
"T0569",0.091045304,0.078149509,0.077133421,0.176912647,0.068737143,0.084783715,0.076769845,0.051302957,0.08015913,0.258586978189111,0.647707803076205,2.29231346857832
"T0570",0.099135859,0.086876558,0.075107803,0.100435075,0.049574273,0.090293911,0.08197834,0.058198211,0.070585181,0.000287568507970331,3.44307630401886,4.53630540507014
"T0581",0.087949615,0.057902567,0.095259746,0.123327621,0.131373127,0.136404209,0.074539578,0.152866127,0.076880306,0.0523850925064763,1.62215490273892,3.07455431927245
"T1133",0.043945765,0.46373564,0.373037337,0.487569575,0.113721528,0.415362697,0.603455464,0.442490611,0.046040967,0.422703863744221,0.194981120664998,1.92888552538483
"T1096",0.260735936,0.074865025,0.143066522,0.192733143,0.062558271,0.039133856,0.039300895,0.111035205,0.121618507,0.479067956409908,0.0524929498205204,1.81450264301614
"T1094",0.149865121,0.114943624,0.282499924,0.206879562,0.153993308,0.096327028,0.272561425,0.077140046,0.145714628,0.311476644218543,0.491669096243668,2.16705284558899
"T0114",0.167492798,0.128995222,0.256934475,0.245937682,0.275200166,0.22592736,0.111268393,0.045898005,0.113149195,0.362810931567903,0.350955327001159,2.0540943703729
"T0116",0.127974898,0.086567247,0.230730047,0.215982721,0.251228258,0.216966739,0.075982993,0.055230163,0.21488833,0.347263116912387,0.392720085838321,2.08762117802939
"T0100",0.172932119,0.135889526,0.147507097,0.257381138,0.121343669,0.121034219,0.190792492,0.066060091,0.244586493,0.200561231036579,0.839618252254171,2.44637025942312
"T0101",0.075521271,0.136920908,0.13742014,0.260501608,0.105400733,0.090071316,0.220811159,0.055829075,0.243113621,0.36104519053007,0.355666439532633,2.0578762325957
"T0118",0.097021975,0.089363633,0.130238512,0.28528645,0.217954101,0.191368132,0.078450806,0.071654064,0.116607605,0.423037057277026,0.194129970991033,1.92820226197806
"T0120",0.085714523,0.088085175,0.136245053,0.231793589,0.129849943,0.213930422,0.078745368,0.059952089,0.225181709,0.345699841330425,0.396956304797738,2.09102181776005
"T0121",0.066743752,0.056199101,0.249375086,0.169954367,0.287722847,0.180199978,0.070976056,0.065362442,0.173386217,0.482354440824356,0.0442452894128324,1.80788180449573
"T0122",0.100589508,0.143393953,0.113438765,0.156641023,0.107502893,0.078343002,0.092068334,0.067811969,0.123790243,0.0116190223156778,2.26949823178053,3.59421146287312
"T0123",0.047268033,0.239838733,0.112041398,0.152200781,0.168655662,0.142160526,0.16747586,0.082691317,0.158316381,0.0261728895294778,1.94027910729631,3.32992964799528
