"","crp","gntR","idnK","idnR","pval","z","inv_cof_var"
"T0797",1.148908533,0.090612818,0.030894903,0.031063603,0.427787615573237,0.182009550156991,259.699346442134
"T0839",0.964719685,0.095778401,0.031201601,0.031514111,0.489535744946248,0.026233006077416,141.904915817551
"T0845",0.907970629,0.104297328,0.038163872,0.038432384,0.458059854456543,0.105322753236019,201.710657367645
"T0753",1.520853114,0.139424712,0.045981371,0.046004027,0.000138883076590804,3.63519898679559,2870.91713876833
"T0824",0.862811141,0.070099945,0.051422443,0.051417845,5.69779247874527e-96,20.7535118795154,15815.3686437481
"T0813",0.521784517,0.10871163,0.046100422,0.046157687,0.0892963050932791,1.34510103143679,1139.20081189814
"T0692",0.485601737,0.487865455,0.051659513,0.052061942,0.468283525762473,0.0795853446385383,182.248655502051
"T0014",0.404622713,0.099208906,0.062852212,0.063570583,0.498748425731415,0.00313723659567352,124.440457146874
"T0487",0.32626955,0.269572435,0.051496431,0.051535117,0.00992882454647318,2.32902674129663,1883.22148236971
"T0491",0.378581926,0.053821205,0.051138078,0.051146379,3.27204775702565e-30,11.360934339034,8712.93014753216
"T0492",0.37998872,0.052733945,0.052204044,0.052291472,0.169477782074329,0.956230954818564,845.146726073877
"T0493",0.342623191,0.05840493,0.049197977,0.04916364,0.00591321974429046,2.51728121201066,2025.57493051761
"T0497",0.341592379,0.335102559,0.049842482,0.049443843,0.471510648232399,0.0714730201077113,176.11431316703
"T0498",0.330346546,0.275765915,0.036714381,0.037035394,0.478704851581866,0.0534043954325995,162.451259025279
"T0499",0.36095578,0.30775174,0.046854696,0.046863101,5.05207829593975e-25,10.2652665315267,7884.41282291438
"T0698",0.299619362,0.088534813,0.057770602,0.057306309,0.471960604805555,0.0703423071954307,175.259295587272
"T2330",0.464602917,0.160291432,0.046259069,0.046067658,0.38605356115796,0.289619793980611,341.071593306854
"T2331",0.446800503,0.112376617,0.062178929,0.061990364,0.324793033934008,0.454337307446168,465.626967334545
"T5718",0.278340584,0.085843353,0.09105082,0.091557202,0.430231671364147,0.175784378440826,254.992023127327
"T5732",0.143519686,0.106250006,0.10550585,0.104308892,0.499007848264365,0.00248695815688791,123.948732420942
"T5742",0.299501807,0.097931328,0.098975252,0.099415703,0.397520610947875,0.259769962865264,318.499877640366
"T5748",0.104279867,0.127560845,0.129587286,0.130377134,0.441824032200257,0.146346240164195,232.731619563796
"T2422",0.53948567,0.242003736,0.047723448,0.048007204,0.438785507216551,0.154049108844345,238.556341351762
"T2405",0.081291453,0.061697903,0.038816435,0.039134684,0.473046054553664,0.0676150067157287,173.196977354146
"T2406",0.070586614,0.07783598,0.039462776,0.039818629,0.481293647407766,0.0469070680400372,157.53813821296
"T2417",0.318920183,0.252555495,0.038290974,0.038673369,0.489317449494676,0.0267803838967655,142.318829599935
"T2419",0.326683138,0.152381274,0.037915887,0.038170178,0.452889451830725,0.118364435929406,211.572460351727
"T2420",0.311816562,0.144976409,0.045162501,0.045498573,0.463812598118772,0.0908331157587523,190.753946222998
"T2679",0.203515632,0.221388479,0.067893102,0.068622778,0.49460555199997,0.0135222879684462,132.293380195661
"T2682",0.243656825,0.300898404,0.069174583,0.069381064,0.320585858578398,0.466061168863453,474.492265948855
"T2685",0.285836512,0.250894781,0.066680134,0.066937702,0.37309179467953,0.323675674284492,366.823820983477
"T2436",0.197270676,0.128572094,0.041846787,0.041854073,1.82491699885637e-26,10.5810148177659,8123.17399082961
"T2432",0.08789636,0.219844526,0.051469168,0.051856653,0.464967881011208,0.0879256597861689,188.555398791611
"T2429",0.137831418,0.137411399,0.041854442,0.042094466,0.434224806504797,0.16562812427326,247.312110955596
"T2433",0.175439618,0.229365917,0.046591371,0.046703851,0.26954586156487,0.61418706016483,586.501459179458
"T0071",0.096874085,0.099183621,0.070124919,0.070850329,0.491902184600122,0.0202996071147901,137.418223956458
"T0246",0.867102193,0.050314247,0.066564757,0.066743162,0.29552859169819,0.537304665316014,528.364863713298
"T0256",0.864188305,0.028888138,0.055070102,0.055007807,0.0679874080916711,1.49094926294957,1249.4876942408
"T0257",0.876916725,0.116115161,0.077569537,0.077897885,0.389228410995943,0.281330626440577,334.803526593092
"T0247",0.8772578,0.148159664,0.047476436,0.047240715,0.415150235351336,0.214316219299215,284.128863218686
"T0248",0.883131291,0.155004806,0.053262958,0.053427382,0.328037379888418,0.445339038764103,458.822695598555
"T0249",0.905372521,0.140890551,0.054330048,0.053751249,0.494738855300309,0.0131881163448236,132.040687748489
"T0584",0.414891135,0.067103889,0.038373046,0.038369837,1.65703533065639e-109,22.2016045997902,16910.3811084568
"T1947",1.091700307,0.121677167,0.043804283,0.044024376,0.416159102890273,0.211729328725677,282.172719538657
"T1948",1.055268537,0.108319354,0.037295866,0.037520335,0.440285100766877,0.15024642269647,235.680842654062
"T1942",1.236117314,0.113742052,0.030474156,0.030640748,0.427940469047938,0.181620017919592,259.404791646447
"T1943",1.293086862,0.120937383,0.02973887,0.029933477,0.450141352792795,0.125304227395908,216.820161726027
"T1094",0.21575702,0.085541502,0.074635136,0.074835097,0.29543941932541,0.537562915118716,528.560145927626
"T0100",0.25913509,0.063971708,0.062962335,0.062923333,0.00213969415126889,2.85679744747058,2282.3088430595
"T0101",0.275272503,0.173572011,0.054216131,0.054507597,0.425677596320779,0.187389578995636,263.767593285949
"T5050",0.309656177,0.101036267,0.12862783,0.12723661,0.495790800541245,0.0105510941414008,130.046635750276
"T6979",0.31021189,0.112642125,0.116285777,0.116497563,0.193137768202764,0.866391440283054,777.212272110811
"T2771",0.20447757,0.051154363,0.05308558,0.053676831,0.497038000724694,0.00742469934821513,127.682532112293
"T0409",0.306529302,0.131975377,0.057726453,0.057848306,0.234072318707139,0.725501153605825,670.674466963452
"T1715",0.477057118,0.140074567,0.052554191,0.052171032,0.462492527004553,0.0941562295462497,193.266803975825
"T1085",0.37958006,0.162044708,0.056202158,0.056377223,0.329999658005421,0.439914110021878,454.720496540635
"T1086",0.313261619,0.051709461,0.049386869,0.049305783,0.164352341053922,0.976726277928691,860.644790500002
"T1654",0.19043076,0.159338698,0.049435833,0.049164646,0.429138993383041,0.178566645190662,257.095905515906
"T2457",0.335196974,0.10164823,0.03404117,0.033975733,0.208812577604226,0.81054823348047,734.984998496363
"T8308",0.233465084,0.106061686,0.041823503,0.041876413,0.0937771144435189,1.3178489170057,1118.59342635307
"T2148",0.934919031,0.060029366,0.077679328,0.077295251,0.414537897897969,0.215887044729957,285.316683171414
"T6034",0.323111346,0.048370262,0.045835161,0.045723467,0.272554198673777,0.605106256602988,579.634776576495
"T6030",0.090907441,0.052291521,0.050965208,0.051398048,0.476190254773071,0.0597176557869649,167.225192823986
"T6060",0.359265942,0.051314054,0.049799138,0.049530272,0.426992264137223,0.184036873236128,261.232358804233
"T6038",0.094049554,0.049133003,0.047421877,0.047735966,0.451498354088195,0.121876650219646,214.228311301528
"T6032",0.318569563,0.047627744,0.045537623,0.045934025,0.478327128371965,0.0543525823895608,163.168254920783
"T6040",0.310333021,0.048938823,0.046768199,0.046742317,0.000647513480244799,3.21707952774895,2554.74538195815
"T6110",0.255016187,0.05354991,0.051242134,0.051833558,0.49938316288646,0.00154618196571077,123.237340366126
"T6130",0.070855142,0.056221218,0.055381308,0.055636144,0.402862325017262,0.245945204701224,308.04593204748
"T6140",0.071877022,0.059678645,0.06094997,0.061594801,0.493504941804229,0.0162814158154566,134.379765509184
"T6132",0.077474099,0.058149936,0.057208299,0.057562486,0.443704088292387,0.141584543303734,229.130940310068
"T6134",0.073072111,0.056239182,0.055351389,0.055585013,0.388738497313837,0.28260845978636,335.769793063368
"T6162",0.066289304,0.058434878,0.059163768,0.059802958,0.49496739284448,0.0126152099879753,131.607469907479
"T6128",0.072138669,0.055727166,0.054687999,0.054955147,0.412016777999651,0.222360117839738,290.211463485507
"T6138",0.072437371,0.059545569,0.059452273,0.059637487,0.330029201449718,0.439832533241196,454.658810164875
"T6136",0.188010059,0.057375559,0.055333898,0.055116406,0.376967902454239,0.31345394564532,359.094398610136
"T6164",0.072265259,0.059180945,0.05973605,0.060313361,0.486827829129378,0.0330237373951007,147.039901535828
"T6152",0.06568712,0.055463314,0.056893072,0.057469737,0.490418215321029,0.0240202820440059,140.231707766974
"T6172",0.060941659,0.060021238,0.062697971,0.063224492,0.475197055555438,0.062211868489929,169.111255754308
"T6192",0.080105113,0.055734431,0.051714842,0.051928937,0.385426338721787,0.291259738195666,342.311679201749
"T6210",0.09692683,0.072107307,0.058129702,0.057880631,0.391996398814506,0.274119488452867,329.350639584739
"T6212",0.0843747,0.071328102,0.05424777,0.054831458,0.494684540249074,0.0133242759510095,132.143648328206
"T6218",0.089752974,0.058295362,0.068208037,0.068923076,0.492856063955434,0.017908149231396,135.609861719373
"T6220",0.131681274,0.062156973,0.053584313,0.053477843,0.218024713241801,0.7788816632465,711.039508932553
"T6202",0.071126004,0.067425188,0.055210502,0.055434033,0.381540687620579,0.301436879871738,350.007385998956
"T6198",0.071549564,0.069341636,0.055833563,0.056072169,0.390837840102156,0.277135999718103,331.631651973739
"T6209",0.080003948,0.070147665,0.054058576,0.054238273,0.343794918360144,0.40212798695812,426.147550092855
"T6191",0.08105459,0.060664724,0.061252557,0.061275516,6.858200671725e-07,4.82908186447356,3773.70230863754
"T6204",0.075116654,0.06910393,0.054249885,0.054173884,0.120476609885866,1.17260755143965,1008.76544126662
"T6215",0.078295911,0.069803282,0.056256405,0.055938473,0.433070611112491,0.168561936643752,249.530588453498
"T6206",0.074086454,0.069410518,0.055504335,0.055729625,0.381985804951368,0.300269481643417,349.124627876224
"T6217",0.083339116,0.07202493,0.055870978,0.056018301,0.29158131415815,0.548770979610974,537.035411463076
"T6211",0.189648627,0.070456911,0.055038872,0.054662423,0.455779396597472,0.111072578699929,206.058535417668
"T6195",0.079457343,0.060755419,0.062384001,0.062660816,0.397051739110731,0.260985773558497,319.419244090577
"T6208",0.071291458,0.067410716,0.055831635,0.055695301,0.27307800067406,0.603530245013872,578.443034977049
"T6219",0.178960536,0.070260268,0.055195885,0.05540979,0.373689784422114,0.322096527541144,365.629708656718
"T7305",0.457108055,0.154605567,0.056351586,0.056166745,0.341709874802728,0.407801040571109,430.437375138039
"T7307",0.458634124,0.151151839,0.070993004,0.071293315,0.389116225721929,0.281623196717032,335.024761114222
"T7309",0.47401322,0.141119737,0.070016634,0.069324142,0.489337131341044,0.0267310311623013,142.281510263508
"T7311",0.416807396,0.151203171,0.057589513,0.05756786,7.47988464822879e-07,4.81177235641654,3760.6132800035
"T7313",0.528996164,0.160066598,0.069488048,0.069819708,0.408522500589456,0.231347302473773,297.007353734191
"T7316",0.484299014,0.140286185,0.070383725,0.070956042,0.472293093789443,0.0695068408942076,174.627536307721
"T7317",0.469018102,0.141701148,0.070268509,0.070550639,0.380064495047418,0.305311405449022,352.937207924414
"T7319",0.530895576,0.151926344,0.065438124,0.066157866,0.496192183569504,0.0095449252599925,129.285795334936
