"","exbB","exbD","fepC","fepD","fepG","fhuA","fhuB","fhuC","fhuD","fhuE","fur","gpmA","metJ","nohA","tfaQ","ydfN","ygaC","yhhY","pval","z","inv_cof_var"
"T5560",0.182851269,0.297380377,0.046930324,0.133891515,0.16007715,0.127240813,0.348661623,0.109695017,0.127696271,0.04067434,0.092354426,0.21102319,0.181067008,0.156997845,0.180555252,0.151991253,0.245797606,0.142534873,0.0840562501421393,1.37829411226884,2.14245402246682
"T5562",0.185838667,0.267204245,0.0621892,0.076960419,0.196300024,0.111296421,0.338705361,0.084546505,0.093412198,0.054340955,0.056800384,0.198221932,0.223976443,0.073595227,0.176125291,0.146017772,0.282480941,0.142628251,0.176128936919164,0.930218676464272,1.88861119604791
"T5564",0.173306642,0.259914865,0.06759524,0.081298959,0.099637836,0.099374117,0.28367158,0.077399806,0.089703042,0.069754882,0.273467779,0.268068167,0.216177292,0.155904347,0.073020275,0.100864928,0.121463792,0.097802281,0.203320405921539,0.829819556882265,1.83173328164293
"T5566",0.180711177,0.242509281,0.10128827,0.111742275,0.101162865,0.119351203,0.259621078,0.11058952,0.104821714,0.104665045,0.251116679,0.248832884,0.222139331,0.163940792,0.102600983,0.082375479,0.201898315,0.152657298,0.0192914320428471,2.06860823987769,2.53352944251186
"T5568",0.124191391,0.231438727,0.10801722,0.094268776,0.150463874,0.096880891,0.262648669,0.099881035,0.095713129,0.120995567,0.247140525,0.244439729,0.195598222,0.131594473,0.101941897,0.119326869,0.198266509,0.132222262,0.0137625936500292,2.20398801026742,2.61022452733383
"T5570",0.145169819,0.221244631,0.090795594,0.097509315,0.152507105,0.114224225,0.255044211,0.089984761,0.08924661,0.089054356,0.242528432,0.210406661,0.194041418,0.143282716,0.090302616,0.086599377,0.139383701,0.121088889,0.0175071993228831,2.10819184218479,2.55595426808043
"T5572",0.16370039,0.23128551,0.087171127,0.108464956,0.099553878,0.109214823,0.266705605,0.099365326,0.099230202,0.097189005,0.251043139,0.245317546,0.194926876,0.142369689,0.099151795,0.127242235,0.206081001,0.109688,0.0273405430695279,1.92140168616287,2.45013427134998
"T5574",0.141085608,0.244048884,0.121807108,0.091653991,0.131103035,0.096289984,0.290800875,0.089629789,0.091123183,0.093031343,0.268977758,0.264962611,0.171187094,0.12195253,0.095118227,0.105464965,0.198069061,0.098278373,0.0768783823655994,1.42638665116308,2.16969931427947
"T5576",0.162918596,0.238021339,0.076687399,0.099595724,0.103599259,0.108016754,0.261597623,0.087344575,0.202874408,0.09736518,0.255695697,0.253638319,0.164836387,0.134777346,0.089101009,0.106549435,0.152176451,0.133280874,0.0324967910733975,1.84530225843758,2.40702257122305
"T5578",0.134492662,0.195579908,0.103706753,0.101514272,0.113488633,0.101687959,0.260048578,0.106524705,0.100392947,0.100986421,0.234473431,0.225320492,0.204834362,0.12277224,0.100188542,0.125476936,0.102548482,0.102409148,0.0131786725961732,2.22090575754701,2.61980873669443
"T8214",0.117736932,0.115512681,0.056536296,0.061949684,0.146658883,0.101138488,0.177045279,0.056042314,0.15152987,0.055798093,0.138923894,0.063194802,0.206692916,0.056403537,0.097422995,0.127080197,0.060306193,0.065440448,0.0936041637727889,1.3188827092623,2.10879638972109
"T5535",0.185823894,0.291347881,0.089857765,0.078217438,0.061905463,0.123492791,0.345886349,0.087610904,0.104191171,0.078183795,0.208612371,0.315546877,0.286472478,0.090102959,0.143208638,0.094350782,0.287019809,0.072154926,0.342591531603879,0.405400609255684,1.59129228300211
"T5543",0.171885411,0.303720841,0.069005569,0.080256223,0.091619326,0.104892268,0.345368895,0.086654685,0.094470807,0.070398012,0.2098335,0.338200609,0.089567864,0.089552374,0.091712732,0.069319252,0.308800408,0.133303087,0.440933546289901,0.148602763104419,1.44581166550681
"T5537",0.127827773,0.265650473,0.129295399,0.102833374,0.127175541,0.08654158,0.355876282,0.081829045,0.084143292,0.099864258,0.20681347,0.30178556,0.09007273,0.138548643,0.085326267,0.085502526,0.255600001,0.081854863,0.2998500556496,0.524831816987984,1.65895221905496
"T5539",0.120539435,0.303632616,0.13737098,0.079768947,0.091593234,0.096441474,0.336906268,0.084966321,0.091873473,0.073933499,0.26022519,0.246243883,0.094024659,0.086998275,0.085208262,0.073726658,0.081325026,0.086549904,0.380223134048096,0.304894810802665,1.53435393309013
"T5541",0.120936722,0.239222534,0.100528091,0.108281563,0.078532994,0.097668175,0.338153772,0.092265174,0.092249256,0.094926451,0.163559161,0.311378513,0.183101999,0.106778181,0.084937304,0.098363648,0.299420534,0.100116555,0.284781800102424,0.568694324307442,1.68380112158808
"T8304",0.196119294,0.116522172,0.048412923,0.051131191,0.092521267,0.100600537,0.109619423,0.048255725,0.094486174,0.048822392,0.110386436,0.05889526,0.107063133,0.048386831,0.069033636,0.081508591,0.05024599,0.053068764,0.102546820433019,1.26717243192303,2.07950158374464
"T8305",0.040164327,0.138506354,0.040158049,0.045941999,0.097938822,0.105566259,0.122765634,0.04036839,0.099900141,0.039810533,0.043740733,0.087485629,0.150406831,0.040162561,0.067762932,0.082304803,0.044115893,0.049902603,0.124780609509776,1.15141579457679,2.01392335817654
"T8306",0.161252526,0.160793562,0.052733262,0.051489882,0.078147691,0.127655634,0.087673897,0.053423434,0.079289566,0.054878381,0.067635492,0.051481329,0.08386443,0.051941747,0.072242184,0.071588933,0.051473404,0.052213348,0.0833034688681163,1.38318894766487,2.14522703511714
"T8192",0.05841857,0.111928939,0.034084804,0.038638352,0.07685824,0.081304365,0.098125088,0.038231978,0.078910007,0.032330126,0.133518853,0.131616597,0.150058198,0.033967458,0.056994135,0.067276648,0.037482223,0.040305148,0.178273322327039,0.92196535980837,1.88393554311125
"T1591",0.15973719,0.156773529,0.044366041,0.044804547,0.073604529,0.11994093,0.08286615,0.044135332,0.063245634,0.044135518,0.340591779,0.25255466,0.057855056,0.043466035,0.055364121,0.053157073,0.043524118,0.044379413,0.478889318326215,0.0529413517395109,1.39161774836764
"T1592",0.076557955,0.114300213,0.032464228,0.031963914,0.089689096,0.12033437,0.113337563,0.032713626,0.091157066,0.035299559,0.175329591,0.11378077,0.105504739,0.032065419,0.046285932,0.04194228,0.031277731,0.031161923,0.205247111462957,0.823024215536424,1.82788359804978
"T8189",0.132606286,0.127444935,0.039033059,0.034876589,0.069317276,0.101171096,0.106777006,0.040058744,0.074638658,0.041609396,0.159527321,0.040477449,0.031082726,0.039256178,0.031902931,0.047022613,0.035770188,0.033559122,0.262937525853101,0.634315333354002,1.7209766082981
"T8191",0.127148144,0.132328241,0.039970482,0.039170101,0.096143098,0.099319693,0.138400511,0.040491456,0.102135363,0.041363891,0.279304096,0.113236578,0.141671626,0.040073,0.048713433,0.071293603,0.039213569,0.039296584,0.151857883657656,1.02849771036017,1.94428804362394
"T2300",0.235841028,0.067964662,0.053955756,0.05072415,0.057725477,0.165898882,0.061652592,0.053975113,0.060261987,0.057542483,0.323706615,0.189779829,0.259518917,0.075834453,0.065198114,0.059638786,0.156085327,0.050892745,0.447323857585054,0.132425539240402,1.43664697603464
"T0344",0.295777323,0.214609761,0.067902772,0.082787836,0.152880298,0.31618745,0.175571317,0.064733977,0.158996105,0.067397622,0.363756924,0.362457495,0.352001785,0.082553847,0.070501975,0.123389706,0.073045146,0.088927627,0.397743635838683,0.259191781794431,1.50846234178135
"T0345",0.321568398,0.247447832,0.066588497,0.086780711,0.168057502,0.312703289,0.19066343,0.063913602,0.170233311,0.065734849,0.312921367,0.316608965,0.323685728,0.082553847,0.070501975,0.134395295,0.073487409,0.093159636,0.336767682819214,0.421300910244339,1.60030009066428
"T0346",0.349389653,0.226213153,0.06649413,0.081641836,0.1566633,0.317756139,0.181043944,0.0605602,0.163026193,0.062427641,0.358759038,0.348216174,0.356997099,0.082553847,0.070501975,0.125095748,0.069528094,0.087705531,0.425736677166226,0.187238864300908,1.46769971458478
"T1961",0.197228318,0.193434825,0.036516259,0.03980955,0.071148513,0.12051829,0.07989489,0.036053861,0.084772178,0.03553023,0.668660401,0.047736299,0.052171453,0.046160606,0.070501975,0.086328779,0.040787897,0.044621141,0.413321209259626,0.219009793923203,1.48569851998414
"T1962",0.19550868,0.191293319,0.035362563,0.036538573,0.068059669,0.093175494,0.076846885,0.035431452,0.08128296,0.035344849,0.675325379,0.059678324,0.141356633,0.043700574,0.070501975,0.082682408,0.037138935,0.041584771,0.397822028938066,0.258988572125048,1.50834721983377
"T2297",0.231060108,0.159547306,0.043553756,0.044248281,0.081919313,0.113415256,0.097946477,0.044036074,0.090013621,0.045376888,0.15776537,0.268998876,0.286267853,0.082553847,0.070501975,0.076476407,0.077877098,0.044571979,0.489068767614876,0.0274039657463197,1.37715035800909
"T2298",0.204558224,0.183351265,0.052019459,0.062691529,0.106777261,0.090219858,0.12269679,0.051379436,0.115385701,0.049839373,0.164686921,0.280506039,0.280481281,0.082553847,0.070501975,0.104850107,0.102407512,0.063440514,0.338807237538169,0.415720586821624,1.59713873666725
"T2861",0.121561666,0.118545111,0.047061021,0.046396936,0.070086229,0.101849951,0.08445224,0.046397822,0.066735026,0.04841733,0.113541562,0.129447291,0.115637142,0.047092659,0.054279264,0.110892018,0.046394778,0.046467161,0.0384853637403107,1.76853966346141,2.363535174872
"T2862",0.136470736,0.136400165,0.033963748,0.034059873,0.063652362,0.121887443,0.063337233,0.033924875,0.046867002,0.035772448,0.137651901,0.146596525,0.107874035,0.036853158,0.037520528,0.214776605,0.033865149,0.033946734,0.47512395383149,0.0623954633271149,1.39697367331891
"T2863",0.156173376,0.153377587,0.030839302,0.029537965,0.069495715,0.124299594,0.08387533,0.029815228,0.059225603,0.034413255,0.203636656,0.189377675,0.040862354,0.033013257,0.039614873,0.097944543,0.029924561,0.029335958,0.497442745849905,0.0064101294562214,1.36525697061175
"T0333",0.226514519,0.109260808,0.036222172,0.161661541,0.220346052,0.304530495,0.101626846,0.081084732,0.085503372,0.037732447,0.197532407,0.226477348,0.20794399,0.039296231,0.036871586,0.036213333,0.226249859,0.036648404,0.462964371745027,0.0929683019738446,1.41429373854364
