"","argP","dapB","lysC","pval","z","inv_cof_var"
"T0791",0.062795914,0.179272929,0.182506575,0.294899134874866,0.539128386698918,79.1109294501331
"T0777",0.075311956,0.052992077,0.05177377,0.357072594759304,0.366294692596409,60.8062178502235
"T0793",0.057537074,0.058178338,0.061459119,0.485789664781188,0.0356275637660819,25.7854630128052
"T0787",0.047212905,0.03813985,0.035880656,0.495647281690148,0.0109108632672563,23.1677322706502
"T0796",0.051638935,0.035779516,0.03468211,0.412607354027021,0.220842965153836,45.4015137132753
"T0789",0.058819849,0.04263057,0.045169956,0.490823324983411,0.0230045419375364,24.4485664354871
"T0839",0.051807828,0.126296431,0.124642504,0.210368422375351,0.805143554212775,107.284434320397
"T0845",0.052482856,0.122604731,0.127132755,0.436284661164304,0.160395768990007,38.999587870356
"T0847",0.074101458,0.166309215,0.157034357,0.490059425269566,0.0249199046621306,24.6514213386642
"T0835",0.097342816,0.134672206,0.126966029,0.492484319302694,0.0188401322322773,24.0075163321813
"T0750",0.06993882,0.212786244,0.215868337,0.235539287725956,0.72072524749552,98.3437427137274
"T0824",0.054144276,0.1087657,0.109352486,0.01148489311482,2.2739368077819,262.843435972758
"T0802",0.06358223,0.116280875,0.116982602,0.0221349027437734,2.01152715049667,235.051788501586
"T0819",0.085388261,0.159915029,0.158577808,0.0834332049898191,1.38234299625137,168.415276758323
"T0803",0.057131637,0.172784448,0.162768464,0.493682770588071,0.0158356076762847,23.6893089607664
"T0805",0.066927546,0.175572932,0.170523405,0.401381930216115,0.249771759351119,48.4653447415025
"T0828",0.06416935,0.221524472,0.212832183,0.449949617498549,0.125788639132856,35.3343677602075
"T0798",0.072803597,0.212241564,0.205349705,0.422029524427319,0.196704167200405,42.8449882788077
"T2263",0.041409208,0.108798514,0.110632363,0.277244751359705,0.591046145142327,84.6095077230521
"T0692",0.060564021,0.134162576,0.130314119,0.400910987352574,0.250989826576158,48.594349501711
"T0693",0.054730205,0.135803877,0.132025612,0.395335814340754,0.265438567651696,50.1246068959238
"T0694",0.060938087,0.137499879,0.13298424,0.42383964257914,0.192080326484228,42.3552801160964
"T2674",0.071913837,0.151617887,0.146503651,0.428045781079011,0.181351656471575,41.2190131893724
"T0497",0.08596122,0.140955643,0.146989139,0.455890115848317,0.110793333758642,33.7462240729889
"T0499",0.085574872,0.13461673,0.136168142,0.16916068259082,0.9574872769338,123.419065492552
"T0689",0.0818222,0.100570777,0.106632236,0.49186667845904,0.0203886262318259,24.171516391447
"T0691",0.067813231,0.109268749,0.116067883,0.494640962614948,0.0134335186574127,23.4349051712965
"T0709",0.092246974,0.122401265,0.123169548,0.0270386088916549,1.92621753051321,226.016698448087
"T1705",0.019693509,0.152217231,0.144261884,0.483655724548579,0.04098049052937,26.352388236074
"T2332",0.30178137,0.111592514,0.113994921,0.337575154424084,0.419090068248095,66.3977440287927
"T2647",0.084096348,0.117807908,0.121587941,0.414885230269955,0.214995970039036,44.78226201089
"T4072",0.173368872,0.175002747,0.171270506,0.340315896403805,0.411601144222069,65.6045966323786
"T4074",0.173368872,0.175002747,0.171270506,0.340315896403805,0.411601144222069,65.6045966323786
"T5718",0.12385211,0.141793749,0.139994637,0.20104894889387,0.837880364276625,110.751569996873
"T5726",0.13855819,0.149859565,0.1457582,0.392276604655499,0.27339029876276,50.9667699097036
"T5730",0.108798175,0.141406281,0.138925896,0.29227910354635,0.546738780728475,79.9169416608661
