"","aaeA","aaeB","aaeX","agp","cpdB","crp","cstA","dksA","glgS","glpR","gluQ","gpsA","grpE","grxC","hofB","hofC","hofM","hofN","hofO","hofP","ilvB","ilvN","ivbL","lacI","mhpR","nadC","ompA","patZ","ppdD","preA","preT","priB","raiA","rmf","rplI","rpsF","rpsR","secB","sfsA","sxy","ubiG","uhpA","uhpB","uhpC","ychH","yeiP","yfiP","yibN","pval","z","inv_cof_var"
"T5994",0.07438734,0.183083999,0.181063884,0.181630022,0.11580057,0.318692851,0.20169108,0.29010116,0.077432742,0.074815796,0.073752835,0.315918154,0.213167299,0.170462807,0.170904448,0.074853754,0.097028334,0.074288325,0.089840521,0.11164639,0.160459617,0.139171151,0.074471081,0.080799458,0.090758313,0.077382118,0.127673101,0.074329916,0.074857581,0.07450958,0.073999409,0.359695119,0.099123031,0.082198897,0.078216923,0.332021836,0.224943825,0.356766764,0.129511138,0.129263617,0.121958175,0.128798707,0.128733892,0.081990374,0.099482407,0.112119192,0.088705867,0.218909486,0.108969789883084,1.23202544372272,1.74717416033851
"T5996",0.060478344,0.194525383,0.141772326,0.203119941,0.106568058,0.338886528,0.224204585,0.282783353,0.068420434,0.057401396,0.055222991,0.341194875,0.243629177,0.177436563,0.143150825,0.051554556,0.090602777,0.059114041,0.08140153,0.109549333,0.168697101,0.145859225,0.053448019,0.068758628,0.077403091,0.064253269,0.091391419,0.052770789,0.051663877,0.053047881,0.054504322,0.358885089,0.104734734,0.070579674,0.083112215,0.350103614,0.258155143,0.361502359,0.100480863,0.115066673,0.111202883,0,0.115912718,0.07248225,0.074162389,0.107197278,0.077885863,0.24515754,0.32331381627621,0.458452149721966,1.41090648437347
"T5998",0.073623216,0.185639138,0.118169377,0.186602607,0.105469959,0.295808135,0.204823186,0.285103231,0.075863662,0.07169371,0.071106129,0.31467519,0.215798022,0.187866383,0.174780352,0.101690652,0.073134097,0.071839993,0.091678331,0.107888999,0.16218736,0.143219651,0.080274925,0.077855187,0.092901576,0.074665251,0.112063971,0.077427553,0.071641371,0.080103398,0.072724787,0.349705989,0.107815053,0.079399696,0.10219789,0.331573861,0.231886159,0.349235963,0.104322359,0.18309386,0.10783296,0.045688267,0.088023336,0.081076354,0.084844642,0.1089588,0.077937457,0.218876828,0.144716087895468,1.05936809107843,1.67212104363678
"T6000",0.075197363,0.231540863,0.133357928,0.179424142,0.131397997,0.267156828,0.198481481,0.303339126,0.081903953,0.089335791,0.077361976,0.315751202,0.210340276,0.182281419,0.165686134,0.094478864,0.076044565,0.074496674,0.095057664,0.110550776,0.157854428,0.141398969,0.087252368,0.083007404,0.099227629,0.077000468,0.135378636,0.084619181,0.074151891,0.087132861,0.079742951,0.356970586,0.097092153,0.084676994,0.093431449,0.332116334,0.227241679,0.355297128,0.10365465,0.188685815,0.101983275,0.047033611,0.105391669,0.085001603,0.112932884,0.111598706,0.087313625,0.21493873,0.113941181381986,1.20583177049374,1.73578792752772
"T6002",0.073315747,0.202743794,0.177447733,0.185490325,0.12447233,0.299026287,0.199147699,0.272660688,0.073183164,0.073554163,0.07648587,0.316774725,0.210598527,0.13115497,0.179969693,0.098968739,0.087082601,0.073463397,0.073319039,0.10252058,0.153152367,0.123813756,0.081153371,0.07717742,0.088874926,0.074817923,0.103799086,0.080085209,0.073898753,0.081134056,0.078242021,0.355566508,0.10505791,0.078257539,0.086757964,0.333466077,0.237991649,0.354176099,0.098655777,0.115507984,0.12644115,0.181070093,0.134946698,0.077910375,0.092347925,0.099340193,0.082800975,0.217011884,0.119292760830112,1.17852964353164,1.72391985652056
"T6004",0.078780671,0.189233668,0.141261497,0.176803406,0.126181929,0.319359738,0.197091827,0.298803731,0.092761855,0.074082012,0.075582119,0.316340542,0.211334306,0.175868399,0.141751494,0.074288915,0.097111272,0.079042697,0.09487063,0.108760317,0.152790004,0.132487383,0.074819862,0.085368965,0.097087965,0.081817942,0.123177103,0.074303374,0.077701352,0.074707491,0.075186601,0.356555189,0.104301545,0.087006488,0.09387105,0.335692649,0.226778411,0.354674634,0.096346706,0.128194565,0.119485421,0.238270095,0.121872734,0.086586737,0.093673688,0.110710504,0.09170464,0.209822553,0.103056146447373,1.26432808576037,1.76121592528796
"T6006",0.078790286,0.196345209,0.146161763,0.181085551,0.119122967,0.315433285,0.202444387,0.308888535,0.096627114,0.071073005,0.073799578,0.314258885,0.21695037,0.179201758,0.135404543,0.071497151,0.094789901,0.077860497,0.095557534,0.112803604,0.158671521,0.137259298,0.071351145,0.085936638,0.097054863,0.082287341,0.104750475,0.071698635,0.076535668,0.071284351,0.072509381,0.350779918,0.103342545,0.087201094,0.092046026,0.329821724,0.228528369,0.350289492,0.09690532,0.144720878,0.123502045,0,0.099125528,0.08669655,0.098685735,0.11400296,0.091296978,0.217588175,0.151651678088118,1.02937528961785,1.65908335254656
"T6008",0.076198724,0.182981992,0.148855673,0.182654518,0.119095939,0.315231847,0.198546933,0.25525172,0.084138939,0.076184052,0.07674472,0.31472329,0.208851319,0.166680481,0.151076548,0.083790706,0.09359038,0.07705806,0.084972091,0.108037008,0.155663555,0.13542389,0.078007429,0.082654906,0.090420123,0.079729398,0.095577169,0.07719444,0.078026627,0.077977447,0.076554918,0.352453469,0.102823904,0.083979852,0.078300056,0.334658691,0.229621171,0.353131139,0.093325857,0.128606108,0.13438864,0.057464891,0.139779979,0.084627374,0.094896402,0.110514061,0.088959428,0.214524343,0.115467223514445,1.19795522893846,1.73236404210668
"T6010",0.076671511,0.215813155,0.161636408,0.176041806,0.139950404,0.305213556,0.194147575,0.255595858,0.087651199,0.077252228,0.078064866,0.317697596,0.205334269,0.146038079,0.156910997,0.100376366,0.087270467,0.076972562,0.078327894,0.110093317,0.153658969,0.13330699,0.078341433,0.081504622,0.085436655,0.078778092,0.123971666,0.078498543,0.076853251,0.078238058,0.078349181,0.366960263,0.106799319,0.083089937,0.100329057,0.279125958,0.226509984,0.362503757,0.101844007,0.127650735,0.109926197,0,0.126250921,0.082911744,0.110143756,0.105066353,0.088057337,0.210099073,0.120204654803491,1.17396433937566,1.7219353461574
"T6012",0.071833792,0.183971229,0.168727646,0.184904577,0.124931345,0.322434818,0.205694621,0.305462656,0.098405215,0.073098542,0.06922631,0.316617289,0.217593511,0.184438078,0.156803725,0.075142573,0.088829879,0.071421459,0.082830106,0.110110653,0.161751262,0.14048575,0.070909035,0.078376676,0.091938752,0.075184026,0.145684365,0.069853119,0.069933436,0.070906327,0.06943721,0.358160668,0.089150893,0.079872499,0.108467906,0.334297184,0.231805671,0.356509457,0.096004908,0.15205905,0.120116065,0,0.094579478,0.077305614,0.087370073,0.110480773,0.085585676,0.220671676,0.177691042241416,0.924200213535107,1.61336437713974
