"","csgD","pepD","yhbS","yhbT","pval","z","inv_cof_var"
"T5553",0.074274451,0.158894612,0.085335624,0.107607398,0.493675190817657,0.0158546097283679,3.10910580476201
"T5547",0.086791836,0.129948641,0.087150832,0.081651101,0.463332238921857,0.0920422418863993,3.76634703982107
"T5561",0.056348176,0.175258407,0.106822699,0.104013622,0.489944001954323,0.0252093189044456,3.1898052626445
"T5565",0.119163119,0.131177299,0.219042047,0.139093811,0.48227593669267,0.0444422636563095,3.35572043817217
"T5577",0.090048438,0.18618983,0.196120862,0.118685117,0.454264516923844,0.114894135068134,3.96348148372987
"T1708",0.054813235,0.172052901,0.192433987,0.269650947,0.447733736635903,0.131389147510468,4.10577757619048
"T1709",0.068039294,0.139251743,0.186482831,0.232778897,0.453457572347576,0.116930479475801,3.98104823932511
"T1711",0.081706443,0.052538518,0.053748649,0.078438796,0.442837427379088,0.14377916636013,4.21266147664122
"T5778",0.094172504,0.09556157,0.102014588,0.158407249,0.478739322289837,0.0533178670781141,3.43228683601929
"T5802",0.108311254,0.105516589,0.109226394,0.147252385,0.39705722369592,0.260971549498049,5.2236348387391
