"","csgD","pepD","yhbS","yhbT","pval","z","inv_cof_var"
"T5742",0.350502606,0.095038823,0.10595329,0.079768424,0.315518420944933,0.480267997139449,7.11542047387916
"T5746",0.244273256,0.089505158,0.087910757,0.103880234,0.186419362502156,0.891168603776136,10.6601010807294
"T5748",0.128231732,0.128854975,0.11360906,0.203661447,0.494770841622561,0.0131079315945551,3.08541127485153
"T5756",0.132562679,0.117054872,0.185002438,0.156586802,0.430628686816852,0.174773803033442,4.48004021923189
"T5760",0.280798336,0.092162125,0.092658875,0.087740829,0.000196021277385847,3.54538329159802,33.5569846053091
"T5769",0.068547577,0.063455501,0.086861795,0.071385554,0.353800978690876,0.375078673301661,6.20799286186501
"T5771",0.07612106,0.075992611,0.075061685,0.075030043,2.24142728984093e-55,15.6309197367399,137.814233118827
"T8378",0.289622842,0.172946331,0.101806487,0.116433848,0.476958929124062,0.0577875462580576,3.47084502953881
"T8379",0.247936918,0.23826739,0.146499244,0.158571598,0.469517160200475,0.0764836511059648,3.63212909485199
"T2421",0.060100545,0.151108969,0.083317945,0.140012989,0.47872755919469,0.0533473947489641,3.43254155981511
"T2417",0.063098443,0.098087679,0.103806762,0.097315895,0.00177219662007944,2.91609784786628,28.1283824749128
"T2689",0.048061451,0.100686286,0.092387147,0.160313318,0.490444451506512,0.0239544987566838,3.17898041456441
"T2420",0.063247734,0.064255563,0.090880066,0.07257428,0.381546691067784,0.301421132049353,5.57257774247049
"T0320",0.104434523,0.120376216,0.089456639,0.14702453,0.446677879733304,0.134059203242423,4.12881111427585
"T5670",0.066908911,0.064781656,0.076458011,0.059285642,0.294946598412202,0.538990808436026,7.62199945434475
"T2668",0.040931623,0.057926203,0.077614293,0.093230457,0.438365749541043,0.155113931862535,4.31044211461213
"T2663",0.038403817,0.061196351,0.082219441,0.084973011,0.369191755254554,0.333994762993994,5.85357785792239
"T5731",0.099043183,0.144294989,0.169775807,0.164226915,0.150411269742531,1.03467109477901,11.8980415672529
"T5733",0.090309168,0.111200873,0.155586065,0.087961454,0.478309421983597,0.054397031384128,3.44159636909212
"T5735",0.088052424,0.134883494,0.086976955,0.156834497,0.474062896569639,0.0650605465497329,3.53358639003116
"T2431",0.071380771,0.277801558,0.156130163,0.207817624,0.475468999852572,0.0615288992784855,3.50312023497947
"T2433",0.056344907,0.245591448,0.21544031,0.215431432,0.123682374895644,1.15677389538829,12.9513752016432
"T2434",0.05530936,0.24447533,0.24067377,0.237851589,3.80723757016636e-16,8.06024008279115,72.5049079034579
"T0247",0.045893434,0.089411675,0.092597998,0.091926139,1.28106614834383e-09,5.95744414993871,54.3649007023098
"T0248",0.061079184,0.088973224,0.109018787,0.089825267,0.262205277016512,0.636561431931294,8.4637034852365
"T0249",0.045285833,0.107318679,0.090864513,0.112986442,0.241399363781218,0.701808290957071,9.02656290211505
"T1947",0.053571972,0.0759784,0.08168541,0.057985226,0.371041293362318,0.329096715534772,5.81132429694021
"T1943",0.06779405,0.092216879,0.091522376,0.08921954,8.97532656352795e-11,6.37792230682185,57.992203130767
"T1094",0.057107409,0.172836972,0.127301947,0.107044603,0.451300076238602,0.122377379389186,4.02803653814625
"T4031",0.094641163,0.145291288,0.239734953,0.153295577,0.479009891122174,0.0526386991383926,3.42642791688935
"T4099",0.114397982,0.159143027,0.238578469,0.138672202,0.480783876563555,0.0481863193157786,3.38801895823453
"T6962",0.077371625,0.141249026,0.187373802,0.159858304,0.319592727925831,0.468837971915526,7.01681806713491
"T6981",0.106974085,0.139932669,0.168177317,0.165445488,0.203259996079022,0.830033236866101,10.1327099161058
"T6992",0.070973762,0.144007165,0.127653893,0.134055626,0.0596345311097195,1.55784893695751,16.4112944589518
"T6993",0.091781361,0.155259852,0.250849225,0.142765788,0.494356667105801,0.0141462095936287,3.09436809756825
"T6996",0.062951424,0.136630053,0.081601792,0.125287544,0.455297251488887,0.112288697798262,3.94100538412399
"T4098",0.092328761,0.126786791,0.151018027,0.102312839,0.397982007991361,0.258573909476353,5.20295132562219
"T4100",0.085918173,0.196581811,0.273523303,0.14682524,0.488475459251867,0.028891758675706,3.22157224627084
"T4834",0.087943439,0.098540342,0.108176471,0.130836883,0.329203133062836,0.442114619018474,6.78628603765084
"T4849",0.090475445,0.15254325,0.244423799,0.148817248,0.482105885911656,0.0448689429688274,3.35940123557183
"T4851",0.091666957,0.138907747,0.226949813,0.142418191,0.480286191857349,0.0494353169331372,3.39879357759684
"T6973",0.08178746,0.165657317,0.260802748,0.151822597,0.487210953637102,0.0320628779619249,3.24892826583936
"T4850",0.093318539,0.156684928,0.246962092,0.154131575,0.474856157048829,0.0630680524368813,3.51639791396904
"T4852",0.095761173,0.116056608,0.227383548,0.158098414,0.499929330164789,0.000177143008030499,2.97386236303778
"T2772",0.035131106,0.195552176,0.120563107,0.158804283,0.442417193946506,0.144843561329718,4.22184360036114
"T0409",0.057477551,0.485384096,0.376806837,0.273023184,0.472683252333287,0.0685265264285055,3.56348605788656
"T0411",0.049249226,0.46033665,0.451356072,0.289099108,0.44556307466206,0.136879365404674,4.15313956247779
"T1069",0.040832718,0.177473826,0.094660918,0.129857329,0.488359419267638,0.0291827504329507,3.22408251961188
"T4797",0.384556162,0.06165373,0.085149102,0.07258372,0.353286247803405,0.376463298454486,6.21993748751827
"T4798",0.243324952,0.095463469,0.094894085,0.09565199,9.57748565473317e-169,27.6635900596114,241.615426042881
"T4800",0.264190822,0.134504678,0.1111288,0.096432151,0.365483500029768,0.343839490104689,5.93850451099951
"T4802",0.102670809,0.134234163,0.146421947,0.088280493,0.452087860982729,0.120388094571017,4.01087574742807
"T4804",0.106632852,0.098982429,0.144655119,0.085081808,0.474888155923021,0.0629876836795537,3.5157046037843
"T4806",0.311031461,0.112222351,0.120265633,0.091487222,0.309054024728738,0.498533519726036,7.27299007256293
"T4808",0.33005139,0.066538785,0.061457445,0.056837389,0.129817264344112,1.12725536379835,12.6967302466844
"T4812",0.322296208,0.097355472,0.145313409,0.096506489,0.450432894679463,0.124567714501902,4.046931711994
"T4805",0.337022395,0.070697374,0.104114311,0.072533479,0.434783649579544,0.164208132555155,4.38889426656633
"T5743",0.122439731,0.124460516,0.213801877,0.146626251,0.47680114696344,0.0581837129483647,3.47426260634822
"T5745",0.124344073,0.095679775,0.107331646,0.096640646,0.0741357835743653,1.44566364069572,15.4435152987119
"T5755",0.109738812,0.122912368,0.158550071,0.20619763,0.457638566259175,0.106384699115051,3.89007387101052
"T5757",0.085004388,0.129345832,0.208983154,0.243679369,0.484412612673872,0.0390817323081478,3.30947720755791
"T5759",0.090111936,0.11509587,0.103826098,0.089196891,0.283566957346081,0.572277611766563,7.90915183213163
"T6892",0.07598446,0.188516542,0.283026144,0.171623809,0.472343927599881,0.0693791118228889,3.57084098232411
"T6894",0.12221788,0.162000501,0.232637607,0.138143886,0.470347599812585,0.0743961154955512,3.61412073255019
"T6898",0.126615885,0.14009989,0.126570751,0.127505589,0.047332411907098,1.671287907407,17.3898885815176
"T6902",0.126615885,0.14009989,0.126570751,0.127505589,0.047332411907098,1.671287907407,17.3898885815176
"T6897",0.07960606,0.125475558,0.135869207,0.100565581,0.334962443269512,0.426251099054963,6.64943758655872
"T6901",0.101659612,0.120579762,0.154415721,0.12609629,0.305313342130471,0.509179110101458,7.36482546326995
"T0869",0.044805114,0.208096086,0.132702426,0.132795206,0.469665080039004,0.076111790263279,3.62892119518909
"T0870",0.048579406,0.227632815,0.12031344,0.17323698,0.487740011150527,0.0307360734376287,3.23748243638476
"T0871",0.051080167,0.140991108,0.116041571,0.087995832,0.437111394652207,0.158296978029497,4.33790102276779
"T0872",0.029929585,0.173589373,0.08549731,0.137828748,0.499357237867854,0.00161116643135946,2.9862331284646
"T0873",0.060757103,0.185024284,0.10311737,0.161128075,0.473056347700678,0.0675891465989532,3.55539964465329
"T1651",0.038611642,0.10996698,0.119524634,0.084442395,0.372861482729316,0.324284087768933,5.76980761861454
"T1654",0.06195984,0.195625508,0.111663328,0.204096874,0.483184736336014,0.0421621035432692,3.3360503787888
"T1656",0.060407092,0.190339366,0.106111403,0.20296605,0.491246539329742,0.0219434329023497,3.16163172727163
"T8308",0.04571134,0.127351999,0.074410384,0.149262273,0.496847135811748,0.00790314079078624,3.040511557677
"T8316",0.052258695,0.146044914,0.07704741,0.137520074,0.489682292281709,0.0258655417276975,3.19546624312928
"T8317",0.066061784,0.116209146,0.107793557,0.150406566,0.383436317713748,0.296468086393023,5.52984973331386
"T2144",0.070148626,0.071057779,0.053477528,0.085444145,0.435560411191046,0.162234970132126,4.37187255751527
"T2108",0.031205215,0.27831086,0.168313025,0.312773112,0.482309957657489,0.0443569016473475,3.35498405313686
"T6045",0.073172775,0.085775886,0.071705424,0.089291583,0.248224250057252,0.680088382387898,8.83919365163403
"T6041",0.074177222,0.096135344,0.061844851,0.094523641,0.436560973907625,0.159694228156879,4.34995455919352
"T6047",0.074868192,0.087491215,0.069560798,0.091782329,0.318777359934706,0.471120453322805,7.03650815142586
"T6049",0.072468666,0.088275365,0.067216565,0.092549144,0.358608852108633,0.362179759031872,6.0967189174535
"T6043",0.072951694,0.092227507,0.062748636,0.092063924,0.413768552906021,0.217861396478339,4.85174022262229
"T6051",0.070613257,0.089863502,0.063017955,0.090907394,0.400790461732255,0.251301619097573,5.14021608927381
"T6093",0.06558068,0.078606734,0.065329102,0.085729081,0.304127496781749,0.512565925759054,7.3940422120081
"T6129",0.045424969,0.11752647,0.108323166,0.066328627,0.472456104011655,0.0690972524590701,3.56840949060896
"T6135",0.070471452,0.10970135,0.09244284,0.157542663,0.473074924969989,0.0675424738782007,3.55499701714326
"T6137",0.041957043,0.137007225,0.107460166,0.099343723,0.372340986035151,0.325659522980628,5.78167296620014
"T6157",0.046499393,0.176655219,0.097303343,0.114570115,0.493941153481568,0.0151878598745746,3.10335401165636
"T6190",0.050493013,0.09296269,0.083355845,0.127520486,0.43608546010017,0.160901577029558,4.36036989094422
"T6192",0.052819311,0.086368514,0.081443908,0.129909401,0.465443035163134,0.0867300747049462,3.72052102816689
"T6194",0.052671988,0.087578854,0.083141593,0.120203373,0.416488894729368,0.210884000081581,4.79154892259882
"T6196",0.050853725,0.090219752,0.077483161,0.121495754,0.440832683713943,0.148858399955027,4.25647806033737
"T6199",0.049200806,0.110516339,0.091671206,0.085019872,0.310449895811884,0.49457551171455,7.23884586831143
"T6201",0.04899762,0.087085892,0.099291327,0.102357415,0.149995719910581,1.03645174664175,11.9134025621588
"T6203",0.049432943,0.07634454,0.106172297,0.081752498,0.38284791513007,0.298009608316504,5.54314784672363
"T6205",0.054761449,0.097734075,0.092782638,0.070742724,0.360169001962885,0.358007095036016,6.06072295904867
"T6207",0.054542725,0.103374596,0.079180974,0.12644294,0.436182156363066,0.160656042348618,4.35825175821874
"T6212",0.041904244,0.093805319,0.084175203,0.122272235,0.404732715413818,0.241115718103714,5.05234626106459
"T6216",0.050011021,0.070796162,0.100370527,0.07454598,0.403192775652402,0.245091542572583,5.08664416100297
"T6218",0.056089583,0.099222616,0.0834603,0.089141777,0.165727410924531,0.971187691848872,11.3503948040484
"T6189",0.068748442,0.076888867,0.090082361,0.081420608,0.138475598814358,1.08719373812535,12.3511340968896
"T6209",0.065331809,0.078425984,0.072152538,0.077418012,0.0115892660688246,2.27047906426599,22.5588789388188
"T6191",0.068346425,0.081960942,0.088473895,0.078588867,0.0581685027194479,1.57033581814696,16.5190139533439
"T6215",0.065630423,0.079067069,0.075221575,0.075930628,3.1360776305638e-05,4.00233067864004,37.4988929769142
"T6193",0.061846683,0.075684079,0.086272667,0.075189062,0.13157490265432,1.1189773422465,12.6253189564989
"T6217",0.068476136,0.081451187,0.071920845,0.080537672,0.0846835762186658,1.37424010968239,14.827372121587
"T6211",0.06512912,0.077160243,0.074202706,0.076970886,3.1045381283664e-07,4.98459802158549,45.9725334268044
"T6195",0.06380933,0.074583606,0.08008149,0.076613208,0.00205301810913668,2.86989846695011,27.7298382845733
"T6219",0.066608732,0.077636781,0.074754739,0.078117305,2.64308905771335e-06,4.55309740947583,42.2501445403321
"T7309",0.078194793,0.167375915,0.093193245,0.102913371,0.498481352188315,0.00380669473771053,3.00517310198524
