"","aspA","crp","dcuA","dcuR","fnr","narL","pval","z","inv_cof_var"
"T0509",0.108193005,0.771853156,0.101382436,0.045333198,0.627002405,0.06915447,0.489001434815194,0.0275728078234649,2.46327238975093
"T0510",0.104093557,0.759704287,0.098862042,0.047177193,0.587985207,0.043143325,0.475714673612108,0.0609119313803108,2.65032343064306
"T0511",0.103779213,0.772626288,0.098444393,0.044875412,0.666667846,0.06589034,0.484378692364456,0.0391668230144837,2.52832126861247
"T1717",0.121039236,0.379229498,0.069605612,0.060828744,0.294419123,0.224415886,0.480911255140801,0.0478666601296708,2.57713219746647
"T8190",0.078857943,0.580025106,0.109783455,0.057931642,0.043165856,0.058290907,0.440339995336762,0.150107261978384,3.15075888458172
"T0881",0.061968674,1.075971159,0.057360995,0.062095558,0.290764123,0.216173081,0.000169054834559869,3.58420252283077,22.417944837143
"T0882",0.022962817,0.931146564,0.039622937,0.052984372,0.337879813,0.206414178,0.482040585342572,0.0450327926739955,2.56123262360903
"T0878",0.079373693,0.947819748,0.097882694,0.079612268,0.301969932,0.179077817,0.15248987746995,1.02581296232045,8.06395531234203
"T0876",0.14537195,0.596239409,0.159285884,0.065216125,0.56780987,0.332042849,0.491490088969127,0.0213328015459654,2.42826248112543
"T1961",0.266980162,1.055770393,0.17074589,0.163364767,0.289626667,0.191416259,0.418285657465255,0.206281133465649,3.46592557199382
"T1962",0.259251445,0.891393797,0.17762379,0.168536564,0.311496745,0.171167269,0.378848417618683,0.308506657429308,4.03946766378102
"T2861",0.135235896,0.328755412,0.107802399,0.052414548,0.290393991,0.129211543,0.498168959510697,0.00458975397693589,2.33432466448926
"T0808",0.1106543,0.623493605,0.142428409,0.064763208,0.354393436,0.149124815,0.47123654594336,0.0721618668283509,2.71344183061951
"T0831",0.068656827,0.824620858,0.130167925,0.064055848,0.314438208,0.106915007,0.495358560295223,0.0116346264796244,2.37385032065516
"T5129",0.149575045,0.310436534,0.094282682,0.142103197,0.093903763,0.083268586,0.36208403768535,0.352893778266517,4.28850411912299
"T5131",0.155915314,0.284920468,0.171886267,0.145224426,0.073013322,0.078350698,0.0461860386292751,1.68301557040209,11.751227765953
"T5133",0.150579945,0.062227803,0.123229808,0.141165392,0.117691958,0.076744181,0.086452698103647,1.36292738771953,9.95535488867258
"T5135",0.162127584,0.058664204,0.146972535,0.157159129,0.108285948,0.102662784,0.000751536619856522,3.17408952205534,20.1169826193559
"T0018",0.070940655,0.185290325,0.047003423,0.049528096,0.356608077,0.314308127,0.365027785207189,0.345051611327755,4.24450519736837
"T1864",0.213849702,0.337797061,0.251934338,0.107384843,0.688785286,0.251344999,0.482833389334373,0.0430435994962611,2.55007214262649
"T1868",0.230309126,0.342997079,0.173027069,0.118603108,0.624108004,0.249571343,0.442882236719684,0.143665679936484,3.11461802371371
"T2000",0.159900613,0.285447087,0.213096269,0.161897634,0.247313452,0.286849237,0.260283380998733,0.642472002782159,5.91319914816262
"T4075",0.120494155,0.439251565,0.17026327,0.115217087,0.307299454,0.077299886,0.350985178451914,0.382662049116085,4.45552068866407
"T4077",0.072096334,0.528278138,0.167923181,0.120111069,0.293115795,0.063593303,0.486005698608886,0.0350857086802254,2.50542394550435
"T4083",0.11784436,0.412153675,0.165475965,0.112435166,0.360542694,0.060809973,0.346750698289336,0.394107875786286,4.51973814743684
