"","allA","allB","allR","allS","gcl","glxK","glxR","hyi","ybbW","ybbY","pval","z","inv_cof_var"
"T7344",0.081631382,0.087683893,0.367926506,0.087780041,0.078227995,0.08629617,0.08382042,0.078833333,0.075787572,0.080628701,0.00121747459974158,3.03131023921466,18.9087074785465
"T7346",0.074587738,0.084527809,0.418883526,0.085257513,0.0745726,0.093623913,0.077714236,0.070685216,0.072494255,0.086000377,0.117820065508786,1.1859548482619,10.3548202728147
"T7348",0.08267613,0.086378188,0.384366953,0.085191114,0.086760916,0.103268384,0.086316974,0.072042022,0.072764865,0.072097781,0.227104058714366,0.748417919126384,8.3266789410601
"T7352",0.080523764,0.08420078,0.40543949,0.084699797,0.084361606,0.088110971,0.083676648,0.079879451,0.082042364,0.0846922,2.71793019482392e-10,6.20597562485113,33.6244255227846
"T7358",0.071064012,0.086020239,0.088762713,0.090136428,0.083950055,0.088161199,0.081760366,0.083555154,0.074559792,0.075454481,0.0504119338666776,1.64087258118446,12.4635278932464
"T7360",0.096270617,0.079638591,0.323082974,0.080192648,0.073001291,0.111006885,0.074875482,0.107495569,0.101679792,0.071977019,0.430505374739552,0.175087666249718,5.66908662101997
"T7362",0.075531122,0.085234284,0.432810643,0.085846521,0.079661928,0.087201016,0.079716741,0.074874774,0.076018783,0.080847663,0.00367078140299935,2.68094022763371,17.2846162200129
"T7364",0.091179701,0.083144082,0.296711887,0.082789795,0.089475443,0.111946899,0.078977218,0.090056527,0.092798363,0.092615765,0.156296054250268,1.00979793751639,9.53826951385805
"T7366",0.073452514,0.083482323,0.325709153,0.085459199,0.081327035,0.083260907,0.077374154,0.072175842,0.071553451,0.059448467,0.169917196267925,0.954492522479259,9.28190898600895
"T7390",0.076134545,0.083437597,0.085299498,0.086665905,0.094552116,0.117323622,0.077945616,0.071628027,0.07084589,0.066617229,0.460883044929246,0.0982093100444633,5.31272773710748
"T7394",0.071231012,0.084886943,0.092799571,0.09010259,0.106652895,0.107966106,0.075851993,0.069394515,0.07700489,0.075650248,0.41884965193502,0.204837222946268,5.80698653647822
