"","mpaA","pgrR","ycjG","ycjY","pval","z","inv_cof_var"
"T1657",0.049356364,0.049135671,0.05685845,0.054028301,0.459187746088489,0.102480245396793,14.0989476582813
"T8308",0.042737948,0.042189369,0.043681081,0.045778327,0.32647088972586,0.449679188790698,28.3150126265596
"T0682",0.040997485,0.011974565,0.034827724,0.036627842,0.4813835930524,0.0466813607633244,11.8142616469909
"T2217",0.04171288,0.047317567,0.038481386,0.03973199,0.360427688720505,0.357315834142475,24.5331939449353
"T2218",0.040456546,0.047856289,0.040821874,0.037753046,0.368353185049641,0.336218145993322,23.6693488465689
"T2219",0.0386021,0.049377106,0.037733064,0.035481258,0.373230500866443,0.32330931292487,23.1407965192723
"T2220",0.051413989,0.055405848,0.046352446,0.043920634,0.476127085146804,0.0598762819029815,12.3545278538493
"T2213",0.03503663,0.046037417,0.032962051,0.032183057,0.377869775813954,0.3110803333736,22.6400808025215
"T2143",0.063864364,0.00903188,0.067227649,0.057146698,0.477387649581131,0.0567111408787887,12.2249311160428
"T2148",0.072566081,0.062008049,0.080553407,0.075651821,0.412732578997864,0.220521335503476,18.9321415311646
"T2151",0.064285954,0.025699051,0.064550447,0.063457406,0.00615185991413257,2.50331150910051,112.401013007496
"T2154",0.056296112,0.081065552,0.05601492,0.058619116,0.232166630348415,0.731730198289418,39.8635946475977
"T2127",0.063455661,0.105810321,0.066727428,0.057769435,0.461879228834853,0.0957004825139406,13.8213501844237
"T2118",0.073665036,0.038072229,0.075214174,0.071125186,0.265745045607791,0.625732989522385,35.5235376429348
"T2119",0.051005283,0.220030854,0.050096367,0.058194672,0.479881806398598,0.0504502259461795,11.9685778778308
"T2121",0.062543914,0.007179596,0.061209093,0.064251161,0.223063317519464,0.761888364518155,41.098421131345
"T2138",0.0560596,0.123137469,0.059213737,0.052047384,0.445361163463883,0.137390263174061,15.5283387615898
"T2142",0.062388815,0.112061852,0.06501096,0.059634802,0.372768522731112,0.324529693547555,23.1907650187398
"T6031",0.055306218,0.067382326,0.055444018,0.052606559,0.277807604077102,0.589366851629526,34.0345256837488
"T6039",0.074829011,0.067382326,0.072251868,0.074458724,0.14628097791155,1.05251800162446,52.9982551643162
"T6052",0.071653957,0.067382326,0.071515628,0.073499763,0.0884367563346098,1.35044428851481,65.1968506116128
"T6061",0.069968177,0.067382326,0.060451008,0.061216603,0.478789704349877,0.0531913987732973,12.0808152326414
"T6077",0.043467777,0.067382326,0.039434086,0.040180436,0.410973115175844,0.225042476285858,19.1172596955945
"T6087",0.044725804,0.067382326,0.046740706,0.039502858,0.482624293426163,0.04356821692152,11.686793934451
"T6098",0.039764335,0.067382326,0.039298473,0.039753791,0.000343255710683089,3.39491008705053,148.907527646804
"T6101",0.05663683,0.067382326,0.056245325,0.049900025,0.456766749690955,0.108582679362093,14.3488118913556
"T6105",0.045650192,0.067382326,0.039430117,0.040805312,0.471380046797146,0.0718012304475988,12.8427950173277
"T6107",0.04526338,0.067382326,0.03910957,0.039531209,0.479435947551388,0.0515692833415229,12.0143976965201
"T6130",0.063656467,0.089170241,0.06142536,0.05831775,0.376389535517815,0.314977060581294,22.7996323455266
"T6140",0.066685961,0.093044747,0.062608558,0.05984939,0.41845728464543,0.205841696729616,18.3310835426808
"T6126",0.062580743,0.08835018,0.05997082,0.057255129,0.379106410947376,0.307828515970083,22.5069350993073
"T6132",0.069199426,0.094762907,0.066729622,0.060999869,0.44461646955178,0.139274880193023,15.6055044283974
"T6160",0.061521938,0.088344198,0.067383619,0.056393915,0.48704789071578,0.0324718289347108,11.2324521931089
"T6134",0.065134644,0.089351522,0.062688626,0.058298626,0.422465821769464,0.195589290226057,17.9112986334553
"T6162",0.062129145,0.088163289,0.066412098,0.058320024,0.446737228611732,0.13390909635343,15.3858023436971
"T6169",0.062399843,0.090671303,0.068987872,0.056824724,0.496091043098037,0.00979845868384804,10.3040907718865
"T6128",0.064374902,0.089926802,0.061725276,0.057541056,0.423853431798828,0.19204511861262,17.7661824835534
"T6138",0.066345576,0.09285692,0.061837791,0.060397544,0.400175584383761,0.252892650760272,20.2575854288355
"T6136",0.06945291,0.092764052,0.065932042,0.060854711,0.449178046134966,0.127738283665368,15.133138342986
"T6164",0.065765615,0.093619208,0.067581193,0.059554748,0.447789554988895,0.131248020038112,15.2768445415382
"T6171",0.062793948,0.090221604,0.067381827,0.057580066,0.472169772833592,0.0698167116434756,12.7615388707093
"T6125",0.044900837,0.067382326,0.043384829,0.051596928,0.492523915056146,0.0187408628734749,10.6702376204042
"T6127",0.048192825,0.067382326,0.044379488,0.050487731,0.44606418775532,0.135611548380532,15.4555092626931
"T6129",0.051591582,0.067382326,0.045206321,0.053374582,0.482929793330882,0.0428017278080618,11.6554100283599
"T6133",0.052468068,0.067382326,0.051097159,0.046051278,0.452801599344595,0.118586200394294,14.7584061819233
"T6137",0.050048285,0.067382326,0.043106196,0.045395507,0.469313383547472,0.0769959496753515,13.0554928594116
"T6176",0.053411978,0.067382326,0.046021949,0.04704315,0.477701887711001,0.0559222125986896,12.1926284380002
"T6180",0.059453943,0.067382326,0.054729477,0.05523876,0.385899602770555,0.290022263355993,21.777857869034
"T6182",0.058494088,0.067382326,0.053017064,0.053154932,0.425683563180935,0.187374357396939,17.5749381086588
"T6203",0.056772107,0.067382326,0.064971112,0.059133169,0.457382330047901,0.10703065520801,14.2852642434535
"T6205",0.058015908,0.067382326,0.055365658,0.061713396,0.418693062280752,0.205238073019363,18.3063681625086
