"","argA","argB","argC","argE","argF","argH","argI","argR","artI","artJ","artM","artP","artQ","lysO","pval","z","inv_cof_var"
"T4798",0.293535699,0.165574641,0.240021005,0.097363164,0.10561482,0.095634813,0.098928595,0.207804405,0.095006638,0.094940729,0.100126622,0.09534729,0.109468058,0.095533588,0.283406958328307,0.572750090279468,2.06722285522545
"T4802",0.160863315,0.114310993,0.107208898,0.102762853,0.093297077,0.097846105,0.081033534,0.181012318,0.080699716,0.112040709,0.107920861,0.080660447,0.133484276,0.08058711,0.00339841233821627,2.70663839122086,3.5885013069075
"T4806",0.116710806,0.101562198,0.126071217,0.096378373,0.110268571,0.095648913,0.104908896,0.205708063,0.105425936,0.097553341,0.10138561,0.094285655,0.097044738,0.10117336,0.000949702030195659,3.10552680249486,3.87287436637322
"T4811",0.291571949,0.117695343,0.11122357,0.103771157,0.294538622,0.122205837,0.122664606,0.110072515,0.160837216,0.086261629,0.114313978,0.095928687,0.279609072,0.092340293,0.342080803650233,0.406790850460144,1.94890822025449
"T4812",0.320813817,0.109330505,0.097354085,0.102836899,0.321833421,0.106247721,0.114733878,0.140350087,0.130482631,0.099279103,0.108364093,0.09734932,0.25256654,0.102700553,0.411497648008529,0.223694152851211,1.81837605485309
"T4801",0.104842424,0.113591866,0.102995568,0.093998953,0.146465783,0.095376001,0.091452449,0.116971731,0.119245471,0.157941305,0.105357989,0.086342464,0.137646719,0.088160543,1.38123424796547e-06,4.68773392838135,5.00085168629528
"T5743",0.250004488,0.13497487,0.148664117,0.145252248,0.192289321,0.133858083,0.121387664,0.126519202,0.180253368,0.138474877,0.134710673,0.134102619,0.161496841,0.120986082,0.000103786088998319,3.709618023517,4.3035393440039
"T5745",0.25733734,0.127264697,0.121255146,0.112119053,0.163382448,0.165235452,0.101104255,0.115264789,0.1565793,0.102429462,0.117547914,0.100647445,0.147060444,0.09483529,0.0185952653147268,2.08366631133207,3.1443759041316
"T5747",0.121664496,0.125673682,0.125482052,0.118027651,0.183636434,0.113068534,0.107670337,0.123082675,0.149139074,0.119602917,0.125644871,0.109746221,0.145237228,0.106194814,1.4502292888572e-10,6.3040078157721,6.15311567116234
"T5755",0.065467348,0.293008009,0.146256609,0.141296107,0.193811305,0.132809364,0.245525627,0.110779507,0.18162354,0.134709512,0.140981291,0.132960136,0.148503811,0.110305049,0.0730205713874458,1.45365801873503,2.69523428810322
