"","crp","lsrA","lsrB","lsrC","lsrD","lsrF","lsrG","lsrR","oxyR","rbsR","tam","pval","z","inv_cof_var"
"T1776",0.149075019,0.121438375,0.130433844,0.06076635,0.122437802,0.111941725,0.136609399,0.087524061,0.054578817,0.063717075,0.052182253,0.477372976239802,0.0567479807231675,2.7710415158581
"T1777",0.248415606,0.106795336,0.114563666,0.062179031,0.106553158,0.101030892,0.121123308,0.08306875,0.081719213,0.065344263,0.060027865,0.293563835672897,0.543003095189372,3.97172905875746
"T1778",0.223568873,0.106197362,0.113999457,0.065575384,0.107038591,0.099976693,0.120807271,0.079472688,0.087040727,0.066783904,0.071846658,0.222744076166309,0.762958489476222,4.51485486670635
"T1779",0.31609421,0.096614708,0.10398521,0.067217897,0.097292418,0.090895769,0.109744646,0.076328897,0.088630403,0.066907951,0.086177981,0.0822948179936049,1.38979994116951,6.06268583039154
"T1780",0.31052403,0.102465466,0.109688442,0.066641526,0.103194761,0.095845422,0.116355563,0.080957459,0.081056637,0.06786917,0.077032785,0.15879733689572,0.99941298157401,5.09872114323092
"T1781",0.308511056,0.086497541,0.092797944,0.063112217,0.087170221,0.080081776,0.0984535,0.06781918,0.075192299,0.063174515,0.078918815,0.0578818070929272,1.57280656878534,6.51457573655236
"T1782",0.199750001,0.092268965,0.10041601,0.057761282,0.093126958,0.083557125,0.10853,0.068124978,0.058223078,0.05743882,0.079662169,0.256295927274361,0.654807261880633,4.24780198055656
"T1783",0.22519985,0.093736917,0.102508772,0.0523281,0.094356265,0.083795758,0.110587832,0.066296758,0.053964187,0.052413173,0.081719437,0.340268983697332,0.411729135381311,3.6475802661599
"T1784",0.308892026,0.092614447,0.101529289,0.040490079,0.092762021,0.083126516,0.110466732,0.062336581,0.040586582,0.044969688,0.069038871,0.467598460259052,0.0813081150069435,2.83168673358262
"T1785",0.213252247,0.072764514,0.078873378,0.058022061,0.073313314,0.067056762,0.086648679,0.055950662,0.055310261,0.054811195,0.092779085,0.160685641455801,0.991643865898715,5.07953722077303
"T1786",0.149567023,0.085310225,0.092983912,0.05353352,0.086134854,0.078965558,0.100519529,0.063162919,0.087643369,0.053687051,0.081644768,0.186386513400001,0.891291091188286,4.83174069811338
"T1787",0.210251079,0.087695025,0.094672054,0.060748055,0.088281499,0.082860036,0.101850278,0.068374627,0.081969994,0.060996296,0.090490243,0.0982326565819488,1.29168771616701,5.82042179478144
"T1788",0.185234459,0.087559409,0.09409155,0.052998977,0.088335139,0.080301483,0.099972276,0.0650601,0.073369159,0.054738102,0.057945922,0.235947567821469,0.719398962954571,4.40729531758664
"T1790",0.256345354,0.090192733,0.095875966,0.064979676,0.090291172,0.085840765,0.101766538,0.074278957,0.071078004,0.06662961,0.067566629,0.0861761441637612,1.36468432521427,6.00066898714909
"T1791",0.311376544,0.097859514,0.11004716,0.038861163,0.099385016,0.091098626,0.119819251,0.064322302,0.068221123,0.042192288,0.049765865,0.493152989647997,0.0171637524320028,2.67329798907451
"T1793",0.18706089,0.116284783,0.122970804,0.068978405,0.116734661,0.112049526,0.128417111,0.092104667,0.060273687,0.074513649,0.059681032,0.363017534510637,0.350404607523683,3.49615441071431
"T1794",0.206625139,0.080952562,0.087988221,0.051422026,0.081718718,0.074815501,0.094387545,0.060243877,0.059656754,0.052808588,0.083493756,0.200031696752533,0.84150802088131,4.70881363660476
"T1795",0.119642079,0.109205859,0.116703744,0.06538403,0.11021049,0.102244036,0.124019001,0.08235076,0.10777996,0.068047895,0.071866469,0.236207424022897,0.71855548726622,4.40521256159783
"T1796",0.244707996,0.093993847,0.098934294,0.070892832,0.094225294,0.091641772,0.103171454,0.080812635,0.071079391,0.071042741,0.089031209,0.0350368176256707,1.81143439868101,7.10380853682711
"T1797",0.249282356,0.088258261,0.094691161,0.056140421,0.088809982,0.084443577,0.100561453,0.070052673,0.072932425,0.058419219,0.073939432,0.142287769378559,1.07009724572259,5.27325856796397
"T1798",0.19463412,0.087961652,0.095071804,0.053609959,0.08878658,0.082882077,0.101560113,0.064512659,0.059570848,0.053131967,0.072415423,0.249750372965593,0.675275501054337,4.29834326859613
"T1799",0.201900943,0.07961987,0.087481688,0.042457013,0.080445095,0.07335968,0.09535714,0.051658277,0.089663642,0.043752779,0.068445144,0.331262194537832,0.436430534371434,3.70857430237109
"T1800",0.276086362,0.094232069,0.099582212,0.070006402,0.094690446,0.08862176,0.106642663,0.076385947,0.1311612,0.069762883,0.087614772,0.171327608941414,0.948931961003768,4.97407066501832
"T1801",0.289663233,0.092376193,0.100726712,0.05800502,0.093667843,0.085873862,0.109268051,0.067429339,0.149011272,0.057797542,0.081756748,0.393503544563249,0.270199094701156,3.29810660154405
"T1803",0.140623115,0.11046374,0.113833481,0.092433426,0.110998545,0.107541928,0.117573538,0.100010243,0.119712237,0.093555046,0.096449619,0.000582349591481759,3.24738696277012,10.6495406116226
"T1804",0.179458122,0.088837596,0.094888885,0.064745378,0.089736898,0.082191867,0.100212047,0.067069925,0.136533893,0.064857939,0.090830473,0.273705991731759,0.601642723667608,4.11652521480686
"T1805",0.250335145,0.09412311,0.099646552,0.068611213,0.094836951,0.088766418,0.105887301,0.075406334,0.157719591,0.068771969,0.086427949,0.338724533539433,0.415946616267037,3.65799429906414
"T1807",0.271124029,0.075503478,0.084371048,0.039881142,0.076613898,0.068259121,0.094177234,0.050034823,0.081313907,0.038307785,0.077453204,0.353436798658553,0.376058242361864,3.5594997594087
"T1808",0.301697377,0.072206116,0.081061554,0.04545826,0.073162168,0.064977044,0.091345376,0.049646481,0.090273325,0.043232789,0.081406249,0.308188025154635,0.500992998673909,3.86799544637687
"T1809",0.333930656,0.08099232,0.089398128,0.055677971,0.08203933,0.076355557,0.098624103,0.059503105,0.081950465,0.054466356,0.091124362,0.171103574553812,0.949813255872211,4.97624680618101
"T1810",0.292009821,0.080690201,0.086810712,0.05595447,0.081499316,0.074336246,0.092637087,0.059788587,0.092874294,0.055850272,0.088325076,0.146728091913408,1.05056987313363,5.22504051880503
"T1811",0.263706819,0.08339337,0.088240054,0.068905312,0.083770528,0.079550205,0.094357768,0.068597842,0.064534727,0.065775046,0.102761595,0.0759007007068242,1.43319750877555,6.16984546175895
"T1812",0.203823069,0.08928882,0.096310837,0.05783298,0.090172124,0.082933893,0.103214375,0.067373562,0.057776972,0.057450997,0.082945277,0.214705017467294,0.790201611721966,4.58212506405134
"T1813",0.208854023,0.090082744,0.095630636,0.067807561,0.090662463,0.084927657,0.101747685,0.074905365,0.071279725,0.067696226,0.089845824,0.0437849737740645,1.70835793439239,6.84928653190523
"T1814",0.363965349,0.074693913,0.08140637,0.056290974,0.075470735,0.069424232,0.088984766,0.056540006,0.056698754,0.054693193,0.086645753,0.143857005787631,1.06314982634867,5.25610362264947
