"","mngA","mngB","mngR","pval","z","inv_cof_var"
"T0792",0.04773208,0.04599359,0.046414424,0.176222664076752,0.929856615890617,51.5043475967968
"T0777",0.050945575,0.047293845,0.04845261,0.359735408473584,0.359166124418824,26.2037326643126
"T0785",0.048109357,0.046053101,0.045864122,0.269762120333619,0.613532589881413,37.4806473677778
"T0793",0.035945569,0.032859442,0.032497659,0.432476996671331,0.170071389792846,17.8205317208488
"T0778",0.041902511,0.039243066,0.040147294,0.329052350333954,0.442531417682184,29.8995944582429
"T0786",0.045737323,0.042490669,0.041069223,0.430778340171682,0.174392917129421,18.0121194565774
"T0794",0.038808132,0.037740235,0.036120869,0.346713578178155,0.394208438119178,27.7572754314077
"T0779",0.041066958,0.035476594,0.036324203,0.480151765111071,0.0497726896249954,12.4872886840221
"T0795",0.035814357,0.034577647,0.034436352,0.209607560819615,0.807783679981761,46.092446765678
"T0780",0.036821925,0.03593219,0.035779884,0.111612539849805,1.21799708705618,64.2785767391531
"T0796",0.039180695,0.035618448,0.034573407,0.456780945574565,0.108546885238833,15.0929450133526
"T0781",0.030179052,0.031016104,0.033557926,0.431336211804225,0.172973288750332,17.9491825906171
"T0789",0.034978485,0.034395133,0.03486642,0.0107257121121897,2.29994344674026,112.244871312195
"T0797",0.033886856,0.030669062,0.030705232,0.438094362333788,0.155802468677951,17.1879428061485
"T0840",0.033208033,0.037343571,0.037349802,0.45714327299779,0.107633343933755,15.0524446771282
"T0846",0.045334544,0.041470716,0.041504768,0.419774000577296,0.202471673393945,19.2569444723222
"T0753",0.048454096,0.045970373,0.046313348,0.289684820458083,0.554305713324328,34.8549221808028
"T0754",0.055613794,0.050826903,0.050796866,0.422879767374765,0.194531753691176,18.9049413217589
"T0762",0.041829171,0.037307116,0.037600809,0.454226403365958,0.11499030477969,15.3786033151603
"T0763",0.039915172,0.034308511,0.034026533,0.494752004177889,0.0131551541372857,10.8639110756764
"T0821",0.046124716,0.043825536,0.046535453,0.318913156532627,0.470740144211165,31.1501814897613
"T0824",0.052770629,0.053050844,0.052971745,4.77552277468249e-16,8.03249458340676,366.388003284707
"T0813",0.04545287,0.045943002,0.04591968,0.00023070883603193,3.50220890939931,165.545313446625
"T0807",0.044025732,0.041611884,0.043046152,0.286013411466554,0.565069014739845,35.3320952695185
"T0826",0.057683334,0.052801478,0.052035382,0.433704695571525,0.166949999656428,17.6821500742721
"T0827",0.054185305,0.05653599,0.056041355,0.217741919580002,0.779842071568974,44.8537019721158
"T5131",0.078817621,0.070860983,0.069875288,0.458274192108623,0.104782515573629,14.9260579374575
"T5137",0.081132353,0.090908977,0.092673948,0.464839076026122,0.088249781069754,14.1931066167078
"T0321",0.054480916,0.062727335,0.063306625,0.482838664561998,0.0430303642101362,12.1883788868202
"T1916",0.036090503,0.032613857,0.033487369,0.423503498050776,0.192938674584157,18.8343148059048
"T5142",0.148012862,0.14266063,0.166774786,0.484160578315698,0.0397139792606983,12.0413524691254
"T5144",0.146500525,0.139787614,0.153710247,0.403910403731494,0.24323828844655,21.064264630902
"T5148",0.155779457,0.134293923,0.156282955,0.485854264693591,0.0354655334639949,11.8530046820671
