"","cirA","crp","entA","entB","entC","entD","entE","entH","fepA","fiu","fur","pval","z","inv_cof_var"
"T0492",0.094231309,0.37998872,0.064975835,0.088379498,0.07925917,0.052204064,0.072399409,0.103893219,0.086354675,0.052049673,0.381421239,0.268925793034889,0.616065052655814,4.23901661047443
"T0493",0.100006588,0.342623191,0.072581046,0.095290053,0.0868954,0.053133571,0.080337827,0.108263965,0.093178993,0.052125753,0.348522219,0.282104628674127,0.576600653932511,4.15034007483291
"T0499",0.100016007,0.36095578,0.070674912,0.094066463,0.088718779,0.050797549,0.08667869,0.113934595,0.098807667,0.049310975,0.336050074,0.345354450920528,0.397893214757982,3.7487843154135
"T0689",0.094656864,0.484080793,0.069926818,0.083633067,0.084565142,0.047683977,0.076177031,0.10023569,0.087415475,0.047725233,0.047894285,0.291353053007993,0.549436245173824,4.08930162652511
"T0690",0.087298448,0.299822059,0.056552678,0.071652633,0.075264647,0.032993036,0.066529817,0.096350965,0.077179524,0.032858221,0.228037276,0.473346191161315,0.0668609732432071,3.00495460274018
"T0698",0.077876093,0.299619362,0.048373497,0.073343296,0.063141574,0.05199244,0.055946243,0.087850847,0.06984968,0.052051292,0.340419467,0.200036647061428,0.841490340618066,4.74554741365838
"T0707",0.070057033,0.112615211,0.054817704,0.066610746,0.060075224,0.073412282,0.057969703,0.076587375,0.066631701,0.075979554,0.316144264,0.0063585913624274,2.4915925587876,8.45332842376846
"T0709",0.095904024,0.166854685,0.074008534,0.096537918,0.088324627,0.077849367,0.078498586,0.098533614,0.091548595,0.080235036,0.275678853,0.00203747467733463,2.87230076589717,9.30878007104871
"T0711",0.111674524,0.088320254,0.093941259,0.108080164,0.103547113,0.089442512,0.098798361,0.119915087,0.108283676,0.090231315,0.24993103,0.000863285070573532,3.13363238607361,9.89599243156923
"T0904",0.060751466,0.192586866,0.032408296,0.056765399,0.046993088,0.03103661,0.038464701,0.068121285,0.05358581,0.033892196,0.54000973,0.397209705511632,0.260576114910097,3.44023268171885
"T0905",0.056399752,0.435744325,0.033784927,0.05344247,0.045800601,0.030893813,0.038795144,0.062329784,0.051326989,0.034489631,0.50023852,0.302544289415827,0.517096812183081,4.01663489460966
"T1075",0.111896906,0.29393191,0.081680733,0.10638684,0.096092582,0.071056046,0.088441849,0.121915387,0.10171363,0.073333049,0.334751497,0.127299670749862,1.13924893253542,5.41461120895039
"T1077",0.114486002,0.220315912,0.084636043,0.109192595,0.098707294,0.081408482,0.091234234,0.125657961,0.105590472,0.083474178,0.276955322,0.0560303574284957,1.58899857309763,6.42519901267459
"T1079",0.111465235,0.261389366,0.081649219,0.106178037,0.095519155,0.072452923,0.087902943,0.121612499,0.10281512,0.073691618,0.296059116,0.117401196632951,1.18807873023108,5.52433180360806
"T1702",0.100427623,1.003235824,0.085836964,0.077737365,0.093774297,0.069828454,0.089619316,0.090660919,0.097283832,0.068247385,0.545137007,0.0212954721105444,2.02769932862849,7.41095996285541
"T1705",0.118775267,0.898036713,0.099018758,0.116260547,0.106682773,0.077575228,0.104512796,0.124874747,0.049386908,0.074784723,0.505553207,0.319512402101303,0.469062721521134,3.90870225429612
"T1706",0.10704706,0.908655494,0.089630658,0.111018762,0.098731655,0.070521614,0.094604156,0.120678351,0.104745338,0.069121607,0.500481523,0.120050370576274,1.17473502739374,5.49434849261069
