"","fpr","marA","pqiA","pqiB","pqiC","soxS","waaB","waaG","waaJ","waaO","waaP","waaQ","waaS","waaU","waaY","waaZ","pval","z","inv_cof_var"
"T6144",0.047779659,0.044107588,0.040858559,0.050542291,0.090388007,0.049752405,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.040766251,0.118045882,0.073032129,0.458094828052851,0.105234600255602,2.34100404408008
"T6146",0.055736757,0.047049864,0.047300312,0.06327237,0.090388007,0.168988499,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.053384921,0.118045882,0.073032129,0.336687135718874,0.421521559499493,2.64682105067278
"T6148",0.069196757,0.067678892,0.063676795,0.076534195,0.090388007,0.141147176,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.068621692,0.118045882,0.073032129,0.164059255202695,0.977910663964846,3.18479217295727
"T6150",0.142838835,0.204920596,0.045992271,0.066222616,0.090388007,0.085587914,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.05362322,0.118045882,0.073032129,0.268633307581105,0.616951653401141,2.83578188060395
"T6152",0.115553528,0.322218698,0.065025941,0.084332931,0.090388007,0.057736875,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.075958076,0.118045882,0.073032129,0.0797935892754472,1.40646133385912,3.5991566581503
"T6154",0.146690227,0.267258144,0.056981379,0.09145337,0.090388007,0.241931323,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.089522341,0.118045882,0.073032129,0.0955471171202231,1.30734892772065,3.50332514036049
"T6156",0.082220975,0.059898581,0.04554712,0.055842012,0.090388007,0.054138167,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.046492989,0.118045882,0.073032129,0.326091843406931,0.450730653273101,2.67506324454788
"T6157",0.061164966,0.047619234,0.046551255,0.103230924,0.090388007,0.062117478,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.046902397,0.118045882,0.073032129,0.282393081332802,0.575747058211187,2.79594126880959
"T6159",0.099561127,0.127547576,0.053903623,0.060478228,0.090388007,0.157523355,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.074830311,0.118045882,0.073032129,0.173080653914728,0.942061199847992,3.15012942293313
"T6161",0.078175811,0.305559859,0.042721065,0.063599894,0.090388007,0.286149838,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.06112042,0.118045882,0.073032129,0.272025539997797,0.606698406337481,2.82586804371241
"T6163",0.123536014,0.340874878,0.063346035,0.078676051,0.090388007,0.137692784,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.106717775,0.118045882,0.073032129,0.0621447344117032,1.53701568340542,3.72538930609554
"T6166",0.099103861,0.047394447,0.047534887,0.100458034,0.090388007,0.052714134,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.04823808,0.118045882,0.073032129,0.202498298587409,0.832730751497524,3.04441810772776
"T6168",0.063736606,0.079769456,0.044937239,0.061724201,0.090388007,0.047214101,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.048806171,0.118045882,0.073032129,0.341960023735732,0.40711973766304,2.63289596803885
"T6170",0.164885311,0.308591622,0.055308427,0.101774182,0.090388007,0.284908371,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.105312015,0.118045882,0.073032129,0.106657936289229,1.24449925719231,3.44255596368541
"T6172",0.120721669,0.301934227,0.066125546,0.079393986,0.090388007,0.082388572,0.096011599,0.168235105,0.058685058,0.104823375,0.15274536,0.16637153,0.064158566,0.079053762,0.055910106,0.053721058,0.437930391434754,0.156218515224276,2.39030025375427
"T6174",0.139219441,0.053350588,0.051448092,0.066188578,0.090388007,0.471557462,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.05172323,0.118045882,0.073032129,0.249478758568017,0.676130935423334,2.89300216854626
"T6176",0.071108855,0.047908816,0.04553579,0.053437372,0.090388007,0.323610341,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.045843417,0.118045882,0.073032129,0.356983275247252,0.366534129099652,2.59365385274181
"T6178",0.141613906,0.059359724,0.045977696,0.085328453,0.090388007,0.4149666,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.043761158,0.118045882,0.073032129,0.261380160562396,0.639096247195212,2.85719342853025
