"","htrE","ibpA","ibpB","ihfA","yadV","pval","z","inv_cof_var"
"T5732",0.113792095,0.102881295,0.111095068,0.13768069,0.104333979,0.0435106285433494,1.71132433166948,20.5665416246015
"T5734",0.073143301,0.070872226,0.078996901,0.15057849,0.099045359,0.44645917926058,0.134612372865445,6.28071777249145
"T5736",0.101869317,0.100313166,0.098993368,0.159163175,0.108508744,0.0171371906942547,2.1168287854416,24.2406211960083
"T5738",0.088625973,0.097700551,0.08900624,0.290493021,0.10165213,0.14741677757304,1.04757696457779,14.5526480179556
"T5740",0.086760184,0.088290792,0.090995257,0.084439375,0.082701053,0.0132701736447049,2.21821249350933,25.1592099000783
"T5744",0.106411152,0.116032214,0.11182757,0.199845592,0.152199656,0.465003746265259,0.0878354111034781,5.85689436433057
"T5748",0.101269885,0.102141308,0.094341984,0.150117485,0.123555579,0.35910113339218,0.360862461463538,8.33066030903968
"T5750",0.092051019,0.097045546,0.093594693,0.217961935,0.101564873,0.0253582897689172,1.95387011595145,22.7641315718183
"T5752",0.088623892,0.088135036,0.094358478,0.100054749,0.103606062,0.18984193124555,0.878478938474114,13.0205326552429
"T5754",0.071342194,0.071902411,0.078957719,0.091476542,0.075878527,0.0411379503919872,1.73763073393267,20.8048912019079
"T5756",0.120141692,0.140417772,0.128435195,0.138073095,0.126835992,0.129813643863521,1.12727249509996,15.2747306434364
"T5758",0.087784133,0.111242799,0.113970082,0.278937369,0.10235535,0.33980334853348,0.412999886264376,8.80305227806639
"T5760",0.090454622,0.089464394,0.099291026,0.107860727,0.089702049,0.0554048588836783,1.59456422593983,19.5086348242544
"T5767",0.06796264,0.06229959,0.059581413,0.194892124,0.077409107,0.352990414059822,0.377259417251211,8.47922518849376
"T5769",0.072173087,0.071488708,0.066036067,0.200026976,0.093005909,0.442451591462555,0.144756430880946,6.37262817194383
"T5771",0.078987891,0.078472591,0.073295385,0.202804724,0.091568448,0.278575727571334,0.587077802120318,10.3802880113114
"T2688",0.056760242,0.070003379,0.058506106,0.391120303,0.050545672,0.404105991459601,0.242733333802592,7.26034946364737
"T4080",0.057451396,0.058500511,0.056133443,0.294013171,0.076649319,0.440571176262486,0.14952123763278,6.41579977951995
"T2670",0.056804602,0.065084405,0.056663586,0.166276527,0.048703987,0.352354849499744,0.378970596090685,8.494729351663
"T2672",0.075736434,0.083370384,0.067923872,0.09412681,0.054349222,0.4728538565025,0.0680978862197218,5.67806220529763
"T2649",0.071900557,0.103953932,0.072902968,0.140887133,0.077258743,0.485909468272488,0.0353270719001994,5.38114171944426
"T2427",0.041925958,0.043929739,0.059541782,0.559729448,0.04557529,0.460334340894289,0.0995914502527056,5.96341014455701
"T5731",0.100471043,0.103924056,0.102736682,0.173654907,0.112118152,0.0427104510105915,1.72006348649532,20.6457228762951
"T5733",0.08744346,0.086863466,0.092375044,0.133605512,0.110345715,0.349553603887317,0.386525922945362,8.56318451114115
"T5735",0.086856082,0.088651381,0.087604445,0.158459362,0.125006936,0.493961724314268,0.0151362905164288,5.19820282266327
"T0606",0.04699592,0.070470307,0.066620483,0.083576026,0.053612053,0.48466800464271,0.0384410784736684,5.40935622567318
"T0113",0.066352112,0.049067444,0.055186939,0.157486133,0.053690164,0.387555382732501,0.285696265204276,7.64961578889316
"T0100",0.064643718,0.066749758,0.061284927,0.21733475,0.05399458,0.254872581648288,0.659234550771292,11.0340653834008
"T0118",0.069879929,0.086320127,0.078591919,0.289499638,0.063966029,0.389031867929191,0.281843211012715,7.61470512993233
"T0119",0.075454558,0.059523176,0.064233507,0.054098166,0.057859254,0.36854159292428,0.335718457419994,8.10284265934335
"T0121",0.062092223,0.077531063,0.05248175,0.175523713,0.052440147,0.495398523276553,0.011534447418776,5.16556826582573
"T4023",0.070179544,0.066214558,0.060404973,0.192393683,0.084464575,0.421334514423265,0.198480642086333,6.85939724449903
"T4025",0.069496648,0.068277063,0.063835543,0.200120357,0.08953623,0.442616124489464,0.144339676542508,6.36885216261298
"T4026",0.078122144,0.072625591,0.069296744,0.197303737,0.090948132,0.365978689603908,0.342522945396375,8.16449483118844
"T4027",0.089066811,0.0875,0.083551729,0.191817678,0.086874227,0.000182071429991416,3.56479343457943,37.359927995302
"T4028",0.082427545,0.078447707,0.076880347,0.195407654,0.084310722,0.0215400650437402,2.0229322784578,23.389870396784
"T4029",0.087649966,0.082557105,0.077453377,0.196144026,0.088545544,0.105620964439855,1.25015774547942,16.3881344145825
"T4030",0.078559512,0.076638036,0.076566625,0.186198385,0.086906715,0.109170765886328,1.23095008983716,16.2141031442638
