"","nadA","nadB","nadR","pnuC","pval","z","inv_cof_var"
"T2380",0.071700127,0.062583125,0.067302106,0.068611497,0.0497017334047288,1.64775251507488,14.5857667017893
"T2382",0.060306604,0.06753214,0.081539219,0.056727932,0.132092398461697,1.11655463643348,11.1782809895447
"T2389",0.132321182,0.095953961,0.118741972,0.103880648,0.391077979154949,0.276510549178694,5.78963329332774
"T2390",0.060146305,0.063675573,0.097086925,0.082598744,0.396521030586012,0.262362395932523,5.69887685024052
"T2391",0.151277692,0.101798902,0.125112635,0.114748462,0.452688511511502,0.118871674582992,4.77842403501329
"T0726",0.076626699,0.080364248,0.092948597,0.094460215,0.222645963699907,0.763287546592834,8.91217148564944
"T0735",0.086077437,0.080824038,0.083089753,0.075777208,0.0341986381544063,1.82238046683977,15.7059561349988
"T0732",0.087022033,0.094167318,0.082584032,0.078654724,0.13285405041711,1.11300076523589,11.1554839005203
"T0748",0.125992978,0.11148975,0.092930394,0.087380527,0.40537365944444,0.239462051720771,5.55197755179714
"T0775",0.061439628,0.071978058,0.078737619,0.077367448,0.233930532713445,0.725963632593912,8.67274902409584
"T0782",0.079042068,0.074748951,0.074763283,0.075931092,9.82888508898001e-07,4.75691108357496,34.5301486830644
"T0783",0.059352747,0.069983081,0.070077573,0.068621575,0.124611943940966,1.15223653603838,11.407170388351
"T0776",0.062676477,0.056500627,0.066032632,0.049045402,0.256343684520208,0.654658936696985,8.21534935769252
"T0835",0.105136913,0.098742948,0.085001971,0.139105955,0.422505549556607,0.19548778532695,5.26989494102576
"T0766",0.041159976,0.047048947,0.073262394,0.060522269,0.439352475708224,0.152611124844359,4.99485316496132
"T0832",0.074464272,0.074008894,0.08672681,0.080616988,0.00466910615727886,2.59941749559076,20.6904311862282
"T0752",0.050650613,0.065057139,0.073651562,0.064252175,0.298358324191471,0.529128015232358,7.41010363188196
"T0760",0.061947567,0.06198082,0.083289017,0.091056887,0.484423214599481,0.0390551369325647,4.26642328617696
