"","bcsA","bcsB","bcsC","bcsZ","cheB","cheR","cheY","cheZ","iraD","pdeF","pepT","pitA","ravA","tap","tar","upp","uraA","viaA","xdhA","xdhB","xdhC","ydeJ","fnr"
"pepT",0.343237343568081,0.223268063184104,0.218855937298297,0.169130260160064,0.0198570892797151,-0.0632931300343369,0.158410238990845,0.0335277454388806,0.173778220348402,0.254526089353571,1,0.141111893142763,0.139246364155607,0.0353674825569969,0.0126629714852931,-0.0566084669498494,0.0758026849449331,0.174347779770052,0.198553981982894,0.260645274653254,0.223670492565858,0.101658675812019,-0.219694220482064
"pitA",0.17297481562521,0.15277763204292,0.2535429789546,0.19531930939443,0.11080251880366,-0.103567534501784,0.383051008489643,-0.165735073807046,0.146169768021486,0.215645248050186,0.141111893142763,1,0.0676808569587913,0.210404903414808,0.178509963377525,0.0121518773599621,-0.0396494029278448,0.193093202196014,0.0470098459134112,0.184006710728345,0.202198529089444,-0.110445463327393,-0.339587154191883
"ravA",0.223518343659148,0.0672506290249828,0.137756872360593,0.0849148728116054,0.217180698811323,0.0664274009882012,0.0929086616684658,-0.0175760013313034,0.0303098139297438,0.1457747616041,0.139246364155607,0.0676808569587913,1,0.173922028660228,0.167156957000868,0.0732343367085487,0.0602191232999021,0.119282622450376,0.230592478356598,0.173548056506995,0.0554769865855633,0.213297338441005,-0.0931415812824426
"tap",0.136865483793813,0.133983136676896,0.144985068970211,0.207925062375442,0.502586091320985,0.404040386061643,0.480759441534845,0.242897615560065,0.126532899283163,0.13884982249396,0.0353674825569969,0.210404903414808,0.173922028660228,1,0.34164642377066,0.0674271830767441,0.179622404780311,0.175735181131828,0.210071617886582,0.367352388385384,0.355805816399493,0.308870984470262,-0.161380334173021
"tar",-0.14034249465512,-0.182485049358469,0.0876971899907075,-0.0832963595572081,0.372609123079345,-0.0313365899561445,0.123166263742031,-0.228605595916413,-0.0615817252212995,-0.0968391784024636,0.0126629714852931,0.178509963377525,0.167156957000868,0.34164642377066,1,0.335057016883026,0.0883374162133776,-0.139711798768151,-0.107711261244827,-0.0617103566759872,-0.0730742457777829,0.124131161640297,-0.186403493463051
"upp",-0.217120863244705,-0.0771333955173084,-0.0974856420489539,-0.182349572550997,0.139627964543011,-0.0232201880117718,-0.085063265069547,-0.263707852160773,-0.207177874725697,-0.144465771421773,-0.0566084669498494,0.0121518773599621,0.0732343367085487,0.0674271830767441,0.335057016883026,1,0.173584232787918,-0.188136582627994,-0.319720567934591,-0.247125504913327,-0.217948538929547,0.0578728083903903,-0.201154531878909
"uraA",0.127381839402033,0.154153380841418,0.0723540257405753,0.102717758628315,0.0595761434665752,0.0881816768596933,-0.00464835909996208,-0.037107817528814,0.0930631064756867,0.0887606139013563,0.0758026849449331,-0.0396494029278448,0.0602191232999021,0.179622404780311,0.0883374162133776,0.173584232787918,1,0.057337566965858,0.131620629732871,0.128700176107551,0.117602476955398,0.367730235741381,-0.152621927033158
"viaA",0.443885751197717,0.34105910321485,0.323709499194304,0.3953170987592,-0.00184609357177468,0.0853141238905157,0.228151829342901,0.187875604938873,0.306116632864679,0.267841687163028,0.174347779770052,0.193093202196014,0.119282622450376,0.175735181131828,-0.139711798768151,-0.188136582627994,0.057337566965858,1,0.404082297667702,0.291200891808738,0.326430656480613,0.0818414559319,-0.0892208003252694
"xdhA",0.475852434828611,0.361294209331916,0.366923138103462,0.463683426738313,0.126750312851238,0.207440635086144,0.338420896035333,0.27103817578704,0.385289256788564,0.401070705849712,0.198553981982894,0.0470098459134112,0.230592478356598,0.210071617886582,-0.107711261244827,-0.319720567934591,0.131620629732871,0.404082297667702,1,0.545181987055661,0.553273232907228,0.366039817178531,-0.0631715682957209
"xdhB",0.41538924733311,0.4545022417158,0.421402323038867,0.454218253547762,0.196971529182139,0.147952127277035,0.614277574977813,0.298569390100754,0.307903248948539,0.443214409507232,0.260645274653254,0.184006710728345,0.173548056506995,0.367352388385384,-0.0617103566759872,-0.247125504913327,0.128700176107551,0.291200891808738,0.545181987055661,1,0.767890237847326,0.285944759170818,-0.253633494515712
"xdhC",0.421394234348983,0.524068667418545,0.499974149826699,0.557223485268784,0.212538644116883,0.224211708063524,0.583738999013526,0.387072998800417,0.468647611395896,0.346023820988558,0.223670492565858,0.202198529089444,0.0554769865855633,0.355805816399493,-0.0730742457777829,-0.217948538929547,0.117602476955398,0.326430656480613,0.553273232907228,0.767890237847326,1,0.23072349697497,-0.213086502254933
"ydeJ",0.129753873795259,0.0660763679830803,0.120391782066379,0.239812186458079,0.0345619595326632,0.12791955176969,0.0168891074593015,-0.033327764411026,0.143432383779574,0.182882923212527,0.101658675812019,-0.110445463327393,0.213297338441005,0.308870984470262,0.124131161640297,0.0578728083903903,0.367730235741381,0.0818414559319,0.366039817178531,0.285944759170818,0.23072349697497,1,-0.182072353932339
"fnr",-0.018599304326557,-0.0285678690374193,-0.227194860790333,-0.139531366461798,-0.0351524210892326,0.241171928535136,-0.241431761768574,0.39124630788221,-0.098027404756292,-0.21241019910647,-0.219694220482064,-0.339587154191883,-0.0931415812824426,-0.161380334173021,-0.186403493463051,-0.201154531878909,-0.152621927033158,-0.0892208003252694,-0.0631715682957209,-0.253633494515712,-0.213086502254933,-0.182072353932339,1
