"","cvpA","glnB","glrR","hflD","ispE","lolB","prs","purB","purC","purE","purF","purK","purL","purR","speA","speB","ubiX","pval","z","inv_cof_var"
"T1081",0.224690962,0.126003478,0.061507555,0.263006648,0.263451597,0.232682559,0.24184979,0.261972243,0.181892911,0.162365276,0.289846921,0.057941062,0.287395156,0.141984421,0.389399947,0.34714456,0.062432087,0.182982988672894,0.904055491873203,2.15858646707133
"T2297",0.159289799,0.212109329,0.065183014,0.184459502,0.278104457,0.154483296,0.080112215,0.267561279,0.157346955,0.048018253,0.100220855,0.054399081,0.270159683,0.147823223,0.246843301,0.109107667,0.061963463,0.381350697226334,0.301935288013688,1.85081244657564
"T2298",0.150710035,0.208621407,0.054499573,0.129962415,0.268630968,0.126058636,0.062971156,0.276544045,0.158020091,0.068203691,0.121873229,0.051253744,0.274958491,0.160750141,0.227368986,0.086527288,0.086397306,0.405360493912431,0.239496012823752,1.8188965822036
"T0332",0.16897838,0.056022225,0.06692817,0.190107889,0.164883613,0.171554019,0.195036322,0.201308189,0.167692872,0.140664881,0.107364857,0.085806194,0.141924387,0.051992017,0.229002483,0.051832319,0.131577145,0.0382493895239976,1.77137249668501,2.60191595494463
"T0333",0.174176564,0.072706151,0.036304566,0.201140966,0.176843868,0.174511802,0.197901436,0.205780987,0.172229714,0.137921367,0.105346151,0.08354094,0.143989826,0.049059304,0.226469554,0.062252933,0.134036333,0.0542722092503742,1.60477005407741,2.51675703940406
"T0334",0.171691358,0.071546486,0.033669601,0.200728208,0.17629198,0.173953994,0.19751004,0.205019259,0.173304387,0.140818527,0.10683645,0.082745612,0.145225861,0.046923499,0.226890359,0.06281092,0.145888556,0.0533093860993512,1.61357901249464,2.52125974257042
"T0347",0.187772091,0.10150103,0.049846024,0.248475396,0.207755097,0.094994301,0.221212459,0.223228097,0.192339427,0.148439085,0.110794014,0.104729107,0.142242853,0.100372732,0.295743618,0.085805182,0.036937675,0.243886985291076,0.69385368626784,2.05114171698334
"T0348",0.187186725,0.10417784,0.055714323,0.243670274,0.209832314,0.09084226,0.223470002,0.226196081,0.195583041,0.149507201,0.114411871,0.107271283,0.144159624,0.102600044,0.297042482,0.087450559,0.037869329,0.222659311279322,0.763242775600485,2.08660998206654
"T0349",0.186436954,0.103001547,0.060124785,0.246446577,0.211373178,0.089904983,0.21882769,0.223487573,0.1933446,0.146428801,0.117054825,0.104861731,0.142459287,0.100482413,0.295970509,0.086310987,0.038217122,0.21805959273677,0.778763257191003,2.09454328340492
"T0726",0.206449948,0.157037883,0.061971968,0.200435703,0.276956472,0.233240836,0.306569467,0.202414068,0.240724053,0.22442129,0.209813992,0.135950491,0.210838418,0.069233344,0.20505575,0.12307782,0.03494036,0.0326987519341449,1.84253108528145,2.63828870039437
"T0727",0.199531507,0.216722786,0.047878868,0.196337296,0.283127173,0.244407041,0.240238946,0.16526606,0.20467413,0.208548843,0.210217462,0.124758479,0.174019842,0.153751153,0.171831409,0.108897225,0.042201175,0.0318129496331056,1.85479224942002,2.64455600011076
"T0734",0.20993268,0.216536672,0.052055563,0.197685111,0.277621141,0.238023497,0.286643752,0.220199929,0.220842978,0.224750102,0.226311827,0.123851676,0.200106212,0.083619393,0.184715744,0.111547587,0.042293793,0.0301602116299941,1.87844420359426,2.65664570741858
"T0735",0.200190069,0.196982327,0.051070659,0.189969647,0.283431788,0.248107552,0.314910872,0.214402164,0.221197022,0.223454481,0.211874348,0.127556373,0.174917677,0.058227043,0.208161768,0.112389689,0.040079168,0.0509822102229583,1.63540382816048,2.53241550718519
"T0742",0.215737875,0.182724944,0.048744178,0.195183529,0.297120412,0.249998478,0.28742718,0.198868604,0.254519293,0.208243413,0.129705247,0.105982792,0.184674931,0.042884607,0.221446864,0.092153094,0.047321498,0.101072791200977,1.27546251885546,2.34843134057328
"T0743",0.20053029,0.212211206,0.053383004,0.188140316,0.290212305,0.243845153,0.290365567,0.187662989,0.253853135,0.223964528,0.197073301,0.111143737,0.213300484,0.085930795,0.213802355,0.100127084,0.04628434,0.0508743473286992,1.63643444739044,2.53294230868093
"T0736",0.19342468,0.172179951,0.051354097,0.170096121,0.312659969,0.265494235,0.149605428,0.109638124,0.172970863,0.200924662,0.035729711,0.105693042,0.041572888,0.12841936,0.1469046,0.101618779,0.038261507,0.452473983617367,0.119413246452532,1.75751622067211
"T0744",0.189691593,0.176102453,0.045407681,0.171559019,0.310909827,0.274727593,0.174306932,0.182722175,0.173950549,0.178009128,0.033812114,0.118434667,0.07152835,0.077514481,0.195846704,0.105499419,0.031058545,0.351069232846632,0.382435361158327,1.89196009616971
"T0737",0.175570476,0.156062353,0.06248774,0.105714464,0.296389923,0.246704991,0.120652464,0.143422223,0.167807759,0.18903342,0.039065186,0.114188918,0.064470661,0.204903047,0.080971388,0.113453496,0.040865434,0.391116641689587,0.276409861373699,1.83776511295106
