"","cho","dinB","dinD","dinG","dnaG","ftsK","hokE","insK","lexA","phr","polB","ptrA","recA","recB","recD","recN","recQ","recX","rpoD","rpsU","ruvA","ruvB","symE","umuC","umuD","uvrB","uvrD","uvrY","yafN","yafO","yafP","ybfE","ybgA","ybiB","ydjM","yebG"
"polB",0.374178917725871,0.294513546947425,-0.0897751914117183,0.527991894266372,-0.263480587281742,-0.163567706689149,-0.167659775150458,0.454080651132814,-0.128045425673147,0.351731971369937,1,0.377675810723128,0.192304136547751,0.322569818364613,0.110691391360396,0.134043301914222,-0.0947855812354383,0.108168943067782,0.0594832816254593,-0.0634144647323658,0.317274084383688,-0.190234653384937,0.364880102354434,0.503284920851701,0.157637966124833,0.0704547009476201,-0.0182358158856557,-0.399994118189534,0.119071594041444,0.120518819888314,0.208164730201548,-0.153908555204925,0.137859653153779,0.143681598854595,0.146944611981391,-0.382039188586244
"ptrA",0.34934301946993,0.274531068356452,0.0401297112605049,0.410594686230447,-0.124281209804288,-0.139735577934226,-0.124557296377736,0.210790831641448,-0.280946201139948,0.238073888684832,0.377675810723128,1,0.301124345560746,0.397041322014545,0.173345928612703,0.212895101569443,0.02083113439037,0.195938288187175,0.0103430952335251,0.114296906286156,0.513370704495487,-0.0824762187974612,0.0881144872290165,0.0970340096832876,0.0419171284711579,0.440392861906499,-0.0203030255023193,-0.3398328807321,0.181620374488771,0.0664405393160127,0.0467377952351295,-0.155096521233611,0.180077253387603,0.345175001750783,0.0173821965550135,-0.245670881417417
"recA",0.154708298244649,0.157339956064072,0.114169345250105,0.281898931452782,-0.0232723617058212,0.168510546000194,-0.0185556141631995,0.176743437540516,0.0529011571452487,0.268914451021063,0.192304136547751,0.301124345560746,1,0.240934120374865,0.11991632452168,0.253729710240316,0.134517982776413,0.20605554830576,-0.154254353484474,0.0284549744549042,0.226952456525985,0.0160946899997023,0.0539438744905019,-0.0497980783443706,-0.109214405752229,0.0980247914956168,-0.0183791982857731,-0.0267399928211522,0.119895350114992,0.0528686458777339,-0.0692404457172366,-0.117757365828902,0.196179019427215,0.255656159298862,-0.0423115212840447,-0.0151658942336814
"recB",0.361912110560701,0.197380069422296,-0.0418640137397499,0.425355319573227,-0.150795410590798,-0.0401234355416893,-0.0887558532814377,0.33199435605358,-0.295725204867074,0.239095979703912,0.322569818364613,0.397041322014545,0.240934120374865,1,0.446765626467058,0.30208371928944,0.229129923931662,0.265039654324356,-0.0483772367579988,0.0157640929805605,0.166300906132865,-0.028401299435721,0.232443411929707,0.162345371464964,0.133409674138136,0.152481861338985,0.0437611020286415,-0.316231593919039,0.100731102000967,0.0706444627374248,0.159644968240358,-0.177110519997228,0.167913361889693,0.0251149374689872,0.0222604009875374,-0.31328639893682
"recD",0.330539208279107,0.128086345341373,-0.0313142916927862,0.326543361072361,-0.00577900813863022,0.0891347037251836,0.104292319882414,0.368403676017329,-0.200551094187142,0.0887670413586006,0.110691391360396,0.173345928612703,0.11991632452168,0.446765626467058,1,0.27435380252431,0.288462621132209,0.253119864310768,0.0566177460635116,-0.0148199276426849,-0.0139053926552592,0.046246860974108,0.143003433006272,0.136867088211681,0.087240846232264,0.0568983356104738,0.158301790533371,-0.0765643776146462,0.148733216449217,0.118925238364973,0.108758286535544,-0.112417980302507,0.0999199722918594,-0.0968653201638888,0.112444767035066,-0.134810087694646
"recN",0.129184820719459,0.0935270350219731,0.311549291132898,0.291775261634261,0.0194621054842249,0.0392533520223909,-0.0812149420989625,0.115568193498067,-0.0121308821702005,0.168158736355178,0.134043301914222,0.212895101569443,0.253729710240316,0.30208371928944,0.27435380252431,1,0.327645349134736,0.367054137970273,0.00351610224444909,-0.0340766076442438,0.132737985359594,-0.0494727280605186,0.176123185043806,0.0821292125426361,0.0936273573535969,0.0919179472027251,0.290254099312409,-0.00996946196076519,0.223585056995721,0.164213599692284,0.0399433535595199,0.0577473652616993,0.0037726931137921,0.0854493561579131,0.0600997968534778,0.0941803317171401
"recQ",0.238296511696171,-0.0869278236647589,0.0931181984950308,0.142806505411634,0.0587000122559778,0.156414935005234,0.0458574345809615,0.150691083904695,-0.143552198701039,-0.00785430061581336,-0.0947855812354383,0.02083113439037,0.134517982776413,0.229129923931662,0.288462621132209,0.327645349134736,1,0.0495968567207079,0.0167462847359092,0.113501456252006,-0.0786240040579989,0.114115089422474,-0.0336452193641073,-0.139993856066902,-0.0317695548241023,0.14455835657144,0.17404070829655,0.0766838454353146,-0.0092672380203129,-0.0460102121241566,-0.0997039372401195,0.0823203758128873,0.029213208650174,-0.0865381129641808,-0.0744958400164324,0.0844726498744921
"recX",0.159223595460346,0.346489626873766,0.345558022548247,0.370601280779417,-0.00752106116043543,0.025584323851255,0.0388439680853899,0.105699061420203,0.0520919018546433,0.195727082945524,0.108168943067782,0.195938288187175,0.20605554830576,0.265039654324356,0.253119864310768,0.367054137970273,0.0495968567207079,1,-0.0120033652392186,-0.0568453128050744,0.208104620396151,0.0561167570242892,0.171858037150734,-0.0106896045542131,0.328821792660074,0.140647682666036,0.24139134895715,0.00430257065735541,0.403078895663963,0.333278749657756,0.287673526234013,-0.125097267669233,0.0314593231449726,0.121160098521757,0.254373133660975,0.0448797917901746
"rpoD",0.117875453773499,0.033733985661545,0.0535462421917487,0.129395049856523,0.28779391310037,-0.128017980939504,0.130967088671374,0.0304029970085873,0.00702496961150522,-0.0385086275880337,0.0594832816254593,0.0103430952335251,-0.154254353484474,-0.0483772367579988,0.0566177460635116,0.00351610224444909,0.0167462847359092,-0.0120033652392186,1,0.125829512673853,-0.0543069501819684,-0.0511117322036023,-0.0528485950275846,-0.0676342361679455,-0.0997030227475049,0.420669553862124,0.0215757420352239,0.053939409138286,0.000661305991855737,0.0981765685019018,-0.0265758650384712,0.232294700681982,-0.188352069340038,0.03344678784878,0.030510187538404,0.0379078983610476
"rpsU",0.0945219822799902,-0.0203892430726254,-0.230384096377291,-0.0063054384238901,0.0120950524519732,-0.126926523118392,-0.0775945971865988,-0.0710944251877038,-0.306369225103508,-0.112716447814612,-0.0634144647323658,0.114296906286156,0.0284549744549042,0.0157640929805605,-0.0148199276426849,-0.0340766076442438,0.113501456252006,-0.0568453128050744,0.125829512673853,1,0.291050991494281,0.112771935745402,-0.135898848389268,0.0194649337956108,-0.101331687235212,0.229175858598916,-0.00605596478087642,-0.0610868265507918,-0.123877525136483,-0.158694234946966,-0.0581912198150551,0.0259778979214746,0.0497828776031142,0.0878595187638211,-0.068844176658884,-0.0806997076608434
