"","bluF","rcdA","ydeI","pval","z","inv_cof_var"
"T0790",0.041438751,0.045385999,0.042103076,0.498152831092463,0.00463018235569467,88.9218264921738
"T0786",0.039515027,0.042914028,0.039162084,0.467989499917562,0.0803247177131674,157.626355281919
"T0787",0.035619325,0.053127065,0.035905407,0.4596026007258,0.101434939923167,176.787155499998
"T0834",0.04989293,0.052028302,0.049867777,0.0013655516381181,2.99648650320446,2804.49538487116
"T0842",0.039564393,0.040883248,0.039354645,0.420825055246771,0.199783238888008,266.053487682925
"T0751",0.045017618,0.046830105,0.04531016,0.441484335618107,0.147206954839494,218.332356903669
"T0838",0.03693522,0.04228233,0.037068265,0.36693185498774,0.339990463045058,393.313285541996
"T0844",0.045518458,0.209211356,0.046084902,0.486978297521029,0.0326463656928587,114.35085734066
"T0752",0.046496841,0.047792156,0.046547283,0.089526778522916,1.34367483904631,1304.31249811577
"T0769",0.035182225,0.036788997,0.035131401,0.162446391808995,0.984453093887024,978.263059861813
"T0770",0.038253807,0.037313605,0.037692386,0.49519401907878,0.0120470990625838,95.6538285450711
"T0771",0.036583719,0.036371336,0.03630769,0.455258742756159,0.112385835871712,186.726791728918
"T0756",0.046268181,0.047199519,0.045643373,0.491518228457295,0.0212622503106117,104.018007296312
"T0772",0.034560292,0.035995269,0.034621875,0.217153823140583,0.78184163979067,794.361746307862
"T0773",0.037163297,0.039202211,0.037401576,0.440204940895592,0.150449637554158,221.275594310088
"T0810",0.047171512,0.048234967,0.046899696,0.430037942290391,0.176277567531087,244.718445901676
"T0811",0.036323396,0.040260238,0.036303517,0.00295373820686654,2.7528732432187,2583.37857432186
"T0822",0.051786746,0.054185402,0.051718556,0.138038396139404,1.08917483886953,1073.31428263614
"T0801",0.044376865,0.04990021,0.043903395,0.479297076622508,0.0519178474501142,131.842715464361
"T0812",0.043124409,0.096133895,0.043668669,0.487676193427411,0.0308961167200348,112.762234986685
"T0806",0.033585755,0.040036824,0.033996483,0.486100481248787,0.0348479785450037,116.349162408122
"T0825",0.044741073,0.046388308,0.044934125,0.394142053612246,0.268539457355974,328.460417970529
"T0820",0.057019787,0.053801113,0.056576185,0.457728827153329,0.106157167409953,181.07330922015
"T0805",0.05322189,0.05718377,0.053623118,0.454572128047219,0.114117996729032,188.298996313148
"T0798",0.047231408,0.049871975,0.047634841,0.464202181134172,0.0898525825993006,166.274370152249
"T0799",0.042502861,0.044046128,0.042484112,0.000293022123903141,3.43799235320326,3205.23040806447
"T0063",0.048653626,0.049606905,0.049205849,0.482166612622543,0.0447165708958113,125.306440289258
"T1864",0.096817048,0.111720798,0.096436962,0.381033763567464,0.302766877673649,359.527109555449
"T1868",0.10432098,0.12435252,0.102638709,0.499001440502739,0.00250302008334893,86.9910968709316
"T2263",0.033010084,0.012655676,0.032497404,0.497524984807678,0.00620398285891948,90.3502944981202
"T0061",0.039541112,0.041766724,0.0401682,0.497731461817844,0.0056864125946219,89.8805192236408
"T2674",0.04542326,0.053931618,0.046102098,0.495333379809089,0.0116977488934778,95.3367390928709
"T2675",0.054957576,0.059231044,0.055838331,0.498139759479574,0.00466294838387488,88.9515667437759
"T1863",0.081439328,0.100882088,0.082419275,0.485271460985772,0.0369273631649973,118.236526400974
"T0053",0.037603356,0.037643175,0.037668239,0.208842277601359,0.810444840424707,820.323586382042
"T2825",0.04005011,0.050622425,0.040201895,0.375029761686061,0.318560878501942,373.862614483092
"T0172",0.045706317,0.046434802,0.045685169,0.000531438058782654,3.27333184513398,3055.77546308391
"T0486",0.055169241,0.05811039,0.055931932,0.491963722865655,0.0201453220142076,103.004221665236
"T2331",0.060060873,0.108120776,0.060193121,0.269259223104762,0.61505492825804,642.976941973909
"T2648",0.048450645,0.05308244,0.04855196,0.257023288478458,0.652549770082682,677.009325255507
"T2822",0.049316176,0.034411464,0.048692011,0.488436368268506,0.0289897862837358,111.031944501052
"T2688",0.050602159,0.05524521,0.050680983,0.182023212329686,0.907681682134905,908.581098752685
"T5664",0.170747319,0.055519708,0.173503476,0.498417623310771,0.00396644055075002,88.319377877734
"T2668",0.040821647,0.048941478,0.041390678,0.492334182921218,0.0192165364709448,102.161204757935
"T2669",0.035123711,0.042576861,0.035581575,0.489243707007674,0.0269652956549062,109.194405317594
"T2679",0.065146957,0.066534106,0.065083485,0.0661498715201021,1.50509465485744,1450.82601233786
"T2681",0.057756749,0.067189292,0.058283083,0.468748329187302,0.0784166137352649,155.894455032258
"T2684",0.06832242,0.06796238,0.067764642,0.461468785173376,0.0967340856178106,172.520401256333
"T2685",0.061997967,0.062454416,0.061947721,0.0337448409837045,1.82839906259377,1744.27489717839
"T2686",0.071960972,0.074622946,0.073000444,0.493894446717418,0.0153049499784506,98.6108334462151
"T2687",0.076349212,0.07572322,0.075437454,0.485499672737667,0.0363549369940288,117.716960884684
"T2649",0.054831908,0.05916317,0.055187227,0.441218026683169,0.147881797972069,218.944881694416
"T2650",0.057711085,0.060938667,0.057955968,0.391798798336581,0.274633798875711,333.99197794933
"T2652",0.045024677,0.044833418,0.044752556,0.434990638163692,0.163682269303248,233.28625960681
"T2653",0.052008018,0.063331909,0.052681702,0.488940906006985,0.0277245890492292,109.883581816581
"T2654",0.047788468,0.052302519,0.047942593,0.348065525181479,0.39054843060148,439.202481124308
"T2340",0.045123925,0.047796395,0.045008996,0.302358655536536,0.517628760859216,554.5475871821
"T0247",0.042645829,0.045042484,0.042683544,0.047534863280427,1.66924050079825,1599.81382162817
"T0571",0.053851293,0.049266777,0.053418322,0.460302188033262,0.0996724465331123,175.187419438645
"T1946",0.036217309,0.036177583,0.035913513,0.463495148582221,0.0916321622433154,167.889614638637
"T1947",0.040769811,0.044650983,0.041239068,0.482926343179135,0.0428103839829598,123.576280073409
"T0113",0.055740913,0.057149209,0.055068605,0.486014440369363,0.0350637828534002,116.54503828277
"T0100",0.054542107,0.060410547,0.054389853,0.321309308868733,0.464040655944199,505.908072063414
"T0120",0.05241929,0.054739213,0.052514614,0.222359868540499,0.764247546763812,778.392378569695
