"","arcA","fadE","fadI","fadJ","fadR","pval","z","inv_cof_var"
"T0024",0.268897464,0.040564851,0.038847708,0.040010981,0.057422945,0.203735607621537,0.828351940908024,45.4215416262628
"T0029",0.264288343,0.033748437,0.040392639,0.036923292,0.04274825,0.498372213203112,0.00408026773190169,11.140341683908
"T0031",0.518850225,0.034264351,0.030491206,0.031470924,0.034890966,0.448231039064623,0.130131892444743,16.3827891565828
"T0026",0.338028069,0.034899133,0.033711514,0.039306824,0.052195308,0.488188541188401,0.0296112633781779,12.2021677722714
"T0062",0.047034669,0.039511846,0.037913828,0.040849507,0.058389011,0.351532142482825,0.381187282722398,26.8241039691509
"T0003",0.573006845,0.040956578,0.037383439,0.039013912,0.273352717,0.396654852801793,0.262015223286578,21.8677754551313
"T0047",0.306600352,0.040547542,0.040182294,0.040794556,0.297214395,0.0018762450782147,2.89825194329052,131.508032466029
"T0048",0.343308996,0.028151053,0.027656031,0.03219327,0.324088657,0.492187241671227,0.0195849328885284,11.7851758369797
"T0049",0.224762356,0.03807505,0.037434951,0.035571688,0.119215326,0.336957113716871,0.420782067514457,28.4708386299465
"T2403",0.109097412,0.048694091,0.048810871,0.049674902,0.058541524,0.0263104633363139,1.93801881855464,91.5722384656093
"T2404",0.198279361,0.03164878,0.032298021,0.03475877,0.037504032,0.413546608259264,0.218431125275702,20.0551265108083
"T0009",0.071825007,0.064065985,0.065339232,0.067260995,0.06483169,0.236933716942481,0.716200695190031,40.7572065491781
"T0010",0.371678727,0.032162651,0.032019499,0.035168734,0.072745621,0.427012599043476,0.183985030881204,18.6225242661856
"T2674",0.19678595,0.044695714,0.050898032,0.045439173,0.089101591,0.47210724391774,0.0699738317169297,13.8808343095746
"T2675",0.253412091,0.054757086,0.055023378,0.062866345,0.096452179,0.485411775471061,0.0365754093014824,12.4918044134344
"T1863",0.138622067,0.074108772,0.072739709,0.072158074,0.098994213,0.0682559810921103,1.48890661203735,72.8938028852061
"T1867",0.129815493,0.088922457,0.086947077,0.083462884,0.096380353,0.312732127284544,0.488120834329065,31.2714367872848
"T0053",0.32686232,0.038042005,0.04144493,0.043291473,0.334733838,0.457888457474045,0.105754781130865,15.3689527551109
"T0050",0.042366561,0.036413583,0.036888219,0.040936933,0.112506344,0.458372099444014,0.104535750497095,15.318253654011
"T0051",0.030639843,0.03084081,0.031273111,0.033397438,0.083761804,0.383763437968083,0.295611387782029,23.2650293822581
"T0052",0.302347552,0.031129028,0.031484743,0.03490861,0.113553364,0.45591588128151,0.110728352018442,15.5758020058773
"T2821",0.267271913,0.03323271,0.034192456,0.038463333,0.133714474,0.483647138609956,0.0410020303748106,12.6759061932506
"T0485",0.086100044,0.032307707,0.03056698,0.032159119,0.052226881,0.299604956320603,0.525537038138676,32.8275649494218
"T0486",0.338779346,0.055305824,0.055340145,0.055643004,0.059661906,2.27877255848119e-12,6.91871630262526,298.717882141424
"T0487",0.410671547,0.055051796,0.056139994,0.058098428,0.056747612,0.269259557188754,0.615053916467411,36.5505437973764
"T0491",0.241509099,0.053827335,0.053410048,0.059137962,0.150975129,0.4388877167309,0.153789854680475,17.3667163738153
"T0492",0.262025279,0.053944632,0.054229252,0.058674111,0.25810027,0.405002952943343,0.240418412163303,20.9695708651549
"T0493",0.353882458,0.057544244,0.059103111,0.065920601,0.383857055,0.474213494920307,0.0646822573233863,13.6607593928959
"T0697",0.334605044,0.035122058,0.032699876,0.034614496,0.242202254,0.352366080915062,0.378940347277539,26.7306546298743
"T0707",0.336788464,0.065267668,0.061203379,0.055795183,0.290929349,0.482602115068617,0.0436238626750851,12.7849473749701
"T0709",0.161237296,0.074629439,0.072778857,0.077500834,0.196926143,0.310711722316636,0.493833963783064,31.5090440464963
"T0711",0.185596122,0.08769015,0.087545168,0.095304339,0.195487827,0.411089424828538,0.22474346449255,20.3176547158149
"T1077",0.31206061,0.077725027,0.077288166,0.084135785,0.297006593,0.406638428334398,0.236200802707255,20.7941618128404
"T1703",0.318898054,0.0545419,0.058517035,0.054197328,0,0.384147415737401,0.294606061114712,23.2232181619879
"T2326",0.354933052,0.053612462,0.053635883,0.057305502,0.305751039,0.360647116211617,0.356729615400338,25.8069172686054
"T2327",0.349492994,0.053398607,0.052429346,0.052201632,0.313546942,0.0419149747155664,1.72888349038579,82.874365866954
"T2328",0.352985625,0.054825259,0.054691484,0.057702829,0.300418204,0.300143598933221,0.523987551996953,32.7631223075588
"T2648",0.242675208,0.051723394,0.048278033,0.054088267,0.11295619,0.436873965339185,0.158899657327378,17.5792314606549
"T8378",0.303876354,0.028232917,0.030445584,0.028576207,0.111007286,0.373164161816682,0.323484527265483,24.4242644970251
"T8379",0.253828666,0.037205834,0.042829244,0.03860524,0.180811034,0.475671246116294,0.0610209904624091,13.5084884543352
"T2422",0.393604167,0.046894088,0.046991948,0.05421674,0.072148043,0.492478264112542,0.018855313039271,11.7548311766593
"T2818",0.061324197,0.04477411,0.043339263,0.046333831,0.04090615,0.324306174131119,0.455690786573633,29.9226812890396
"T2822",0.314718268,0.047155055,0.047344436,0.053935462,0.534998717,0.482320241023262,0.0443310997160748,12.8143611413263
"T2819",0.020447442,0.069462193,0.064403222,0.076203085,0.038270924,0.491772422829756,0.0206249397407989,11.8284293952474
"T2413",0.159903156,0.048300877,0.045893216,0.045884241,0.079363003,0.293781164297571,0.542371907027591,33.5277218578358
