"","cusA","cusB","cusC","cusF","cusR","hprR","phoB","yedX","pval","z","inv_cof_var"
"T0175",0.038699112,0.036609279,0.037189966,0.042855757,0.055140685,0.039836719,0.03699527,0.040610983,0.354839473750783,0.372287307784966,6.06219777736199
"T1996",0.046887166,0.049064337,0.050084109,0.046777727,0.066287296,0.086348406,0.102973336,0.04536299,0.322575814856189,0.460508001210478,6.50336158262424
"T1997",0.041257011,0.041249025,0.041628314,0.04118104,0.04499349,0.047247941,0.132407848,0.043359288,2.594136619312e-06,4.55702709939217,26.9887588687974
"T0850",0.04379038,0.043465935,0.041407715,0.029771711,0.046142341,0.050253389,0.031637606,0.029517134,0.41587522609089,0.21245708824125,5.26293736450499
"T0858",0.040002294,0.040216692,0.039668135,0.046024753,0.057226191,0.039823162,0.040780742,0.040612734,0.333601713755013,0.429989296109378,6.35074718399173
"T0859",0.024413353,0.024525474,0.025668946,0.026317458,0.035084806,0.024403694,0.024868259,0.024913203,0.321298614066929,0.464070511475813,6.52117657051331
"T8222",0.04157363,0.051817172,0.048726907,0.028959327,0.035646069,0.05236398,0.029809226,0.031295248,0.495517001241428,0.0112374479501562,4.25670153980846
"T0718",0.06777029,0.075749387,0.078583006,0.052874267,0.059457943,0.052489083,0.0585685,0.056718499,0.345055711884516,0.398703859429274,6.19429860306169
"T0719",0.063312687,0.072168553,0.075391825,0.048406914,0.054305978,0.047980835,0.054416131,0.057904821,0.364763352535996,0.345755188081482,5.92951903232419
"T0928",0.042309639,0.052045448,0.052915246,0.031925799,0.031237735,0.030199943,0.031520065,0.037331594,0.49024627791349,0.0244513918076742,4.32278029671176
"T0929",0.030348486,0.03923553,0.040082313,0.023706165,0.038156179,0.0224897,0.022897191,0.026729732,0.461122495325986,0.097606213194857,4.68860443754895
"T0930",0.050388525,0.058542479,0.060079986,0.043772819,0.052355586,0.043113812,0.043473309,0.046752638,0.217883177539752,0.779362249175493,8.09785090133548
"T1992",0.051960514,0.05736572,0.059248487,0.047164626,0.050512986,0.058755577,0.051798545,0.049539477,0.0810537605941985,1.39801846880219,11.1915551265252
"T1993",0.041029438,0.045130135,0.047797447,0.040857557,0.047454287,0.045401509,0.04073939,0.040073179,0.0487259586948497,1.65733424520914,12.4883113663842
"T1994",0.040354733,0.045084674,0.047328521,0.041987655,0.049530745,0.046799187,0.039750465,0.041743157,0.0518759145798962,1.62693064219969,12.3362725569335
"T4825",0.064646314,0.087809515,0.066263248,0.078185497,0.114824604,0.065620658,0.065676715,0.083534117,0.475350682813961,0.0618260407562439,4.50967910367266
"T4826",0.080864588,0.074838237,0.078505891,0.081795494,0.068872294,0.081369028,0.075977346,0.078463042,0.00794063427593291,2.41163276650477,16.2603198718425
"T4827",0.07609623,0.10114346,0.075913716,0.080546919,0.121270687,0.078865038,0.077026138,0.081766872,0.442348919531479,0.145016506738968,4.9256883313202
"T4829",0.086112548,0.075479477,0.089727922,0.08317939,0.052917821,0.083361039,0.083574185,0.085303098,0.372781260768127,0.324496037747984,5.82320874055928
"T4830",0.081713432,0.074944256,0.089452555,0.093327035,0.050281578,0.071426835,0.072240314,0.074612619,0.431288830410877,0.173093847652465,5.06609423925497
"T0931",0.036149258,0.03750808,0.039673904,0.034864165,0.054298094,0.034879955,0.034833861,0.034921171,0.411454271852294,0.223805636779103,5.31968786898147
"T0932",0.038426618,0.040351347,0.042620538,0.0357942,0.051300556,0.036312791,0.035900684,0.036795732,0.273217618852475,0.603110415945579,7.21647118856086
"T0933",0.038613485,0.039651167,0.041358917,0.038414754,0.059571914,0.038039065,0.0382289,0.038017998,0.430760627953687,0.174437995547298,5.07281589805286
"T8252",0.065967131,0.06574296,0.066769002,0.065764199,0.070594684,0.067252826,0.066118226,0.065900382,3.18158835171169e-10,6.18116127955905,35.1105405886824
"T8253",0.050976217,0.050981483,0.052427124,0.050514128,0.051470601,0.050444992,0.050203371,0.050276933,5.48517183452421e-36,12.4693601062993,66.5558355068485
"T8254",0.070041944,0.068734264,0.079941085,0.060261256,0.045866679,0.053564755,0.058484583,0.060983736,0.391437362487119,0.2755747247038,5.57856871583288
"T8255",0.056067653,0.066267864,0.069456216,0.043132101,0.042997084,0.045398171,0.045950436,0.047593858,0.4622426214009,0.0947854515745487,4.67449870020056
"T8256",0.06793058,0.075265987,0.079029382,0.058362616,0.058162217,0.061496691,0.05962034,0.060597298,0.262299914058201,0.636270961936222,7.38229659851593
"T0509",0.040490508,0.044307648,0.045489147,0.036863705,0.061366846,0.036784279,0.036992317,0.037480743,0.444238021707213,0.140232817570778,4.9017666136972
"T0510",0.041628705,0.045277892,0.047312881,0.03811664,0.0603861,0.038156826,0.038104104,0.038583653,0.399872558225251,0.253676984242643,5.46906503666892
"T1589",0.055177424,0.042568537,0.04160001,0.049466622,0.061315768,0.049462434,0.047874467,0.047348075,0.319577275450176,0.468881205707772,6.54523333192515
"T0881",0.065889287,0.063417434,0.062333047,0.068649984,0.081917712,0.068384971,0.068089698,0.059658024,0.198377891209907,0.847429472983459,8.43823357463779
"T0882",0.05289176,0.05281825,0.051503979,0.060822026,0.072613994,0.060499342,0.059537276,0.038081026,0.452326398223264,0.119785843493222,4.7995177586962
"T0880",0.07441106,0.075858404,0.076187064,0.074140621,0.074191928,0.073716407,0.073861619,0.074061917,3.38554266766428e-50,14.8518144720614,78.4697368042885
"T0150",0.06784177,0.069665396,0.070613242,0.064728743,0.070721237,0.065666387,0.065130686,0.065797261,2.94624284943906e-06,4.53021082351654,26.8546591485516
"T0151",0.059199245,0.062678138,0.06630324,0.049849607,0.052829815,0.051550722,0.052474038,0.05488413,0.156585944496164,1.00858878312976,9.24414034953308
"T0327",0.038160089,0.048492574,0.042874082,0.029476115,0.029271811,0.039946582,0.033168366,0.029926784,0.479012910502498,0.052631120183073,4.46369821198346
"T0328",0.038379901,0.049049037,0.042435628,0.031504825,0.031029343,0.040829037,0.034153009,0.031301477,0.433956403351978,0.166310241540144,5.03217156907738
"T0344",0.100824122,0.096499075,0.103517225,0.074599799,0.05291082,0.075878251,0.077483431,0.081115942,0.485621355079569,0.0360497246526449,4.38077989356264
"T0875",0.049292447,0.049198358,0.049628826,0.050014699,0.074700371,0.050366115,0.049452532,0.049395276,0.419283606848057,0.203726524012654,5.21927857213304
"T0876",0.060671585,0.06185816,0.063702279,0.060568247,0.069744666,0.060898322,0.060625336,0.061246641,0.00302832030037794,2.74469908181167,17.9258792475409
"T0877",0.05376416,0.047588491,0.049809301,0.058485271,0.073430436,0.05791574,0.05712336,0.080430768,0.47383011604625,0.0656452881842241,4.52877795296915
"T1081",0.062877978,0.064317567,0.066328743,0.057925219,0.069669395,0.058461013,0.058244977,0.059346909,0.0195541387818892,2.06304579341755,14.5171465919606
"T1082",0.074024139,0.076931921,0.078149134,0.068778932,0.065510895,0.072124541,0.069755359,0.071162233,0.0162906981098126,2.13720408151305,14.8879887526558
"T1083",0.045210358,0.04022183,0.043443308,0.031176678,0.0414277,0.031372193,0.031483707,0.033151491,0.295313618829465,0.537927303662043,6.89051104545542
"T1961",0.056723529,0.057695371,0.051429672,0.03668114,0.041347801,0.205194294,0.039456718,0.040017271,0.421364043682979,0.19840515134997,5.19266806929143
"T1962",0.053395246,0.054795026,0.048727662,0.035231621,0.045868694,0.186017201,0.0365109,0.036645301,0.395200605520303,0.265789654761065,5.52963667366593
"T2296",0.041438359,0.046778678,0.048237456,0.030022183,0.033689941,0.092750064,0.029946404,0.030145907,0.461996500993452,0.0954051797690508,4.6775977650333
"T2297",0.053640643,0.057953817,0.067984765,0.042160828,0.04652467,0.072925433,0.043024898,0.043548764,0.417686550708618,0.207815407992402,5.23972578860504
"T2298",0.077046297,0.082592202,0.092744127,0.066565641,0.066198852,0.118640815,0.059128971,0.060986694,0.344642525298973,0.399825495853051,6.19990755231861
"T2380",0.04706138,0.059305481,0.05079883,0.044806154,0.058431821,0.04439174,0.044027796,0.044394029,0.24629982701382,0.686179927116691,7.63187555942386
"T2381",0.052077691,0.061239146,0.055131303,0.045068622,0.059131712,0.046892034,0.045220157,0.045125911,0.241234786651942,0.70233611900343,7.71266756881018
"T2382",0.054539063,0.059235132,0.055675178,0.052913139,0.065320312,0.052836924,0.05274854,0.052937656,0.0632609718831996,1.52796211777657,11.841362245754
"T2389",0.054674144,0.059118218,0.054672853,0.060225665,0.08714982,0.053240704,0.05543113,0.055909627,0.441682458712969,0.146704942300409,4.93413166392509
"T2861",0.047982266,0.069869969,0.068384268,0.049674102,0.047145993,0.050362189,0.047163088,0.048560471,0.426346023077348,0.185684675944227,5.12905699215248
"T2862",0.034614628,0.041732516,0.041815032,0.034112214,0.046756256,0.034845203,0.034994684,0.036912467,0.226819482867079,0.749362136589432,7.94782981996712
"T0332",0.037287514,0.050096564,0.036036481,0.036699093,0.035295488,0.036287182,0.045163072,0.035387873,0.309160095654612,0.498232480876118,6.6920097824356
"T0333",0.03812503,0.051356677,0.035870324,0.03834359,0.036063747,0.03751092,0.038053744,0.036430458,0.31598146994586,0.478965826777261,6.59566333460247
"T0334",0.034716156,0.051537336,0.033736355,0.037117129,0.03331274,0.036252438,0.035161121,0.034797551,0.407234543072038,0.234664573597211,5.37398997999155
"T0347",0.029573773,0.030877152,0.0296323,0.045874403,0.045005358,0.042119406,0.031463383,0.032668973,0.466496773936016,0.08407909208524,4.62095958018903
"T0349",0.030658834,0.03168086,0.030647996,0.046100591,0.047562044,0.043047502,0.032166856,0.03381044,0.464669378131457,0.0886768182934593,4.64395135582368
"T2063",0.055345409,0.056618764,0.054514092,0.050206613,0.061503734,0.072957329,0.050488029,0.050634083,0.0370439620957122,1.78607000411792,13.1320782091542
"T2064",0.051254867,0.053320875,0.05029662,0.039663814,0.048861874,0.077467673,0.041614137,0.042004708,0.183759369107317,0.90113087584797,8.70677731778613
"T0825",0.045204629,0.045632386,0.045305725,0.045148439,0.072553451,0.04468053,0.128913282,0.045480762,0.476743927189806,0.0583273852351904,4.49218343317815
"T0826",0.052071827,0.051941312,0.052054467,0.055585709,0.071424233,0.0531376,0.124486702,0.052526988,0.270972192800734,0.60987534535596,7.2503004624549
"T0321",0.067976468,0.063421665,0.063284016,0.070190941,0.088261416,0.067613642,0.056360367,0.071182119,0.243457951232533,0.695222454406554,7.67709438046784
"T0033",0.041527213,0.046534023,0.051290174,0.039189738,0.040552921,0.041668762,0.042266421,0.046116424,0.137980728363584,1.08943646865602,9.64843407256449
"T0034",0.049656428,0.051494291,0.056014201,0.049924644,0.051091448,0.049660862,0.049702546,0.052081562,0.000130161663508403,3.65188414708697,22.4624250389412
"T0039",0.031579167,0.033093866,0.043011987,0.032684907,0.050203732,0.031943195,0.031511289,0.031784622,0.454107877348411,0.115289381348161,4.77703237263643
"T0040",0.041120352,0.04511954,0.055754038,0.038984152,0.044983798,0.039314804,0.050140448,0.039658688,0.278353111028246,0.587740894402991,7.13961306893485
"T0041",0.025792801,0.028183911,0.042006214,0.026987483,0.040186344,0.025227332,0.025633065,0.027080014,0.490284446202373,0.0243556896028721,4.32230172023267
"T0043",0.032280582,0.049216523,0.048701575,0.031151882,0.035425161,0.030119518,0.029646132,0.029663162,0.496652347151215,0.00839141976497084,4.24246945235474
"T0045",0.038184437,0.04038742,0.045736907,0.037686434,0.045976515,0.035137752,0.035053511,0.036466935,0.131943775034456,1.11724975995688,9.78751955184056
"T0063",0.049156322,0.050254834,0.050671059,0.04868965,0.06491567,0.048617735,0.048577265,0.04868156,0.212050402033408,0.79932703948137,8.19768850769074
"T0036",0.035898717,0.041675637,0.050829643,0.03199996,0.031066199,0.032711659,0.034560666,0.048263099,0.453674018960227,0.116384223908334,4.78250733424979
"T0038",0.035800754,0.039342103,0.048729918,0.032965509,0.031962958,0.039866714,0.034784271,0.044508901,0.371068476509516,0.329024786772571,5.84585558309914
"T0044",0.028082966,0.034570745,0.028418522,0.035103934,0.044141674,0.032564558,0.032227917,0.029599439,0.401643087742106,0.249096449914517,5.44615923219305
"T0016",0.044912448,0.048493577,0.054983986,0.044138771,0.045854776,0.044220555,0.0442174,0.050006023,0.0626944074963446,1.53254170224752,11.8642633002943
"T0057",0.036944289,0.042183387,0.044468263,0.028924193,0.036538292,0.028805831,0.030461,0.031068615,0.354279649602956,0.373791694448755,6.06972073959923
"T0058",0.034514467,0.037703354,0.039099485,0.02948289,0.037001052,0.029527672,0.031585044,0.031115258,0.165085373879112,0.973770008263838,9.07002266106367
"T0059",0.030116082,0.032749276,0.035930347,0.026344996,0.040677954,0.026364549,0.026805759,0.027441092,0.364495480909776,0.346468089426065,5.93308402663267
"T0056",0.076311976,0.084602545,0.084511827,0.064377754,0.055402845,0.064082399,0.067644686,0.067639357,0.347805541539568,0.391251853817251,6.15703347823685
"T0021",0.04959808,0.054624386,0.057233825,0.05058639,0.058209846,0.050483994,0.049543862,0.051278455,0.0174392051417803,2.10976723141257,14.7507857368469
"T0022",0.025091294,0.035149499,0.037562017,0.029403272,0.043939762,0.02889851,0.026450978,0.025230115,0.486517882788348,0.0338010914705435,4.36953518970989
"T0023",0.032452146,0.044370886,0.04993069,0.029349777,0.037147299,0.029182295,0.028943005,0.036314895,0.435755831332003,0.161738655424464,5.00931051178383
"T0017",0.041280278,0.048531016,0.059681753,0.040271932,0.042132433,0.040043511,0.040728743,0.054641203,0.361619785817725,0.354132520214619,5.97141142262738
"T0018",0.045265023,0.051549714,0.068147391,0.041113937,0.039163975,0.042510967,0.043587428,0.059071252,0.474579146383296,0.0637638128400367,4.51936928942186
"T0054",0.068876389,0.071671781,0.073082815,0.065045029,0.076583803,0.068600174,0.066408282,0.068728491,0.00364365969422421,2.68342098160048,17.6194468356121
"T0055",0.068998548,0.072207679,0.073675325,0.063659626,0.071837042,0.063464642,0.066694862,0.069428404,0.000990816072559604,3.09297142579994,19.6674791667389
"T1864",0.101669891,0.106812056,0.108721029,0.093459534,0.090223126,0.093247445,0.097946073,0.095462003,0.0354097312939946,1.80663337188303,13.2349091121999
"T1868",0.110526299,0.117775835,0.120344084,0.097503358,0.081508759,0.097116118,0.106227014,0.101018602,0.272926589872384,0.603985654531727,7.22084798010698
"T1866",0.109912286,0.114470602,0.116060164,0.102012778,0.095111782,0.10931091,0.102375555,0.104226183,0.0334255296450334,1.8326740455353,13.3651302908594
"T1870",0.107150268,0.110963377,0.11221141,0.100510331,0.096248356,0.105122569,0.100805868,0.102197707,0.00614298789393014,2.5038221999933,16.7213300918213
"T0692",0.051266818,0.051407142,0.051545144,0.053880267,0.062403,0.051321096,0.052676345,0.052183629,0.0502625875209697,1.64231290008412,12.4131943669797
"T0693",0.050331358,0.051307992,0.051440838,0.049869261,0.06209484,0.052226099,0.050124649,0.050109603,0.0838020705451982,1.37994317710588,11.1011663055316
"T0694",0.044087248,0.043509809,0.048281462,0.049311755,0.053925541,0.044448746,0.04734475,0.046025273,0.0531467265654008,1.61507962287272,12.2770093548488
"T0025",0.043492083,0.04672967,0.063475636,0.040255209,0.041491024,0.041470295,0.042015056,0.056921738,0.421322933011284,0.198510249954774,5.19319363419716
"T0031",0.029784402,0.034666625,0.04781484,0.033887427,0.043013269,0.032952791,0.032264378,0.029727997,0.440426202899621,0.149888726987224,4.95005276489395
"T0026",0.039983391,0.050624989,0.059932015,0.034873258,0.034372868,0.040069508,0.039151782,0.043592565,0.481337943055047,0.046795913389299,4.43451818705193
"T0060",0.040074688,0.041850279,0.042872159,0.038363443,0.052609814,0.038633371,0.038456481,0.038602664,0.224480440587141,0.757148531657654,7.98676712077707
"T0061",0.041317277,0.042772349,0.043733737,0.039571527,0.055216687,0.039554015,0.0396855,0.039820573,0.256390997236657,0.654512006340437,7.47351429641484
"T0062",0.046792292,0.050372953,0.052101691,0.040035179,0.044684603,0.039897581,0.040778606,0.041571972,0.139064024220566,1.0845341172026,9.62391896235679
"T0004",0.028321676,0.036552662,0.044355913,0.026985358,0.027540331,0.027242537,0.028596498,0.028291034,0.470877853552065,0.0730633487913861,4.56587332955316
"T0005",0.042170274,0.043950473,0.048902546,0.043278937,0.042154339,0.042400812,0.042160396,0.042161617,0.00624005952658949,2.4982697394987,16.6935639917686
"T0047",0.051109081,0.057221178,0.058569884,0.04180201,0.043848146,0.041690623,0.044371507,0.044500667,0.297641910309898,0.531194764516284,6.85684374503766
"T0048",0.036587136,0.041953007,0.043621634,0.029160263,0.035709953,0.029264934,0.031825853,0.031151105,0.332931747045922,0.431832035739482,6.35996214247548
"T0049",0.048997642,0.05695175,0.058927685,0.039129745,0.037836131,0.039026266,0.039877289,0.041543247,0.424765761337316,0.189716203723549,5.14921738839384
"T2826",0.044179558,0.048973483,0.045441393,0.043535193,0.058760192,0.0593167,0.042320728,0.042579171,0.236257995618315,0.718391394709355,7.79295492827126
"T2872",0.055428541,0.055852591,0.057715568,0.069451568,0.048309763,0.068324006,0.068018804,0.065655356,0.24266101766317,0.697768414084766,7.68982592015623
"T2403",0.050022013,0.072443775,0.065261392,0.048416979,0.049883232,0.054258745,0.048430178,0.055024156,0.376038904250951,0.315900794971031,5.78022664799803
"T0008",0.030922361,0.033710405,0.051546781,0.033682277,0.03911571,0.031290348,0.030672681,0.031965459,0.455946162781891,0.110651981123486,4.75384219978465
"T0009",0.067394787,0.068907612,0.070190659,0.06404312,0.064487835,0.064436465,0.067608869,0.064531584,1.03472943625906e-05,4.25726188465109,25.4897277720617
"T0010",0.033566301,0.034936137,0.039400602,0.032108961,0.032823333,0.031246913,0.031333159,0.032612966,0.0459797644063736,1.68515055033022,12.6274119168227
"T2674",0.050157335,0.053651011,0.051180931,0.044695411,0.055956539,0.09484573,0.226912899,0.045701246,0.0741467261144875,1.44558565606216,11.4294235961824
"T2675",0.058120287,0.060375673,0.057751561,0.05489286,0.065454257,0.076775796,0.205168382,0.055053626,0.0162275197524232,2.13876087652755,14.8957737924911
"T2676",0.051091884,0.054572752,0.048842199,0.038861547,0.046560834,0.043940633,0.040559475,0.040640245,0.241521334974637,0.701417233824682,7.70807251444917
"T1863",0.085678142,0.092041919,0.094451635,0.076238587,0.075349735,0.076003162,0.080057949,0.07853124,0.117709019165483,1.18651738937089,10.1339050741849
"T1867",0.101519697,0.107532357,0.109746779,0.09155078,0.083579253,0.091297748,0.098499802,0.094184321,0.133559347139217,1.10972233738257,9.74987729062317
"T0012",0.040520786,0.037937705,0.040927243,0.031841178,0.041272018,0.03053794,0.028762018,0.026763229,0.349049865428856,0.387886902804072,6.14020642172829
"T0014",0.049229641,0.046954244,0.048530305,0.038652312,0.043090839,0.039367851,0.041121858,0.040809715,0.113177193065436,1.20980328312791,10.2503504692492
"T0053",0.037641813,0.040016061,0.040391892,0.038379505,0.057925262,0.038357263,0.037710453,0.037653102,0.411084311964716,0.224756608349596,5.32444337724653
"T0006",0.032565579,0.031620251,0.04156986,0.037861568,0.041971658,0.033060584,0.032071722,0.034295974,0.215805206093872,0.786438881540673,8.13323890319132
"T0007",0.049885981,0.052868245,0.06022863,0.047165604,0.048901793,0.048703082,0.04904237,0.053974873,0.0825613220349523,1.38804729463408,11.1416924359462
"T0046",0.076057412,0.083176262,0.086567027,0.063030736,0.048967401,0.062536804,0.069798624,0.066521846,0.433390230199779,0.167749362912901,5.03936816022156
"T0050",0.04180855,0.044558501,0.045325237,0.036900146,0.041648536,0.036912653,0.037913853,0.038377178,0.0485988239058949,1.65859391981973,12.4946106009858
"T0051",0.038203103,0.042402211,0.043544343,0.031574346,0.038719178,0.031722156,0.032586257,0.033365813,0.225408573021712,0.754053419094739,7.97128944107459
"T0052",0.040551134,0.046259292,0.048931632,0.032538078,0.035710387,0.032575523,0.033726218,0.034990932,0.357344582662116,0.365565710918133,6.02858519582279
"T1865",0.104725217,0.111625792,0.114012061,0.092638292,0.075331545,0.105723294,0.093451372,0.110202973,0.300782623410424,0.522150932170285,6.81161839782042
"T1869",0.101521935,0.109753806,0.11279669,0.08733209,0.066538831,0.107649369,0.088328986,0.106285247,0.393682109982162,0.269734885805981,5.54936552721301
"T2817",0.050932354,0.075186137,0.056441352,0.050712632,0.055195643,0.096556101,0.052436223,0.044681468,0.413199789985353,0.21932154497708,5.29726434309753
"T2821",0.033304559,0.035632329,0.051029209,0.03474855,0.034825444,0.034273932,0.036800108,0.034907855,0.392095487381639,0.273861610089477,5.57000197108445
"T2825",0.044219984,0.053390535,0.045837584,0.039137036,0.053027695,0.254648024,0.039038167,0.039264394,0.270765915587521,0.610498206401748,7.25341519368678
"T0172",0.045930767,0.053166452,0.05062573,0.046309851,0.054459183,0.045658619,0.047556127,0.045656994,0.0467368854707699,1.6773514819995,12.5884112410324
"T0485",0.039023725,0.044663621,0.046050488,0.031273645,0.03045513,0.042146274,0.03198663,0.042691556,0.376225503647555,0.31540916731632,5.77776817347802
"T0486",0.0570895,0.058984271,0.059510337,0.055126032,0.062992464,0.060550046,0.055268723,0.055521401,0.00089898337288882,3.12172192994875,19.8112513512571
"T0487",0.051664444,0.051431298,0.051481539,0.054320022,0.052128358,0.051535285,0.053481196,0.052856244,8.0217969184613e-18,8.51936106800829,46.8031387318449
"T0491",0.051629415,0.051153628,0.05116237,0.053193251,0.070764537,0.051628513,0.052337338,0.051889118,0.28314568113299,0.573521919172725,7.06850846778126
"T0492",0.051973853,0.052171659,0.052300858,0.053405643,0.070798177,0.051958211,0.052751322,0.051967204,0.264567550356654,0.629326843907811,7.34757125897651
"T0493",0.051148907,0.049468982,0.049154802,0.05628042,0.078977163,0.049635685,0.054933061,0.054542344,0.436630843575238,0.159516845888248,4.99819994450641
"T0497",0.052576329,0.050293654,0.049688587,0.059202864,0.072305365,0.050735628,0.057187931,0.050456773,0.336716743331693,0.421440450561034,6.30799710930669
"T0498",0.036256307,0.036548108,0.03677267,0.039335627,0.058802643,0.036227511,0.037972183,0.037046319,0.469113069875576,0.0774995619365826,4.58805742940657
"T0499",0.048339793,0.046928356,0.046889554,0.054952138,0.074328098,0.047838472,0.052851256,0.04692557,0.446080954013052,0.135569133498078,4.87844500362858
"T0689",0.048421949,0.049909733,0.049706835,0.049904275,0.053753275,0.051842957,0.0486394,0.048087096,1.93784208510565e-05,4.11476836286152,24.7771627053296
"T0691",0.022030174,0.026696473,0.025750289,0.018108471,0.027251583,0.025605409,0.017226876,0.017168263,0.424132084470336,0.191333688584486,5.15730591896981
"T0698",0.057147912,0.062287956,0.064597332,0.047248452,0.051020498,0.047178482,0.047991615,0.049583841,0.238719052366203,0.710429064914459,7.75313783349819
"T0707",0.080057283,0.086860327,0.089451895,0.066456115,0.05708157,0.066161493,0.067325888,0.076408634,0.348289798631191,0.389941781684884,6.15048222155724
"T0709",0.083748676,0.088954765,0.090000009,0.074563838,0.079424545,0.079163664,0.074766569,0.079601474,0.0276483542870863,1.9165375483823,13.7845051631487
"T0711",0.091746248,0.095103446,0.096647323,0.087800173,0.097434926,0.087759447,0.08799909,0.090431634,2.4716584406926e-05,4.05829089296467,24.4947367283414
"T0905",0.038126927,0.044747533,0.049388165,0.026407163,0.037216774,0.02602063,0.026876395,0.029349206,0.493287511105405,0.0168265084413943,4.28465066487669
"T1075",0.074231192,0.079022318,0.080945961,0.069620884,0.086432919,0.069584315,0.070123839,0.070243042,0.0674702387371704,1.49490024832682,11.6760302859927
"T1077",0.08596191,0.091857462,0.094130734,0.078317364,0.089182855,0.078178575,0.080099517,0.079986605,0.0306102003956695,1.87190028047846,13.5612882941769
"T1079",0.075749768,0.080252101,0.08196338,0.070688512,0.086008638,0.070627103,0.071320316,0.071512275,0.0432224859849991,1.71445621447665,12.7739602810281
"T1705",0.086480128,0.071543645,0.070025341,0.079708278,0.093501696,0.016400862,0.078434311,0.092718108,0.221432192501114,0.767365247282701,8.03785768657764
"T1916",0.034722942,0.03344411,0.033641751,0.04076278,0.036271288,0.031167914,0.034177892,0.038257023,0.0469333844765923,1.67534393988317,12.5783721574016
"T1917",0.031022972,0.031052232,0.031050112,0.033835098,0.031883322,0.035641894,0.031045642,0.032256353,3.86668071947267e-07,4.94197883075726,28.9137808115767
"T1918",0.042081218,0.041188028,0.04177133,0.051376446,0.046900408,0.117641004,0.255363994,0.048341044,0.0946427386691849,1.31269578842138,10.764883368569
"T1919",0.054923705,0.056298901,0.05531534,0.047857372,0.053116093,0.121878946,0.233952533,0.049643609,0.0114326141045632,2.27567901565394,15.5804581326502
"T2326",0.059754978,0.063861973,0.065716222,0.054535553,0.05750781,0.054416546,0.054654062,0.055432084,0.0374123146026128,1.78153783807624,13.1094142791918
"T2327",0.062366167,0.067438102,0.069574147,0.054796244,0.052369608,0.054574777,0.055176322,0.056590279,0.189722520792132,0.87891928472272,8.595704170645
"T2328",0.059538589,0.063159464,0.064787817,0.055294697,0.057926311,0.055194502,0.055471466,0.056157305,0.0113187912686589,2.27949625163258,15.5995469233243
"T2329",0.055805051,0.057464572,0.059069294,0.057531628,0.081961185,0.057479977,0.436821389,0.056405395,0.355905506424753,0.369424937834131,6.04788396990315
"T2331",0.061404228,0.063796343,0.066459129,0.060214755,0.075337737,0.060182064,0.428135336,0.062614065,0.0646674644068325,1.51672975421799,11.7851927456381
"T2332",0.043585734,0.050974823,0.054016244,0.032799702,0.036808393,0.032546714,0.033470065,0.03582854,0.446037747762615,0.135678436144792,4.87899159161919
"T2335",0.086842327,0.093997219,0.096536391,0.074124384,0.061520716,0.080859292,0.08362026,0.077900943,0.3461869642248,0.395635521481518,6.17895481474738
"T2336",0.087885742,0.096194756,0.099459172,0.071998274,0.056347755,0.080500713,0.083155679,0.076587134,0.436588000846503,0.159625612668779,4.9987438527996
"T2524",0.040259533,0.042925605,0.038891683,0.033100398,0.04881843,0.033576025,0.037529651,0.032899973,0.322242059599352,0.461438382660961,6.50801412620674
"T2525",0.045062049,0.047707365,0.044180519,0.040462597,0.053703291,0.040725808,0.040001876,0.03999578,0.174194009148111,0.93772059257938,8.88975092681048
"T2526",0.047399376,0.055108437,0.045277521,0.035338505,0.051512011,0.035388852,0.03486752,0.034862947,0.405548879599745,0.23901008945048,5.39572053135334
"T2647",0.049734377,0.049635049,0.04955026,0.053712301,0.072075265,0.055203964,0.051089478,0.050549978,0.352378284332983,0.378907481028387,6.09530317141593
"T2648",0.051233868,0.054636308,0.053244018,0.049414517,0.067876603,0.081221888,0.048225994,0.048529213,0.246522213613698,0.685474689070032,7.62834888684627
"T2665",0.040129289,0.05264565,0.045251796,0.042049888,0.054875355,0.05689376,0.039552394,0.039606023,0.288284006279973,0.55840477553719,6.99291241030321
"T2666",0.040214592,0.0415723,0.039879268,0.044677295,0.065904534,0.039533712,0.041121679,0.041442557,0.474222774826061,0.0646589473556831,4.5238455742232
"T2937",0.054898743,0.03902629,0.04922977,0.057979704,0.045041357,0.057422474,0.053033755,0.055893229,0.295648451699514,0.536957598307561,6.88566185545752
"T5723",0.112632589,0.160207423,0.121914307,0.159566134,0.132485966,0.114272634,0.141843445,0.090070694,0.458129526348827,0.105147141993796,4.72631423912697
"T5724",0.104403853,0.150041947,0.107989357,0.142026931,0.144792091,0.105954938,0.189130791,0.104898954,0.38144332171916,0.301692293728416,5.70917442394633
"T5771",0.113786806,0.086341176,0.101820107,0.125393315,0.069572204,0.102784147,0.088618678,0.07287455,0.498594627390581,0.00352275400525753,4.21812279365478
"T2409",0.044446606,0.041878957,0.03946319,0.052133973,0.06495315,0.048643025,0.038920019,0.047911246,0.416930343012969,0.209752707241071,5.24941360985523
"T2818",0.041909196,0.041915852,0.040682605,0.047006919,0.055537983,0.041390465,0.043243634,0.043478283,0.217944331944234,0.779154576688284,8.0968123968628
"T2823",0.057191502,0.048824462,0.04715793,0.069329954,0.071026069,0.059314839,0.043201069,0.053555473,0.384271173962259,0.294282102084276,5.67211839755937
"T2688",0.051555638,0.057098229,0.052460531,0.050786655,0.054880744,0.05105156,0.050498481,0.050569536,0.000577943972968412,3.24954744541968,20.4504663542811
