"","cusA","cusB","cusC","cusF","cusR","hprR","phoB","yedX","pval","z","inv_cof_var"
"T8308",0.042012592,0.042243069,0.041841917,0.045399094,0.05355117,0.077580564,0.205657859,0.043832787,0.124134622075718,1.15456344318512,9.97411348850256
"T8309",0.051252592,0.076653937,0.060550121,0.045870761,0.051649502,0.043616933,0.044201756,0.044536892,0.468347237670406,0.0794251370249918,4.59768662183678
"T8315",0.066187405,0.062265015,0.093986787,0.053863565,0.055707619,0.057518015,0.070657788,0.056911872,0.490316263233408,0.0242759125523131,4.32190278041673
"T8317",0.069368872,0.103074131,0.06947516,0.06614643,0.066654877,0.066070284,0.065705263,0.0658887,0.434317985679008,0.165391337625554,5.02757642102436
"T2217",0.046057126,0.043799258,0.046800117,0.049983662,0.06867903,0.044989206,0.037444762,0.050335935,0.386730448158267,0.287850869425039,5.6399578356514
"T2219",0.041815631,0.046508697,0.052791434,0.061131041,0.058090926,0.059232027,0.047212058,0.061202673,0.311972124745536,0.490268025959024,6.65218206059807
"T2220",0.05327937,0.052386058,0.053705797,0.055750397,0.043450803,0.056948423,0.043764373,0.058808446,0.113510857865406,1.20806641801539,10.2416649557658
"T2222",0.042153651,0.033698646,0.039963001,0.048893389,0.056897021,0.043759507,0,0.047284689,0.391587007439369,0.275185124500397,5.57662044835061
"T2216",0.043498735,0.039623829,0.046524731,0.042973295,0.070861378,0.055435729,0.052480965,0.055317263,0.493074741002332,0.0173599219242259,4.28731809711653
"T2147",0.039478927,0.055028218,0.053721493,0.061995925,0.078294053,0.014443027,0.060832887,0.059335025,0.469431335396175,0.0766994139209716,4.58405614207099
"T2148",0.066991066,0.077631702,0.0773219,0.073804447,0.083481777,0.0716789,0.079019225,0.078629951,0.0273485944456726,1.92127387536973,13.8081900374748
"T2151",0.056462784,0.063659652,0.063540484,0.085621727,0.068086076,0.009232173,0.06429785,0.064084877,0.304733664513405,0.510833957481809,6.75502578418561
"T2154",0.059225426,0.057021593,0.057253976,0.074018844,0.056178101,0.01651451,0.056744634,0.056495009,0.186404803314528,0.891222890283309,8.65723061344198
"T2118",0.067468047,0.072513477,0.072175358,0.070048919,0.078890227,0.025548943,0.073597863,0.073295044,0.00157256167035957,2.9531860600993,18.9684567326822
"T2130",0.069649716,0.059777291,0.058430548,0.053949413,0.080044398,0.037665268,0.064599094,0.063177998,0.298601560187418,0.528426829028482,6.84300217448199
"T2124",0.068649592,0.067319803,0.065839749,0.05244814,0.090006218,0.037005344,0.072978949,0.071375276,0.380621031424218,0.303850143231637,5.71996514731361
"T2142",0.073933798,0.060506525,0.060017646,0.055266437,0.07102532,0.037000731,0.062273001,0.061625821,0.174735222269274,0.935616949564461,8.87923127295898
"T2112",0.074558222,0.083833366,0.087186643,0.108158325,0.072438286,0.016121525,0.07628759,0.077950065,0.327719573087881,0.446218880153643,6.4319062043619
"T2087",0.043433593,0.048135828,0.051747467,0.040151586,0.052146322,0.040811214,0.040712574,0.041687376,0.173068886806009,0.942107170724751,8.91168681771714
"T2088",0.047985347,0.055179411,0.059713434,0.039844701,0.04606669,0.040706532,0.041753178,0.044615116,0.307918396836891,0.501759373976793,6.70964666014117
"T2089",0.05508604,0.062630456,0.06750577,0.04650626,0.054276285,0.052901702,0.048422976,0.050979796,0.267168415444119,0.621399454495307,7.30792889001272
"T2084",0.042128581,0.044297725,0.04664705,0.041629107,0.052533466,0.042053779,0.041557765,0.041616741,0.103335101118992,1.26277458105052,10.5152431883362
"T2085",0.042696087,0.049419204,0.054077613,0.035889076,0.046118809,0.038812149,0.037301015,0.039465356,0.30812499681636,0.501172120262133,6.70670998991841
"T2086",0.037428871,0.045514589,0.051115496,0.030441355,0.044705494,0.031455421,0.031939202,0.033950782,0.424313025245282,0.190871779337493,5.15499605681415
"T6083",0.074120791,0.084007962,0.04043429,0.079786902,0.084582257,0.033182888,0.105796597,0.072875389,0.484067792737184,0.0399467427773266,4.40026764953355
"T6085",0.074120791,0.084914042,0.040430884,0.069765072,0.07262965,0.036789592,0.082135433,0.072875389,0.467409150053333,0.0817842257121904,4.60948367876056
"T6087",0.074120791,0.075508566,0.041719046,0.066899287,0.075011293,0.039042702,0.06823434,0.072875389,0.423374245494513,0.193268759965139,5.16698259935618
"T6096",0.074120791,0.086016776,0.040816983,0.083360973,0.086119828,0.035505386,0.087765085,0.072875389,0.492645715018697,0.0184355028927924,4.29269673759799
"T6098",0.074120791,0.075530011,0.04245907,0.070759901,0.073864843,0.039326999,0.066894796,0.072875389,0.408512089409253,0.231374107319166,5.35753539810216
"T6100",0.074120791,0.077948526,0.04346055,0.071220442,0.075918055,0.041631697,0.048541124,0.072875389,0.406109188762503,0.237565157048668,5.38849488108946
"T6107",0.074120791,0.088398323,0.046786429,0.086649333,0.088904183,0.039050015,0.11316741,0.072875389,0.457719468331044,0.106180759085432,4.73148303152278
"T6111",0.074120791,0.085071757,0.04704162,0.075469264,0.06106475,0.044065975,0.087413584,0.072875389,0.420496101274266,0.200624495882683,5.20376630986541
"T6114",0.074120791,0.095428801,0.049841341,0.090947877,0.078161668,0.045004765,0.126622874,0.072875389,0.454512477391819,0.114268496824548,4.77192725178913
"T6116",0.074120791,0.092510542,0.047602757,0.087752044,0.087059008,0.041495319,0.110011487,0.072875389,0.460955130682456,0.0980277459762252,4.69071238976119
"T6118",0.074120791,0.099807089,0.0499889,0.094654675,0.086032027,0.04359015,0.123791994,0.072875389,0.483317031391475,0.0418301964557681,4.40968620610518
"T6120",0.074120791,0.077968316,0.047078834,0.076554748,0.076388137,0.039877323,0.208042391,0.072875389,0.358492430581026,0.362491383717533,6.01321145714793
"T6122",0.074120791,0.068708684,0.047954806,0.066897422,0.065066108,0.043984316,0.156575743,0.072875389,0.290045270501475,0.553252472090084,6.9671473691736
"T6124",0.074120791,0.076277887,0.044241525,0.068688896,0.060371618,0.04136802,0.0966535,0.072875389,0.400118100636525,0.253041426035338,5.4658868109453
"T3654",0.073401105,0.050121035,0.066752657,0.06262711,0.06652648,0.050710322,0.06964093,0.068880625,0.216547889388524,0.783905131085945,8.12056841797079
"T7301",0.085318324,0.079264086,0.083353296,0.056733914,0.084611528,0.125136338,0.085013418,0.084761324,0.28112165890629,0.57951264364859,7.09846618748885
"T7305",0.088392858,0.068300077,0.089961068,0.091249736,0.072816145,0.127741679,0.086515421,0.082859223,0.191856610543517,0.871074967653759,8.55647722021586
"T7307",0.083062205,0.059982033,0.086232691,0.075327594,0.080640945,0.117408135,0.084126446,0.085226386,0.225188788304949,0.754785698018725,7.9749513365333
"T7309",0.082872795,0.085742654,0.087345134,0.093048538,0.072021024,0.133074842,0.082749729,0.082228021,0.0592070817838216,1.56146462749895,12.0088977082522
"T7311",0.080712857,0.094597605,0.085618681,0.080509373,0.084178724,0.137167414,0.127400559,0.083161931,0.00764910280303873,2.42524151571091,16.3283729255143
