"","cdaR","garD","gudD","gudP","gudX","pval","z","inv_cof_var"
"T8193",0.031191641,0.0313747,0.032357278,0.035620648,0.031727896,0.352926493430193,0.377431465590037,17.783130927297
"T1588",0.03300176,0.033364728,0.030223822,0.029271116,0.0320137,0.352404983916981,0.378835575127258,17.8154196625359
"T1590",0.026156084,0.026113361,0.02683544,0.027430314,0.026405014,0.0444633409286707,1.70108683916304,48.221751826786
"T1592",0.030941549,0.031076613,0.032186092,0.035259953,0.031084546,0.356941493869723,0.366646138569887,17.5351128351276
"T1593",0.032747513,0.032845488,0.035596846,0.037035755,0.034890513,0.336104846464756,0.423117283437259,18.833716538702
"T8188",0.033073475,0.034377091,0.033572975,0.031978642,0.034321182,0.142185146807149,1.07055338334805,33.7220797752989
"T8189",0.040115152,0.033698584,0.031789921,0.031396429,0.034864162,0.487909909165617,0.0303100038370764,9.800767246142
"T8191",0.039129691,0.041020755,0.039222548,0.040614194,0.039166136,0.0665996448503804,1.50160446439236,43.6344789587854
"T0880",0.073495608,0.073507173,0.088394163,0.074781492,0.07454623,0.450373066546329,0.124718850867418,11.9717818181279
"T0150",0.0646092,0.06458282,0.06554503,0.067908636,0.064673036,0.0545016700287956,1.60268896935549,45.9590061633853
"T0151",0.050338855,0.048114208,0.05333459,0.058635277,0.062083586,0.494614890038992,0.0134988788393985,9.41418062328339
"T0327",0.033850384,0.033726803,0.030644321,0.036885508,0.029508027,0.462263776798265,0.0947321842434861,11.2822120134578
"T0328",0.035039152,0.035293764,0.031793164,0.036373964,0.031145502,0.404287965621512,0.242263581282849,14.6748264015454
"T0875",0.055045923,0.054399274,0.05354755,0.049150983,0.04940393,0.340610977194805,0.410796234661991,18.5503831724481
"T1081",0.058246009,0.05876385,0.05887642,0.061513768,0.063037372,0.195200687885913,0.858889694170028,28.8546868558822
"T1082",0.067896872,0.066726926,0.07078065,0.074414937,0.071948431,0.277119679839488,0.591419527284752,22.7039748395305
"T2380",0.047283911,0.049259278,0.044271607,0.0452569,0.044289337,0.297900153942833,0.530449508300458,21.3019155640199
"T2381",0.046062292,0.047078918,0.045489578,0.048582622,0.048136686,0.123393774255182,1.15818745044153,35.7373023169024
"T2382",0.052895465,0.055379082,0.052722873,0.053225798,0.064614844,0.466764026198305,0.0834068368996563,11.0217756784144
"T2389",0.06266314,0.06464476,0.055005088,0.052747523,0.052755782,0.482095291385611,0.0448955262687894,10.1361741781756
"T2861",0.047725703,0.04793869,0.046535015,0.049451529,0.046402489,0.100789022917801,1.27706855327435,38.4710779608403
"T2862",0.039739102,0.038729847,0.033930767,0.03564111,0.034360308,0.416650032085945,0.210471024612291,13.9437285650228
"T2863",0.034970647,0.034613028,0.029321826,0.031572816,0.029504212,0.452728291940331,0.118771253431513,11.8350115777551
"T0332",0.037500953,0.03810319,0.04157731,0.035078838,0.035003857,0.417512842974565,0.208260353855433,13.8928922442969
"T0333",0.038840855,0.03965769,0.0367501,0.035414137,0.03531392,0.33686917404256,0.421022916241848,18.7855547207861
"T0334",0.037977906,0.038725365,0.034608678,0.033307339,0.033293284,0.42078010637914,0.199898181417201,13.7005967255196
"T2063",0.050873444,0.05141888,0.050790405,0.052653719,0.050750391,0.00874778070168776,2.37612443931195,63.7448358666819
"T2064",0.038666931,0.038784605,0.042297223,0.046877974,0.04249219,0.442806023949709,0.143858701392168,12.4119195351102
"T2065",0.065743328,0.067550605,0.05720928,0.052804635,0.057005744,0.492407466989559,0.019032806956157,9.54143817339354
"T0727",0.039506805,0.040763035,0.037590273,0.037914999,0.03736463,0.224939547643543,0.7556166083445,26.4798313071315
"T0734",0.040254917,0.042389287,0.03777311,0.037284144,0.037358308,0.359825922798316,0.358924132735286,17.3575385111186
"T0735",0.03758551,0.040182209,0.034741018,0.034533878,0.034451267,0.410229614044566,0.226954364465008,14.3227774798321
"T0742",0.04375528,0.044817676,0.04263542,0.04282941,0.042559797,0.0596656817885063,1.55758623593091,44.9218290917313
"T0743",0.046443057,0.048306444,0.044275417,0.043186248,0.043728543,0.300284692924537,0.523581881994836,21.1439884496291
"T0728",0.039940337,0.042190494,0.037000723,0.035091748,0.036370997,0.429335291014625,0.178066714735845,13.1985629248334
"T0736",0.040258001,0.043310859,0.036673455,0.034579807,0.036093133,0.471031101681156,0.0726781914304638,10.7750610284219
"T0744",0.038090701,0.040770948,0.034358386,0.031927022,0.03373941,0.484588710871273,0.0386399861546498,9.99232252474872
"T0729",0.040194053,0.043034424,0.038089865,0.03677831,0.037559325,0.390255647889433,0.278652790303609,15.51162830658
"T0730",0.039231184,0.045297842,0.040291122,0.038890087,0.039814467,0.390160659102994,0.2789003261901,15.5173206122649
"T0738",0.036568336,0.041460293,0.036205302,0.034337925,0.035062293,0.430088485571205,0.176148891983632,13.1544609018503
"T0746",0.045403812,0.053179662,0.04646281,0.04405501,0.045407084,0.432986590442797,0.168775562456278,12.9849046965638
"T0748",0.069040243,0.061549813,0.057848339,0.056760918,0.057392049,0.452841513966946,0.118485443902251,11.8284391359516
"T0733",0.051519913,0.055819848,0.050095305,0.04919841,0.050160144,0.324940285275413,0.453928110025985,19.5422386275011
"T0741",0.057246427,0.059994488,0.056627571,0.056194403,0.05629069,0.118400886459977,1.1830186076794,36.3083166434024
"T0749",0.05139043,0.054318388,0.050434218,0.05010121,0.050194012,0.193697533855375,0.864351062012105,28.980275818581
"T0774",0.039517511,0.040381237,0.039375954,0.040427019,0.039774544,0.000757595324752701,3.17175828206941,82.0411366999758
