"","cbpA","cbpM","fis","gltX","gyrB","msrA","pval","z","inv_cof_var"
"T1635",0.354319455,0.078679066,0.20465575,0.290004311,0.223870339,0.142189617,0.384965797955311,0.292464372956079,1.96876873679676
"T1717",0.15952517,0.090165987,0.489048473,0.368512244,0.255164138,0.14563902,0.433570662277101,0.167290695926976,1.85997708091455
"T1718",0.175719401,0.092361528,0.430967737,0.356641645,0.279237048,0.140162116,0.396143513406591,0.263341952786189,1.94345769386204
"T1719",0.179527449,0.090200709,0.452367377,0.390390782,0.252972602,0.145021501,0.450163987143757,0.125247044534245,1.82343586423937
"T0881",0.099046164,0.086340152,0.054206388,0.052013313,0.096990985,0.028699683,0.233934710600408,0.725950002899962,2.34552222524603
"T2300",0.191151256,0.109125495,0.274882387,0.133561137,0.309734269,0.109654939,0.36416269963425,0.347353983722766,2.01647470651633
"T0880",0.122284354,0.079529561,0.224681,0.187721601,0.069590064,0.106751084,0.206881345585801,0.817290050716368,2.42490820547889
"T0150",0.157320429,0.082252017,0.168453228,0.133376186,0.128111668,0.231715136,0.134860142801311,1.10370693668757,2.67384047332453
"T0344",0.293435304,0.050412872,0.314070414,0.138471883,0.313144433,0.360860861,0.476921405207047,0.0578817622067458,1.764886968119
"T0345",0.294239597,0.044860937,0.309791377,0.141592093,0.302503828,0.310222849,0.448274395968031,0.130022289472056,1.82758615219413
"T0346",0.302537245,0.043768172,0.328844409,0.143060942,0.313863461,0.350295449,0.480761978103927,0.0482412744502883,1.75650817274102
"T1081",0.1683098,0.096355907,0.113459832,0.105128328,0.249825791,0.161895258,0.170820919282984,0.950926204151891,2.54105481683552
"T2381",0.150737553,0.083742067,0.699250961,0.264802556,0.289861252,0.127550447,0.350928782704831,0.382814154943371,2.04729405157767
"T2389",0.15402883,0.120484077,0.580445194,0.203363135,0.270566746,0.14024595,0.0775813568810243,1.42153008517473,2.95006873011351
"T2390",0.18051627,0.116027356,0.613332307,0.297502321,0.252392424,0.15869795,0.116882393083899,1.19071678532918,2.74946296629948
"T2391",0.168327996,0.125130571,0.555405213,0.109670025,0.269089634,0.155378767,0.140527125242488,1.07795407737601,2.65145800222756
"T2064",0.317647531,0.361876709,0.194359059,0.238454547,0.433290932,0.040826074,0.437811771355348,0.156519509108605,1.8506155659571
"T0726",0.186557393,0.20998874,0.217315608,0.314255383,0.098578928,0.15697952,0.204295099437329,0.826377118966476,2.43280600975777
"T0744",0.19809358,0.161224669,0.194635616,0.387548873,0.127463393,0.155699786,0.384271553714553,0.294281108063063,1.97034770791336
"T0745",0.20627428,0.155908459,0.177744717,0.374555261,0.16721151,0.166172849,0.238689582905827,0.710524141384995,2.33211521302546
"T0738",0.205500124,0.063638694,0.180428588,0.371872089,0.196522018,0.164733734,0.459297013049017,0.102204915609618,1.80340935850543
"T0746",0.192466484,0.068304368,0.176775216,0.369823367,0.186091665,0.15942464,0.468738900160063,0.0784403216033768,1.78275493982357
"T0733",0.167167598,0.188533811,0.048915532,0.414687362,0.160572265,0.136113829,0.4285323129577,0.180112020530058,1.87112042324721
"T0741",0.170410423,0.17837102,0.089683735,0.401316242,0.139064651,0.140955669,0.431957769861269,0.171392006437363,1.86354163515872
"T0749",0.173597554,0.187719731,0.103013134,0.402352087,0.136176294,0.143629791,0.419118932859134,0.204147974134583,1.89201068752167
"T0777",0.140372481,0.119706129,0.132928575,0.358707253,0.206267182,0.144599706,0.377109938006638,0.313080009879541,1.98668631604506
"T0788",0.184677176,0.165257553,0.169693908,0.355308171,0.173778466,0.148916323,0.206213067798323,0.819631631712393,2.42694333363032
"T0840",0.075567246,0.161908333,0.128089797,0.341982513,0.331812793,0.162506554,0.44488977474153,0.138583162253149,1.83502662648359
"T0846",0.075740033,0.207598947,0.140473377,0.34251429,0.233072,0.16612077,0.326458912272903,0.449712406317442,2.10543703910784
"T0836",0.242840967,0.214397721,0.042984388,0.39247449,0.40666998,0.097099766,0.334827177277607,0.426622434510267,2.08536895189657
"T0842",0.144862112,0.189028015,0.173204948,0.391696343,0.142714089,0.129184869,0.452956312216574,0.118195665350474,1.81730732958366
"T0835",0.133955053,0.19348356,0.271808277,0.308603655,0.195230153,0.134196634,0.126134393069027,1.1448560653325,2.70960423731743
"T0837",0.2296131,0.226181112,0.281068989,0.283677712,0.305361066,0.142896952,0.00900595615906786,2.36537315358137,3.77038696907544
"T0758",0.17456472,0.227964755,0.196740362,0.364518651,0.087048708,0.140095546,0.425377857750275,0.188154274994759,1.87811015304509
"T0759",0.166239519,0.244725435,0.187795777,0.373847559,0.129317331,0.133579563,0.355210088426546,0.371291837548448,2.0372797097548
"T0760",0.173821523,0.181764058,0.197579745,0.370166526,0.119483848,0.138332406,0.38790871574061,0.284773819000625,1.96208467893952
"T0761",0.180609069,0.218991207,0.196950149,0.37418096,0.115828242,0.143909077,0.354202067023019,0.374000244809302,2.03963365602933
"T0754",0.15356422,0.233767619,0.20235848,0.378698917,0.095569661,0.122157661,0.496010893963594,0.00999937261415716,1.72327115419541
"T0755",0.156930419,0.226961313,0.192046504,0.386166674,0.119642316,0.130423182,0.436424852155494,0.160039822957559,1.85367516108878
"T0771",0.182689384,0.167932495,0.211307768,0.378167944,0.127049225,0.146884216,0.381919489304403,0.30044338007443,1.97570349670238
"T0756",0.146057778,0.239334179,0.197229169,0.382484108,0.145119956,0.119800552,0.412904597274664,0.220079558421231,1.90585723638488
"T0757",0.1485811,0.246838483,0.214076582,0.367179392,0.180257953,0.124001117,0.293187064886889,0.544097864711903,2.187469863849
"T0810",0.153328977,0.159603666,0.259768383,0.242981286,0.131958762,0.116052641,0.0363581052503436,1.79460779391705,3.27432014359065
"T0823",0.172996048,0.094218699,0.19601369,0.332491672,0.20494484,0.140121458,0.329908643400985,0.440165442334861,2.09713952764246
"T0812",0.172847044,0.19697458,0.128029599,0.31758509,0.188355776,0.101256251,0.181770072727051,0.908640074974572,2.50430285649341
"T0806",0.194074194,0.193076298,0.169451324,0.388171053,0.171884654,0.150596175,0.254414346495497,0.660662632164407,2.28877929542968
"T0807",0.045362778,0.202432331,0.067093993,0.370808073,0.30126107,0.183369423,0.470196845169172,0.0747750539039611,1.77956936157952
"T0818",0.168288322,0.192422656,0.217344694,0.291089254,0.358934138,0.092715677,0.326873422920775,0.448563116357899,2.10443816170202
"T0830",0.206624223,0.239042722,0.140924558,0.299868077,0.318768216,0.181693263,0.00189784767190666,2.89465990029274,4.23040366729745
"T0808",0.137874259,0.174333902,0.055340934,0.397835489,0.385820427,0.13066714,0.452092456733461,0.120376490956986,1.81920274109951
"T0831",0.151077624,0.134030256,0.106951965,0.345083008,0.373897509,0.109340368,0.476918905701573,0.0578880380431392,1.76489242260951
"T0820",0.135009449,0.154860309,0.06658146,0.380996061,0.386816098,0.13716439,0.459538383589727,0.101596739980547,1.80288077745449
"T0803",0.117133488,0.134604707,0.035552495,0.378652488,0.186976106,0.164158675,0.432528751219554,0.169939772054544,1.86227946097812
"T0814",0.201924304,0.116455479,0.04374426,0.35174034,0.314010925,0.112458836,0.377620153116474,0.311737131572921,1.98551918603743
"T0805",0.159465684,0.186992382,0.237289685,0.392041257,0.109347549,0.12879232,0.499687175898383,0.000784133818456561,1.71526195360525
"T0816",0.15780077,0.058773861,0.19958928,0.230645028,0.065962642,0.106387797,0.491508804118511,0.0212858789710712,1.73308054659193
"T5127",0.124757383,0.063670488,0.06431479,0.234735033,0.214080984,0.287287999,0.34422586853661,0.400957062016131,2.06306251783838
"T5137",0.111887902,0.187121216,0.102609604,0.263483623,0.085344688,0.282919051,0.323005959174795,0.459309511594631,2.11377812965948
"T0321",0.480900242,0.06907921,0.273803678,0.419354391,0.278431133,0.32155923,0.378965439428687,0.308199045319678,1.98244414445297
"T2491",0.189924222,0.115946519,0.359186615,0.249952045,0.285505973,0.185124215,0.0500202184153417,1.64465762141585,3.14399459948735
"T2492",0.166954711,0.115073263,0.538219239,0.049547224,0.301025937,0.175295392,0.486978988464056,0.0326446328323966,1.74295273114911
"T2493",0.14068258,0.12123436,0.484503132,0.047211243,0.25756138,0.178915106,0.402160346729862,0.247759240101886,1.92991435826387
"T0041",0.108029434,0.065327564,0.268779244,0.196397997,0.108747795,0.143395766,0.169404946047601,0.956519391611954,2.54591599963275
"T0063",0.18359663,0.076023075,0.294736306,0.314436402,0.264366622,0.150829111,0.325845895215176,0.451413173658517,2.10691521966223
"T0057",0.167420175,0.049871547,0.164424648,0.258462383,0.159805013,0.130350662,0.35348984093041,0.375915547176506,2.04129829448199
"T0058",0.168470916,0.052595347,0.198524389,0.251404998,0.198259273,0.131524131,0.307378388729496,0.503295147694638,2.152007175094
"T0059",0.17958688,0.06536715,0.203918027,0.198330121,0.169301297,0.147113205,0.0805101402841674,1.40164835232277,2.93278900573288
"T0056",0.155192804,0.062789102,0.217669843,0.183811152,0.148325032,0.123543377,0.0766911454011406,1.42768588461805,2.95541889342749
"T0017",0.052072531,0.075115407,0.185174183,0.122052663,0.07375719,0.138286664,0.169745606644513,0.955171030371523,2.5447441042666
"T0054",0.182506302,0.088393532,0.208579025,0.105041516,0.054134013,0.130651773,0.239744266460256,0.707125431767758,2.32916130725311
"T0055",0.17671317,0.083247363,0.21086918,0.105516163,0.070664473,0.146406546,0.145989337762447,1.05379086762925,2.63045713637325
"T1864",0.317583974,0.098282587,0.293862271,0.16577687,0.211859709,0.132138774,0.298207609998559,0.529562615659849,2.17483690578174
"T1868",0.3344146,0.083744906,0.274779633,0.145446908,0.200139252,0.166856794,0.371970314087878,0.326639415350877,1.99847114340666
"T1866",0.172443345,0.098777195,0.175911007,0.1406498,0.21831315,0.27491923,0.141088202761213,1.07544307456502,2.64927562522773
"T1870",0.133765399,0.101128672,0.25747877,0.120934297,0.200464916,0.30346053,0.334644144973816,0.427124992877176,2.08580573827379
"T0692",0.160152711,0.098662918,0.389189496,0.150248961,0.136382013,0.126531568,2.85994613620548e-06,4.53648733501664,5.65735803610554
"T0693",0.166588105,0.091263879,0.408890523,0.150371117,0.132801754,0.129307765,0.000234164790988124,3.49824563644036,4.75499552447453
"T0694",0.164341801,0.098128853,0.402062164,0.146310867,0.12450695,0.130164254,1.3973720213007e-05,4.18957743312358,5.355849735282
