"","evgA","frc","oxc","yegR","yegZ","yfdE","yfdV","yfdX","pval","z","inv_cof_var"
"T1096",0.300550117,0.109634548,0.110682503,0.129789839,0.112407009,0.112272522,0.10508211,0.101459161,0.0716799074274563,1.46339321258375,12.4534358593533
"T1094",0.074323949,0.075476237,0.076734242,0.094396653,0.077875976,0.07793432,0.074318432,0.075421481,0.106200835412624,1.24698861854865,11.3142508506919
"T0112",0.062852903,0.043895911,0.04487238,0.0623282,0.045879033,0.046111851,0.040509919,0.037560785,0.41988474959883,0.202188325960473,5.81427135317491
"T0113",0.16182411,0.067274656,0.068267247,0.088409804,0.069125591,0.070616355,0.062027763,0.057812802,0.322730388639412,0.460077243949374,7.17183582902529
"T0114",0.201899327,0.045585947,0.04594255,0.056668612,0.045974626,0.046617266,0.045561887,0.047054947,0.0890132843335081,1.34685614327416,11.8399679110283
"T0115",0.071222656,0.06505686,0.06528896,0.072931952,0.065377141,0.066073722,0.063853761,0.062790449,0.0018026682696892,2.91077490191883,20.0726619190096
"T0116",0.196404702,0.052975139,0.054648383,0.077671045,0.056362442,0.056565373,0.048248451,0.046985477,0.441844960350178,0.146293216494935,5.5200314316772
"T0117",0.138684321,0.080019161,0.080226324,0.099715185,0.081557069,0.081493971,0.075203181,0.069804837,0.221316290517704,0.767755290591962,8.7914974623297
"T0100",0.207040798,0.065286767,0.067456114,0.081372592,0.073081186,0.067119964,0.061691139,0.06090517,0.179142614664854,0.918637464231998,9.58576299560715
"T0101",0.166542712,0.055112512,0.055574045,0.067702912,0.056064833,0.056125521,0.053594405,0.053502929,0.0984840344712547,1.2902379054219,11.5419213373605
"T0118",0.074652655,0.071053038,0.071994779,0.083451097,0.071970787,0.071988904,0.068153557,0.067065557,0.0474613530939948,1.66998310579208,13.5409548666703
"T0119",0.185628761,0.075646646,0.077824335,0.10532088,0.080507238,0.080623438,0.070716032,0.063738545,0.398845633155867,0.256336175277089,6.09931344513134
"T0120",0.157906566,0.06083099,0.059883825,0.07801708,0.060132488,0.060818897,0.057211294,0.053457387,0.273342801166074,0.602734085598357,7.92280202784429
"T0121",0.132858105,0.06266254,0.06766766,0.08351788,0.066219731,0.065601863,0.059393171,0.058500126,0.274152431361954,0.600302185123285,7.91000015283738
