"","accA","accD","acpP","fabD","fabF","fabG","fabH","fabI","fadR","plsX","rpmF","yceD","pval","z","inv_cof_var"
"T0060",0.318120249,0.365149621,0.37198782,0.297361496,0.299635583,0.367558012,0.164899158,0.314697733,0.065000309,0.328622575,0.052025821,0.351043611,0.267790187712161,0.619510092306711,2.39041873126739
"T0061",0.268206438,0.375797496,0.403134883,0.251916501,0.353977352,0.34149077,0.151524243,0.257434951,0.053941858,0.276438063,0.050047034,0.307104874,0.34535949758033,0.397879522618421,2.20409874083211
"T0062",0.259957879,0.362300846,0.40520805,0.240923477,0.367475616,0.324595322,0.191645065,0.249756198,0.058389011,0.267002873,0.042628978,0.292431264,0.32421245289539,0.455951429083776,2.25291852716574
"T0003",0.436458124,0.316816367,0.325903278,0.2254266,0.034956638,0.185343887,0.121326679,0.313127616,0.273352717,0.091613936,0.330546552,0.30433398,0.391421000783305,0.275617324888484,2.10131557538848
"T0004",0.374544755,0.235485954,0.39517092,0.212858808,0.177642511,0.160276581,0.114335347,0.3504421,0.039385039,0.14198117,0.383459178,0.29336717,0.426839509399492,0.184426326081815,2.02465328981416
"T0005",0.145206008,0.291191689,0.348538065,0.228636493,0.147538283,0.177158272,0.118964548,0.347199998,0.069105898,0.126920458,0.332820328,0.313797182,0.360505852695477,0.357106998530672,2.1698221682964
"T0047",0.208699281,0.304016793,0.299074684,0.24091935,0.286043015,0.306099194,0.281940939,0.256882021,0.297214395,0.194355524,0.051725496,0.299201167,0.0321348449573002,1.85030439259165,3.42512067955644
"T0048",0.212234696,0.328245564,0.35481846,0.244089955,0.301098312,0.33574497,0.302690769,0.26320334,0.324088657,0.212850867,0.052964379,0.288984076,0.0492147655273797,1.65251538691678,3.25884377246111
"T0049",0.250217268,0.28364055,0.286791978,0.232220561,0.274153135,0.281185303,0.281233841,0.248829182,0.119215326,0.22150794,0.041162201,0.257246429,0.0777818512103517,1.42015107894413,3.06350016214664
"T2403",0.066864593,0.362006187,0.136104585,0.255552521,0.209345974,0.342044505,0.390906123,0.173060837,0.058541524,0.367746478,0.330287186,0.31104323,0.39023050184571,0.278718317936465,2.10392251267088
"T2404",0.036770993,0.402551433,0.28107947,0.361036018,0.216280918,0.390131221,0.393867501,0.151430196,0.037504032,0.455249796,0.374495815,0.331276212,0.442894005087058,0.143635875075302,1.99036164650849
"T2415",0.331612559,0.166080229,0.313867692,0.440797336,0.252758919,0.406354113,0.235665588,0.06007321,0.051050811,0.281238066,0.34237014,0.38654656,0.369679004201647,0.332703631014597,2.1493067889939
"T2416",0.370000281,0.475337379,0.351028907,0.471233531,0.272757588,0.353310118,0.160432122,0.31572634,0.048713174,0.17160565,0.463297972,0.444713551,0.285021044408436,0.567989513050577,2.34710650296006
"T0008",0.045490554,0.459931515,0.440502816,0.37092073,0.260961416,0.289599201,0.345056875,0.131160492,0.052158417,0.405854232,0.215656697,0.464794875,0.479317132840293,0.0518675062324652,1.9132139785261
"T0010",0.033055886,0.355163195,0.405846549,0.306314803,0.162801569,0.23443418,0.28176956,0.311830045,0.072745621,0.196297216,0.38667388,0.349067576,0.375091256872986,0.318398713858799,2.13728095685624
"T2674",0.063927142,0.294313222,0.184697122,0.270723626,0.256267748,0.255122601,0.352324117,0.172682707,0.089101591,0.322261106,0.329209836,0.343267208,0.219443365365287,0.774074509190097,2.52035766846297
"T2675",0.089470928,0.283580596,0.170835324,0.283039963,0.239927888,0.198221862,0.308497751,0.180379336,0.096452179,0.274988241,0.3128582,0.317431622,0.129560562445349,1.12847084045604,2.81829094158787
"T2676",0.134875848,0.367565481,0.305587445,0.272852057,0.293110675,0.350846194,0.354563413,0.042403682,0.074489311,0.301709069,0.358514828,0.380766928,0.313981993966386,0.484594539417334,2.27699816586762
"T1863",0.144501818,0.330055374,0.251581327,0.282963079,0.257179231,0.278690488,0.342549364,0.312721314,0.098994213,0.280168477,0.127741713,0.153262811,0.128243992193569,1.13473114315569,2.82355384165062
"T1867",0.15677369,0.322889848,0.197849764,0.343440077,0.312775727,0.135963071,0.360476999,0.315293026,0.096380353,0.254190948,0.178358586,0.165399074,0.199459555014051,0.843553227839689,2.57876691323662
"T0011",0.324353241,0.298556058,0.380477872,0.345794611,0.205853815,0.249833772,0.246677297,0.236261426,0.221999082,0.200642538,0.093860732,0.446400091,0.11419691316432,1.20450661635542,2.88221256150806
"T0012",0.044983435,0.287930101,0.50136952,0.330461165,0.201046916,0.214239856,0.189013881,0.365333577,0.370039683,0.208852562,0.50190536,0.494572669,0.377350851656152,0.312445858659531,2.13227652120754
"T0013",0.216922648,0.372832057,0.379530095,0.299295375,0.211263047,0.260925796,0.19853548,0.207758838,0.43504826,0.189477607,0.362183449,0.429304153,0.0636947726513532,1.52447721138676,3.15120486834397
"T0014",0.280759226,0.341972138,0.453767189,0.402405449,0.238887396,0.370727053,0.211424711,0.451757689,0.088058464,0.199126971,0.407000504,0.344799305,0.137789258071126,1.09030567510672,2.78620631872719
"T0053",0.30404661,0.327630866,0.312841771,0.244286819,0.245254451,0.320940549,0.102731897,0.290655841,0.334733838,0.03870434,0.55630791,0.326562614,0.337113271872083,0.420354442499968,2.22299291623063
"T0006",0.378075946,0.314635213,0.37932232,0.250696368,0.069961702,0.156777661,0.159526505,0.355371328,0.0402773,0.134480044,0.382663063,0.293395671,0.470396696623141,0.0742727075607621,1.93204954305612
"T0007",0.34799445,0.29314668,0.320472458,0.259280257,0.052185272,0.186391638,0.179080286,0.304305851,0.123750266,0.169063363,0.342697978,0.344925701,0.238731988932863,0.710387330070643,2.46681724477017
"T0046",0.204034189,0.25435715,0.288589274,0.203925723,0.256833338,0.253803635,0.250690313,0.21460486,0.284147683,0.235387736,0.127407949,0.250426074,1.33499012829335e-05,4.1999295650355,5.40039936187876
"T0050",0.324731028,0.37023451,0.386351599,0.330353084,0.315022819,0.364994865,0.110140609,0.360105884,0.112506344,0.314242297,0.182861418,0.364128838,0.102585797407431,1.26695440153338,2.9347110537216
"T0051",0.33944503,0.372161159,0.374253619,0.323995979,0.239766537,0.368111174,0.088192073,0.355957172,0.083761804,0.341301645,0.069554132,0.357089606,0.329604571489205,0.44100532359265,2.24035366196656
"T0052",0.283550146,0.329357274,0.339631978,0.261166395,0.211924927,0.325350667,0.07887692,0.287702148,0.113553364,0.2954408,0.557039525,0.29640839,0.285242316672643,0.56733789831262,2.34655870464905
"T1865",0.24098107,0.299689698,0.166666878,0.325752373,0.293076568,0.082051358,0.3004081,0.290331282,0.078087383,0.280852862,0.12338741,0.09598272,0.347134198254079,0.393069166591839,2.20005477934194
"T1869",0.246748576,0.304518496,0.117472958,0.337209578,0.298874515,0.117136478,0.361942421,0.295501033,0.067645008,0.274501287,0.129695776,0.104889832,0.392488922581078,0.272837873033758,2.09897895078062
"T2821",0.256297664,0.425410733,0.435537585,0.151018417,0.431480496,0.457234246,0.29293125,0.401262392,0.133714474,0.43423889,0.440608897,0.434553519,0.0845761288256738,1.3749328698665,3.02548619911485
"T0173",0.09280138,0.274057617,0.229041628,0.296187274,0.350120776,0.100904754,0.273052827,0.090209893,0.109716005,0.271969994,0.243527178,0.029126636,0.497518918861435,0.00621918822462105,1.87483843228909
"T0485",0.285112137,0.289723188,0.309843604,0.262436808,0.350389985,0.347616874,0.337135174,0.276339253,0.052226881,0.29813216,0.319787093,0.268710244,0.0196173322791038,2.06171723670367,3.6028508507519
"T0486",0.242579374,0.092863622,0.24070283,0.233034718,0.225921102,0.305971293,0.329683142,0.233697782,0.059661906,0.294951007,0.518171247,0.235094279,0.355877762460498,0.369499393807679,2.18024018496589
