"","cra","eno","envC","fbaB","fruA","fruB","fruK","glk","gpmM","pfkA","ppc","pykF","pyrG","tpiA","yibQ","pval","z","inv_cof_var"
"T4805",0.14186999,0.237447699,0.399076445,0.130421391,0.37706942,0.070886462,0.082285338,0.359916552,0.377599038,0.119311828,0.077754298,0.330936462,0.134723884,0.134136215,0.211967007,0.296492902878524,0.534514231711159,1.71876205682639
"T5743",0.120994865,0.133226494,0.143792611,0.194347445,0.216939208,0.124030448,0.192269716,0.253927728,0.16532649,0.233947348,0.177476974,0.137665558,0.130226177,0.219791193,0.138305761,3.18155339064706e-09,5.80692382592879,4.06676276781574
"T5745",0.092721123,0.124826465,0.220679236,0.164241463,0.214479404,0.090823679,0.099781187,0.24251841,0.253895848,0.149279321,0.24742485,0.112989278,0.13294843,0.156077497,0.258721305,0.000826319596898989,3.14645282507368,2.88195576639739
"T5747",0.145163936,0.11435079,0.309316993,0.186255631,0.302314703,0.106957282,0.105889216,0.13071976,0.21131829,0.197806973,0.12667759,0.118404809,0.112880168,0.197418426,0.1355874,0.0160536948266556,2.1430710999181,2.43511244704625
"T5755",0.112624788,0.135851211,0.233323998,0.189459449,0.091129835,0.141849795,0.137634296,0.07099507,0.136431739,0.221202506,0.16566795,0.196650408,0.203432091,0.214822179,0.172217661,8.40143306505396e-06,4.30362145999568,3.39728613460536
"T5757",0.100279637,0.211206161,0.268199892,0.223717778,0.13806169,0.087782345,0.167033604,0.259668661,0.132263844,0.263298881,0.123847209,0.234733877,0.096153599,0.254450898,0.177704168,0.000648352517965756,3.21670799329651,2.91324301409506
"T5759",0.100455359,0.096758332,0.347065303,0.225407006,0.211703728,0.106745502,0.149946931,0.345424097,0.105172638,0.282196577,0.190875006,0.220685768,0.236661116,0.267446376,0.127372474,0.0128053369171854,2.23206490030819,2.47474470680443
"T6892",0.063133829,0.353148917,0.073464572,0.343948273,0.151840471,0.188894944,0.083620323,0.201002074,0.075742403,0.318162482,0.281967961,0.283318419,0.091453039,0.362606037,0.079290658,0.239181824538898,0.708936877472184,1.79643896886082
"T6894",0.060555319,0.30454369,0.105142691,0.292989614,0.112680416,0.144635419,0.081353829,0.214513326,0.120446788,0.115185658,0.220933572,0.105802459,0.295093639,0.328502897,0.103725207,0.118181761365695,1.18412515783552,2.00805803983941
"T6896",0.068855369,0.310893729,0.104408952,0.303249062,0.166027413,0.141353492,0.070071616,0.25129103,0.108661401,0.121597409,0.265742817,0.150341609,0.104951985,0.3175593,0.104530409,0.115467411771704,1.19795426184441,2.01421665583177
