"","cra","eno","envC","fbaB","fruA","fruB","fruK","glk","gpmM","pfkA","ppc","pykF","pyrG","tpiA","yibQ","pval","z","inv_cof_var"
"T8404",0.045224708,0.311970184,0.235809575,0.071795224,0.118120597,0.27462726,0.04754175,0.063758522,0.119116571,0.140661775,0.245570783,0.311691116,0.233326351,0.310835451,0.217103313,0.125179843599579,1.14947617061718,1.99262755304397
"T8405",0.101536757,0.193365201,0.172383373,0.153201941,0.079152298,0.18837844,0.19201046,0.075843066,0.166637513,0.116044869,0.158589569,0.195658878,0.156507502,0.194656883,0.171053564,2.56679174185696e-08,5.44662048169344,3.90630624536265
"T1011",0.115207245,0.577785326,0.161506954,0.244325002,0.140598981,0.054143275,0.089447802,0.530335469,0.142593342,0.238630535,0.210286635,0.424729777,0.401232975,0.265433125,0.053868038,0.495162215067965,0.0121268257189659,1.4861234541604
"T1012",0.115207245,0.481523744,0.329160635,0.336474355,0.115595533,0.033871807,0.064232776,0.525512253,0.139202676,0.270376764,0.212100809,0.40555651,0.393261198,0.318979285,0.048167797,0.384443107165108,0.293832087777854,1.6115773180501
"T8399",0.042055516,0.312307224,0.283156346,0.224249783,0.078119263,0.266542512,0.052915445,0.045896438,0.042016886,0.308606912,0.254423022,0.311830342,0.282478937,0.31028508,0.263220459,0.131236431418077,1.12056548674464,1.97975254683004
"T8400",0.035571176,0.494990641,0.258024246,0.529749194,0.035571497,0.44025271,0.03984907,0.035240909,0.483282309,0.346376444,0.322007002,0.471461668,0.044066144,0.446843592,0.479426153,0.385278900185747,0.291645346544955,1.61060348058967
"T8401",0.033084969,0.479783806,0.136464162,0.205220687,0.038595015,0.412498339,0.052028204,0.029976231,0.408438137,0.352658176,0.271471155,0.462085817,0.186950938,0.377834611,0.264670997,0.343643424949647,0.402539737191701,1.65998889032127
"T1996",0.124466262,0.306983173,0.158209855,0.091088285,0.101086934,0.12061724,0.109625754,0.260443406,0.259995541,0.141686153,0.293490593,0.523200263,0.369189288,0.28607695,0.045555079,0.348153947552676,0.390309235180826,1.65454219144401
"T0852",0.101672285,0.280672996,0.094404941,0.284842084,0.177289693,0.169376771,0.00752812,0.255913196,0.249742253,0.235237415,0.240452307,0.09925203,0.634688791,0.340796069,0.076477132,0.495334039572113,0.0116960949996898,1.48593163370013
"T0856",0.090511054,0.281618522,0.094404941,0.285145606,0.085975988,0.277705323,0.025644947,0.210048848,0.249742253,0.235237415,0.240452307,0.122806664,0.566876668,0.340796069,0.076477132,0.398900912876206,0.256192984131253,1.59481522084503
"T0851",0.065032776,0.469748985,0.094404941,0.281834131,0.2804231,0.110373467,0.166819363,0.032823932,0.249742253,0.235237415,0.240452307,0.127675789,0.479821875,0.340796069,0.076477132,0.352093962670716,0.379673322635737,1.64980562275153
"T0854",0.102917081,0.387095727,0.094404941,0.295871159,0.266651421,0.174031147,0.207540138,0.126660565,0.249742253,0.235237415,0.240452307,0.063184502,0.464646304,0.340796069,0.076477132,0.149193708564441,1.03989773019209,1.94382818504544
"T1007",0.115207245,0.531308126,0.278068003,0.242836125,0.135688452,0.046180352,0.089456469,0.430340194,0.121696517,0.384152398,0.201049565,0.402424641,0.281083611,0.598178965,0.031065793,0.479513814159206,0.051373841978276,1.50360161484468
"T1008",0.115207245,0.478821902,0.259226914,0.212912271,0.122667575,0.048055989,0.083011958,0.420310883,0.155323168,0.419241635,0.171656778,0.390516565,0.278537504,0.565037008,0.053168734,0.435761691284816,0.161723773332964,1.55274455653924
"T1009",0.115207245,0.510984051,0.32623417,0.211111137,0.11613417,0.051886753,0.07385335,0.290495669,0.072439161,0.249612947,0.169487735,0.409634575,0.247725046,0.295855946,0.063465959,0.412052500068823,0.222268335580624,1.5797073090841
"T4825",0.097187258,0.277239077,0.074931393,0.253481818,0.202879104,0.082491848,0.07363416,0.072646259,0.476553565,0.089271688,0.507571941,0.395597491,0.280684946,0.306193257,0.160998556,0.448177818665077,0.130266431727004,1.53873542861836
"T4826",0.198093863,0.084518207,0.076305265,0.082626089,0.302975589,0.10984246,0.115653892,0.379933908,0.367702875,0.075741407,0.381490697,0.334555863,0.076117974,0.357283073,0.151484601,0.454089843638286,0.115334886692114,1.53208585450399
"T4827",0.098642991,0.227631076,0.089525637,0.102151643,0.121204369,0.199789048,0.092908417,0.19506572,0.372399514,0.079172081,0.436240751,0.308617526,0.16183195,0.472407964,0.20501967,0.33424105327246,0.428232156954264,1.67143068345049
"T4828",0.184541848,0.178173699,0.078967176,0.127151471,0.26084649,0.373421011,0.155433355,0.362431211,0.362924817,0.081633043,0.401840082,0.31178873,0.074288348,0.403038055,0.206580882,0.172758896597977,0.943318935660394,1.90081804439255
"T4829",0.083149304,0.088409085,0.318628269,0.086641944,0.137674316,0.124138354,0.087321507,0.092099774,0.3854098,0.063846748,0.362954956,0.28199421,0.095282183,0.091494595,0.306700955,0.48483317804193,0.0380267474274465,1.49765765564824
"T4830",0.07253842,0.096185159,0.321445045,0.091045423,0.310472132,0.274918789,0.164911913,0.094288349,0.375782178,0.056802175,0.276313539,0.076854431,0.094477238,0.077221069,0.247404477,0.37265133371482,0.324839341715204,1.62538600513894
"T4831",0.196151896,0.090206308,0.091814266,0.249026394,0.112609975,0.097748857,0.091618128,0.410743774,0.411639374,0.084044283,0.394019115,0.371516549,0.110242746,0.227293905,0.178391005,0.433505438725559,0.167456493253536,1.55529755061317
"T4832",0.193718229,0.092255298,0.095816308,0.251010337,0.102699063,0.097994696,0.090956709,0.40681148,0.406266523,0.084354649,0.384060824,0.371087519,0.109484909,0.222292405,0.17550447,0.428285051498877,0.180741983988536,1.56121407533193
"T5079",0.043821987,0.475712894,0.039699575,0.449813845,0.04191273,0.033731012,0.035437184,0.526484487,0.318169897,0.325716632,0.331855229,0.524873485,0.314338021,0.346419784,0.145936755,0.48547888386147,0.0364070814761316,1.49693635796882
"T5536",0.096984272,0.069548034,0.11033915,0.313258678,0.144341891,0.147663535,0.083208498,0.080846303,0.244327272,0.091732149,0.157411761,0.325152801,0.273794184,0.343330039,0.066113726,0.311523250305663,0.491537267124078,1.69962281098379
"T5538",0.097115239,0.07985919,0.103126081,0.312177707,0.125750822,0.140737852,0.095049599,0.159764405,0.239985618,0.076757151,0.105590316,0.325441158,0.245385488,0.316639398,0.082400021,0.232957270496691,0.729142432377086,1.80543725634871
"T5540",0.073648537,0.094584581,0.102851946,0.31461448,0.135085637,0.142820563,0.068024936,0.06792582,0.246723793,0.092015646,0.077173474,0.326355008,0.281246197,0.338374951,0.067185818,0.424866360961225,0.189459465025514,1.56509629489532
"T5542",0.096392556,0.291188181,0.104787494,0.309342808,0.168467578,0.138494702,0.064711769,0.158716932,0.256410622,0.319499172,0.219724533,0.316372436,0.311517462,0.320127425,0.059628968,0.0562366543333213,1.58717370401035,2.18755059558083
"T5544",0.077918738,0.118055721,0.102206461,0.318614978,0.045812718,0.192420488,0.1203559,0.174647263,0.268085941,0.224765272,0.078523913,0.315362934,0.287455857,0.336633185,0.060307,0.217213683317719,0.781637968259249,1.82881547713608
"T5546",0.102820466,0.187884237,0.099850464,0.312938319,0.125423552,0.146188785,0.046474545,0.1009025,0.248744062,0.093284404,0.04520159,0.317730929,0.315349624,0.331981229,0.045492589,0.434658965767751,0.16452491895895,1.55399201119993
"T5548",0.075395749,0.104811195,0.073434939,0.329929865,0.073785673,0.106857173,0.138629233,0.196630269,0.236264236,0.088916468,0.174291281,0.343692835,0.120220395,0.368331607,0.0826176,0.349997300486431,0.38532775454098,1.65232375225124
"T5550",0.083052927,0.06767245,0.054926243,0.320172204,0.137435918,0.122659397,0.063532131,0.056298425,0.259109714,0.120396756,0.13711137,0.334780297,0.302437409,0.340717013,0.066118624,0.492606853426912,0.0185329311001419,1.48897633190461
"T5552",0.045418582,0.103073248,0.105189956,0.322167806,0.169102841,0.137407841,0.104892648,0.136735573,0.269615283,0.330864639,0.100352728,0.318274086,0.257309035,0.330448844,0.046970756,0.186600116516699,0.8904948490137,1.87729350769119
"T5554",0.09214316,0.136861633,0.106521507,0.316095789,0.177268291,0.108130901,0.115129977,0.078184135,0.248941175,0.136860076,0.179154007,0.321048921,0.132063332,0.358186259,0.05581942,0.21879678504787,0.77626324506835,1.82642191236307
"T5556",0.12807245,0.263189818,0.148915542,0.254680039,0.147435763,0.154660424,0.081974452,0.135450261,0.214779786,0.261664184,0.099405857,0.25001731,0.263324674,0.076509955,0.079365544,0.030739115119206,1.87004023883223,2.3135216175601
"T5558",0.112616204,0.243984431,0.180933668,0.100133318,0.110877758,0.145180782,0.127610481,0.137019382,0.171467324,0.250453134,0.14958909,0.0992852,0.231892809,0.158424255,0.129121632,9.27187255791295e-05,3.73807118069968,3.14542549400878
"T5560",0.04036671,0.138268542,0.096329616,0.305913916,0.063898855,0.136423061,0.088044112,0.088161573,0.256638072,0.172080529,0.03984445,0.290629677,0.299908656,0.351841198,0.043694109,0.439567194720658,0.152066622435723,1.54844386692708
"T5562",0.063363308,0.105068533,0.09918496,0.317381629,0.053880782,0.107529475,0.077394186,0.069069769,0.260387995,0.132841684,0.17809602,0.280248277,0.212433975,0.339542188,0.076958207,0.339803436283345,0.412999646726091,1.66464707830625
"T5564",0.103534101,0.279808215,0.150558834,0.273200088,0.12618882,0.153189669,0.090216465,0.103980519,0.208001711,0.282655715,0.07256026,0.092686013,0.25879771,0.152757143,0.094997152,0.0695229382718158,1.47935344207344,2.13953421006242
"T5566",0.123775832,0.254896508,0.106358424,0.251764859,0.132683309,0.157893077,0.104832658,0.102231518,0.20230674,0.259494826,0.099095722,0.229332921,0.255757206,0.105605397,0.097169229,0.0168232789788187,2.124282143558,2.42674502374502
"T5568",0.096496228,0.253240367,0.126912384,0.222490688,0.094409207,0.133270663,0.144356927,0.131077981,0.182317805,0.265207136,0.111095783,0.241527246,0.257016503,0.152284738,0.154186831,0.00044518751750596,3.32305454226787,2.96060310024426
"T5570",0.096664647,0.25012244,0.136156108,0.168194353,0.145103145,0.139132447,0.164606203,0.131779132,0.189158607,0.225003531,0.167503472,0.239006733,0.249302642,0.154161332,0.130052777,1.13447187200496e-08,5.59013405702975,3.97021819508974
"T5572",0.114478881,0.257414424,0.143141906,0.253362138,0.154927975,0.150117043,0.167716383,0.090224414,0.204783435,0.269323947,0.080808538,0.154435864,0.251143025,0.163796352,0.081964623,0.00457430886404378,2.60645000971751,2.64147236469372
"T5574",0.093479041,0.278171216,0.160595681,0.269891716,0.144261845,0.121089039,0.094693149,0.10627745,0.183209448,0.294670743,0.151120913,0.162523878,0.281275598,0.155602605,0.163759862,0.00351621265164844,2.69530487496906,2.68104275145091
"T5576",0.116457825,0.258589144,0.093319858,0.252989935,0.06590159,0.147764874,0.068332429,0.133388971,0.201860584,0.256623335,0.210039362,0.230093827,0.260886773,0.115009217,0.064568945,0.0658633615237644,1.50732753511808,2.15199211743558
"T5578",0.102707412,0.225584144,0.167701512,0.240109896,0.146170838,0.119224156,0.210658397,0.100966603,0.164656862,0.275294493,0.114711978,0.102767584,0.259228385,0.210907446,0.116387566,0.00088020376386104,3.12793225353133,2.8737078648692
"T8388",0.046883276,0.347394054,0.369059657,0.101310814,0.063677345,0.228627401,0.046352868,0.049303527,0.370568076,0.31994354,0.368110654,0.339620277,0.383475741,0.330409346,0.378366759,0.15405767870389,1.01918455563893,1.93460383558841
"T8389",0.045066148,0.318304841,0.320944489,0.133922935,0.064783371,0.229119744,0.047591075,0.04502039,0.267365259,0.300965425,0.317244702,0.314310214,0.308844426,0.308338868,0.322600058,0.0778459115316081,1.41971103887449,2.11297322260238
"T8394",0.044597392,0.327136601,0.324269315,0.358464557,0.060582194,0.231326884,0.049294416,0.041410078,0.363379372,0.295034847,0.355190034,0.318218137,0.346379009,0.30738789,0.33746621,0.0554008509345379,1.5946000480141,2.19085782364976
"T8395",0.045907982,0.528302305,0.212698636,0.235464773,0.061792811,0.489112631,0.064159449,0.064770912,0.495970773,0.231655251,0.081107018,0.484847823,0.606635323,0.443724769,0.267815652,0.444980929713287,0.138352469616365,1.54233644298836
"T8396",0.040097868,0.539848465,0.154566567,0.204469211,0.047563052,0.501509819,0.044201722,0.053451478,0.561687379,0.327815068,0.121809616,0.516530644,0.480666134,0.489371029,0.207281794,0.49579674777734,0.0105361858026042,1.48541508285734
"T8499",0.052475633,0.436951545,0.134507105,0.269690879,0.055430803,0.414144366,0.095848817,0.055407152,0.288216113,0.151463035,0.053484007,0.389763714,0.196181662,0.351162318,0.126646087,0.450687101210965,0.123925575870394,1.53591160892197
"T8500",0.058366356,0.388852823,0.261018518,0.310485002,0.038743217,0.374311898,0.044081689,0.006916589,0.368075552,0.357473098,0.188252109,0.366534825,0.194101317,0.342106912,0.043958599,0.391201267055851,0.27618948357312,1.60372040813516
"T8213",0.09531773,0.396995285,0.066728951,0.395138706,0.099847803,0.033334099,0.066270825,0.106209568,0.396203977,0.40750826,0.384601175,0.386511405,0.381623518,0.382242762,0.053588855,0.451813193980161,0.121081619003593,1.53464508881841
"T8402",0.03080732,0.297963818,0.168179453,0.07209506,0.133968022,0.252705653,0.070192777,0.05429926,0,0.297824396,0.145322439,0.297882393,0.26915021,0.297458612,0.126841861,0.335834826265882,0.423857620912502,1.66948253933294
"T8403",0.032215882,0.46981958,0.295517485,0.224984561,0.037517931,0.397340615,0.051902937,0.029222835,0.503883559,0.342294863,0.431021516,0.447909032,0.506049266,0.425529355,0.456949771,0.184752975928015,0.897399176442271,1.88036826230224
"T8406",0.045060425,0.343578263,0.36238947,0.359870258,0.062208828,0.241756107,0.04808472,0.042397971,0.340704334,0.316972496,0.125839201,0.336083552,0.360486209,0.326662158,0.369406965,0.121682091168648,1.16661920928418,2.00026198778568
"T8407",0.044343725,0.305320236,0.130341981,0.044374472,0.189331849,0.278930339,0.05973405,0.07408405,0.044134471,0.305302831,0.308162535,0.305978477,0.307601529,0.307456019,0.070256683,0.345338700664504,0.397935947403527,1.65793865095677
"T5535",0.090572634,0.080308946,0.105794699,0.326885585,0.093590917,0.151341901,0.089691103,0.177213272,0.257881448,0.121170743,0.076486274,0.340428636,0.321038256,0.345924786,0.064475766,0.358195151292677,0.363287268913642,1.64250830164963
"T5543",0.087499603,0.090812844,0.094644733,0.348266041,0.091573101,0.145169725,0.072333618,0.245650055,0.283470487,0.084292275,0.081741344,0.351349727,0.322985796,0.342076089,0.079722956,0.40752310003147,0.233921141356637,1.58489673827357
"T5537",0.081618615,0.115192298,0.083723674,0.320340065,0.088519123,0.095915382,0.125227864,0.178791001,0.230425784,0.13440803,0.091216666,0.336585784,0.139961791,0.211062696,0.108588728,0.159509239591734,0.996476912744857,1.92449127496363
"T5539",0.091008594,0.081012533,0.08862847,0.333195985,0.081657539,0.125652229,0.082091418,0.1682105,0.264846772,0.082745751,0.08714332,0.340595204,0.336263112,0.334877107,0.080350055,0.448149594450942,0.130337782495863,1.5387672037779
"T5541",0.091436043,0.103091873,0.094151656,0.323575975,0.107047633,0.102054187,0.110434104,0.211053262,0.250516518,0.193053101,0.107047748,0.333201767,0.328072825,0.3383091,0.103930923,0.176733776887097,0.927884368299263,1.89394445566806
"T8252",0.118239459,0.353188791,0.06799441,0.371709949,0.123356452,0.077510933,0.099427884,0.118930757,0.188074728,0.421387543,0.073317477,0.242482363,0.205722745,0.335973316,0.066066721,0.448479503866033,0.129503813367254,1.53839580620874
"T8254",0.102885163,0.412368584,0.046565102,0.33932005,0.115786978,0.044086544,0.06609765,0.112125691,0.245321419,0.249232463,0.106172149,0.363419816,0.245741045,0.314453967,0.058664558,0.488264386857879,0.029421063644936,1.49382522357353
"T8255",0.160280837,0.394611776,0.044847679,0.34332552,0.162360456,0.385853568,0.07672246,0.183444845,0.28707543,0.383131602,0.055939146,0.391961787,0.226923411,0.313682267,0.045957839,0.319735115571327,0.468439633100162,1.68933657275795
"T8304",0.068685828,0.548358192,0.048787493,0.466190332,0.100160522,0.543116963,0.071144693,0.069148278,0.516720489,0.467915945,0.520618641,0.318565898,0.520947163,0.526994904,0.051073728,0.429764343691575,0.176974158898237,1.55953612223804
"T8306",0.093968539,0.520296973,0.062011934,0.520356301,0.382767518,0.181445513,0.230777926,0.187886769,0.209408732,0.125109059,0.179955244,0.110883325,0.449283934,0.512070311,0.051472814,0.457512752344184,0.106701862871663,1.5282412468903
"T1635",0.109221821,0.376330221,0.055506694,0.377194373,0.361881569,0.238162499,0.152075996,0.169281246,0.046316966,0.250148444,0.187782976,0.070823003,0.073080934,0.234520082,0.136813194,0.339049446743659,0.415058752883699,1.66556407510546
"T1718",0.432723252,0.4330006,0.039245784,0.189584755,0.174643626,0.029770016,0.117529667,0.201300713,0.432314928,0.15640458,0.347162753,0.268740842,0.42669784,0.432673749,0.021695565,0.493364082226814,0.0166345462389129,1.48813091029533
"T0883",0.135685753,0.384097396,0.054516157,0.051454004,0.299234199,0.047460597,0.110293558,0.158565806,0.31238802,0.205194261,0.392037772,0.353355355,0.363714685,0.359456696,0.032436816,0.428926567411495,0.179107701561434,1.56048626839049
"T2299",0.147959326,0.120159331,0.036938933,0.184202524,0.191789264,0.044918215,0.126797545,0.227712086,0.294154938,0.034554432,0.341239476,0.163870584,0.370811312,0.332909663,0.035589914,0.495465228714651,0.0113672307188636,1.48578517816564
"T0150",0.128260901,0.350513056,0.070351884,0.204590489,0.282858018,0.418411446,0.295878054,0.27013634,0.286420624,0.410069523,0.089041577,0.321163283,0.353825993,0.325677978,0.065019732,0.0385937975808098,1.76724267770571,2.26774202811436
"T0151",0.07990828,0.411512901,0.048462621,0.137276652,0.102446093,0.368321335,0.411691306,0.081030284,0.178879418,0.178394132,0.244183544,0.214817829,0.391112617,0.159681698,0.050848908,0.393745432154036,0.269570283824408,1.60077263151834
"T0345",0.099195082,0.110259379,0.0531387,0.311935533,0.068443586,0.052252538,0.045954188,0.082538177,0.32346222,0.176950081,0.262890523,0.239711844,0.312737693,0.326145522,0.075363723,0.480258610025838,0.0495045389827329,1.50276914447527
"T1081",0.141190749,0.392432559,0.05786114,0.079811499,0.390670093,0.319690712,0.338239284,0.394247033,0.177291789,0.180001815,0.190064828,0.222578377,0.183587787,0.156210315,0.058088246,0.214540896920663,0.790763875570104,1.832879584158
"T1082",0.136882275,0.356942826,0.066810709,0.202792657,0.292682037,0.378969406,0.379517875,0.365214921,0.220285855,0.355778177,0.127614511,0.297103057,0.22927634,0.28692544,0.069552693,0.0254150206822517,1.95291184950985,2.35042743781452
"T2391",0.152527663,0.492231616,0.07373856,0.196951892,0.164291889,0.086245383,0.142526619,0.16917228,0.259955229,0.254373561,0.213016077,0.08989069,0.04687252,0.293564108,0.048117658,0.482500648208531,0.0438784459166123,1.50026363531797
"T0332",0.213894802,0.109659362,0.149306405,0.223830954,0.31740744,0.036356518,0.225338592,0.087168423,0.208932765,0.220037602,0.182675179,0.229234909,0.229980648,0.229962808,0.036609002,0.0651529035550908,1.51289706678138,2.15447243768984
"T0333",0.188176422,0.102715211,0.059573511,0.217898461,0.315272081,0.035578474,0.22045807,0.066356817,0.166031583,0.190589801,0.188221052,0.225864068,0.223351642,0.226785071,0.038318214,0.189175760418267,0.8809377369987,1.87303736912585
"T0334",0.197703254,0.094423507,0.045308791,0.224128802,0.31041066,0.033510813,0.225459782,0.066369725,0.186973641,0.204859769,0.189252093,0.231521552,0.227693947,0.231282167,0.036980428,0.221579040048907,0.766871230893802,1.82223929802604
"T0347",0.260184302,0.028433216,0.063547606,0.179609728,0.254378509,0.303535068,0.288648503,0.069912182,0.044939228,0.171835541,0.163394896,0.283102332,0.275174977,0.173498344,0.044972661,0.360319053499902,0.357606107583546,1.63997826853973
"T0348",0.239395205,0.028027389,0.064803182,0.169583699,0.258736959,0.303834391,0.294070383,0.05190022,0.043580726,0.173421111,0.163596861,0.284356584,0.27456825,0.175300456,0.045271905,0.399437342366248,0.25480374228527,1.59419653961706
"T0349",0.253462063,0.031195644,0.063662718,0.165764791,0.262101868,0.29978482,0.294828605,0.073580519,0.046237794,0.16944044,0.160832386,0.285929419,0.272008187,0.176750143,0.045272955,0.358709795279803,0.361909593620404,1.64189477143915
"T0742",0.111679132,0.047753334,0.044945157,0.248885508,0.165088173,0.052170848,0.136474914,0.188775378,0.363883869,0.211918837,0.301817176,0.259411273,0.194669903,0.08207675,0.219280335,0.220487527050989,0.77054772901318,1.82387657981229
"T0743",0.116501135,0.04563758,0.048231831,0.244213379,0.163798567,0.05889364,0.147568782,0.185986357,0.355253325,0.156654626,0.267147031,0.210205031,0.207398001,0.145460657,0.167364008,0.124878222078776,1.15094115736964,1.99327996630491
"T0775",0.113860823,0.077229826,0.052238324,0.242413798,0.158549337,0.062001513,0.062792502,0.17962045,0.367519976,0.114388838,0.278071182,0.2813505,0.209908692,0.127755319,0.180227088,0.254856256795881,0.65928540376664,1.7743273150754
"T0782",0.107387022,0.068968067,0.050070002,0.240575842,0.153820852,0.058755343,0.05466301,0.175697592,0.370417998,0.091354287,0.262349756,0.312716095,0.170862663,0.193051125,0.207696204,0.307520740118698,0.502890187722822,1.70467869011482
"T0783",0.107758356,0.066616365,0.047845082,0.246741087,0.161223009,0.054690665,0.081946691,0.183257565,0.372110167,0.107349925,0.226943738,0.269864474,0.158300161,0.222968345,0.210971135,0.217651234415521,0.78015020388833,1.82815292015179
"T0790",0.107156617,0.22883448,0.042639849,0.232305521,0.149538468,0.048595971,0.164320062,0.170201139,0.356430903,0.242621833,0.190474846,0.263439629,0.062151758,0.053021147,0.066585585,0.337775615390214,0.418541527577908,1.66711508462248
"T0834",0.133184123,0.094064075,0.054222499,0.222587104,0.171548135,0.064058707,0.051616321,0.184337222,0.346250786,0.129901838,0.186348626,0.248665089,0.050071184,0.192914341,0.056965742,0.377265939829459,0.312669355672472,1.6199662562802
"T0847",0.128984915,0.111978878,0.048204091,0.229020999,0.179349929,0.047562577,0.170956681,0.195826552,0.324673525,0.108341602,0.158481402,0.450217939,0.206949022,0.234242225,0.039126657,0.405992935432137,0.237864911740986,1.5866530463716
"T0835",0.118954134,0.389613233,0.083196168,0.204938051,0.153090725,0.091576515,0.082534017,0.162226347,0.296769376,0.177355801,0.098904141,0.277390282,0.436626031,0.132073952,0.071852116,0.38457659837436,0.293482731762909,1.61142173678184
"T0837",0.127685992,0.220959081,0.075058091,0.201225378,0.160867819,0.087478699,0.282979556,0.170376445,0.273749362,0.218787805,0.277138053,0.050507347,0.290862825,0.230782128,0.056744664,0.0732858692786595,1.45174781618984,2.12724039486394
"T0750",0.117427402,0.049640764,0.048566272,0.234154615,0.160419367,0.059229199,0.147268182,0.180075617,0.353007243,0.142347923,0.22054776,0.351634802,0.191205216,0.285290237,0.142540946,0.206085456991427,0.820079278759468,1.84593482698418
"T0751",0.126293941,0.41977373,0.047884674,0.232591449,0.167831696,0.059155639,0.075702213,0.184977327,0.37318241,0.049271264,0.299202134,0.272117212,0.108228475,0.180875978,0.12385797,0.447403153121127,0.13222502698671,1.53960766416459
"T0758",0.124424252,0.127453351,0.04456007,0.225992333,0.166508158,0.057555397,0.210749015,0.184080968,0.333016803,0.187059917,0.200516185,0.470530083,0.067008969,0.146691441,0.034736283,0.499269915959298,0.00183005032077787,1.48153791589298
"T0766",0.111539212,0.400743214,0.042714216,0.255063148,0.167803662,0.055622401,0.049508065,0.180710484,0.378434617,0.108311991,0.22465775,0.498410486,0.141775545,0.325115581,0.210048353,0.446164504844023,0.13535777221542,1.54100279250068
"T0767",0.117526184,0.376761857,0.042206852,0.252531016,0.167504284,0.053533132,0.098456873,0.186493908,0.372200543,0.081811345,0.259058788,0.397677564,0.125618216,0.327976914,0.207100554,0.307455709788396,0.5030751751949,1.7047610719382
"T0832",0.12480507,0.172807655,0.050028932,0.203938064,0.156156831,0.059061427,0.050112862,0.169314678,0.320242848,0.1030878,0.182973891,0.211809091,0.051522669,0.118021945,0.159653222,0.204958792865261,0.82403867040965,1.84769809181472
"T0833",0.129274131,0.403103233,0.018767172,0.284561074,0.19381971,0.026058037,0.085747953,0.221790153,0.398605288,0.208387193,0.233019932,0.30492406,0.122717189,0.190898066,0.048751545,0.431298039425335,0.173070415711688,1.55779763974465
"T0752",0.116020512,0.324156983,0.049010968,0.247578574,0.165969954,0.05736297,0.069723701,0.186886524,0.389439314,0.101025746,0.29839176,0.425543399,0.126742562,0.151579197,0.121384981,0.421987529362951,0.196811490680428,1.56837042623062
"T0768",0.127552176,0.369214459,0.039524474,0.256917352,0.178267667,0.054901651,0.043202733,0.198064569,0.369096345,0.088091555,0.253239863,0.484720343,0.128295147,0.283233132,0.116346255,0.498821650662275,0.00295368806212455,1.4820383137032
"T0753",0.122958533,0.04745536,0.058447469,0.223799306,0.159608888,0.068638969,0.137527109,0.175895018,0.351596956,0.148951213,0.285400603,0.393980862,0.153580734,0.244749309,0.121702209,0.277765458735972,0.589492536326198,1.74324594716501
"T0761",0.128110275,0.16178284,0.04096768,0.234973683,0.171041769,0.055408069,0.221004541,0.189676181,0.342104287,0.197751008,0.198446524,0.394734309,0.045607129,0.074385798,0.031536362,0.476226093945681,0.0596276602167951,1.50727734806421
"T0769",0.111172096,0.369594556,0.03854027,0.259353137,0.167540221,0.049029698,0.038151044,0.189847366,0.38270496,0.108252753,0.265016461,0.390613079,0.122386567,0.30956473,0.201507548,0.36700863836627,0.33978655098461,1.63204255512139
"T0762",0.123505362,0.401901531,0.04769407,0.249428784,0.172353924,0.060489201,0.037833356,0.189442174,0.370212805,0.07153161,0.296419407,0.335035934,0.101530651,0.258573815,0.208763833,0.380509857068636,0.304141994722907,1.6161687042853
"T0770",0.112358575,0.379876019,0.041639781,0.256268115,0.16889644,0.051616402,0.037912692,0.191021608,0.372412428,0.107609957,0.211912088,0.498026245,0.122420355,0.325821479,0.17532096,0.491277556109945,0.0218656667098539,1.49046052341919
"T0755",0.116054644,0.156427265,0.045727794,0.222313793,0.156339682,0.05815442,0.197296934,0.174888959,0.355195317,0.233829954,0.294244421,0.302789354,0.132185136,0.073620995,0.040186414,0.279139502633052,0.585399677946153,1.74142324461989
"T0763",0.116737377,0.347088577,0.042426048,0.260456909,0.172506313,0.052749431,0.091908685,0.192134396,0.377605165,0.072225412,0.217245124,0.365696076,0.122065396,0.323579145,0.206933004,0.294651697549158,0.539845776267517,1.72113639254241
"T0756",0.107167281,0.223919203,0.049986951,0.20958457,0.144156174,0.060799427,0.222160389,0.162556093,0.352682339,0.233735238,0.292234405,0.265249617,0.126293662,0.047915054,0.045664455,0.268232033902861,0.618168809773933,1.75601656167069
"T0764",0.114557084,0.409896377,0.040852978,0.251151926,0.16555991,0.052806259,0.058916333,0.185509188,0.379909484,0.078925059,0.180135913,0.428422743,0.119270538,0.360911384,0.200345046,0.471862227870269,0.0705895145896708,1.51215907081381
"T0772",0.118824079,0.364270458,0.036858097,0.2648464,0.179134966,0.046767565,0.034729687,0.197693427,0.378032176,0.127769742,0.288508112,0.532154426,0.167422767,0.300219477,0.11817052,0.497563600814137,0.00610718505136233,1.48344268357252
"T0773",0.107213611,0.403515388,0.039035334,0.250813084,0.163203826,0.045057284,0.083585512,0.182910027,0.38802952,0.147673282,0.222216307,0.48732977,0.139606233,0.337279191,0.121078294,0.452910589997079,0.118311078102044,1.5334112635834
"T0757",0.11104434,0.235952237,0.050266892,0.214542881,0.148296357,0.062751539,0.21261068,0.163045059,0.344508823,0.213246609,0.294670619,0.248854175,0.162314314,0.032776761,0.034743579,0.267448437168015,0.620548286080663,1.75707623125063
"T0811",0.089517141,0.467947991,0.038866908,0.240011287,0.1504198,0.048292264,0.036322947,0.176700887,0.361449972,0.232301085,0.222157186,0.309714167,0.191504405,0.113680849,0.083672146,0.486168610338358,0.0346771010266203,1.49616593312741
