"","ackA","arcA","dcuC","fnr","pta","pval","z","inv_cof_var"
"T5730",0.112023396,0.075875203,0.077897732,0.144920008,0.138430616,0.354969466736566,0.371938104942389,3.60647611649275
"T5732",0.244936195,0.175997823,0.102476598,0.225240855,0.180117357,0.445899680586785,0.136027727679401,2.46535098433114
"T5734",0.227483764,0.182603034,0.075554401,0.214877549,0.152230387,0.484307222736962,0.0393461088966251,1.99769107767047
"T5736",0.161733736,0.113803113,0.10396885,0.209099379,0.107476198,0.337088873258588,0.420421250832472,3.84099456753891
"T5738",0.12769647,0.244329777,0.075114538,0.150571748,0.08733308,0.362062771854406,0.352950509059909,3.51463097126341
"T5740",0.158004941,0.116801023,0.079145304,0.180073363,0.078825384,0.45873177113473,0.103629290592937,2.30863608594028
"T5742",0.112498813,0.215820956,0.082587697,0.133540288,0.105542125,0.171078281967938,0.949912796882408,6.40220496224366
"T5744",0.106835109,0.151563119,0.105716373,0.19983615,0.12949914,0.083359840435761,1.38282125222262,8.49623204170222
"T5746",0.155024183,0.144226496,0.088494576,0.088929013,0.241093363,0.474942341507313,0.0628515914417519,2.11138975081502
"T5748",0.137444669,0.162868229,0.119352871,0.185888122,0.162753189,0.170398180057003,0.952592931287364,6.41516907498236
"T5750",0.108645953,0.094914075,0.09274186,0.153956027,0.100472806,0.0124835871710888,2.24191023620727,12.6517424595216
"T5752",0.175100113,0.124324628,0.096044583,0.169674038,0.165251011,0.372821452932514,0.324389846445721,3.37647982132945
"T5754",0.107720878,0.086861785,0.0719318,0.139383204,0.128941047,0.357776956374748,0.364407262938898,3.57004858339215
"T5756",0.174230484,0.137005927,0.11533943,0.185247427,0.174473024,0.286063447462026,0.564921888481293,4.53996046784192
"T5758",0.222217579,0.153395562,0.073192646,0.224770169,0.220378114,0.483247333585698,0.04200505650136,2.01055270746424
"T5767",0.336680449,0.13395539,0.100857162,0.145859247,0.264888391,0.489312732895276,0.0267922109003925,1.93696645556483
