"","cheA","cheW","cpxR","motA","motB","mscM","psd","tsr","ung","pval","z","inv_cof_var"
"T2264",0.120336463,0.044377423,0.293690338,0.087326223,0.109030795,0.026063652,0.062379922,0.061376704,0.028605891,0.382417635690305,0.299137320785142,1.9087596263591
"T0692",0.50038965,0.497703307,0.250124043,0.405692356,0.49769811,0.055599241,0.541259195,0.333372368,0.072645005,0.40748667061629,0.234014990216938,1.85388904953625
"T0693",0.500282452,0.489260854,0.29624228,0.419553882,0.494928685,0.05085132,0.543402897,0.311514323,0.066827741,0.426878458450317,0.184327021638593,1.81202311087496
"T0694",0.501296244,0.495081044,0.220738041,0.396641434,0.475449022,0.052717338,0.594434471,0.3390455,0.076991196,0.421182982383999,0.198868047362278,1.82427504446046
"T0024",0.185720398,0.154189866,0.135844512,0.11285882,0.123750616,0.042023283,0.232095354,0.097820188,0.273558384,0.329468481189933,0.441381321261112,2.02861114714474
"T0025",0.204097266,0.172869357,0.100516686,0.133065457,0.14302878,0.040873353,0.248087322,0.107667064,0.076876664,0.303553248635177,0.514208111406461,2.08997332427454
"T0028",0.204556753,0.168396124,0.118691197,0.120009031,0.135059438,0.026882309,0.026891647,0.116560625,0.083134193,0.45455920658624,0.114150597678835,1.75289407128994
"T0029",0.227572845,0.194871243,0.228655665,0.149779022,0.159919699,0.033763935,0.134379732,0.138496131,0.076289297,0.235784135111622,0.719929716757069,2.26330961387011
"T0031",0.213866204,0.18164594,0.325297134,0.130130926,0.144159986,0.030996247,0.046254683,0.103393075,0.1053099,0.378044509389989,0.310620660566218,1.91843522414779
"T0026",0.179585016,0.150166895,0.099077338,0.108245662,0.120400207,0.040945937,0.283210973,0.101035391,0.055119351,0.483890035476699,0.0403926737894264,1.69074734229921
"T0060",0.244947585,0.204576264,0.321884472,0.173488168,0.167364665,0.03965899,0.081903649,0.169834368,0.038631934,0.425337282685469,0.188257798946158,1.81533509336002
"T0061",0.239038794,0.199618383,0.383811606,0.169440444,0.163787667,0.039743425,0.040920723,0.166425437,0.046610136,0.48635389129087,0.0342123949567929,1.68553998160567
"T0062",0.218800557,0.182130788,0.408117813,0.152808062,0.146642989,0.039506704,0.039522729,0.149074849,0.0828014,0.376203713559085,0.315466573054545,1.92251827847259
"T0003",0.169869049,0.141112473,0.356100162,0.110071029,0.115445791,0.064061363,0.151510589,0.088275026,0.04244781,0.153495977597107,1.02155417642417,2.51745144112671
"T0004",0.209911776,0.178415826,0.06119185,0.145848773,0.150593327,0.03673505,0.207768247,0.132999328,0.039762724,0.323269782272639,0.458574760872751,2.04309794362189
"T0005",0.225443127,0.193370163,0.217333904,0.153974114,0.162512334,0.04336142,0.207724565,0.138387974,0.042168681,0.303250863292418,0.515073404498642,2.09070240031765
"T0047",0.19093663,0.156793944,0.045971566,0.131517923,0.124711593,0.080026798,0.214089184,0.122745986,0.073313858,0.0910347113961091,1.33441031061585,2.78105681881943
"T0048",0.195878289,0.160667626,0.034457826,0.135266394,0.12860813,0.056000679,0.281785281,0.128337546,0.072163059,0.326131909526282,0.45061948738019,2.03639501328277
"T0049",0.199702949,0.164762149,0.037341655,0.138941132,0.130313321,0.086319939,0.284647009,0.13075646,0.074392154,0.238499149365463,0.71113868656823,2.25590249417523
"T2826",0.18665265,0.167101335,0.279189552,0.147474584,0.144522909,0.043638186,0.278791955,0.1369018,0.059788565,0.349118932136427,0.387700258763023,1.9833807194553
"T2872",0.071326718,0.041216878,0.066820464,0.066695663,0.078493054,0.026712171,0.072036982,0.113526524,0.11100065,0.182928342789407,0.904261633568493,2.41862344422681
"T2423",0.091086218,0.077291695,0.108090116,0.117005284,0.114436605,0.036415542,0.048347663,0.115568879,0.112436524,0.0934803462246521,1.31962368072196,2.76859794481316
"T2403",0.050887876,0.132137339,0.388686784,0.32094111,0.259944273,0.048610556,0.28923753,0.142358543,0.324393407,0.485932891015708,0.0352683232028558,1.68642968244161
"T2415",0.197127785,0.160364754,0.325929561,0.161859587,0.157509357,0.040429862,0.294274351,0.089189197,0.044211845,0.481471363896012,0.0464611131687404,1.69586046964358
"T2416",0.216375125,0.169962735,0.375772785,0.16843571,0.159980729,0.034793209,0.097192178,0.108653207,0.041447099,0.379626954081501,0.306460686735246,1.9149301259475
"T0008",0.211927647,0.175009429,0.383506932,0.119599041,0.140812335,0.031311167,0.149450647,0.113089416,0.086311826,0.21184721956537,0.800028233858806,2.33079878076077
"T0009",0.216838048,0.192014605,0.356157302,0.147214864,0.165334539,0.064750587,0.289652704,0.145428473,0.078453237,0.248026622114048,0.680712786146242,2.23026633078945
"T0010",0.197065756,0.166150274,0.528697078,0.119781029,0.134629223,0.03126734,0.040507092,0.107474954,0.04266344,0.481387197618452,0.0466723156080442,1.69603842395771
"T2674",0.204757271,0.185337208,0.40310196,0.166213703,0.162431437,0.046751799,0.214336098,0.138602766,0.06850124,0.181098822129186,0.911185497037333,2.4244573322198
"T2675",0.197238555,0.178708032,0.364799572,0.161569909,0.160033139,0.054765304,0.268264378,0.115601058,0.079812559,0.246868173538864,0.684378249297848,2.23335476567341
"T2676",0.197118003,0.166513398,0.226494485,0.141061439,0.137212063,0.03938687,0.286750238,0.13619311,0.038890203,0.448187054160352,0.130243084553523,1.76645323033145
"T1863",0.20434559,0.170706077,0.136153175,0.146433223,0.140274929,0.072832372,0.149123364,0.142864847,0.097129177,0.016366072870201,2.1353535021486,3.45591311677856
"T1867",0.167589056,0.144195354,0.149174875,0.127654438,0.123438461,0.087094081,0.148277026,0.125138426,0.095230111,0.0001164111356669,3.68045048140809,4.75777626816571
"T0011",0.199603646,0.170961559,0.350997623,0.112641139,0.132051043,0.030191108,0.255979643,0.101489027,0.066858989,0.418218512378387,0.206453063562032,1.83066600452684
"T0013",0.187967022,0.15962975,0.478235815,0.107263698,0.12674984,0.038232052,0.324943785,0.087315342,0.111949078,0.498698869818868,0.00326145548305993,1.65946143239966
"T0014",0.191514686,0.16190493,0.386886956,0.118121744,0.121193759,0.038536186,0.065875893,0.09405803,0.04332652,0.38484144197522,0.292789723140166,1.90341128668543
"T0053",0.224584533,0.195470284,0.038545263,0.167266009,0.159757891,0.038706363,0.041195114,0.161526951,0.037751088,0.492782457221223,0.0180926838464038,1.67195788404977
"T0007",0.203693039,0.169336113,0.095855675,0.135868098,0.142961485,0.05029975,0.324777401,0.120656249,0.059878342,0.462941502324824,0.0930258755329186,1.73509486663533
"T0046",0.155010805,0.126758176,0.279624776,0.107092061,0.098984548,0.170416797,0.270900018,0.103427858,0.15638871,0.122350815472671,1.1633152244235,2.63689603727161
"T0050",0.239098406,0.197718614,0.151659454,0.163268477,0.152741541,0.035346964,0.150800788,0.156197883,0.083545219,0.211429609424676,0.801470667111112,2.33201414181883
"T0051",0.24416666,0.202380247,0.103916806,0.167633729,0.155473756,0.03178488,0.091160415,0.160475141,0.083301275,0.31815814006722,0.472855492654188,2.05513055952281
"T0052",0.222223079,0.186896453,0.325125192,0.157413688,0.146211522,0.029521618,0.347938803,0.151339544,0.081321524,0.460328718533837,0.0996056134952041,1.7406388023972
