"","agaB","agaC","agaD","agaI","agaR","agaS","kbaY","pval","z","inv_cof_var"
"T6064",0.096431342,0.050134391,0.07319121,0.058175309,0.049014461,0.059105696,0.057301436,0.370270064181443,0.331138160250517,3.81613011518576
"T6075",0.099718358,0.050681392,0.084008213,0.060855349,0.049322085,0.061649609,0.059864816,0.395866027149453,0.26406211705928,3.59820274287892
"T2085",0.056124251,0.082725025,0.049829643,0.051554273,0.102967258,0.050298188,0.058606415,0.448202295125009,0.130204555811807,3.16330489860841
"T6029",0.081341714,0.060136827,0.110342592,0.055980923,0.056575496,0.056463647,0.065395235,0.413569064924926,0.218373476108701,3.44976218209266
"T6031",0.081341714,0.058242679,0.095983543,0.051250057,0.05635211,0.051419914,0.066219522,0.36162823460572,0.35410997185182,3.89076460913059
"T6035",0.081341714,0.054101041,0.127401277,0.065108323,0.051914659,0.065965172,0.059879566,0.497569989511854,0.00609117066316078,2.76006549141146
"T6037",0.081341714,0.070709431,0.140833258,0.069535599,0.067146305,0.069983715,0.078471754,0.449668925282295,0.126497850332589,3.15126196127089
"T6039",0.081341714,0.080218257,0.130319015,0.070230781,0.076561004,0.070103921,0.087155135,0.339467154745824,0.413917797242232,4.08507783350429
"T6044",0.081341714,0.049506388,0.092375111,0.058595109,0.048204545,0.060543256,0.06070846,0.357302488687114,0.365678518428476,3.92835035266755
"T6046",0.081341714,0.064855604,0.109995394,0.046764756,0.05724237,0.046849615,0.078287523,0.459494823079464,0.101706495580077,3.07071584465309
"T6050",0.081341714,0.070653684,0.13403205,0.068641268,0.066656489,0.069020586,0.084678428,0.415006373443001,0.214685219684259,3.43777918499367
"T6052",0.081341714,0.079714436,0.121233823,0.069954574,0.074598964,0.069890954,0.089066056,0.275616704085033,0.595912910179829,4.67637265126955
"T6053",0.081341714,0.050596791,0.101632462,0.043668769,0.047508611,0.044943661,0.064453255,0.49114041354054,0.0222095156395845,2.81243334734823
"T6055",0.081341714,0.053735112,0.109252464,0.049584156,0.048871353,0.050242195,0.066099275,0.480244032363995,0.0495411245979039,2.90123264793045
"T6061",0.081341714,0.067083061,0.137374791,0.064064874,0.062933691,0.064852353,0.076430761,0.471007270390626,0.0727380857228814,2.97659864364158
"T6063",0.081341714,0.064921317,0.127454599,0.06397285,0.062267212,0.065695931,0.075170425,0.427858643156887,0.181828539825862,3.33102915079959
"T6068",0.081341714,0.047994882,0.093725327,0.045491619,0.043379188,0.04640812,0.06297047,0.468297246284263,0.0795508433481136,2.9987330197436
"T6070",0.081341714,0.060027148,0.099281153,0.048176224,0.052594188,0.048791151,0.074854724,0.415773392301839,0.212718181394389,3.43138835653474
"T6072",0.081341714,0.055063201,0.122239862,0.072076653,0.056897779,0.075600918,0.069099723,0.421677251386076,0.197604514018865,3.38228465780169
"T6074",0.081341714,0.068372167,0.126761893,0.072931068,0.065506482,0.074427012,0.082819397,0.357650850673117,0.364745084181519,3.92531766226152
"T6076",0.081341714,0.063678779,0.130413148,0.063344323,0.059199091,0.06555168,0.081854064,0.451424299468027,0.122063663536145,3.13685546633034
"T6085",0.081341714,0.047062301,0.084954406,0.040832,0.037107002,0.043109493,0.061289866,0.484980131721954,0.0376581253277884,2.86262526021265
"T6087",0.081341714,0.046727817,0.075228265,0.040874037,0.038831079,0.041445254,0.059811532,0.451614222586661,0.121584051067774,3.1352972246693
