"","alaE","kbl","lrp","tdh","yojI","pval","z","inv_cof_var"
"T5086",0.043405475,0.0438393,0.469962815,0.051924137,0.056495591,0.0141026253910484,2.19441970224966,7.65068646663584
"T5087",0.033698319,0.044643604,0.40870078,0.044080718,0.050552536,0.0553842286886818,1.59474863544866,6.17361852266545
"T5088",0.034844725,0.044825223,0.418108643,0.044327019,0.052421687,0.0575671866728199,1.57552907227617,6.12627823524648
"T5536",0.131642761,0.204068755,0.139538375,0.208524132,0.076028142,0.467529981015664,0.0814803365566342,2.44624160110764
"T5538",0.231763142,0.202672139,0.213748264,0.203163637,0.085864308,0.412199455828243,0.221890775470361,2.79209080044395
"T5540",0.213999877,0.206389131,0.083660312,0.210528937,0.082757949,0.411842149763907,0.222808824704316,2.794352075282
"T5548",0.121019056,0.193528914,0.13584214,0.189867711,0.061781695,0.498471573804352,0.00383120569017023,2.25498167807708
"T5556",0.10768454,0.090586972,0.186652652,0.197029876,0.104069645,0.448507681967045,0.129432586887406,2.56435423939561
"T5558",0.118550599,0.096001006,0.122652543,0.169583318,0.105913432,0.27128102517267,0.608943257526038,3.74545147687013
"T5560",0.178076956,0.198818308,0.267664281,0.202046533,0.073993912,0.426644885729704,0.184922565577294,2.70103328441219
"T5566",0.094643084,0.090772501,0.092613253,0.196403109,0.101922073,0.476030175955851,0.0601196348332177,2.39362741055701
"T5568",0.094231106,0.109906527,0.100643843,0.172606145,0.094941444,0.353287504477088,0.376459917126593,3.17281472878916
"T5570",0.141505597,0.083923022,0.102078798,0.168563603,0.108277421,0.322284365994414,0.46132042659069,3.38183721657913
"T5572",0.126213436,0.139138358,0.175239792,0.17958678,0.102237315,0.210644074556531,0.80418844843987,4.2263658125436
"T5574",0.096387715,0.100605444,0.153821696,0.158099446,0.089515435,0.303269697841412,0.515019497093654,3.51410502146767
"T5576",0.156093057,0.13633617,0.064661239,0.189359063,0.095220677,0.281893230062847,0.577226496396807,3.66732896313862
"T5578",0.100086034,0.123276949,0.220761604,0.153864984,0.100540213,0.158801387567099,0.999396251198387,4.70718805632075
"T8388",0.04645794,0.048938219,0.310124291,0.046998594,0.05519307,2.14016271656132e-05,4.09180281640701,12.3241882086876
"T8389",0.048260934,0.044807525,0.293757776,0.045475885,0.057181449,0.00503080149018917,2.57370496991008,8.5849154823361
"T8394",0.050226031,0.041390568,0.285877222,0.04534247,0.053625637,0.00364283917537044,2.68349629027042,8.85534580457184
"T8397",0.051705926,0.017346489,0.320796336,0.045230804,0.059362416,0.479733185450793,0.0508232413323088,2.37072918252013
"T8398",0.054640546,0.036169276,0.459706177,0.03561755,0.035341923,0.205589871085996,0.821819309668944,4.2697929201494
"T8500",0.051303324,0.04636513,0.3065741,0.037867112,0.044487955,0.00878094586454846,2.37472788553076,8.09480900698248
"T8402",0.089374142,0.0364293,0.293874567,0.038825319,0.064466154,0.490853044252455,0.0229300271268869,2.30202456287437
"T8406",0.048134559,0.042180573,0.306305374,0.045373189,0.052234934,0.000184898061063195,3.56075065214608,11.0161375592034
"T8407",0.069950087,0.047312105,0.309610579,0.046938076,0.087829536,0.350396896772505,0.384249148910121,3.19200062121012
"T5537",0.147414631,0.175815301,0.140007269,0.182436483,0.08191182,0.349231548937543,0.387395955061993,3.19975161462992
"T5541",0.100045152,0.17071462,0.107111147,0.196494105,0.091972539,0.426656318357184,0.184893414107222,2.70096148054446
"T0824",0.05707501,0.065916436,0.404599217,0.051462175,0.054167561,0.00266300509686236,2.78662482141276,9.10936480914331
"T0831",0.080159938,0.071905216,0.384064867,0.058841157,0.072445493,0.00961871266237206,2.34089793564342,8.01148143409943
"T0814",0.060625941,0.082714252,0.395345263,0.035585342,0.047334221,0.411183553440364,0.224501490991029,2.79852133281394
"T5129",0.064385757,0.164497249,0.122087456,0.093917944,0.0781158,0.498998014786446,0.0025116071076625,2.25173133489223
"T5133",0.121664559,0.069518968,0.130324438,0.116290181,0.080797295,0.269174034173768,0.615312947891636,3.76114085388516
"T5135",0.12000292,0.078214432,0.250631099,0.112676579,0.084651741,0.14856211840798,1.04262018515696,4.81365423552643
"T5137",0.07339691,0.194192541,0.255158747,0.172641102,0.101095922,0.481461649931134,0.046485488776382,2.3600447329878
"T1077",0.076881973,0.093317979,0.181212625,0.168311028,0.077007764,0.478192005556414,0.0546917888609234,2.3802579189568
"T4075",0.091069562,0.16247064,0.11085882,0.133168722,0.144934174,0.193677782960124,0.864422993910788,4.374731343516
"T4077",0.10430318,0.171191258,0.096104685,0.084171659,0.080568377,0.440230052715005,0.150385975421637,2.61596516450923
"T5142",0.152112926,0.165078927,0.190756143,0.090931547,0.139801415,0.210292971901369,0.805405110204093,4.22936260893762
"T5144",0.143532258,0.152475401,0.172492774,0.101875033,0.138832028,0.0624174760435738,1.53479190407469,6.02593728399878
"T5146",0.13632271,0.156535031,0.186386759,0.099399595,0.129205752,0.0926636506193274,1.32452935284485,5.50803323387377
"T5148",0.140661552,0.154408357,0.181617495,0.10180808,0.131965117,0.0670632937395841,1.49802564578269,5.9353772010644
"T5150",0.144661871,0.156219005,0.18132882,0.095519458,0.135623375,0.128031652205745,1.13574499287018,5.04303276631898
"T5152",0.152112926,0.165078927,0.190756143,0.090931547,0.139801415,0.210292971901369,0.805405110204093,4.22936260893762
"T5528",0.146659152,0.192370142,0.11121931,0.234485186,0.074450422,0.480686159003532,0.0484315468986917,2.36483812761479
"T5530",0.151378241,0.228876991,0.154897285,0.23193701,0.071540156,0.49955044852,0.0011268586891532,2.24832051917561
"T5716",0.107108951,0.228500968,0.138634046,0.112927223,0.136959012,0.442472436961618,0.144703628833003,2.60196880474257
"T5718",0.084908817,0.121448205,0.130686072,0.092551619,0.099716675,0.0485097248586652,1.65947830043001,6.333056118476
"T5719",0.226976432,0.233371225,0.1724024,0.151766212,0.108158203,0.38404122127067,0.294884068552477,2.97188278859436
"T5720",0.240494225,0.229708585,0.136999433,0.142809773,0.102741289,0.431650278735227,0.17217422915578,2.66963247135042
"T5721",0.123714579,0.116457523,0.16922244,0.147326491,0.122671784,0.00184578768724132,2.90338074242338,9.39694984991159
"T5723",0.119409048,0.218948776,0.128571865,0.12605772,0.090262392,0.460767127371182,0.0985012810936963,2.4881664044601
"T5726",0.088740067,0.103189983,0.112811163,0.133936924,0.065940214,0.313820710180024,0.485049235903379,3.44028436456533
"T5732",0.222107736,0.219946463,0.101895432,0.141948874,0.078600884,0.474770089029671,0.0632842239319778,2.4014222056912
