"","decR","marA","mlaB","mlaC","mlaD","mlaE","mlaF","yncE","pval","z","inv_cof_var"
"T2422",0.057616838,0.084725094,0.155926204,0.161191819,0.053917385,0.158146356,0.10347478,0.133729977,0.312945436758836,0.487518587954183,2.51673130310021
"T2424",0.048331074,0.078889428,0.193304792,0.236495646,0.140179076,0.166238368,0.072639176,0.154746258,0.419369186510863,0.203507514284144,2.20225858818007
"T2819",0.088357799,0.109247244,0.253268968,0.066697683,0.193773032,0.194682307,0.187659442,0.174114546,0.308011915252355,0.501493529501701,2.53220512865394
"T2413",0.059998721,0.070266821,0.200262398,0.192087877,0.145035741,0.163933777,0.188104293,0.132690422,0.139559227434115,1.08230178101445,3.17530803778006
"T2414",0.066499974,0.096925736,0.149024651,0.136688758,0.139973052,0.171061477,0.187221003,0.148946955,0.0550447343995929,1.59779113242977,3.74608626046419
"T2426",0.076579107,0.099215964,0.088673234,0.086334484,0.050976915,0.17682603,0.09816683,0.172269498,0.415110170335805,0.214418981623499,2.21434036623763
"T2417",0.069448202,0.092710689,0.10133671,0.320947423,0.187648004,0.193443811,0.192409856,0.174527023,0.41771077236229,0.20775336840286,2.20695983188375
"T2418",0.077631928,0.103866452,0.069638591,0.251914948,0.157088105,0.191291753,0.179552541,0.175424319,0.337262346757907,0.419946286084434,2.44191152601268
"T2688",0.051820913,0.058914547,0.110139091,0.216246799,0.063352466,0.159649547,0.106025251,0.13355044,0.446799115255737,0.133752574088223,2.12502207363491
"T2419",0.049975585,0.080148281,0.191794028,0.187699461,0.077810647,0.184287664,0.121955448,0.161059967,0.340382328613018,0.411419909860564,2.43247065229989
"T2420",0.058631796,0.084458394,0.150710858,0.151177211,0.134055537,0.179714322,0.121704398,0.155348095,0.0812283708341896,1.39685645420556,3.5236003095953
"T5664",0.050806777,0.40547899,0.073528991,0.153269199,0.101742421,0.11366435,0.049514057,0.18078902,0.471309250368574,0.0719791499456365,2.05662313359005
"T5668",0.078328822,0.083776814,0.075589693,0.136132247,0.124714882,0.159225431,0.087268909,0.107591242,0.0896185857098594,1.34310748756115,3.46408649118534
"T2670",0.051988858,0.07261875,0.286896564,0.350768882,0.342939272,0.35802348,0.333128967,0.201718218,0.335897137057807,0.423686757478771,2.44605318210819
"T2671",0.050277472,0.057780317,0.290060273,0.331902691,0.320669571,0.370901398,0.321146948,0.206387329,0.32875692550877,0.443348263870061,2.46782348568963
"T2672",0.05100371,0.050966476,0.316806253,0.366153727,0.341083436,0.324639815,0.329371526,0.19801237,0.335600628739081,0.424499928472671,2.44695356985308
"T2673",0.045998133,0.194866319,0.174553346,0.233999443,0.179984764,0.335003332,0.210496121,0.180499333,0.399441805009526,0.254792187024764,2.25904380455255
"T2678",0.050587182,0.07385937,0.214655834,0.202910164,0.225872292,0.149385929,0.210849062,0.175496794,0.207872037158304,0.813826984014564,2.87803794471927
"T2679",0.065254406,0.22143718,0.154234754,0.217911244,0.197607649,0.290762656,0.165743065,0.170619054,0.276757948225785,0.592499886909375,2.63297238367384
"T2680",0.066791644,0.248369218,0.148616892,0.207119084,0.152056125,0.27642607,0.15713461,0.220079155,0.27608740088261,0.594504397763848,2.63519188857676
"T2681",0.057247456,0.338226227,0.147429829,0.186437403,0.166136644,0.256212412,0.154169072,0.169296575,0.239918718245736,0.706564049719865,2.75927051173832
