"","lolA","osmB","rarA","rcsB","pval","z","inv_cof_var"
"T5537",0.106348396,0.095129495,0.0831816,0.20660693,0.348159305629419,0.390294741518859,8.19024276740576
"T5541",0.117295465,0.107123082,0.092999851,0.228399409,0.333731253169826,0.429633167267317,8.67176047155274
"T0511",0.106332823,0.07643191,0.067139521,0.045666167,0.478674820799638,0.0534797790135235,4.06749600308514
"T1634",0.077162926,0.0631053,0.063287351,0.098836329,0.341424932405785,0.408577337280807,8.41402888415156
"T0881",0.091886432,0.117632352,0.078859811,0.108657786,0.452561083873973,0.119193359182918,4.871855904439
"T0882",0.077824067,0.061866351,0.077998647,0.638991638,0.35901514346362,0.361092517079593,7.83279612838942
"T0878",0.092488209,0.107554507,0.084398059,0.623633768,0.351863587146165,0.380294019632559,8.06783002335506
"T0879",0.114005107,0.065993084,0.080172472,0.677723078,0.496648062881468,0.00840215921524802,3.51572832096006
"T0880",0.053413179,0.090413218,0.075992593,0.108454339,0.483183991954379,0.0421639710905745,3.92898609202597
"T0877",0.106784744,0.108338367,0.068129638,0.663091934,0.47615644351907,0.0598025595040623,4.14488930715626
"T2861",0.058515621,0.046403061,0.047776931,0.046936041,0.363863288984485,0.348151275370587,7.67439027258885
"T0730",0.12199969,0.150899775,0.110303638,0.856809932,0.412717418984775,0.220560271488966,6.11262652404089
"T0749",0.157253551,0.150548577,0.128556646,0.634885449,0.304059245022821,0.512761033839107,9.68927804376659
"T5127",0.118994289,0.108365003,0.08085129,0.228378977,0.441341661611712,0.147568491143024,5.21917860829259
"T5131",0.136938936,0.153947809,0.105359425,0.246801877,0.436899711761259,0.158834301045586,5.35707652404359
"T5133",0.125248852,0.148912971,0.10861287,0.245385097,0.406760648857301,0.235885786612046,6.30021681817524
"T0038",0.114691127,0.124277834,0.096465827,0.277009044,0.356530110241545,0.36774924094466,7.91427702986584
"T1864",0.105928504,0.111808624,0.090557162,0.16311411,0.313388643556604,0.486267826818075,9.36499083660101
"T1868",0.127611157,0.116143376,0.081434641,0.170515664,0.464342668800855,0.0894990134370769,4.50838550831506
"T1865",0.103774461,0.092402106,0.08502877,0.229252627,0.297336485134632,0.532076561293922,9.92570764809042
"T1869",0.078617927,0.081357191,0.080903175,0.221705552,1.39920836044336e-05,4.18927940212222,54.6912996109184
"T2817",0.110615051,0.134166883,0.08022208,0.387393774,0.480683743601312,0.0484376085200277,4.00577786582489
"T0711",0.102256266,0.155251354,0.098187677,0.196261877,0.489854150789996,0.0254346145923774,3.72421223085579
"T1702",0.064122362,0.072236177,0.088467282,0.668886483,0.414848263883073,0.215090798482348,6.04567803703531
"T1998",0.100350871,0.15350984,0.15914991,1.306883912,0.472947695808829,0.0678621218228023,4.24354149951811
"T4072",0.107063166,0.133960468,0.112235869,0.168530645,0.346340946607896,0.395218157819684,8.25050730694002
"T4074",0.107063166,0.133960468,0.112235869,0.168530645,0.346340946607896,0.395218157819684,8.25050730694002
"T4083",0.124884891,0.114694216,0.09745727,0.142929728,0.350783110689401,0.383207090150977,8.10348714489358
"T4085",0.119168144,0.113081675,0.119664318,0.142003944,0.0097572848271807,2.33555263434492,32.0009595590945
"T5528",0.10970657,0.165083587,0.09826896,0.101039813,0.497814519876326,0.00547821367247465,3.4799380848736
"T5530",0.150980452,0.110501739,0.097607997,0.144612208,0.471175002088909,0.0723165374426255,4.29806528743705
"T5714",0.098114753,0.099384209,0.083311082,0.371770991,0.281987719504377,0.576946733872879,10.4749360951832
"T5716",0.157187063,0.105199779,0.104573657,0.114761939,0.479221260940756,0.0521081464207555,4.05070668413207
"T5718",0.085069377,0.091526194,0.084617779,0.1235982,0.0591745412723042,1.56174071719624,22.5291992967607
"T5719",0.127407077,0.122063064,0.122133219,0.248052545,0.00125347943555576,3.02250023626511,40.4094666574969
"T5720",0.117146745,0.114717567,0.11123067,0.244172694,0.00209771603972689,2.86308106621898,38.4581137170291
"T5721",0.127592302,0.128128702,0.118912392,0.127064592,0.0451986813046549,1.69330533793164,24.1396016684408
"T5722",0.114405416,0.114309313,0.088704142,0.147769104,0.380258510085541,0.304801918621446,7.14377720556968
"T5723",0.091256619,0.131790118,0.104578685,0.146256776,0.439185067105874,0.15303568494765,5.2860991969751
"T5724",0.107349279,0.110460477,0.105020336,0.122474999,0.00162975033651291,2.94214233907478,39.4258545929831
"T5726",0.102002423,0.09231867,0.078452895,0.105354288,0.363638322438485,0.348750477664044,7.68172474282184
"T5728",0.097197133,0.101931996,0.066199182,0.111112704,0.462767342353856,0.0934643318185059,4.55692255490271
"T5730",0.085774577,0.119497212,0.081280376,0.118012064,0.46225352335519,0.0947580014298543,4.57275757649621
"T5732",0.104349437,0.10369746,0.102582254,0.102566917,2.02038498051293e-20,9.18696611674894,115.86493803409
"T5734",0.097587114,0.080148144,0.118435276,0.13204309,0.443566198732967,0.141933671587926,5.15020621491816
"T5736",0.104130499,0.115027071,0.10413168,0.113140069,0.131215024129299,1.12066602716423,17.1302727240602
"T5738",0.07447673,0.077080996,0.077546651,0.115177299,0.000239519804672549,3.49221103355182,46.1589103736429
"T5740",0.081453443,0.090310182,0.07913143,0.112403525,0.18959483499264,0.879390336340785,14.1769639807296
"T5742",0.092646158,0.117786759,0.087024636,0.121569576,0.414614556322719,0.215690364260695,6.0530169564654
"T5744",0.116898506,0.117295622,0.114851148,0.125289475,1.61659164269799e-12,6.96719676802657,88.6940937464396
"T5746",0.092526254,0.09348886,0.087817051,0.13706935,0.014699873090741,2.17808450217215,30.0734880846388
"T5748",0.114127159,0.129743317,0.121778786,0.130947875,0.159535531006618,0.99636864468737,15.6088241886143
"T5750",0.090640049,0.099160866,0.093856816,0.118251039,0.0647048015719279,1.51643417461941,21.9746295103659
"T5752",0.094353368,0.106499274,0.100928013,0.140480199,0.141661945615613,1.07288238315689,16.5453822481343
"T5754",0.077257592,0.070719473,0.07277758,0.108696865,0.0643227632111643,1.51946486108114,22.0117262970134
"T5756",0.125450418,0.115311076,0.117415932,0.124521631,0.0612866930056577,1.54406170046653,22.3128012232409
"T5758",0.101038897,0.071507234,0.076597797,0.141956057,0.440010243964965,0.150943243441238,5.26048689523552
